"Agency","Component","Fiscal Year","Simple - Median Number of Days","Simple - Average Number of Days","Simple - Lowest Number of Days","Simple - Highest Number of Days","Complex - Median Number of Days","Complex - Average Number of Days","Complex - Lowest Number of Days","Complex - Highest Number of Days","Expedited Processing - Median Number of Days","Expedited Processing - Average Number of Days","Expedited Processing - Lowest Number of Days","Expedited Processing - Highest Number of Days"
"Federal Reserve System","Agency Overall","2013","2","4","<1","32","25","50","1","880","N/A","N/A","N/A","N/A"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2013","28","27","11","44","63","72","54","101","N/A","N/A","N/A","N/A"
"Overseas Private Investment Corporation","Agency Overall","2013","10","32.5","<1","322","N/A","N/A","N/A","N/A","10","10","10","10"
"Department of Commerce","Agency Overall","2013","15","12","1","20","61","108","1","1114","12","11","1","28"
"U.S. Railroad Retirement Board","Agency Overall","2013","18","13.63","1","26","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"United States International Trade Commission","Agency Overall","2013","8","9","1","20","30","30","30","30","N/A","N/A","N/A","N/A"
"Securities and Exchange Commission","Agency Overall","2013","22","32.81","<1","786","702","590","56","803","59","93.1","4","344"
"Department of Transportation","Agency Overall","2013","16","27.786","<1","1491","35","55.638","<1","1074","15","55.106","<1","601"
"Millennium Challenge Corporation","Agency Overall","2013","19","19","2","55","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Social Security Administration","Agency Overall","2013","20","20","1","45","44","60","4","299","N/A","N/A","N/A","N/A"
"Department of Health and Human Services","Agency Overall","2013","9","75","1","1244","64","133","1","1541","36","127","1","495"
"Armed Forces Retirement Home","Agency Overall","2013","16","13","1","21","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Federal Housing Finance Agency","Agency Overall","2013","16","19.89","<1","109","57","67.11","3","158","N/A","N/A","N/A","N/A"
"Occupational Safety and Health Review Commission","Agency Overall","2013","10","11.9","<1","24","55","55","55","55","N/A","N/A","N/A","N/A"
"Department of the Interior","Agency Overall","2013","1","3","<1","120","18","45","<1","1492","14","65","<1","579"
"United States Postal Service","Agency Overall","2013","14","18.99","<1","332","26","57.95","<1","1059","4","4","<1","7"
"Defense Nuclear Facilities Safety Board","Agency Overall","2013","19.5","22","10","39","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"United States International Boundary and Water Commission","Agency Overall","2013","17","14.2","1","27","54","64","42","110","N/A","N/A","N/A","N/A"
"Federal Financial Institutions Examination Council","Agency Overall","2013","14","12.9","1","23","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Institute of Museum and Library Services","Agency Overall","2013","9","9.9","1","18","24.5","24.8","21","30","N/A","N/A","N/A","N/A"
"Equal Employment Opportunity Commission","Agency Overall","2013","17","17.73","1","306","N/A","N/A","N/A","N/A","N/A","N/A","1","19"
"General Services Administration","Agency Overall","2013","21","20.06","<1","40","48","63.45","<1","400","1","1","<1","2"
"Recovery Accountability and Transparency Board","Agency Overall","2013","5","9.2","2","29","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Department of Homeland Security","Agency Overall","2013","16.5","36.8478571428571","1","544","58.25","101.369285714286","1","2120","26.37","56.1257142857143","1","219"
"Office of Government Ethics","Agency Overall","2013","7","8.9","1","30","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Archives and Records Administration","Agency Overall","2013","16","334.7","<1","2696","297","686","<1","5210","5","10.67","5","22"
"Legal Services Corporation","Agency Overall","2013","9","10.09","1","27","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Mediation Board","Agency Overall","2013","15","6","<1","20","N/A","N/A","N/A","N/A","15","15","15","15"
"Office of the Director of National Intelligence","Agency Overall","2013","19","88.53","1","1407","73","140.4","<1","1145","N/A","N/A","N/A","N/A"
"Merit Systems Protection Board","Agency Overall","2013","13","19.12","<1","105","64.5","76.9","32","150","N/A","N/A","N/A","N/A"
"Office of National Drug Control Policy","Agency Overall","2013","42","46","1","124","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Department of Housing and Urban Development","Agency Overall","2013","16.75","20.88","1","264","24","33.68","1","660","3","6.98","2","89"
"National Aeronautics and Space Administration","Agency Overall","2013","5","8.04","<1","35","24","33.44","<1","252","N/A","N/A","N/A","N/A"
"Federal Mediation and Conciliation Service","Agency Overall","2013","4","4.3","<1","16","14","14.8","4","22","2","8.3","1","22"
"Federal Retirement Thrift Investment Board","Agency Overall","2013","21","29","11","119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"U.S. Agency for International Development","Agency Overall","2013","51","102.67","<1","646","143.5","256.71","6","1330","34.5","34.5","19","50"
"Department of the Treasury","Agency Overall","2013","11","11.93","<1","648","11","14.93","<1","2064","9","67.66","<1","88"
"Federal Maritime Commission","Agency Overall","2013","1.5","2.5","1","6","523.5","444.5","71","576","140","140","31","249"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2013","21","47","<1","280","104","153","24","379","279","192","4","380"
"Department of Labor","Agency Overall","2013","12","22","1","1211","13","25.1","1","1285","7.5","37.7","1","519"
"Federal Deposit Insurance Corporation","Agency Overall","2013","10","12.6","<1","50","12.5","13.5","3","34","1.5","3.5","<1","9"
"National Endowment for the Humanities","Agency Overall","2013","12.5","11.36","<1","20","23","23","20","26","5.5","5.5","2","9"
"Nuclear Regulatory Commission","Agency Overall","2013","11","15","2","93","40","83","1","394","391","391","391","391"
"National Transportation Safety Board","Agency Overall","2013","26","84.07","6","666","312","285.41","6","696","62","62","62","62"
"Federal Energy Regulatory Commission","Agency Overall","2013","20","25","10","87","30","62","17","212","N/A","N/A","N/A","N/A"
"Federal Trade Commission","Agency Overall","2013","5","7.7","1","106","21.5","34.12","1","588","N/A","N/A","N/A","N/A"
"Office of Special Counsel","Agency Overall","2013","19","67.86","2","301","321","329.5","28","715","292","197","1","377"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2013","11","9.66","5","13","20","20","20","20","N/A","N/A","N/A","N/A"
"Consumer Financial Protection Bureau","Agency Overall","2013","9","9.95","<1","41","33.5","37.13","3","128","N/A","N/A","N/A","N/A"
"Farm Credit Administration","Agency Overall","2013","9","9","<1","18","N/A","N/A","N/A","N/A","18","18","18","18"
"Small Business Administration","Agency Overall","2013","6","8","2","97","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Office of Personnel Management","Agency Overall","2013","15","22","N/A","N/A","35","41","N/A","N/A","17","37","N/A","N/A"
"Farm Credit System Insurance Corporation","Agency Overall","2013","13","13","10","16","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Science Foundation","Agency Overall","2013","25","35","1","209","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Department of Defense","Agency Overall","2013","N/A","10","<1","2206","N/A","93","<1","4585","N/A","15","<1","609"
"United States African Development Foundation","Agency Overall","2013","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Surface Transportation Board","Agency Overall","2013","3","6.45","1","19","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Central Intelligence Agency","Agency Overall","2013","12","101.33","1","2180","67","196.73","1","3055","1032","1032","1021","1043"
"U.S. Agency for Global Media","Agency Overall","2013","N/A","N/A","N/A","N/A","40","46","6","99","N/A","N/A","N/A","N/A"
"Inter-American Foundation","Agency Overall","2013","13","14.375","2","35","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"United States Copyright Office","Agency Overall","2013","6","8.5","2","34","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"U.S. Department of State","Agency Overall","2013","122","129","1","1631","424","596","<1","2070","223","496","41","1841"
"Department of Veterans Affairs","Agency Overall","2013","3","10.7","<1","449","14","37.74","<1","1092","12","41.17","<1","176"
"Office of Management and Budget","Agency Overall","2013","13","27","2","233","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Indian Gaming Commission","Agency Overall","2013","113.5","125","5","424","588","588","588","588","N/A","N/A","N/A","N/A"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2013","6","8.53","1","37","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Council on Environmental Quality","Agency Overall","2013","36","56","<1","236","112","106","15","161","65","143","65","204"
"Office of the United States Trade Representative","Agency Overall","2013","16","17","1","39","42","42","11","789","N/A","N/A","N/A","N/A"
"Tennessee Valley Authority","Agency Overall","2013","6","8.7","1","20","35","70","21","292","N/A","N/A","N/A","N/A"
"Commodity Futures Trading Commission","Agency Overall","2013","39","68.6","1","401","224","256.64","53","838","N/A","N/A","N/A","N/A"
"National Railroad Passenger Corporation","Agency Overall","2013","2.5","5.08","1","20","33.5","63.08","1","539","64.5","64.5","55","74"
"Export-Import Bank of the U.S.","Agency Overall","2013","25.5","65.67","1","221","352.5","366.06","44","786","N/A","N/A","N/A","N/A"
"Department of Energy","Agency Overall","2013","14","28.37","<1","336","59","192.19","<1","2043","33","47.67","<1","195"
"Administrative Conference of the United States","Agency Overall","2013","<1","<1","<1","<1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Department of Education","Agency Overall","2013","15","28.27","<1","423","31","58.48","<1","817","2","79","<1","312"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2013","20","20","7","53","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Federal Election Commission","Agency Overall","2013","19.5","17.2","3","35","26","34.3","12","88","N/A","N/A","N/A","N/A"
