"Agency","Component","Fiscal Year","<1-20 Days","21-40 Days","41-60 Days","61-80 Days","81-100 Days","101-120 Days","121-140 Days","141-160 Days","161-180 Days","181-200 Days","201-300 Days","301-400 Days","401+ Days","Total"
"U.S. Railroad Retirement Board","Agency Overall","2013","116","3","0","0","0","0","0","0","0","0","0","0","0","119"
"United States International Trade Commission","Agency Overall","2013","33","0","0","0","0","0","0","0","0","0","0","0","0","33"
"Securities and Exchange Commission","Agency Overall","2013","9792","1316","450","229","126","76","59","24","17","13","25","8","5","12140"
"Department of Transportation","Agency Overall","2013","5471","957","867","248","55","25","25","12","5","9","26","22","35","7757"
"Millennium Challenge Corporation","Agency Overall","2013","16","3","2","0","0","0","0","0","0","0","0","0","0","21"
"Social Security Administration","Agency Overall","2013","31006","5399","1157","0","0","0","0","0","0","0","0","0","0","37562"
"Department of Health and Human Services","Agency Overall","2013","42795","4387","1388","790","652","602","601","633","544","489","1945","418","371","55615"
"Armed Forces Retirement Home","Agency Overall","2013","17","1","0","0","0","0","0","0","0","0","0","0","0","18"
"Federal Housing Finance Agency","Agency Overall","2013","86","14","10","2","0","1","0","0","0","0","0","0","0","113"
"Occupational Safety and Health Review Commission","Agency Overall","2013","44","2","0","0","0","0","0","0","0","0","0","0","0","46"
"Department of the Interior","Agency Overall","2013","442","6","1","0","0","1","0","0","0","0","0","0","0","450"
"United States Postal Service","Agency Overall","2013","1789","199","51","28","12","14","5","5","0","1","6","4","1","2115"
"Defense Nuclear Facilities Safety Board","Agency Overall","2013","12","2","1","0","0","0","0","0","0","0","0","0","0","15"
"United States International Boundary and Water Commission","Agency Overall","2013","4","4","0","0","0","0","0","0","0","0","0","0","0","8"
"Federal Financial Institutions Examination Council","Agency Overall","2013","17","5","0","0","0","0","0","0","0","0","0","0","0","22"
"Institute of Museum and Library Services","Agency Overall","2013","35","0","0","0","0","0","0","0","0","0","0","0","0","35"
"Equal Employment Opportunity Commission","Agency Overall","2013","13404","3806","739","288","94","74","32","19","6","1","3","1","0","18467"
"General Services Administration","Agency Overall","2013","114","145","0","0","0","0","0","0","0","0","0","0","0","259"
"Recovery Accountability and Transparency Board","Agency Overall","2013","13","1","0","0","0","0","0","0","0","0","0","0","0","14"
"Department of Homeland Security","Agency Overall","2013","31822","18705","12001","7318","3122","3466","1028","1773","1676","656","2777","801","371","85516"
"Office of Government Ethics","Agency Overall","2013","40","2","0","0","0","0","0","0","0","0","0","0","0","42"
"National Archives and Records Administration","Agency Overall","2013","9480","616","341","197","77","42","31","13","6","9","49","38","277","11176"
"Legal Services Corporation","Agency Overall","2013","34","2","1","0","0","0","0","0","0","0","0","0","0","37"
"National Mediation Board","Agency Overall","2013","32","0","0","0","0","0","0","0","0","0","0","0","0","32"
"Office of the Director of National Intelligence","Agency Overall","2013","166","47","17","4","12","1","3","4","1","3","5","0","21","284"
"Merit Systems Protection Board","Agency Overall","2013","112","55","15","1","3","1","0","0","0","0","0","0","2","189"
"Office of National Drug Control Policy","Agency Overall","2013","22","7","5","10","9","0","5","1","0","0","1","0","0","60"
"Department of Housing and Urban Development","Agency Overall","2013","1028","392","91","49","19","13","6","15","6","4","12","0","0","1635"
"National Aeronautics and Space Administration","Agency Overall","2013","321","9","0","0","0","0","0","0","0","0","0","0","0","330"
"Federal Mediation and Conciliation Service","Agency Overall","2013","95","0","0","0","0","0","0","0","0","0","0","0","0","95"
"Federal Retirement Thrift Investment Board","Agency Overall","2013","9","11","1","0","0","1","0","0","0","0","0","0","0","22"
"U.S. Agency for International Development","Agency Overall","2013","42","10","2","5","6","1","0","0","1","2","0","4","3","76"
"Department of the Treasury","Agency Overall","2013","2092","237","43","14","10","5","7","1","2","1","1","0","255","2668"
"Federal Maritime Commission","Agency Overall","2013","12","1","0","0","0","0","0","0","0","0","0","0","0","13"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2013","20","8","3","5","1","0","1","0","0","1","2","0","0","41"
"Department of Labor","Agency Overall","2013","6413","1068","274","152","61","57","38","37","31","12","70","32","19","8264"
"Federal Deposit Insurance Corporation","Agency Overall","2013","66","547","81","6","0","0","0","0","0","0","0","0","0","700"
"National Endowment for the Humanities","Agency Overall","2013","30","0","0","0","0","0","0","0","0","0","0","0","0","30"
"Nuclear Regulatory Commission","Agency Overall","2013","80","9","3","0","2","0","0","0","0","0","0","0","0","94"
"National Transportation Safety Board","Agency Overall","2013","64","41","9","5","3","0","0","0","0","0","1","0","1","124"
"Federal Energy Regulatory Commission","Agency Overall","2013","27","26","0","1","1","0","0","0","0","0","0","0","0","55"
"Federal Trade Commission","Agency Overall","2013","1052","54","8","2","1","2","0","0","0","0","0","0","0","1119"
"Office of Special Counsel","Agency Overall","2013","43","11","6","9","5","0","1","0","0","0","0","1","0","76"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2013","3","0","0","0","0","0","0","0","0","0","0","0","0","3"
"Consumer Financial Protection Bureau","Agency Overall","2013","9","125","5","1","0","0","0","0","0","0","0","0","0","140"
"Farm Credit Administration","Agency Overall","2013","28","0","0","0","0","0","0","0","0","0","0","0","0","28"
"Small Business Administration","Agency Overall","2013","4806","103","20","13","4","0","0","0","0","0","0","0","0","4946"
"Office of Personnel Management","Agency Overall","2013","4692","1267","1557","29","17","17","24","10","3","1","4","0","1","7622"
"Farm Credit System Insurance Corporation","Agency Overall","2013","8","0","0","0","0","0","0","0","0","0","0","0","0","8"
"National Science Foundation","Agency Overall","2013","149","70","42","23","12","4","2","0","0","1","2","0","0","305"
"Department of Defense","Agency Overall","2013","36990","1631","233","79","30","34","18","14","11","5","24","16","45","39130"
"United States African Development Foundation","Agency Overall","2013","4","0","0","0","0","0","0","0","0","0","0","0","0","4"
"Surface Transportation Board","Agency Overall","2013","32","0","0","0","0","0","0","0","0","0","0","0","0","32"
"Central Intelligence Agency","Agency Overall","2013","2156","548","93","19","9","3","2","2","1","0","6","3","43","2885"
"U.S. Agency for Global Media","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Inter-American Foundation","Agency Overall","2013","9","2","0","0","0","0","0","0","0","0","0","0","0","11"
"United States Copyright Office","Agency Overall","2013","29","2","1","0","1","0","0","0","0","0","0","0","0","33"
"U.S. Department of State","Agency Overall","2013","1153","1022","1963","2158","1291","1640","1496","1040","371","261","1037","156","135","13723"
"Department of Veterans Affairs","Agency Overall","2013","11290","1639","405","158","86","63","43","17","33","25","165","65","3","13992"
"Office of Management and Budget","Agency Overall","2013","97","40","17","12","5","5","0","0","2","2","1","0","0","181"
"National Indian Gaming Commission","Agency Overall","2013","11","2","6","5","1","2","0","5","3","0","3","2","2","42"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2013","230","18","0","0","0","0","0","0","0","0","0","0","0","248"
"Council on Environmental Quality","Agency Overall","2013","8","9","3","1","2","0","0","0","0","0","2","0","0","25"
"Office of the United States Trade Representative","Agency Overall","2013","36","11","1","0","0","0","1","0","0","0","0","0","0","49"
"Tennessee Valley Authority","Agency Overall","2013","95","0","0","0","0","0","0","0","0","0","0","0","0","95"
"Commodity Futures Trading Commission","Agency Overall","2013","33","21","12","8","5","6","7","9","1","1","3","0","1","107"
"National Railroad Passenger Corporation","Agency Overall","2013","22","0","0","0","0","0","0","0","0","0","0","0","0","22"
"Export-Import Bank of the U.S.","Agency Overall","2013","9","3","1","2","1","1","1","2","1","2","2","0","0","25"
"Department of Energy","Agency Overall","2013","1084","196","83","40","24","18","19","9","7","2","13","6","0","1501"
"Administrative Conference of the United States","Agency Overall","2013","19","0","0","0","0","0","0","0","0","0","0","0","0","19"
"Department of Education","Agency Overall","2013","854","91","71","56","16","8","10","4","4","8","11","6","1","1140"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2013","24","5","1","0","0","0","0","0","0","0","0","0","0","30"
"Federal Election Commission","Agency Overall","2013","50","9","0","0","0","0","0","0","0","0","0","0","0","59"
"All agencies","Agency Overall","2013","292661","53593","24486","13347","6562","6804","3956","4007","3006","1727","6643","1753","1688","420233"
