"Agency","Component","Fiscal Year","Date","10th Oldest Number of Days Pending","Date","9th Oldest Number of Days Pending","Date","8th Oldest Number of Days Pending","Date","7th Oldest Number of Days Pending","Date","6th Oldest Number of Days Pending","Date","5th Oldest Number of Days Pending","Date","4th Oldest Number of Days Pending","Date","3rd Oldest Number of Days Pending","Date","2nd Oldest Number of Days Pending","Date","Oldest Number of Days Pending"
"Department of the Interior","Agency Overall","2013","2009-01-09","1233","2008-11-17","1270","2008-10-21","1290","2008-10-06","1300","2008-10-03","1303","2008-10-03","1303","2008-09-04","1324","2008-08-20","1335","2008-05-07","1410","2008-04-22","1420"
"United States Postal Service","Agency Overall","2013","2013-09-13","11","2013-09-12","12","2013-09-04","18","2013-08-27","23","2013-08-22","26","2013-07-11","56","2012-09-25","254","2012-05-01","356","2012-01-06","436","2011-09-14","513"
"Defense Nuclear Facilities Safety Board","Agency Overall","2013","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"United States International Boundary and Water Commission","Agency Overall","2013","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Financial Institutions Examination Council","Agency Overall","2013","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Institute of Museum and Library Services","Agency Overall","2013","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Equal Employment Opportunity Commission","Agency Overall","2013","2013-09-17","9","2013-09-16","10","2013-09-16","10","2013-09-16","10","2013-09-11","13","2013-09-11","13","2013-09-10","14","2013-09-09","15","2013-09-05","17","2013-08-30","19"
"General Services Administration","Agency Overall","2013","N/A","0","N/A","0","N/A","0","N/A","0","2013-09-30","1","2013-09-26","4","2013-09-11","19","2013-09-04","26","2013-08-26","35","2013-07-23","69"
"Recovery Accountability and Transparency Board","Agency Overall","2013","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Homeland Security","Agency Overall","2013","2010-05-06","858","2010-04-12","876","2010-02-17","914","2009-12-11","954","2009-08-31","1024","2009-06-25","1070","2009-02-26","1154","2009-01-14","1182","2008-11-20","1218","2008-11-14","1222"
"Office of Government Ethics","Agency Overall","2013","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Archives and Records Administration","Agency Overall","2013","2013-09-09","15","2013-08-23","25","2013-08-16","30","2013-07-23","38","2013-07-12","45","2013-06-24","68","2013-06-24","68","2012-10-26","232","2012-06-11","328","2012-03-13","391"
"Legal Services Corporation","Agency Overall","2013","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Mediation Board","Agency Overall","2013","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Office of the Director of National Intelligence","Agency Overall","2013","2012-10-11","354","2012-09-25","370","2011-12-20","650","2011-08-06","776","2011-07-21","802","2011-04-05","909","2010-11-30","1036","2010-11-09","1056","2010-07-13","1175","2010-06-07","1211"
"Merit Systems Protection Board","Agency Overall","2013","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2012-04-16","324"
"Office of National Drug Control Policy","Agency Overall","2013","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Housing and Urban Development","Agency Overall","2013","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2013-09-27","1","2013-09-17","9","2013-08-15","29","2013-03-19","129"
"National Aeronautics and Space Administration","Agency Overall","2013","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2013-09-24","4","2013-09-18","8","2013-09-18","8","2013-09-13","11","2013-09-06","16"
"Federal Mediation and Conciliation Service","Agency Overall","2013","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2013-09-18","8"
"Federal Retirement Thrift Investment Board","Agency Overall","2013","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"U.S. Agency for International Development","Agency Overall","2013","2011-09-22","507","2011-08-22","529","2011-07-27","547","2011-02-23","655","2011-02-23","655","2011-01-26","674","2010-10-28","733","2010-10-27","734","2010-10-08","746","2010-09-22","758"
"Department of the Treasury","Agency Overall","2013","2011-09-01","522","2011-08-31","523","2011-07-27","548","2011-07-26","549","2011-07-20","553","2011-07-15","558","2011-06-21","573","2010-11-30","712","2010-11-03","729","2008-06-08","1332"
"Federal Maritime Commission","Agency Overall","2013","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2013","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Labor","Agency Overall","2013","2011-10-27","484","2011-10-27","484","2011-08-16","533","2011-07-22","550","2011-07-06","562","2011-06-10","579","2011-05-23","592","2011-04-11","622","2011-01-10","685","2011-01-04","690"
"Federal Deposit Insurance Corporation","Agency Overall","2013","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2013-09-26","2"
"National Endowment for the Humanities","Agency Overall","2013","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Nuclear Regulatory Commission","Agency Overall","2013","N/A","0","N/A","0","2013-07-26","45","2013-07-22","49","2013-07-08","59","2013-05-29","86","2013-04-17","115","2013-04-12","118","2013-02-25","151","2013-02-25","151"
"National Transportation Safety Board","Agency Overall","2013","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2013-09-27","1","2013-09-19","7","2013-05-03","106"
"Federal Energy Regulatory Commission","Agency Overall","2013","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2014-09-19","7","2014-09-16","10"
"Federal Trade Commission","Agency Overall","2013","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2013-09-23","5","2013-09-11","13","2013-09-09","15"
"Office of Special Counsel","Agency Overall","2013","2013-01-22","175","2012-10-18","238","2012-09-25","254","2012-07-31","293","2010-09-27","755","2009-09-30","1003","2008-01-28","1426","2007-07-06","1565","2006-10-16","1746","2005-08-08","2044"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2013","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Consumer Financial Protection Bureau","Agency Overall","2013","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Farm Credit Administration","Agency Overall","2013","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Small Business Administration","Agency Overall","2013","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2013-09-11","13"
"Office of Personnel Management","Agency Overall","2013","N/A","0","N/A","0","N/A","0","N/A","0","2013-07-10","143","2013-06-10","173","2013-05-28","186","2013-05-28","186","2013-04-23","221","2013-04-15","229"
"Farm Credit System Insurance Corporation","Agency Overall","2013","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Science Foundation","Agency Overall","2013","N/A","0","N/A","0","N/A","0","N/A","0","2013-03-01","149","2013-02-27","151","2012-11-27","212","2012-11-15","219","2012-11-06","225","2012-11-02","227"
"Department of Defense","Agency Overall","2013","2003-04-21","2618","2002-11-01","2733","2002-10-09","2749","2002-05-07","2857","2002-04-19","2869","2002-04-08","2878","2002-02-25","2908","2002-02-14","2914","2002-02-12","2916","2002-01-10","2938"
"United States African Development Foundation","Agency Overall","2013","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Surface Transportation Board","Agency Overall","2013","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Central Intelligence Agency","Agency Overall","2013","2006-02-13","2786","2005-12-03","2853","2005-12-02","2859","2005-10-05","2917","2005-07-25","2989","2004-09-08","3309","2003-12-08","3584","2003-09-25","3658","2002-05-14","4157","1999-11-24","5059"
"U.S. Agency for Global Media","Agency Overall","2013","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2013-09-07","17"
"Inter-American Foundation","Agency Overall","2013","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"United States Copyright Office","Agency Overall","2013","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2013-08-27","57"
"U.S. Department of State","Agency Overall","2013","2009-09-14","1055","2009-09-03","1063","2009-08-05","1084","2009-07-03","1108","2009-04-29","1154","2009-04-27","1156","2008-11-25","1265","2008-09-02","1325","2007-12-28","1503","2007-07-25","1614"
"Department of Veterans Affairs","Agency Overall","2013","2009-08-13","1036","2009-07-30","1046","2009-07-12","1059","2009-05-27","1091","2009-05-18","1097","2009-05-05","1106","2009-05-04","1107","2009-04-20","1117","2009-04-17","1118","2008-08-18","1284"
"Office of Management and Budget","Agency Overall","2013","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2013-08-20","28","2013-08-02","40","2013-07-10","57","2013-07-03","61","2013-02-22","153"
"National Indian Gaming Commission","Agency Overall","2013","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2013","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Council on Environmental Quality","Agency Overall","2013","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Office of the United States Trade Representative","Agency Overall","2013","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2013-08-19","30"
"Tennessee Valley Authority","Agency Overall","2013","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Commodity Futures Trading Commission","Agency Overall","2013","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2013-01-08","184","2012-03-12","392","2011-12-21","446","2011-11-07","476"
"National Railroad Passenger Corporation","Agency Overall","2013","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2013-06-26","66","2013-06-20","70","2011-09-30","501"
"Export-Import Bank of the U.S.","Agency Overall","2013","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2013-08-30","20","2010-11-15","722"
"Department of Energy","Agency Overall","2013","N/A","0","2013-09-26","2","2013-09-26","2","2013-09-25","3","2013-09-17","10","2013-09-13","11","2013-08-30","20","2013-06-21","69","2012-12-03","208","2012-07-03","303"
"Administrative Conference of the United States","Agency Overall","2013","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Education","Agency Overall","2013","2011-01-12","683","2011-01-11","684","2010-12-15","701","2010-11-26","714","2010-11-17","720","2010-10-28","745","2010-02-02","920","2009-11-17","1004","2009-05-09","1104","2009-05-07","1106"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2013","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Election Commission","Agency Overall","2013","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2013-04-09","121","2013-03-11","142","2012-02-28","401"
