"Agency","Component","Fiscal Year","Ex. 1","Ex. 2","Ex. 3","Ex. 4","Ex. 5","Ex. 6","Ex. 7(A)","Ex. 7(B)","Ex. 7(C)","Ex. 7(D)","Ex. 7(E)","Ex. 7(F)","Ex. 8","Ex. 9"
"Federal Reserve System","Agency Overall","2013","0","0","3","38","27","29","2","0","4","1","3","0","48","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2013","0","0","0","0","6","10","0","0","0","0","0","0","0","0"
"Overseas Private Investment Corporation","Agency Overall","2013","0","9","0","7","2","5","0","0","0","0","0","0","0","0"
"Department of Commerce","Agency Overall","2013","1","5","77","88","125","182","25","12","66","0","12","0","0","0"
"U.S. Railroad Retirement Board","Agency Overall","2013","0","0","27","0","1","1","0","0","0","0","0","0","0","0"
"United States International Trade Commission","Agency Overall","2013","0","0","0","2","3","0","0","0","0","0","0","0","0","0"
"Securities and Exchange Commission","Agency Overall","2013","0","2","30","109","147","261","720","2","226","25","38","4","44","0"
"Department of Transportation","Agency Overall","2013","6","14","248","234","445","2109","69","1","714","114","18","10","0","0"
"Millennium Challenge Corporation","Agency Overall","2013","1","0","0","2","2","10","0","0","0","0","0","0","0","0"
"Social Security Administration","Agency Overall","2013","0","17","26","62","105","490","45","0","34","11","20","2","0","0"
"Department of Health and Human Services","Agency Overall","2013","0","7","129","758","366","6999","283","4","1072","81","53","10","0","0"
"Armed Forces Retirement Home","Agency Overall","2013","0","0","0","0","1","8","0","0","0","0","0","0","0","0"
"Federal Housing Finance Agency","Agency Overall","2013","0","2","0","40","25","25","9","0","11","1","4","0","17","0"
"Occupational Safety and Health Review Commission","Agency Overall","2013","0","0","0","1","1","12","0","0","0","0","0","0","0","0"
"Department of the Interior","Agency Overall","2013","1","19","58","253","431","1052","150","18","309","13","66","27","0","27"
"United States Postal Service","Agency Overall","2013","0","11","402","86","110","528","34","0","358","84","53","3","0","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2013","0","1","0","0","1","3","0","0","1","0","0","0","0","0"
"United States International Boundary and Water Commission","Agency Overall","2013","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"Federal Financial Institutions Examination Council","Agency Overall","2013","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"Institute of Museum and Library Services","Agency Overall","2013","0","0","0","17","2","3","0","0","0","0","0","0","0","0"
"Equal Employment Opportunity Commission","Agency Overall","2013","0","0","5723","33","13136","2533","1520","0","6264","120","1","0","0","0"
"General Services Administration","Agency Overall","2013","0","2","32","266","117","188","7","2","26","6","4","36","0","0"
"Recovery Accountability and Transparency Board","Agency Overall","2013","0","0","0","0","0","2","0","0","2","0","0","0","0","0"
"Department of Homeland Security","Agency Overall","2013","15","401","4363","340","55238","82292","282","14","102582","100","97464","53","0","0"
"Office of Government Ethics","Agency Overall","2013","0","0","1","0","2","3","0","0","0","0","0","0","0","0"
"National Archives and Records Administration","Agency Overall","2013","281","32","237","19","30","265","4","0","118","129","29","2","1","1"
"Legal Services Corporation","Agency Overall","2013","0","0","1","0","2","6","8","0","3","0","0","0","0","0"
"National Mediation Board","Agency Overall","2013","0","0","1","0","1","0","0","0","0","0","0","0","0","0"
"Office of the Director of National Intelligence","Agency Overall","2013","52","13","177","2","13","53","0","0","18","1","14","0","0","0"
"Merit Systems Protection Board","Agency Overall","2013","0","0","0","5","3","40","0","0","0","0","0","0","0","0"
"Office of National Drug Control Policy","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Housing and Urban Development","Agency Overall","2013","0","7","12","129","72","199","31","1","19","4","6","2","2","0"
"National Aeronautics and Space Administration","Agency Overall","2013","0","5","26","120","24","67","12","0","21","4","7","5","0","0"
"Federal Mediation and Conciliation Service","Agency Overall","2013","0","0","0","2","2","5","0","0","0","0","0","0","0","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2013","0","0","0","2","0","6","0","0","1","0","2","0","0","0"
"U.S. Agency for International Development","Agency Overall","2013","0","1","34","51","22","64","4","0","10","4","2","0","0","0"
"Department of the Treasury","Agency Overall","2013","7","13","3061","171","924","845","540","2","1272","72","1389","5","143","0"
"Federal Maritime Commission","Agency Overall","2013","0","0","3","3","5","3","0","0","1","1","0","0","0","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2013","0","0","0","2","12","16","0","0","0","0","0","0","0","0"
"Department of Labor","Agency Overall","2013","0","162","11","3674","3354","2111","1802","79","5751","2110","1481","1","0","0"
"Federal Deposit Insurance Corporation","Agency Overall","2013","0","9","3","105","43","141","1","1","3","2","0","0","57","0"
"National Endowment for the Humanities","Agency Overall","2013","0","0","0","7","2","11","0","0","0","0","0","0","0","0"
"Nuclear Regulatory Commission","Agency Overall","2013","0","3","1","18","24","38","15","0","29","3","3","30","0","0"
"National Transportation Safety Board","Agency Overall","2013","0","0","8","9","80","31","102","0","1","0","0","0","0","0"
"Federal Energy Regulatory Commission","Agency Overall","2013","0","1","8","19","20","18","5","1","1","0","5","9","0","1"
"Federal Trade Commission","Agency Overall","2013","0","0","176","56","89","504","52","0","25","5","14","0","0","0"
"Office of Special Counsel","Agency Overall","2013","0","1","0","0","19","22","2","0","32","0","0","0","0","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2013","0","0","0","2","2","0","0","0","0","0","0","0","0","0"
"Consumer Financial Protection Bureau","Agency Overall","2013","0","6","6","28","35","77","12","0","4","2","4","0","9","0"
"Farm Credit Administration","Agency Overall","2013","0","0","0","0","1","1","0","0","0","0","0","0","3","0"
"Small Business Administration","Agency Overall","2013","0","2","2","88","27","58","1","0","0","0","0","0","0","0"
"Office of Personnel Management","Agency Overall","2013","","17","909","33","21","4000","1","","3788","176","191","8","",""
"Farm Credit System Insurance Corporation","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Science Foundation","Agency Overall","2013","0","0","8","159","16","183","5","0","18","0","1","0","0","0"
"Department of Defense","Agency Overall","2013","4594","182","6024","1219","2986","12925","869","51","5611","369","1624","776","1","7"
"United States African Development Foundation","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Surface Transportation Board","Agency Overall","2013","0","0","1","0","0","3","0","0","0","0","0","0","0","0"
"Central Intelligence Agency","Agency Overall","2013","2702","7","2890","7","88","204","2","0","12","9","5","2","0","0"
"U.S. Agency for Global Media","Agency Overall","2013","0","1","0","1","3","9","0","0","0","0","1","0","0","0"
"Inter-American Foundation","Agency Overall","2013","0","0","0","0","1","1","0","0","0","0","0","0","0","0"
"United States Copyright Office","Agency Overall","2013","0","0","1","0","1","0","0","0","0","0","0","0","0","0"
"U.S. Department of State","Agency Overall","2013","452","49","10304","94","454","1453","49","7","169","32","516","23","0","0"
"Department of Veterans Affairs","Agency Overall","2013","1","0","2393","337","193","10794","70","30","2903","9","22","9","0","1"
"Office of Management and Budget","Agency Overall","2013","0","7","0","0","30","16","0","0","0","0","0","0","0","0"
"National Indian Gaming Commission","Agency Overall","2013","0","0","0","9","7","7","0","0","4","1","5","0","0","0"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2013","0","0","0","0","47","35","0","0","0","0","0","0","0","0"
"Council on Environmental Quality","Agency Overall","2013","0","0","0","0","6","8","0","0","0","0","0","0","0","0"
"Office of the United States Trade Representative","Agency Overall","2013","2","1","0","7","10","11","0","0","0","0","0","0","0","0"
"Tennessee Valley Authority","Agency Overall","2013","0","2","8","12","22","45","2","0","7","0","2","0","0","0"
"Commodity Futures Trading Commission","Agency Overall","2013","0","0","10","27","21","36","6","0","7","0","3","0","0","0"
"National Railroad Passenger Corporation","Agency Overall","2013","0","0","3","19","22","41","8","0","19","0","2","1","0","0"
"Export-Import Bank of the U.S.","Agency Overall","2013","0","0","0","18","14","8","1","0","1","0","1","0","0","0"
"Department of Energy","Agency Overall","2013","14","14","50","211","111","268","8","0","22","1","9","12","0","0"
"Administrative Conference of the United States","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Education","Agency Overall","2013","0","5","14","215","143","473","158","4","426","6","36","0","0","0"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2013","0","1","0","3","1","8","8","0","8","2","4","2","0","0"
"Federal Election Commission","Agency Overall","2013","0","2","6","2","10","16","3","0","3","0","0","0","0","0"
"All agencies","Agency Overall","2013","8496","1344","39569","10318","81752","140945","8139","284","141078","5759","105576","2914","358","42"
