"Agency","Component","Fiscal Year","<1-20 Days","21-40 Days","41-60 Days","61-80 Days","81-100 Days","101-120 Days","121-140 Days","141-160 Days","161-180 Days","181-200 Days","201-300 Days","301-400 Days","401+ Days","Total"
"Overseas Private Investment Corporation","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Commerce","Agency Overall","2013","157","216","109","60","42","32","33","26","13","15","41","25","18","787"
"U.S. Railroad Retirement Board","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States International Trade Commission","Agency Overall","2013","0","2","0","0","0","0","0","0","0","0","0","0","0","2"
"Securities and Exchange Commission","Agency Overall","2013","1","0","1","0","0","0","0","0","0","0","0","0","5","7"
"Department of Transportation","Agency Overall","2013","678","685","506","240","73","40","32","25","19","18","48","19","39","2422"
"Millennium Challenge Corporation","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Social Security Administration","Agency Overall","2013","160","250","152","125","71","27","18","27","9","27","26","1","0","893"
"Department of Health and Human Services","Agency Overall","2013","5406","602","454","389","340","334","321","292","285","233","1050","552","1106","11364"
"Armed Forces Retirement Home","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Housing Finance Agency","Agency Overall","2013","13","9","5","3","3","2","1","2","0","0","0","0","0","38"
"Occupational Safety and Health Review Commission","Agency Overall","2013","0","0","1","0","0","0","0","0","0","0","0","0","0","1"
"Department of the Interior","Agency Overall","2013","2899","789","296","159","99","62","46","35","23","26","86","38","73","4631"
"United States Postal Service","Agency Overall","2013","83","50","11","8","8","9","3","3","0","2","5","0","2","184"
"Defense Nuclear Facilities Safety Board","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States International Boundary and Water Commission","Agency Overall","2013","0","0","3","1","0","1","0","0","0","0","0","0","0","5"
"Federal Financial Institutions Examination Council","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Institute of Museum and Library Services","Agency Overall","2013","0","6","0","0","0","0","0","0","0","0","0","0","0","6"
"Equal Employment Opportunity Commission","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"General Services Administration","Agency Overall","2013","189","253","214","121","91","57","33","22","20","13","37","7","0","1057"
"Recovery Accountability and Transparency Board","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Homeland Security","Agency Overall","2013","33435","57908","7683","6965","1230","1133","603","387","265","141","408","260","3375","113793"
"Office of Government Ethics","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Archives and Records Administration","Agency Overall","2013","541","125","37","26","31","28","32","24","25","18","78","61","1066","2092"
"Legal Services Corporation","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Mediation Board","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of the Director of National Intelligence","Agency Overall","2013","23","18","7","3","7","2","1","2","2","2","5","4","14","90"
"Merit Systems Protection Board","Agency Overall","2013","0","4","3","2","1","1","1","1","0","0","0","0","0","13"
"Office of National Drug Control Policy","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Housing and Urban Development","Agency Overall","2013","327","128","66","50","21","26","21","12","15","12","43","23","8","752"
"National Aeronautics and Space Administration","Agency Overall","2013","340","118","52","23","6","5","4","2","0","0","3","0","0","553"
"Federal Mediation and Conciliation Service","Agency Overall","2013","11","3","0","0","0","0","0","0","0","0","0","0","0","14"
"Federal Retirement Thrift Investment Board","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Agency for International Development","Agency Overall","2013","42","28","23","21","18","21","12","5","7","3","28","16","41","265"
"Department of the Treasury","Agency Overall","2013","6092","1859","489","185","87","43","40","18","7","12","30","11","54","8927"
"Federal Maritime Commission","Agency Overall","2013","0","0","0","1","0","0","0","0","0","0","0","0","5","6"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2013","0","3","2","0","0","2","0","0","0","0","2","3","1","13"
"Department of Labor","Agency Overall","2013","7858","1537","448","253","162","96","50","43","32","23","123","42","115","10782"
"Federal Deposit Insurance Corporation","Agency Overall","2013","2","22","4","0","0","0","0","0","0","0","0","0","0","28"
"National Endowment for the Humanities","Agency Overall","2013","1","1","0","0","0","0","0","0","0","0","0","0","0","2"
"Nuclear Regulatory Commission","Agency Overall","2013","132","42","19","8","8","8","3","3","2","6","19","15","10","275"
"National Transportation Safety Board","Agency Overall","2013","48","22","12","6","5","4","1","3","4","6","18","32","25","186"
"Federal Energy Regulatory Commission","Agency Overall","2013","19","18","0","1","0","1","0","0","2","1","2","0","0","44"
"Federal Trade Commission","Agency Overall","2013","192","76","23","16","11","2","0","1","0","0","2","0","0","323"
"Office of Special Counsel","Agency Overall","2013","0","2","4","3","0","3","4","1","1","2","5","6","16","47"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2013","1","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Consumer Financial Protection Bureau","Agency Overall","2013","1","26","24","10","6","1","0","1","0","0","0","0","0","69"
"Farm Credit Administration","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Small Business Administration","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Personnel Management","Agency Overall","2013","1581","1228","1080","175","84","57","32","44","80","76","44","4","10","4495"
"Farm Credit System Insurance Corporation","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Science Foundation","Agency Overall","2013","149","70","42","23","12","4","2","0","0","1","2","0","0","305"
"Department of Defense","Agency Overall","2013","9169","4972","1835","1036","683","482","383","289","210","214","657","345","1126","21401"
"United States African Development Foundation","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Surface Transportation Board","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Central Intelligence Agency","Agency Overall","2013","209","306","334","206","106","78","74","46","20","38","75","34","214","1740"
"U.S. Agency for Global Media","Agency Overall","2013","6","7","4","6","3","0","0","0","0","0","0","0","0","26"
"Inter-American Foundation","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States Copyright Office","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Department of State","Agency Overall","2013","30","50","39","38","47","73","83","109","86","91","484","376","1315","2821"
"Department of Veterans Affairs","Agency Overall","2013","7927","1778","492","354","492","463","226","84","68","145","187","55","68","12339"
"Office of Management and Budget","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Indian Gaming Commission","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0","1","2","3"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Council on Environmental Quality","Agency Overall","2013","1","0","0","1","0","1","1","0","2","0","0","0","0","6"
"Office of the United States Trade Representative","Agency Overall","2013","5","8","6","0","3","1","2","0","0","0","2","2","4","33"
"Tennessee Valley Authority","Agency Overall","2013","0","36","7","10","0","4","0","1","1","1","4","1","1","66"
"Commodity Futures Trading Commission","Agency Overall","2013","0","1","5","3","2","3","2","1","0","2","10","4","8","41"
"National Railroad Passenger Corporation","Agency Overall","2013","63","23","10","8","12","3","1","1","3","1","4","1","4","134"
"Export-Import Bank of the U.S.","Agency Overall","2013","0","0","1","1","1","0","1","1","2","1","6","5","7","26"
"Department of Energy","Agency Overall","2013","124","111","69","32","17","12","10","13","8","7","30","33","67","533"
"Administrative Conference of the United States","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Education","Agency Overall","2013","472","317","141","80","87","50","23","25","16","14","32","7","12","1276"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Election Commission","Agency Overall","2013","7","4","2","0","1","0","0","0","0","0","0","0","0","14"
"All agencies","Agency Overall","2013","86635","79323","16820","12078","4757","3841","2589","1935","1565","1429","4462","2412","9350","227196"
