"Agency","Component","Fiscal Year","Simple - Median Number of Days","Simple - Average Number of Days","Simple - Lowest Number of Days","Simple - Highest Number of Days","Complex - Median Number of Days","Complex - Average Number of Days","Complex - Lowest Number of Days","Complex - Highest Number of Days","Expedited Processing - Median Number of Days","Expedited Processing - Average Number of Days","Expedited Processing - Lowest Number of Days","Expedited Processing - Highest Number of Days"
"Securities and Exchange Commission","Agency Overall","2013","5","14.51","<1","786","645","514","<1","803","40","58.15","2","344"
"Department of Transportation","Agency Overall","2013","14","24.88","<1","1491","34","55.825","<1","1074","14.5","55.75","<1","601"
"Millennium Challenge Corporation","Agency Overall","2013","18","17","<1","55","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Social Security Administration","Agency Overall","2013","18","17","1","45","45","64","1","331","N/A","N/A","N/A","N/A"
"Department of Health and Human Services","Agency Overall","2013","10","29","1","1260","63","99","<1","1541","30","98","1","512"
"Armed Forces Retirement Home","Agency Overall","2013","16","14","1","21","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Federal Housing Finance Agency","Agency Overall","2013","10","15.4","<1","109","33","45.84","<1","158","N/A","N/A","N/A","N/A"
"Occupational Safety and Health Review Commission","Agency Overall","2013","7.5","9.8","<1","24","55","55","55","55","N/A","N/A","N/A","N/A"
"Department of the Interior","Agency Overall","2013","1","3","<1","120","17","43","<1","1492","19","63","<1","579"
"United States Postal Service","Agency Overall","2013","6","13.63","<1","504","23","49.62","<1","1059","4","8","<1","24"
"Defense Nuclear Facilities Safety Board","Agency Overall","2013","14","14.53","6","39","N/A","N/A","N/A","N/A","7","7","6","8"
"United States International Boundary and Water Commission","Agency Overall","2013","19","14.6","1","27","54","64","42","110","N/A","N/A","N/A","N/A"
"Federal Financial Institutions Examination Council","Agency Overall","2013","12.5","12.2","1","26","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Institute of Museum and Library Services","Agency Overall","2013","9","8.9","1","18","24.5","24.8","21","30","N/A","N/A","N/A","N/A"
"Equal Employment Opportunity Commission","Agency Overall","2013","16","17.52","1","306","N/A","N/A","N/A","N/A","3","7.09","1","27"
"General Services Administration","Agency Overall","2013","21","20.06","<1","40","48","63.45","<1","400","1","1","<1","2"
"Recovery Accountability and Transparency Board","Agency Overall","2013","6.5","11.5","2","29","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Department of Homeland Security","Agency Overall","2013","11","36.7086666666667","1","923","37.5","92.6485714285714","1","2120","21","44.01125","1","219"
"Office of Government Ethics","Agency Overall","2013","7","8.6","1","30","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Archives and Records Administration","Agency Overall","2013","6","42.2","<1","3994","290","718","<1","6136","6","7.5","1","22"
"Legal Services Corporation","Agency Overall","2013","7","9.94","1","53","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Mediation Board","Agency Overall","2013","7","6","<1","20","N/A","N/A","N/A","N/A","15","15","15","15"
"Office of the Director of National Intelligence","Agency Overall","2013","16","86.12","<1","1407","64.5","167.91","<1","1145","N/A","N/A","N/A","N/A"
"Merit Systems Protection Board","Agency Overall","2013","13","22.3","<1","440","55","67.92","31","150","N/A","N/A","N/A","N/A"
"Office of National Drug Control Policy","Agency Overall","2013","42","49","1","148","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Department of Housing and Urban Development","Agency Overall","2013","14","17.21","1","276","16.5","23.89","1","660","1.5","8.89","2","89"
"National Aeronautics and Space Administration","Agency Overall","2013","4","5.65","<1","35","14","22.34","<1","252","N/A","N/A","N/A","N/A"
"Federal Mediation and Conciliation Service","Agency Overall","2013","2","3.5","<1","16","13","13.9","1","22","2","8.3","1","22"
"Federal Retirement Thrift Investment Board","Agency Overall","2013","22","27","11","112","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"U.S. Agency for International Development","Agency Overall","2013","17","74.83","<1","789","101","205.8","<1","1330","295","288","19","543"
"Department of the Treasury","Agency Overall","2013","5","15.68","<1","648","15","22.56","<1","2064","19","38.05","<1","88"
"Federal Maritime Commission","Agency Overall","2013","4","7.5","1","25","523.5","444.5","71","576","23.5","77.5","14","249"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2013","22","45","<1","280","105.5","174","24","422","281","199","4","380"
"Department of Labor","Agency Overall","2013","8","20.4","1","1211","11","28.5","1","1735","7","39.5","1","519"
"Federal Deposit Insurance Corporation","Agency Overall","2013","7","9.89","<1","51","12","12.96","<1","34","3","4.31","<1","13"
"National Endowment for the Humanities","Agency Overall","2013","13","11.6","<1","20","23","23","20","26","5.5","5.5","2","9"
"Nuclear Regulatory Commission","Agency Overall","2013","9","12","<1","93","21","82","<1","617","391","391","391","391"
"National Transportation Safety Board","Agency Overall","2013","20","29.77","<1","666","100","184.18","<1","1304","62","62","62","62"
"Federal Energy Regulatory Commission","Agency Overall","2013","20","23","2","87","22","45","2","268","N/A","N/A","N/A","N/A"
"Federal Trade Commission","Agency Overall","2013","4","7.36","1","111","18","27.6","1","588","8","8","8","8"
"Office of Special Counsel","Agency Overall","2013","14","31.54","<1","301","259","291.62","28","715","266.5","204.33","1","377"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2013","11","9.67","5","13","20","20","20","20","N/A","N/A","N/A","N/A"
"Consumer Financial Protection Bureau","Agency Overall","2013","6.5","8.36","<1","41","28","31.07","<1","128","N/A","N/A","N/A","N/A"
"Farm Credit Administration","Agency Overall","2013","10.5","9.57","<1","18","N/A","N/A","N/A","N/A","18","18","18","18"
"Small Business Administration","Agency Overall","2013","5","6.5","<1","97","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Office of Personnel Management","Agency Overall","2013","2","22","N/A","N/A","35","41","N/A","N/A","17","37","N/A","N/A"
"Farm Credit System Insurance Corporation","Agency Overall","2013","14","13.25","4","20","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Science Foundation","Agency Overall","2013","21","32","1","209","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Department of Defense","Agency Overall","2013","N/A","10","<1","3061","N/A","93","<1","4585","N/A","15","<1","609"
"United States African Development Foundation","Agency Overall","2013","6.5","7","4","11","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Surface Transportation Board","Agency Overall","2013","4","6","1","19","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Central Intelligence Agency","Agency Overall","2013","13","35.18","1","2411","62","186.02","1","3055","1032","1032","1021","1043"
"U.S. Agency for Global Media","Agency Overall","2013","N/A","N/A","N/A","N/A","38","44","6","99","N/A","N/A","N/A","N/A"
"Inter-American Foundation","Agency Overall","2013","17","16.36","2","35","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"United States Copyright Office","Agency Overall","2013","10","13.4","1","94","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"U.S. Department of State","Agency Overall","2013","90","106","<1","1631","373.5","532.8","<1","2070","202","405","4","1841"
"Department of Veterans Affairs","Agency Overall","2013","5","16.71","<1","699","16","35.53","<1","1438","14","37.96","<1","176"
"Office of Management and Budget","Agency Overall","2013","18","31","1","233","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Indian Gaming Commission","Agency Overall","2013","68.5","109","5","478","588","504","336","588","N/A","N/A","N/A","N/A"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2013","6","8.53","1","37","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Council on Environmental Quality","Agency Overall","2013","35","47","<1","236","112","106","15","170","113","116","33","204"
"Office of the United States Trade Representative","Agency Overall","2013","16","19","1","41","39","141","7","789","N/A","N/A","N/A","N/A"
"Tennessee Valley Authority","Agency Overall","2013","9","9.48","1","20","36","77.92","21","627","N/A","N/A","N/A","N/A"
"Commodity Futures Trading Commission","Agency Overall","2013","40","65","1","401","216","239.27","26","838","N/A","N/A","N/A","N/A"
"National Railroad Passenger Corporation","Agency Overall","2013","1","4.17","1","20","13.5","49.23","1","539","55","60.33","52","74"
"Export-Import Bank of the U.S.","Agency Overall","2013","59","82.2","1","257","277","318.19","44","786","N/A","N/A","N/A","N/A"
"Department of Energy","Agency Overall","2013","9","22.21","<1","336","49","164.52","<1","2043","18.5","39.75","<1","195"
"Administrative Conference of the United States","Agency Overall","2013","1","1.2","<1","3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Department of Education","Agency Overall","2013","12","25.51","<1","423","28","54.14","<1","817","4","84","<1","312"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2013","20","20","2","53","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Federal Election Commission","Agency Overall","2013","17","16.3","1","35","20.5","28.1","1","88","N/A","N/A","N/A","N/A"
