"Agency","Component","Fiscal Year","Number of Appeals Pending as of Start of Fiscal Year","Number of Appeals Received in Fiscal Year","Number of Appeals Processed in Fiscal Year","Number of Appeals Pending as of End of Fiscal Year"
"Legal Services Corporation","Agency Overall","2013","1","0","1","0"
"National Mediation Board","Agency Overall","2013","0","0","0","0"
"Office of the Director of National Intelligence","Agency Overall","2013","19","26","23","22"
"Merit Systems Protection Board","Agency Overall","2013","1","18","18","1"
"Office of National Drug Control Policy","Agency Overall","2013","0","0","0","0"
"Department of Housing and Urban Development","Agency Overall","2013","5","46","47","4"
"National Aeronautics and Space Administration","Agency Overall","2013","2","19","16","5"
"Federal Mediation and Conciliation Service","Agency Overall","2013","0","2","1","1"
"Federal Retirement Thrift Investment Board","Agency Overall","2013","0","1","1","0"
"U.S. Agency for International Development","Agency Overall","2013","36","9","25","20"
"Department of the Treasury","Agency Overall","2013","74","358","346","86"
"Federal Maritime Commission","Agency Overall","2013","0","0","0","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2013","1","0","1","0"
"Department of Labor","Agency Overall","2013","145","464","393","216"
"Federal Deposit Insurance Corporation","Agency Overall","2013","6","29","34","1"
"National Endowment for the Humanities","Agency Overall","2013","0","0","0","0"
"Nuclear Regulatory Commission","Agency Overall","2013","0","23","15","8"
"National Transportation Safety Board","Agency Overall","2013","0","7","4","3"
"Federal Energy Regulatory Commission","Agency Overall","2013","1","13","12","2"
"Federal Trade Commission","Agency Overall","2013","0","29","26","3"
"Office of Special Counsel","Agency Overall","2013","11","9","8","12"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2013","0","0","0","0"
"Consumer Financial Protection Bureau","Agency Overall","2013","4","16","20","0"
"Farm Credit Administration","Agency Overall","2013","0","1","1","0"
"Small Business Administration","Agency Overall","2013","0","13","12","1"
"Office of Personnel Management","Agency Overall","2013","4","41","39","6"
"Farm Credit System Insurance Corporation","Agency Overall","2013","0","0","0","0"
"National Science Foundation","Agency Overall","2013","0","10","4","6"
"Department of Defense","Agency Overall","2013","766","1111","1145","732"
"United States African Development Foundation","Agency Overall","2013","0","0","0","0"
"Surface Transportation Board","Agency Overall","2013","0","0","0","0"
"Central Intelligence Agency","Agency Overall","2013","213","338","360","191"
"U.S. Agency for Global Media","Agency Overall","2013","0","3","2","1"
"Inter-American Foundation","Agency Overall","2013","0","0","0","0"
"United States Copyright Office","Agency Overall","2013","0","1","0","1"
"U.S. Department of State","Agency Overall","2013","401","282","370","313"
"Department of Veterans Affairs","Agency Overall","2013","190","298","243","245"
"Office of Management and Budget","Agency Overall","2013","0","9","4","5"
"National Indian Gaming Commission","Agency Overall","2013","0","3","3","0"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2013","0","0","0","0"
"Council on Environmental Quality","Agency Overall","2013","0","1","1","0"
"Office of the United States Trade Representative","Agency Overall","2013","0","3","2","1"
"Tennessee Valley Authority","Agency Overall","2013","0","9","9","0"
"Commodity Futures Trading Commission","Agency Overall","2013","5","5","6","4"
"National Railroad Passenger Corporation","Agency Overall","2013","1","4","2","3"
"Export-Import Bank of the U.S.","Agency Overall","2013","1","3","2","2"
"Department of Energy","Agency Overall","2013","12","77","80","9"
"Administrative Conference of the United States","Agency Overall","2013","0","0","0","0"
"Department of Education","Agency Overall","2013","32","43","20","55"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2013","0","1","1","0"
"Federal Election Commission","Agency Overall","2013","1","3","1","3"
"All agencies","Agency Overall","2013","3955","12028","12042","3927"
