"Agency","Component","Fiscal Year","Number Granted","Number Denied","Median Number of Days to Adjudicate","Average Number of Days to Adjudicate"
"Millennium Challenge Corporation","Agency Overall","2013","0","0","N/A","N/A"
"Social Security Administration","Agency Overall","2013","0","4","26","41"
"Department of Health and Human Services","Agency Overall","2013","476","41","9","19"
"Armed Forces Retirement Home","Agency Overall","2013","0","0","N/A","N/A"
"Federal Housing Finance Agency","Agency Overall","2013","8","27","1","1"
"Occupational Safety and Health Review Commission","Agency Overall","2013","3","0","1","1"
"Department of the Interior","Agency Overall","2013","458","35","1","6"
"United States Postal Service","Agency Overall","2013","4","17","1","1.14"
"Defense Nuclear Facilities Safety Board","Agency Overall","2013","4","0","11.5","11.5"
"United States International Boundary and Water Commission","Agency Overall","2013","1","0","26","26"
"Federal Financial Institutions Examination Council","Agency Overall","2013","0","0","N/A","N/A"
"Institute of Museum and Library Services","Agency Overall","2013","1","0","1","1"
"Equal Employment Opportunity Commission","Agency Overall","2013","6","4","1","0.941176470588234"
"General Services Administration","Agency Overall","2013","1","12","42","51.15"
"Recovery Accountability and Transparency Board","Agency Overall","2013","1","0","5","5"
"Department of Homeland Security","Agency Overall","2013","116","251","2","4.90333333333333"
"Office of Government Ethics","Agency Overall","2013","0","0","N/A","N/A"
"National Archives and Records Administration","Agency Overall","2013","12","23","3","7"
"Legal Services Corporation","Agency Overall","2013","1","0","15","15"
"National Mediation Board","Agency Overall","2013","0","0","N/A","N/A"
"Office of the Director of National Intelligence","Agency Overall","2013","0","0","N/A","N/A"
"Merit Systems Protection Board","Agency Overall","2013","0","0","N/A","N/A"
"Office of National Drug Control Policy","Agency Overall","2013","0","0","N/A","N/A"
"Department of Housing and Urban Development","Agency Overall","2013","23","87","4","5.58"
"National Aeronautics and Space Administration","Agency Overall","2013","6","22","1","4.36"
"Federal Mediation and Conciliation Service","Agency Overall","2013","0","1","1","1"
"Federal Retirement Thrift Investment Board","Agency Overall","2013","0","0","N/A","N/A"
"U.S. Agency for International Development","Agency Overall","2013","5","1","1","1"
"Department of the Treasury","Agency Overall","2013","106","47","13","10.5"
"Federal Maritime Commission","Agency Overall","2013","0","0","N/A","N/A"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2013","0","0","N/A","N/A"
"Department of Labor","Agency Overall","2013","300","764","11","37.1"
"Federal Deposit Insurance Corporation","Agency Overall","2013","15","29","1","0.5"
"National Endowment for the Humanities","Agency Overall","2013","2","0","1","1"
"Nuclear Regulatory Commission","Agency Overall","2013","23","12","1","1"
"National Transportation Safety Board","Agency Overall","2013","2","2","1","1.25"
"Federal Energy Regulatory Commission","Agency Overall","2013","0","2","11","11"
"Federal Trade Commission","Agency Overall","2013","13","15","12","15.82"
"Office of Special Counsel","Agency Overall","2013","0","0","N/A","N/A"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2013","2","0","N/A","N/A"
"Consumer Financial Protection Bureau","Agency Overall","2013","1","3","1","1"
"Farm Credit Administration","Agency Overall","2013","0","0","N/A","N/A"
"Small Business Administration","Agency Overall","2013","8","3","9.5","11.6"
"Office of Personnel Management","Agency Overall","2013","2","1","1","4"
"Farm Credit System Insurance Corporation","Agency Overall","2013","0","0","N/A","N/A"
"National Science Foundation","Agency Overall","2013","0","0","N/A","N/A"
"Department of Defense","Agency Overall","2013","1031","661","49","7"
"United States African Development Foundation","Agency Overall","2013","0","0","N/A","N/A"
"Surface Transportation Board","Agency Overall","2013","0","0","N/A","N/A"
"Central Intelligence Agency","Agency Overall","2013","0","1","25","25"
"U.S. Agency for Global Media","Agency Overall","2013","1","10","13","13"
"Inter-American Foundation","Agency Overall","2013","0","0","N/A","N/A"
"United States Copyright Office","Agency Overall","2013","0","0","N/A","N/A"
"U.S. Department of State","Agency Overall","2013","219","187","1.43","21.56"
"Department of Veterans Affairs","Agency Overall","2013","110","63","N/A","11.72"
"Office of Management and Budget","Agency Overall","2013","2","0","20","20"
"National Indian Gaming Commission","Agency Overall","2013","1","0","15","15"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2013","0","0","N/A","N/A"
"Council on Environmental Quality","Agency Overall","2013","0","0","N/A","N/A"
"Office of the United States Trade Representative","Agency Overall","2013","14","6","4","6"
"Tennessee Valley Authority","Agency Overall","2013","14","2","10","9.7"
"Commodity Futures Trading Commission","Agency Overall","2013","0","0","N/A","N/A"
"National Railroad Passenger Corporation","Agency Overall","2013","11","5","1","1"
"Export-Import Bank of the U.S.","Agency Overall","2013","4","0","1","1"
"Department of Energy","Agency Overall","2013","185","39","N/A","4.14"
"Administrative Conference of the United States","Agency Overall","2013","0","0","N/A","N/A"
"Department of Education","Agency Overall","2013","108","118","4","21.42"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2013","0","0","N/A","N/A"
"Federal Election Commission","Agency Overall","2013","32","0","1","1"
"All agencies","Agency Overall","2013","5087","3759","N/A","N/A"
