"Agency","Component","Fiscal Year","Number Affirmed on Appeal","Number Partially Affirmed & Partially Reversed/Remanded on Appeal","Number Completely Reversed/Remanded on Appeal","Number of Appeals Closed for Other Reasons","Total"
"Department of the Treasury","Agency Overall","2013","293","34","7","12","346"
"Federal Maritime Commission","Agency Overall","2013","0","0","0","0","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2013","0","0","0","1","1"
"Department of Labor","Agency Overall","2013","11","55","85","242","393"
"Federal Deposit Insurance Corporation","Agency Overall","2013","23","8","1","2","34"
"National Endowment for the Humanities","Agency Overall","2013","0","0","0","0","0"
"Nuclear Regulatory Commission","Agency Overall","2013","5","2","3","5","15"
"National Transportation Safety Board","Agency Overall","2013","0","2","0","2","4"
"Federal Energy Regulatory Commission","Agency Overall","2013","6","4","1","1","12"
"Federal Trade Commission","Agency Overall","2013","4","5","5","12","26"
"Office of Special Counsel","Agency Overall","2013","6","1","1","0","8"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2013","0","0","0","0","0"
"Consumer Financial Protection Bureau","Agency Overall","2013","12","3","3","2","20"
"Farm Credit Administration","Agency Overall","2013","1","0","0","0","1"
"Small Business Administration","Agency Overall","2013","4","3","5","0","12"
"Office of Personnel Management","Agency Overall","2013","26","6","5","2","39"
"Farm Credit System Insurance Corporation","Agency Overall","2013","0","0","0","0","0"
"National Science Foundation","Agency Overall","2013","3","0","1","0","4"
"Department of Defense","Agency Overall","2013","428","169","99","449","1145"
"United States African Development Foundation","Agency Overall","2013","0","0","0","0","0"
"Surface Transportation Board","Agency Overall","2013","0","0","0","0","0"
"Central Intelligence Agency","Agency Overall","2013","223","29","4","104","360"
"U.S. Agency for Global Media","Agency Overall","2013","2","0","0","0","2"
"Inter-American Foundation","Agency Overall","2013","0","0","0","0","0"
"United States Copyright Office","Agency Overall","2013","0","0","0","0","0"
"U.S. Department of State","Agency Overall","2013","208","86","27","49","370"
"Department of Veterans Affairs","Agency Overall","2013","49","24","5","165","243"
"Office of Management and Budget","Agency Overall","2013","4","0","0","0","4"
"National Indian Gaming Commission","Agency Overall","2013","1","1","1","0","3"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2013","0","0","0","0","0"
"Council on Environmental Quality","Agency Overall","2013","1","0","0","0","1"
"Office of the United States Trade Representative","Agency Overall","2013","0","2","0","0","2"
"Tennessee Valley Authority","Agency Overall","2013","6","1","0","2","9"
"Commodity Futures Trading Commission","Agency Overall","2013","4","0","1","1","6"
"National Railroad Passenger Corporation","Agency Overall","2013","0","1","1","0","2"
"Export-Import Bank of the U.S.","Agency Overall","2013","1","1","0","0","2"
"Department of Energy","Agency Overall","2013","42","15","6","17","80"
"Administrative Conference of the United States","Agency Overall","2013","0","0","0","0","0"
"Department of Education","Agency Overall","2013","10","4","2","4","20"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2013","0","0","0","1","1"
"Federal Election Commission","Agency Overall","2013","0","0","0","1","1"
"All agencies","Agency Overall","2013","5377","1912","1842","2911","12042"
