"Agency","Component","Fiscal Year","Number of Full Grants","Number of Partial Grants/Partial Denials","Number of Full Denials Based on Exemptions","No Records","All Records Referred to Another Component or Agency","Request Withdrawn","Fee-Related Reason","Records Not Reasonably Described","Improper FOIA Request for Other Reason","Not Agency Record","Duplicate Request","Other*","Total"
"Department of Homeland Security","Agency Overall","2013","18840","120300","4378","23942","2121","701","276","660","14378","4879","12647","1210","204332"
"Office of Government Ethics","Agency Overall","2013","16","15","1","9","1","0","0","1","0","0","0","0","43"
"National Archives and Records Administration","Agency Overall","2013","835","598","43","10338","210","55","3","37","94","47","96","897","13253"
"Legal Services Corporation","Agency Overall","2013","13","8","10","5","0","1","0","0","0","0","0","0","37"
"National Mediation Board","Agency Overall","2013","19","0","2","9","2","0","0","0","0","0","0","0","32"
"Office of the Director of National Intelligence","Agency Overall","2013","48","161","28","45","24","0","0","0","0","0","0","68","374"
"Merit Systems Protection Board","Agency Overall","2013","88","51","3","41","3","6","1","1","3","1","4","0","202"
"Office of National Drug Control Policy","Agency Overall","2013","31","0","0","29","0","0","0","0","0","0","0","0","60"
"Department of Housing and Urban Development","Agency Overall","2013","688","346","51","359","460","274","54","29","65","12","62","0","2400"
"National Aeronautics and Space Administration","Agency Overall","2013","209","191","30","99","24","46","68","55","66","35","60","0","883"
"Federal Mediation and Conciliation Service","Agency Overall","2013","38","8","0","24","1","4","1","0","34","1","0","2","113"
"Federal Retirement Thrift Investment Board","Agency Overall","2013","9","7","1","8","0","0","0","0","0","0","0","1","26"
"U.S. Agency for International Development","Agency Overall","2013","60","85","20","39","2","91","7","17","6","7","9","2","345"
"Department of the Treasury","Agency Overall","2013","5336","3626","488","1141","140","359","141","586","2226","283","541","48","14915"
"Federal Maritime Commission","Agency Overall","2013","5","7","1","8","0","2","0","1","0","0","0","0","24"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2013","23","28","0","6","0","2","0","0","0","0","0","0","59"
"Department of Labor","Agency Overall","2013","2926","7336","1622","3689","1079","412","547","78","230","201","673","382","19175"
"Federal Deposit Insurance Corporation","Agency Overall","2013","201","130","53","85","1","48","32","55","36","85","6","12","744"
"National Endowment for the Humanities","Agency Overall","2013","14","12","0","8","0","0","0","0","0","0","0","0","34"
"Nuclear Regulatory Commission","Agency Overall","2013","93","97","21","40","3","47","18","2","1","3","5","40","370"
"National Transportation Safety Board","Agency Overall","2013","36","48","110","40","1","16","1","0","37","8","14","0","311"
"Federal Energy Regulatory Commission","Agency Overall","2013","14","30","27","17","0","10","0","0","0","0","0","1","99"
"Federal Trade Commission","Agency Overall","2013","489","571","33","240","2","50","14","12","6","1","15","10","1443"
"Office of Special Counsel","Agency Overall","2013","12","34","15","15","0","2","0","0","11","40","0","0","129"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2013","1","2","0","1","0","0","0","0","0","0","0","0","4"
"Consumer Financial Protection Bureau","Agency Overall","2013","49","78","17","28","4","15","5","3","2","8","0","0","209"
"Farm Credit Administration","Agency Overall","2013","18","3","1","5","0","2","0","0","0","0","0","0","29"
"Small Business Administration","Agency Overall","2013","4329","180","49","163","28","41","12","28","44","28","12","32","4946"
"Office of Personnel Management","Agency Overall","2013","7618","4459","27","30","1","20","5","2","9","7","1","5","12184"
"Farm Credit System Insurance Corporation","Agency Overall","2013","5","0","0","3","0","0","0","0","0","0","0","0","8"
"National Science Foundation","Agency Overall","2013","28","196","8","38","4","28","0","0","1","0","1","1","305"
"Department of Defense","Agency Overall","2013","24368","15396","5183","6063","6365","2080","814","642","1206","917","1331","3314","67679"
"United States African Development Foundation","Agency Overall","2013","0","0","0","4","0","0","0","0","0","0","0","0","4"
"Surface Transportation Board","Agency Overall","2013","21","3","1","5","1","1","0","0","0","0","0","0","32"
"Central Intelligence Agency","Agency Overall","2013","462","1052","1951","127","119","10","29","174","236","0","0","465","4625"
"U.S. Agency for Global Media","Agency Overall","2013","13","13","3","10","0","0","1","0","5","0","0","0","45"
"Inter-American Foundation","Agency Overall","2013","7","1","1","2","0","0","0","0","0","0","0","0","11"
"United States Copyright Office","Agency Overall","2013","12","3","2","7","9","0","1","0","0","2","0","0","36"
"U.S. Department of State","Agency Overall","2013","3468","4312","7445","658","313","368","28","2091","1516","730","130","38","21097"
"Department of Veterans Affairs","Agency Overall","2013","10468","7900","5791","1175","38","249","148","118","284","36","154","15","26376"
"Office of Management and Budget","Agency Overall","2013","49","29","12","91","0","0","0","0","0","0","0","0","181"
"National Indian Gaming Commission","Agency Overall","2013","8","18","3","6","0","7","1","0","1","0","0","1","45"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2013","166","82","0","0","0","0","0","0","0","0","0","0","248"
"Council on Environmental Quality","Agency Overall","2013","12","8","0","10","0","4","0","0","0","0","0","0","34"
"Office of the United States Trade Representative","Agency Overall","2013","39","8","1","22","2","4","0","6","0","0","0","0","82"
"Tennessee Valley Authority","Agency Overall","2013","49","65","8","20","0","7","12","0","0","0","0","0","161"
"Commodity Futures Trading Commission","Agency Overall","2013","40","58","8","25","0","12","1","1","1","2","0","0","148"
"National Railroad Passenger Corporation","Agency Overall","2013","52","52","16","11","0","11","18","5","7","7","8","0","187"
"Export-Import Bank of the U.S.","Agency Overall","2013","16","20","4","4","0","3","4","0","0","0","0","0","51"
"Department of Energy","Agency Overall","2013","766","409","25","308","258","148","32","18","21","40","21","0","2046"
"Administrative Conference of the United States","Agency Overall","2013","2","1","0","16","0","0","0","0","0","0","0","0","19"
"Department of Education","Agency Overall","2013","573","1222","145","185","58","138","9","56","6","6","23","0","2421"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2013","0","12","4","7","4","3","0","0","0","0","0","0","30"
"Federal Election Commission","Agency Overall","2013","22","22","0","23","1","2","0","0","0","2","1","0","73"
"All agencies","Agency Overall","2013","237682","203295","41380","88409","16679","10288","5140","7410","26941","8874","20446","11847","678391"
