"Agency","Component","Fiscal Year","Simple - Number Pending","Simple - Median Number of Days","Simple - Average Number of Days","Complex - Number Pending","Complex - Median Number of Days","Complex - Average Number of Days","Expedited Processing - Number Pending","Expedited Processing - Median Number of Days","Expedited Processing - Average Number of Days"
"Department of Commerce","Agency Overall","2013","73","6","7","275","117","180","8","78","114"
"U.S. Railroad Retirement Board","Agency Overall","2013","6","24","21","0","N/A","N/A","0","N/A","N/A"
"United States International Trade Commission","Agency Overall","2013","0","N/A","N/A","1","5","5","0","N/A","N/A"
"Securities and Exchange Commission","Agency Overall","2013","479","10","51","6","630","550","2","264","264"
"Department of Transportation","Agency Overall","2013","1059","47","95.043","594","52","111.05","18","117","187.526"
"Millennium Challenge Corporation","Agency Overall","2013","4","3","7","0","N/A","N/A","0","N/A","N/A"
"Social Security Administration","Agency Overall","2013","233","18","17","61","45","64","0","N/A","N/A"
"Department of Health and Human Services","Agency Overall","2013","4387","15","81","3784","138","163","20","28","244"
"Armed Forces Retirement Home","Agency Overall","2013","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Federal Housing Finance Agency","Agency Overall","2013","12","4","45","13","35","65","0","N/A","N/A"
"Occupational Safety and Health Review Commission","Agency Overall","2013","3","9","9","0","N/A","N/A","0","N/A","N/A"
"Department of the Interior","Agency Overall","2013","3","3","3","726","38","137","8","371","409"
"United States Postal Service","Agency Overall","2013","131","24","52.5","66","53","129.36","0","N/A","N/A"
"Defense Nuclear Facilities Safety Board","Agency Overall","2013","3","31","25","0","N/A","N/A","0","N/A","N/A"
"United States International Boundary and Water Commission","Agency Overall","2013","2","26","26","0","N/A","N/A","0","N/A","N/A"
"Federal Financial Institutions Examination Council","Agency Overall","2013","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Institute of Museum and Library Services","Agency Overall","2013","2","5","4.5","0","N/A","N/A","0","N/A","N/A"
"Equal Employment Opportunity Commission","Agency Overall","2013","1127","29","33.97606383","0","N/A","N/A","0","N/A","N/A"
"General Services Administration","Agency Overall","2013","25","19","23.44","133","33","68.16","0","N/A","N/A"
"Recovery Accountability and Transparency Board","Agency Overall","2013","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Department of Homeland Security","Agency Overall","2013","52507","13","51.4345454545455","11701","55","127.831538461538","8","61.21","69.505"
"Office of Government Ethics","Agency Overall","2013","5","3","38","0","N/A","N/A","0","N/A","N/A"
"National Archives and Records Administration","Agency Overall","2013","778","447.5","773.84","2962","931.5","1303.7","1","9","9"
"Legal Services Corporation","Agency Overall","2013","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"National Mediation Board","Agency Overall","2013","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Office of the Director of National Intelligence","Agency Overall","2013","129","268.5","332.53","26","129","287.62","0","N/A","N/A"
"Merit Systems Protection Board","Agency Overall","2013","1","4","4","4","11.5","11.5","0","N/A","N/A"
"Office of National Drug Control Policy","Agency Overall","2013","6","118","117","0","N/A","N/A","0","N/A","N/A"
"Department of Housing and Urban Development","Agency Overall","2013","120","12.75","34.68","177","12","18.71","0","N/A","N/A"
"National Aeronautics and Space Administration","Agency Overall","2013","11","4","6.64","43","19","29.72","0","N/A","N/A"
"Federal Mediation and Conciliation Service","Agency Overall","2013","1","3","3","1","N/A","N/A","0","N/A","N/A"
"Federal Retirement Thrift Investment Board","Agency Overall","2013","3","29","22","0","N/A","N/A","0","N/A","N/A"
"U.S. Agency for International Development","Agency Overall","2013","10","49","62.7","227","177","270.06","0","N/A","N/A"
"Department of the Treasury","Agency Overall","2013","154","66","66.49","1003","13","29.18","30","8","70.33"
"Federal Maritime Commission","Agency Overall","2013","0","N/A","N/A","18","337.5","287.9","0","N/A","N/A"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2013","3","9","17","3","198","174","0","N/A","N/A"
"Department of Labor","Agency Overall","2013","108","24","46.9","1074","22","53.7","8","15.5","33.9"
"Federal Deposit Insurance Corporation","Agency Overall","2013","22","5.5","6","2","28","28","0","N/A","N/A"
"National Endowment for the Humanities","Agency Overall","2013","0","N/A","N/A","1","34","34","0","N/A","N/A"
"Nuclear Regulatory Commission","Agency Overall","2013","5","7","8","79","145","216","11","610","564"
"National Transportation Safety Board","Agency Overall","2013","12","14.5","81","331","161","187","0","N/A","N/A"
"Federal Energy Regulatory Commission","Agency Overall","2013","6","7","7.5","9","23","77","0","N/A","N/A"
"Federal Trade Commission","Agency Overall","2013","2","11","11","9","11","50","0","N/A","N/A"
"Office of Special Counsel","Agency Overall","2013","29","172","196","96","261","292","7","163","201"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2013","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Consumer Financial Protection Bureau","Agency Overall","2013","4","4","9","7","10","17","0","N/A","N/A"
"Farm Credit Administration","Agency Overall","2013","1","11","11","0","N/A","N/A","0","N/A","N/A"
"Small Business Administration","Agency Overall","2013","30","3","5.6","0","N/A","N/A","0","N/A","N/A"
"Office of Personnel Management","Agency Overall","2013","73","41","56","474","20","22","0","N/A","N/A"
"Farm Credit System Insurance Corporation","Agency Overall","2013","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"National Science Foundation","Agency Overall","2013","144","117","240","0","N/A","N/A","0","N/A","N/A"
"Department of Defense","Agency Overall","2013","1268","N/A","27","6950","N/A","402","36","N/A","87"
"United States African Development Foundation","Agency Overall","2013","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Surface Transportation Board","Agency Overall","2013","1","3","3","0","N/A","N/A","0","N/A","N/A"
"Central Intelligence Agency","Agency Overall","2013","279","22.5","222.51","710","196","344.07","4","1072.5","987.25"
"U.S. Agency for Global Media","Agency Overall","2013","0","N/A","N/A","17","71","69","0","N/A","N/A"
"Inter-American Foundation","Agency Overall","2013","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"United States Copyright Office","Agency Overall","2013","3","57","144.3","0","N/A","N/A","0","N/A","N/A"
"U.S. Department of State","Agency Overall","2013","1367","150","318","7444","285.7","517.7","11","171","526"
"Department of Veterans Affairs","Agency Overall","2013","564","10","40","1199","63","95","2","76.5","76"
"Office of Management and Budget","Agency Overall","2013","61","58","83","0","N/A","N/A","0","N/A","N/A"
"National Indian Gaming Commission","Agency Overall","2013","24","107","159","9","145","262","0","N/A","N/A"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2013","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Council on Environmental Quality","Agency Overall","2013","21","134","160","5","119","151","0","N/A","N/A"
"Office of the United States Trade Representative","Agency Overall","2013","0","N/A","N/A","35","21","121","0","N/A","N/A"
"Tennessee Valley Authority","Agency Overall","2013","11","5","7.4","11","60","184.7","0","N/A","N/A"
"Commodity Futures Trading Commission","Agency Overall","2013","7","35","65","13","289","194","0","N/A","N/A"
"National Railroad Passenger Corporation","Agency Overall","2013","1","3","3","24","61","90","0","N/A","N/A"
"Export-Import Bank of the U.S.","Agency Overall","2013","14","132","173","24","265","255.96","0","N/A","N/A"
"Department of Energy","Agency Overall","2013","203","396","387.15","378","278","372.17","0","N/A","N/A"
"Administrative Conference of the United States","Agency Overall","2013","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Department of Education","Agency Overall","2013","77","21","67","265","47","88","1","437","437"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2013","1","43","43","0","N/A","N/A","0","N/A","N/A"
"Federal Election Commission","Agency Overall","2013","16","12.5","17.4","6","213.5","271.5","0","N/A","N/A"
"All agencies","Agency Overall","2013","73260","N/A","N/A","47572","N/A","N/A","281","N/A","N/A"
