"Agency","Component","Fiscal Year","Number of Consultations Received from Other Agencies that were Pending at the Agency as of Start of the Fiscal Year","Number of Consultations Received from Other Agencies During the Fiscal Year","Number of Consultations Received from Other Agencies that were Processed by the Agency During the Fiscal Year","Number of Consultations Received from Other Agencies that were Pending at the Agency as of End of the Fiscal Year"
"Federal Financial Institutions Examination Council","Agency Overall","2013","0","0","0","0"
"Institute of Museum and Library Services","Agency Overall","2013","0","0","0","0"
"Equal Employment Opportunity Commission","Agency Overall","2013","0","0","0","0"
"General Services Administration","Agency Overall","2013","0","0","0","0"
"Recovery Accountability and Transparency Board","Agency Overall","2013","0","0","0","0"
"Department of Homeland Security","Agency Overall","2013","44","318","248","114"
"Office of Government Ethics","Agency Overall","2013","0","0","0","0"
"National Archives and Records Administration","Agency Overall","2013","0","2","2","0"
"Legal Services Corporation","Agency Overall","2013","0","0","0","0"
"National Mediation Board","Agency Overall","2013","0","0","0","0"
"Office of the Director of National Intelligence","Agency Overall","2013","2","9","11","0"
"Merit Systems Protection Board","Agency Overall","2013","0","0","0","0"
"Office of National Drug Control Policy","Agency Overall","2013","0","0","0","0"
"Department of Housing and Urban Development","Agency Overall","2013","0","6","6","0"
"National Aeronautics and Space Administration","Agency Overall","2013","3","14","16","1"
"Federal Mediation and Conciliation Service","Agency Overall","2013","0","0","0","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2013","1","0","1","0"
"U.S. Agency for International Development","Agency Overall","2013","3","19","14","8"
"Department of the Treasury","Agency Overall","2013","28","232","215","45"
"Federal Maritime Commission","Agency Overall","2013","0","0","0","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2013","0","0","0","0"
"Department of Labor","Agency Overall","2013","5","90","91","4"
"Federal Deposit Insurance Corporation","Agency Overall","2013","0","4","3","1"
"National Endowment for the Humanities","Agency Overall","2013","0","0","0","0"
"Nuclear Regulatory Commission","Agency Overall","2013","0","7","5","2"
"National Transportation Safety Board","Agency Overall","2013","0","0","0","0"
"Federal Energy Regulatory Commission","Agency Overall","2013","0","2","2","0"
"Federal Trade Commission","Agency Overall","2013","0","1","1","0"
"Office of Special Counsel","Agency Overall","2013","0","2","2","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2013","0","0","0","0"
"Consumer Financial Protection Bureau","Agency Overall","2013","0","0","0","0"
"Farm Credit Administration","Agency Overall","2013","0","0","0","0"
"Small Business Administration","Agency Overall","2013","0","4","4","0"
"Office of Personnel Management","Agency Overall","2013","1","18","19","0"
"Farm Credit System Insurance Corporation","Agency Overall","2013","0","0","0","0"
"National Science Foundation","Agency Overall","2013","0","1","1","0"
"Department of Defense","Agency Overall","2013","1016","1993","1952","1057"
"United States African Development Foundation","Agency Overall","2013","0","0","0","0"
"Surface Transportation Board","Agency Overall","2013","0","1","1","0"
"Central Intelligence Agency","Agency Overall","2013","348","1005","1138","215"
"U.S. Agency for Global Media","Agency Overall","2013","0","0","0","0"
"Inter-American Foundation","Agency Overall","2013","0","0","0","0"
"United States Copyright Office","Agency Overall","2013","0","0","0","0"
"U.S. Department of State","Agency Overall","2013","4500","11012","13810","1702"
"Department of Veterans Affairs","Agency Overall","2013","1","0","1","0"
"Office of Management and Budget","Agency Overall","2013","2","24","24","2"
"National Indian Gaming Commission","Agency Overall","2013","0","0","0","0"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2013","0","0","0","0"
"Council on Environmental Quality","Agency Overall","2013","2","15","0","17"
"Office of the United States Trade Representative","Agency Overall","2013","8","7","10","5"
"Tennessee Valley Authority","Agency Overall","2013","0","6","5","1"
"Commodity Futures Trading Commission","Agency Overall","2013","0","0","0","0"
"National Railroad Passenger Corporation","Agency Overall","2013","0","0","0","0"
"Export-Import Bank of the U.S.","Agency Overall","2013","0","0","0","0"
"Department of Energy","Agency Overall","2013","107","264","257","114"
"Administrative Conference of the United States","Agency Overall","2013","0","0","0","0"
"Department of Education","Agency Overall","2013","0","0","0","0"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2013","0","0","0","0"
"Federal Election Commission","Agency Overall","2013","0","1","1","0"
"All agencies","Agency Overall","2013","6180","16047","18730","3497"
