"Agency","Component","Fiscal Year","Ex. 1","Ex. 2","Ex. 3","Ex. 4","Ex. 5","Ex. 6","Ex. 7(A)","Ex. 7(B)","Ex. 7(C)","Ex. 7(D)","Ex. 7(E)","Ex. 7(F)","Ex. 8","Ex. 9"
"Institute of Museum and Library Services","Agency Overall","2013","0","0","0","0","1","1","0","0","0","0","0","0","0","0"
"Equal Employment Opportunity Commission","Agency Overall","2013","0","0","148","0","101","9","31","0","82","1","1","0","0","0"
"General Services Administration","Agency Overall","2013","0","0","0","4","2","3","0","0","0","0","0","0","0","0"
"Recovery Accountability and Transparency Board","Agency Overall","2013","0","0","0","0","0","1","0","0","1","0","0","0","0","0"
"Department of Homeland Security","Agency Overall","2013","4","11","69","33","714","1152","32","0","1310","3","1270","7","0","0"
"Office of Government Ethics","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Archives and Records Administration","Agency Overall","2013","2","0","4","1","3","12","0","0","7","10","4","0","0","0"
"Legal Services Corporation","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Mediation Board","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of the Director of National Intelligence","Agency Overall","2013","3","0","3","0","0","0","0","0","0","0","0","0","0","0"
"Merit Systems Protection Board","Agency Overall","2013","0","0","0","1","0","1","0","0","0","0","0","0","0","0"
"Office of National Drug Control Policy","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Housing and Urban Development","Agency Overall","2013","0","0","0","2","4","2","0","0","0","0","0","0","0","0"
"National Aeronautics and Space Administration","Agency Overall","2013","0","0","1","3","3","0","0","0","0","0","0","0","0","0"
"Federal Mediation and Conciliation Service","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2013","0","0","0","6","0","1","0","0","0","0","1","0","0","0"
"U.S. Agency for International Development","Agency Overall","2013","0","0","0","7","6","9","1","0","0","0","0","0","0","0"
"Department of the Treasury","Agency Overall","2013","0","2","108","14","26","55","5","3","39","5","11","0","10","0"
"Federal Maritime Commission","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Labor","Agency Overall","2013","0","0","0","8","4","3","6","0","37","13","2","0","0","0"
"Federal Deposit Insurance Corporation","Agency Overall","2013","0","0","0","1","2","3","0","0","0","0","0","0","1","0"
"National Endowment for the Humanities","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nuclear Regulatory Commission","Agency Overall","2013","0","0","0","0","1","1","1","0","0","0","0","1","0","0"
"National Transportation Safety Board","Agency Overall","2013","0","0","0","0","2","1","0","0","0","0","0","0","0","0"
"Federal Energy Regulatory Commission","Agency Overall","2013","0","0","1","3","4","2","1","0","0","0","0","3","0","0"
"Federal Trade Commission","Agency Overall","2013","0","0","6","3","5","3","1","0","1","2","1","0","0","0"
"Office of Special Counsel","Agency Overall","2013","0","0","0","0","1","1","0","0","4","0","0","0","0","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Consumer Financial Protection Bureau","Agency Overall","2013","0","0","0","1","4","10","1","0","0","0","0","0","0","0"
"Farm Credit Administration","Agency Overall","2013","0","0","0","0","1","1","0","0","0","0","0","0","1","0"
"Small Business Administration","Agency Overall","2013","0","0","0","2","1","4","0","0","0","0","0","0","0","0"
"Office of Personnel Management","Agency Overall","2013","0","0","0","0","0","15","0","0","4","0","1","0","0","0"
"Farm Credit System Insurance Corporation","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Science Foundation","Agency Overall","2013","0","0","0","0","1","1","0","0","1","0","0","0","0","0"
"Department of Defense","Agency Overall","2013","199","3","219","18","94","170","15","0","63","8","10","4","0","0"
"United States African Development Foundation","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Surface Transportation Board","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Central Intelligence Agency","Agency Overall","2013","34","1","34","0","1","3","0","0","0","0","0","0","0","0"
"U.S. Agency for Global Media","Agency Overall","2013","0","0","0","0","1","1","0","0","0","0","0","0","0","0"
"Inter-American Foundation","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States Copyright Office","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Department of State","Agency Overall","2013","81","2","137","3","22","43","3","0","5","1","3","0","0","0"
"Department of Veterans Affairs","Agency Overall","2013","0","0","19","5","18","64","0","0","17","0","1","1","0","0"
"Office of Management and Budget","Agency Overall","2013","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"National Indian Gaming Commission","Agency Overall","2013","0","0","0","1","1","1","0","0","1","1","1","0","0","0"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Council on Environmental Quality","Agency Overall","2013","0","0","0","0","1","1","0","0","0","0","0","0","0","0"
"Office of the United States Trade Representative","Agency Overall","2013","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"Tennessee Valley Authority","Agency Overall","2013","0","0","0","7","7","2","0","0","0","0","0","0","0","0"
"Commodity Futures Trading Commission","Agency Overall","2013","0","0","1","1","1","1","1","0","0","0","0","0","0","0"
"National Railroad Passenger Corporation","Agency Overall","2013","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"Export-Import Bank of the U.S.","Agency Overall","2013","0","0","0","1","1","0","0","0","0","0","0","0","0","0"
"Department of Energy","Agency Overall","2013","0","0","2","14","8","19","2","0","1","0","0","0","0","0"
"Administrative Conference of the United States","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Education","Agency Overall","2013","0","0","0","0","6","2","0","0","1","1","1","0","0","0"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Election Commission","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"All agencies","Agency Overall","2013","388","27","938","235","1348","2377","275","6","2339","236","1872","158","45","0"
