"Agency","Component","Fiscal Year","Number Received During Fiscal Year from Last Year's Annual Report","Number Received During Fiscal Year from Current Annual Report","Number Processed During Fiscal Year from Last Year's Annual Report","Number Processed During Fiscal Year from Current Annual Report"
"Federal Retirement Thrift Investment Board","Agency Overall","2013","16","25","12","26"
"U.S. Agency for International Development","Agency Overall","2013","265","372","294","345"
"Department of the Treasury","Agency Overall","2013","16426","15040","16529","14915"
"Federal Maritime Commission","Agency Overall","2013","30","26","50","24"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2013","55","46","43","59"
"Department of Labor","Agency Overall","2013","18560","18755","19224","19175"
"Federal Deposit Insurance Corporation","Agency Overall","2013","931","732","943","744"
"National Endowment for the Humanities","Agency Overall","2013","34","35","37","34"
"Nuclear Regulatory Commission","Agency Overall","2013","334","357","293","370"
"National Transportation Safety Board","Agency Overall","2013","294","466","185","311"
"Federal Energy Regulatory Commission","Agency Overall","2013","74","100","65","99"
"Federal Trade Commission","Agency Overall","2013","1415","1447","1438","1443"
"Office of Special Counsel","Agency Overall","2013","135","149","76","129"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2013","11","4","12","4"
"Consumer Financial Protection Bureau","Agency Overall","2013","184","204","176","209"
"Farm Credit Administration","Agency Overall","2013","34","29","35","29"
"Small Business Administration","Agency Overall","2013","3870","4933","3848","4946"
"Office of Personnel Management","Agency Overall","2013","9519","11188","10610","12184"
"Farm Credit System Insurance Corporation","Agency Overall","2013","7","8","8","8"
"National Science Foundation","Agency Overall","2013","428","378","415","305"
"Department of Defense","Agency Overall","2013","66080","68014","66652","67679"
"United States African Development Foundation","Agency Overall","2013","4","4","4","4"
"Surface Transportation Board","Agency Overall","2013","30","34","30","32"
"Central Intelligence Agency","Agency Overall","2013","3745","4573","3586","4625"
"U.S. Agency for Global Media","Agency Overall","2013","40","58","38","45"
"Inter-American Foundation","Agency Overall","2013","9","11","10","11"
"United States Copyright Office","Agency Overall","2013","37","35","38","36"
"U.S. Department of State","Agency Overall","2013","18521","18753","15343","21097"
"Department of Veterans Affairs","Agency Overall","2013","25194","25647","24563","26376"
"Office of Management and Budget","Agency Overall","2013","191","222","207","181"
"National Indian Gaming Commission","Agency Overall","2013","55","50","42","45"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2013","117","248","117","248"
"Council on Environmental Quality","Agency Overall","2013","50","64","58","34"
"Office of the United States Trade Representative","Agency Overall","2013","66","97","59","82"
"Tennessee Valley Authority","Agency Overall","2013","188","162","178","161"
"Commodity Futures Trading Commission","Agency Overall","2013","175","122","170","148"
"National Railroad Passenger Corporation","Agency Overall","2013","197","179","219","187"
"Export-Import Bank of the U.S.","Agency Overall","2013","62","45","47","51"
"Department of Energy","Agency Overall","2013","2252","2078","2258","2046"
"Administrative Conference of the United States","Agency Overall","2013","15","19","15","19"
"Department of Education","Agency Overall","2013","2243","2415","2352","2421"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2013","10","30","11","30"
"Federal Election Commission","Agency Overall","2013","60","87","66","73"
"All agencies","Agency Overall","2013","651764","704394","665719","678391"
