"Agency","Component","Fiscal Year","Number Granted","Number Denied","Median Number of Days to Adjudicate","Average Number of Days to Adjudicate","Number Adjudicated Within Ten Calendar Days"
"Federal Energy Regulatory Commission","Agency Overall","2013","0","10","7.5","7.7","10"
"Federal Trade Commission","Agency Overall","2013","1","31","3","4.94","29"
"Office of Special Counsel","Agency Overall","2013","6","5","7","97.18","6"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2013","0","0","0","0","0"
"Consumer Financial Protection Bureau","Agency Overall","2013","0","8","1","0.62","8"
"Farm Credit Administration","Agency Overall","2013","1","0","2","2","1"
"Small Business Administration","Agency Overall","2013","0","4","5","8","4"
"Office of Personnel Management","Agency Overall","2013","67","16","1","1","83"
"Farm Credit System Insurance Corporation","Agency Overall","2013","0","0","0","0","0"
"National Science Foundation","Agency Overall","2013","0","1","10","10","1"
"Department of Defense","Agency Overall","2013","267","747","0","5","920"
"United States African Development Foundation","Agency Overall","2013","0","0","0","0","0"
"Surface Transportation Board","Agency Overall","2013","0","0","0","0","0"
"Central Intelligence Agency","Agency Overall","2013","0","3","9","10","2"
"U.S. Agency for Global Media","Agency Overall","2013","0","1","12","12","0"
"Inter-American Foundation","Agency Overall","2013","0","0","0","0","0"
"United States Copyright Office","Agency Overall","2013","0","0","0","0","0"
"U.S. Department of State","Agency Overall","2013","12","332","5","6","297"
"Department of Veterans Affairs","Agency Overall","2013","43","87","0.5","6.59","111"
"Office of Management and Budget","Agency Overall","2013","0","0","0","0","0"
"National Indian Gaming Commission","Agency Overall","2013","0","2","20.5","20.5","0"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2013","0","0","0","0","0"
"Council on Environmental Quality","Agency Overall","2013","2","2","49","116","0"
"Office of the United States Trade Representative","Agency Overall","2013","0","2","11","11","0"
"Tennessee Valley Authority","Agency Overall","2013","0","1","6","6","1"
"Commodity Futures Trading Commission","Agency Overall","2013","0","1","10","10","1"
"National Railroad Passenger Corporation","Agency Overall","2013","3","0","1","1","3"
"Export-Import Bank of the U.S.","Agency Overall","2013","0","1","41","41","0"
"Department of Energy","Agency Overall","2013","11","98","4","7.06","88"
"Administrative Conference of the United States","Agency Overall","2013","0","0","0","0","0"
"Department of Education","Agency Overall","2013","4","3","6.5","6.86","6"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2013","0","0","0","0","0"
"Federal Election Commission","Agency Overall","2013","0","7","3","3","7"
"All agencies","Agency Overall","2013","1129","6689","N/A","N/A","6597"
