"Agency","Component","Fiscal Year","Number of Appeals Pending as of Start of Fiscal Year","Number of Appeals Received in Fiscal Year","Number of Appeals Processed in Fiscal Year","Number of Appeals Pending as of End of Fiscal Year"
"U.S. Commission on Civil Rights","Agency Overall","2010","0","0","0","0"
"Social Security Administration","Agency Overall","2010","9","155","148","16"
"Department of the Treasury","Agency Overall","2010","108","372","400","80"
"National Science Foundation","Agency Overall","2010","0","6","5","1"
"Office of Management and Budget","Agency Overall","2010","0","7","7","0"
"Merit Systems Protection Board","Agency Overall","2010","0","7","7","0"
"National Aeronautics and Space Administration","Agency Overall","2010","1","33","32","2"
"Export-Import Bank of the U.S.","Agency Overall","2010","0","2","2","0"
"Department of the Interior","Agency Overall","2010","443","151","304","290"
"Nuclear Regulatory Commission","Agency Overall","2010","5","24","28","1"
"Farm Credit System Insurance Corporation","Agency Overall","2010","0","0","0","0"
"Office of Special Counsel","Agency Overall","2010","12","14","19","7"
"Selective Service System","Agency Overall","2010","0","0","0","0"
"Federal Labor Relations Authority","Agency Overall","2010","0","3","1","2"
"Legal Services Corporation","Agency Overall","2010","0","0","0","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2010","0","0","0","0"
"National Railroad Passenger Corporation","Agency Overall","2010","1","5","4","2"
"Department of Defense","Agency Overall","2010","647","1107","1023","731"
"United States International Trade Commission","Agency Overall","2010","0","1","1","0"
"Office of National Drug Control Policy","Agency Overall","2010","0","0","0","0"
"United States Postal Service","Agency Overall","2010","1","154","151","1"
"General Services Administration","Agency Overall","2010","0","23","21","2"
"Federal Maritime Commission","Agency Overall","2010","1","1","1","1"
"National Credit Union Administration","Agency Overall","2010","2","12","12","2"
"Office of the Director of National Intelligence","Agency Overall","2010","0","7","4","3"
"Court Services and Offender Supervision Agency","Agency Overall","2010","0","0","0","0"
"Department of Health and Human Services","Agency Overall","2010","417","194","369","242"
"National Transportation Safety Board","Agency Overall","2010","3","5","7","1"
"U.S. Railroad Retirement Board","Agency Overall","2010","0","3","3","0"
"U.S. Agency for Global Media","Agency Overall","2010","0","2","2","0"
"Federal Election Commission","Agency Overall","2010","1","2","0","3"
"National Mediation Board","Agency Overall","2010","0","2","2","0"
"National Indian Gaming Commission","Agency Overall","2010","0","2","2","0"
"U.S. Department of State","Agency Overall","2010","501","174","320","355"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2010","0","0","0","0"
"Equal Employment Opportunity Commission","Agency Overall","2010","30","313","302","41"
"United States African Development Foundation","Agency Overall","2010","0","0","0","0"
"American Battle Monuments Commission","Agency Overall","2010","0","0","0","0"
"Office of Science and Technology Policy","Agency Overall","2010","0","1","1","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2010","0","0","0","0"
"Federal Financial Institutions Examination Council","Agency Overall","2010","0","0","0","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2010","0","4","3","1"
"Federal Communications Commission","Agency Overall","2010","8","21","16","13"
"Tennessee Valley Authority","Agency Overall","2010","0","4","4","0"
"Office of Government Ethics","Agency Overall","2010","0","4","4","0"
"Federal Trade Commission","Agency Overall","2010","1","12","13","0"
"All agencies","Agency Overall","2010","7248","10948","13973","4220"
