"Agency","Component","Fiscal Year","Statute","Case Citation","Type of Information Withheld","Number of Times Relied Upon"
"Department of Energy","Agency Overall","2010","42 U.S.C. 2161","Meeropol v. Smith, No. 75-1121, slip op. at 53-55 (D.D.C. Feb. 29, 1984), aff'd in relevant part & remanded in part on other grounds sub nom, Meeropol v. Meese, 790 F.2d 942 (D.C. Cir. 1986).","information that is classified as Restricted Data, Formerly Restricted Data, or Unclassified Controlled Nuclear Information.","21"
"Department of Energy","Agency Overall","2010","5 U.S.C. App. 4 § 105","Meyerhoff v. EPA, 958 F .2d 1498, 1500-02 (9th Cir. 1992); Concepcion v. FBI, 606 F. Supp. 2d 14, 33 (D.D.C. 2009).","Agency withheld financial disclosure reports","1"
"Department of Energy","Agency Overall","2010","35 U.S.C. 181","","Patent Information","1"
"Department of Energy","Agency Overall","2010","41 USC §423(a)(1)","","Contractor performance evaluations","6"
"National Archives and Records Administration","Agency Overall","2010","10 U.S.C. 424","Miller v. DOJ, 562 F. Supp. 2d 82, 112 (D.D.C. 2008); Wickwire Gavin, P.C. v. Def. Intelligence Agency, 330 F. Supp. 2d 592, 602 (E.D. Va 2004).","Organization or any function of, and certain information pertaining to, employees of the Defense Intelligence Agency, the National Reconnaissance Office, and the National Geospatial-Intelligence Agency","1"
"National Archives and Records Administration","Agency Overall","2010","18 U.S.C. 2510-20 (Title III of the Omnibus Crime Control and Safe Streets Act)","Mendoza v. DEA, No. 07-5006, 2007 U.S. App. LEXUS 22175 (D.C. Cir. Sept. 14, 2007)(per curiam); Lam Lek Chong v. DEA, 929 F.2d 729, 733 (D.C. Cir. 1991); Payne v. DOJ, No. 96-30840, slip op. at 5-6 (5th Cir. July 11, 1997).","Wiretap requests and the contents of any wire, oral, or electronic communication obtained through wiretaps","1"
"National Archives and Records Administration","Agency Overall","2010","50 U.S.C. 403g (Central Intelligence Agency Act of 1949)","Larson v. Dep't of State, 565 F.3d 857, 865 n.2 (D.C. Cir. 2009); Berman v. CIA, 501 F.3d 1136, 1137-38, 1140 (9th Cir. 2007); Makky v. Chertoff, 489 F. Supp. 2d 421, 442 (D.N.J. 2007), aff'd on other grounds, 541 F. 3d 205 (3d Cir. 2008)","Intelligence sources and methods; certain information pertaining to Agency employees, specifically: ""the organization, functions, names, official titles, salaries, or numbers of personnel employed by the Agency""","14"
"National Archives and Records Administration","Agency Overall","2010","50 U.S.C. 421 (Intelligence Identies Protection Act of 1982)","None","Identities of US Undercover Intelligence Officers, Agents, Informants and Sources","2"
"National Archives and Records Administration","Agency Overall","2010","10 U.S.C. 128","None","Authority to Withhold Unclassified Special Nuclear Weapons Information","1"
"National Archives and Records Administration","Agency Overall","2010","41 U.S.C. 253(b)(m)(1)","Hornbostel v. US Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 203)","Protects Information under the National Defense Authorization Act.","2"
"National Archives and Records Administration","Agency Overall","2010","42 U.S.C. 2168(a)(1)(c) (FRD)","Meeropol v. Smith, No. 75-1121, slip. At 53-55 (D.D.C. Feb. 29 1984).","Restricted and Formerly Restricted Data (A.E. of 1954)","1"
"Department of Labor","Agency Overall","2010","103 (g) (1) Federal Mine Safety and Health Act of 1977, Section 103(g), [30 USC 813(g)]","None","Complaint Information","5"
"Department of Labor","Agency Overall","2010","312(b) Federal Mine Safety and Health Act of 1997, Section 323(b), 30 USC 872(b)","None","Mine Maps","1"
"Department of Labor","Agency Overall","2010","Fed. R. Crim. P. 6(e), enacted by Act of July 30, 1997, Pub. L. 98-78, 91 Stat. 319","Sussman v. USMC, 494 F. 3d 1106, 1113 (D.C. Cir. 2007); Fund for Constitutional Gov't. v. NARS, 656 F.2d 856, 867-68 (D.C. Cir. 1981)","Grand Jury","1"
"Department of Labor","Agency Overall","2010","Confidential Information Protection and Statistical Efficiency Act of 2002, Title V of Public Law 107-347","None","Confidential Respondent Data to BLS Survey","8"
"Department of Labor","Agency Overall","2010","Occupational Safety and Health Act of 1970, 29 USC 666(f)","None","Advance Notice of Inspection","81"
"Small Business Administration","Agency Overall","2010","26 U.S.C. 6103","Church of Scientology v. IRS, 484 U.S. 9, 15 (1987)","tax return information","4"
"National Endowment for the Arts","Agency Overall","2010","5 U.S.C. 552a","N/A","Grant applications submitted by individuals","2"
"Federal Energy Regulatory Commission","Agency Overall","2010","16 U.S.C. § 470hh(a)](1994)","None","Archaeological survey data and resource reports.","5"
"Surface Transportation Board","Agency Overall","2010","None","0","0","0"
"Federal Mediation and Conciliation Service","Agency Overall","2010","0","N/A","0","0"
"Federal Deposit Insurance Corporation","Agency Overall","2010","0","N/A","0","0"
"Millennium Challenge Corporation","Agency Overall","2010","N/A","N/A","N/A","0"
"Council on Environmental Quality","Agency Overall","2010","0","N/A","0","0"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2010","0","N/A","0","0"
"Postal Regulatory Commission","Agency Overall","2010","0","N/A","0","0"
"Occupational Safety and Health Review Commission","Agency Overall","2010","26 USC 6103","Church of Scientology v. IRS, 484 U.S. 9, 15 (1987)","Tax Records","1"
"Department of Transportation","Agency Overall","2010","5 U.S.C. app. 107(a)","Meyerhoff v. EPA, 958 F.2d 1498, 1500-02 (9th Cir. 1992); Concepcion v. FBI, 606 F. Supp. 2d 14, 33 (D.D.C. 2009)","Confidential financial disclosure reports","1"
"Department of Transportation","Agency Overall","2010","5 U.S.C. 7301 (note), 503(e), PL 100-71","N/A","Results of drug tests of Federal employees","1"
"Department of Transportation","Agency Overall","2010","Rule 6(e), FRCrP","N/A","Grand jury material","2"
"Department of Transportation","Agency Overall","2010","41 U.S.C. 253b(m)","Hornbostel v. DOI, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004)","Contract proposals not incorporated into contracts","8"
"Department of Transportation","Agency Overall","2010","41 U.S.C. 423(b) and (e)(1)","N/A","Procurement integrity information","1"
"Department of Transportation","Agency Overall","2010","49 U.S.C. 31143(b)","N/A","Identity of motor carrier safety complainants","88"
"Department of Transportation","Agency Overall","2010","49 U.S.C. 40110(e)","N/A","Contract proposal not incorporated into contract","5"
"Department of Transportation","Agency Overall","2010","49 U.S.C. 40115","N/A","Information harmful to U.S. international aviation negotiation or to any U.S. international carrier","3"
"Department of Transportation","Agency Overall","2010","49 U.S.C. 40119","Pub. Citizen, Inc. v. FAA, 988 F.2d 186, 194 (D.C. Cir. 1993); Gordon v. FBI, 390 F. Supp. 2d 897, 900 (N.D. Cal. 2004)","Certain information obtained or developed in ensuring transportation security if disclosure of that information would:  constitute an invasion of personal privacy, reveal a trade secret or confidential commercial or financial information, or be detrimental to transportation safety","50"
"Department of Transportation","Agency Overall","2010","49 U.S.C. 40123(a)","N/A","Aviation Safety Action Program voluntarily submitted information","23"
"National Endowment for the Humanities","Agency Overall","2010","0","N/A","0","0"
"Administrative Conference of the United States","Agency Overall","2010","N/A","N/A","N/A","0"
"Department of Commerce","Agency Overall","2010","50 U.S.C. Sec. 2411 (c) Export Adminsitration Act of 1979 Sec. 12(c)","Export Information Twin Coast Newspapers, Inc. v Dept. of Commerce, No. 78-0978 (D.D.C. Nov. 6, 1979)","Information concerning exporting license applications.","26"
"Department of Commerce","Agency Overall","2010","35 U.S.C. § 122","Irons & Sears v Dann, 606 F.2d 1215, 1220 (D.C. Cir.1979)","Information concerning patent applications","8"
"Department of Commerce","Agency Overall","2010","13 U.S.C. § 9","Baldrige v Shapiro, 455 U.S, 355 (1982)","Information collected by the Bureau of the Census","18"
"Department of Commerce","Agency Overall","2010","5 U.S.C. appendix 105, Ethics in Govt. Act of 1978","Meyerhoff v EPA 958 Fed 2 1497 9th Circuit (1992)","Financial Disclosure Information","2"
"Department of Commerce","Agency Overall","2010","15 U.S.C. 7301","No Case","Information received in the course of investigations regarding building failures","5"
"Department of Commerce","Agency Overall","2010","13 U.S.C. § 301(g)","Young Conservative Found v Dept. of Commerce, No. 85-3982 (D.D.C. March 25, 1987)","Shippers’ Export Declarations","3"
"Department of Commerce","Agency Overall","2010","41 U.S.C. § 253 423","Hornbostel v Dept. of Interior, 305 F. Supp. 2d 21 (D.D.C. 2003)","Proposal not set forth or incorporated by reference in a contract","20"
"Department of Commerce","Agency Overall","2010","16 U.S.C. § 1881(a)","No Case","Magnuson-Stevens Fishery Conservation and Management Act – pertains to statistical information contained in fishery management plans.","12"
"Department of Commerce","Agency Overall","2010","26 U.S.C.§ 6103","White v IRS, 707F.2d 897 (6th Cir. 1983)","Prohibits disclosure of tax returns and tax information.","1"
"Farm Credit Administration","Agency Overall","2010","0","N/A","0","0"
"United States Trade and Development Agency","Agency Overall","2010","26 U.S.C. 6103","Aronson v. IRS, 973 F.2d 962, 966-67 (1st Cir. 1992)","Taxpayer Identification Number","1"
"United States International Boundary and Water Commission","Agency Overall","2010","0","N/A","0","0"
"Institute of Museum and Library Services","Agency Overall","2010","0","N/A","0","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2010","0","N/A","0","0"
"United States Copyright Office","Agency Overall","2010","0","N/A","0","0"
"National Capital Planning Commission","Agency Overall","2010","N/A","N/A","N/A","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2010","None","Not Applicable","Not Applicable","0"
"Federal Open Market Committee","Agency Overall","2010","0","N/A","0","0"
"Department of Veterans Affairs","Agency Overall","2010","5 U.S.C. App 3 (IG Act)","","Names or employees who provide information or complaints to the Inspector General.","1"
"Department of Veterans Affairs","Agency Overall","2010","41 U.S.C. 253b(m)","Hornbostel v. United States Department of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003)","Prohibits the release of contractor proposals submitted to an agency during the course of federal procurements of property or services.","36"
"Department of Veterans Affairs","Agency Overall","2010","38 U.S.C. 5701","Ashton v. VA, 1999 U.S. App. LEXIS 22957 (2d Cir. 1999)","Records pertaining to any claim filed with the Department for names and addresses of present and former members of the Armed Forces and their dependents.","774"
"Department of Veterans Affairs","Agency Overall","2010","38 U.S.C. 5705","Schulte & Sun-Sentinel Co. v. VA, No. 86-6251, slip op. at 3-4, 12 (S.D. Fla. Feb. 2, 1996)","Records created as part of a medical quality assurance program.","51"
"Department of Veterans Affairs","Agency Overall","2010","38 U.S.C. 7332","Palmer v. Derwinski, No. 91-197, slip op. at 3-4 (E.D. Ky, June 10, 1992)","Records of the identity, diagnosis, prognosis, or treatment of any patient or subject which are maintained in connection with the performance of any patient or subject which are maintained in connection with the performance of any program or activity relating to drug abuse, alcoholism, or alcohol abuse, infection with the human immunodeficiency virus (HIV) or sickle cell anemia.","1692"
"Department of Veterans Affairs","Agency Overall","2010","35 U.S.C. 205","","Federal agencies are authorized to withhold from disclosure to the public information disclosing any invention in which the Federal Government owns or may own a right, title, or interest (including a nonexclusive license) for a reasonable time in order for a patent application to be filed.  Furthermore, Federal agencies shall not be required to release copies of any document which is part of an application for patent filed with the United States Patent and Trademark Office or with any foreign patent office.","1"
"Federal Reserve System","Agency Overall","2010","31 U.S.C. Section 5319 Bank Secrecy Act","Berger v. IRS, 487 F. Supp. 2d 482, 496-97 (D. N.J. 2007, aff’d on other grounds, 288 F. App’s 829 (3d Cir. 2008), cert. denied, 129 S. Ct. 2789","Currency Transaction Reports and Suspicious Activity Reports","3"
"Office of the United States Trade Representative","Agency Overall","2010","N/A","N/A","N/A","0"
"Special Inspector General for Iraq Reconstruction","Agency Overall","2010","0","","","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2010","0","N/A","0","0"
"Overseas Private Investment Corporation","Agency Overall","2010","26 U.S.C. s6103(a)","","Tax filing status","1"
"Overseas Private Investment Corporation","Agency Overall","2010","5 U.S.C. s552b(c)(1)","","Closed Board Meeting minutes","1"
"Overseas Private Investment Corporation","Agency Overall","2010","5 C.F.R. s2640.304","","Names & financial details in 18 U.S.C. § 208(b) waivers  where the subjects were confidential disclosure filers.","1"
"Overseas Private Investment Corporation","Agency Overall","2010","4 U.S.C. s453b(m)","","A proposal not incorporated into the final contract","2"
"Department of Homeland Security","Agency Overall","2010","5 U.S.C. app 107(a)","Meyerhoff v. EPA, 958 F.2d 1498, 1500-02 (9th Cir. 1992); Concepcion v. FBI, 606 F. Supp 2d 14, 33 (D.D.C. 2009).","Financial Discolsure information pertaining to certain government employees","1"
"Department of Homeland Security","Agency Overall","2010","6 U.S.C. 133","","Critical Infrastructure Information","2"
"Department of Homeland Security","Agency Overall","2010","10 U.S.C. 130c","Nat'l Inst. Of Military Justice v. DOD, 404 F. Supp. 2d 325, 335-37 (D.D.C. 2005), aff'd on other grounds, 512 F.3d 677 (D.C. Cir. 2008), cert. denied, 129 S. Ct. 775 (U.S. 2008); ACLU v. DOD, 389 F. Supp 2d 547, 554 (S.D.N.Y. 2005).","Certain ""sensitive information of foreign governments"" and certain international organizations","7"
"Department of Homeland Security","Agency Overall","2010","10 U.S.C. 424","Miller v. DOJ, 562 F. Supp. 2d 82, 112 (D.D.C. 2008); Wickwire Gavin, P.C. v. Def. Intelligence Agency, 330 F. Supp 2d 592, 602 (E.D. Va. 2004).","Organization or any function of, and certain information prtaining to, employees of the Defense Intelligence Agency, the National Reconnaissance Office, and the National Geospatial-Intelligence Agency","1"
"Department of Homeland Security","Agency Overall","2010","18 U.S.C. 2510-20","Mendoza v. DEA, No. 07-5006, 2007 U.S. App. LEXIS 22175 (D.C. Cir. Sept. 14, 2007)(per curiam); Lam Lek Chong v. DEA, 929 F.2d, 733 (D.C. Cir. 1991); Payne v. DOJ, No. 96-30840, slip op. at 5-6 (5th Cir. July 11,1997).","Wiretap requests and the content of any wire, oral, or electronic comunication obtained through wiretaps","17"
"Department of Homeland Security","Agency Overall","2010","18 U.S.C. 1461","","Mailing obscene or crime-inciting matter","1"
"Department of Homeland Security","Agency Overall","2010","26 U.S.C. 6103, 6105","Church of Scientology v. IRS, 484 U.S. 9, 15 (1987)(26 U.S.C. 613); Tax Analysts v. IRS, 217 F. Supp. 2d 23, 27-29 (D.D.C. 2002)(26 U.S.C. 6105).","Certain tax return information and certain tax convention information","968"
"Department of Homeland Security","Agency Overall","2010","41 U.S.C. 253b(m)(1)","Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).","Contractor proposals that are in the possession or control of an executive agency and that have not been set forth or incorporated by reference into contracts","29"
"Department of Homeland Security","Agency Overall","2010","41 U.S.C. 423(a)(1)","Legal & Safety Employer Research, Inc. V. U.S. Dep't of the Army, No. Civ. S001748, 2001 WL 34098652, at *3-4 (E.D. Cal. 2001)(dictum).","Contractor bid or proposal information; source selection information","5"
"Department of Homeland Security","Agency Overall","2010","49 U.S.C. 114 (r)","Tooley v. Bush, No. 06-306, 2006 WL 3783142, at *19 (D.D.C. Dec. 21, 2006), rev'd & remanded in part on other grounds sub nom, Tooley v. Napolitano, 556 F.3d 836 (D.C. Cir. 2009), reh'g granted & judgment vacated, No. 07-5080, 2009 U.S. App. LEXIS 14307  (D.C. Cir. July 1, 2009); Gordon v. FBI, 390 F. Supp. 2d 897, 900 (N.D. Cal. 2004).","Information obtained or developed  in carrying out security  under the authority of the Aviation and Transportation Act or under chapter 449 of this title","632"
"Department of Homeland Security","Agency Overall","2010","50 U.S.C. 403g","Larson v. Dep't of State, 565 F.3d 857, 865 n.2 (D.C. Cir. 2009); Berman v. CIA, 501 F.3d 1136, 1137-38, 1140 (9th Cir. 2007); Makky v. Chertoff, 489 F. Supp. 2d 421, 442 (D.N.J. 2007), aff'd on other grounds, 541 F.3d 205 (3d Cir. 2008).","Intelligence sources and methods; certain information pertaining to Agency employees, specifically: ""the organization, functions, names, official titles, salaries, or numbers of personnel employed by the Agency""","1"
"Department of Homeland Security","Agency Overall","2010","Fed. R. Crim. P. 6(e)","Sussman v. USMS, 494 F.3d 1106, 1113 (D.C. Cir. 2007); Fund for Constitutional Gov't v. Nat'l Archives & Records Serv., 656 F.2d 856, 867-68 (D.C. Cir. 1981); Durham v. U.S. Atty Gen., No. 06-843, 2008 WL 620744, at *2 (E.D. Tex. Mar. 3, 2008); Corzen O'Connor v. U.S. Dep't of Treasury, 570 F. Supp. 2d 749, 776 (E.D. Pa. 2008).","Certain records pertaining to grand jury proceedings","9"
"Commodity Futures Trading Commission","Agency Overall","2010","Section 8(a) of the Commodity Exchange Act, 7 U.S.C. 12(a)","The use of Sections 8(a) has not been challenged in court.","Business transactions or market positions of any person and trade secrets or names of customers, and any data or information concerning or obtained in connection  with any pending investigation of any person.","13"
"Inter-American Foundation","Agency Overall","2010","5 U.S.C. app. 107 (a)(2)","","Confidential financial information provided on an ethics waiver","1"
"Securities and Exchange Commission","Agency Overall","2010","15 U.S.C. § 80b-10(b)","","Investment Advisors examinations or investigations","1"
"Securities and Exchange Commission","Agency Overall","2010","15 U.S.C.§ 78q(h)(5)","","Associated persons of broker-dealers, government securities brokers or dealers, or municipal securities dealers.","1"
"Securities and Exchange Commission","Agency Overall","2010","41 U.S.C. § 253(b)(m)","","Federal Property and Administrative Services Act of 1949","2"
"Securities and Exchange Commission","Agency Overall","2010","41 U.S.C. § 423(d)","","Proprietary or source selecting information about ongoing Federal Procurements","1"
"Securities and Exchange Commission","Agency Overall","2010","42 U.S.C. § 300hh-12","","Public Health Security and Bioterrorism Preparedness and Response Act of 2002","4"
"Securities and Exchange Commission","Agency Overall","2010","15 U.S.C. § 80a-30(c)","","Investment Company Examination","1"
"Securities and Exchange Commission","Agency Overall","2010","15 U.S.C. § 78x(d)","","(Foreign Securities Authorities)","1"
"Department of Agriculture","Agency Overall","2010","Federal Insecticide, Fungicide, and Rodenticide Act (FIFRA) 7 U.S.C. 136","","Disclosure of any information regarding the location and the use of pesticides.","1"
"Department of Agriculture","Agency Overall","2010","41 U.S.C. 253b(m)","Horbostel v. Dept. of the Interior, 305 F. Supp. 2d 21 (D.D.C. 2003)","Proposal not set forth or incorporated by reference in a contract entered into between the agency and the contractor.","5"
"Department of Agriculture","Agency Overall","2010","Agricultural Bioterrorism Protection Act of 2002, Sec. 212, Regulation of Certain Biological Agents and Toxins","","Disclosure of use and locations of biological agents and toxins.","3"
"Department of Agriculture","Agency Overall","2010","7 U.S.C. 2011-2036, The Food Stamp Act (and 7 CFR 272.1 (2) 11 (e)(8)","Roberts v. Austin, 632 F.2d 1202. 1203 (5th Cir. 1980), cert. denied, 454 U.S. 975, 102 S.Ct. 527, 70 L. Ed. 2d 395 (1981).","Names and personal information of SNAP (Food Stamps) recipients; confidential information provided by firms participating in SNAP.","10"
"Department of Agriculture","Agency Overall","2010","Section 1619 of the Food, Conservation, and Energy Act of 2008","Central Platte Natural Resources District v. U.S. Department of Agriculture and Farm Service Agency, No. 4:09CV3198 (WKU) (Dist of NE Sept. 8, 2010)","Information provided by an agricultural producer or owner of agricultural land in order to participate in a USDA program, and concerning agricultural operations, farming or conservation practices or the land itself.","301"
"Department of Agriculture","Agency Overall","2010","41 U.S.C. 253(b)","Hornbostel v. Dept. of the Interior, 305 F. Suppl. 2d 21 (D.D.C. 2003)","Business/financial information","1"
"Department of Agriculture","Agency Overall","2010","7 U.S.C. 2276","None","Respondents' identity and unaggregated survey data","7"
"Department of Agriculture","Agency Overall","2010","42 U.S.C. 2000e-5(b), 2000e-8(e)","Frito-Lay v. EEOC, 964 F. Supp. 236, 240-43 (W.D. Ky. 1997)","Information obtained by the EEOC in investigating charges of unlawful employment practices.","1"
"Department of Agriculture","Agency Overall","2010","26 U.S.C. 6103 (b)(2)(A)","Linsteadt v. IRS, 729 F.2d 998, 1000 (5th Cir. 1984)","Financial Information","1"
"Department of Agriculture","Agency Overall","2010","Exemption 3 Section 1619 of the Food, Conservation, and Energy Act of 2008","None","Information provided by an agricultural producer or owner of agricultural land in order to participate in a USDA program, and concerning agricultural operations, farming or conservation practices or the land itself.","43"
