"Agency","Component","Fiscal Year","Simple - Median Number of Days","Simple - Average Number of Days","Simple - Lowest Number of Days","Simple - Highest Number of Days","Complex - Median Number of Days","Complex - Average Number of Days","Complex - Lowest Number of Days","Complex - Highest Number of Days","Expedited Processing - Median Number of Days","Expedited Processing - Average Number of Days","Expedited Processing - Lowest Number of Days","Expedited Processing - Highest Number of Days"
"United States Copyright Office","Agency Overall","2010","17.5","65.7","3","243","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Capital Planning Commission","Agency Overall","2010","4","3.5","1","7","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2010","4","4","4","4","593","596","283","917","27","27","27","27"
"Federal Open Market Committee","Agency Overall","2010","4","7.4","1","20","37","50.4","4","137","N/A","N/A","N/A","N/A"
"Department of Veterans Affairs","Agency Overall","2010","N/A","N/A","N/A","N/A","4","14.9","<1","571","2.5","12","<1","100"
"Federal Reserve System","Agency Overall","2010","2","5","1","61","29","61","1","410","1","1","1","1"
"Office of the United States Trade Representative","Agency Overall","2010","47","45","33","58","192","315","84","1213","21","17","5","32"
"Special Inspector General for Iraq Reconstruction","Agency Overall","2010","18","16","6","23","32","32","32","32","N/A","N/A","N/A","N/A"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2010","1","1","1","1","6.5","8.5","3","18","N/A","N/A","N/A","N/A"
"Overseas Private Investment Corporation","Agency Overall","2010","20.5","28.33","N/A","92","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Department of Homeland Security","Agency Overall","2010","49","62.07","1","1087","35","82.89","1","1965","13.01","41.8","2","187"
"Commodity Futures Trading Commission","Agency Overall","2010","14","24.46","1","253","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Inter-American Foundation","Agency Overall","2010","16","15.8","12","19","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Securities and Exchange Commission","Agency Overall","2010","29","41.98","N/A","289","812.5","812.5","760","865","N/A","N/A","N/A","N/A"
"Department of Agriculture","Agency Overall","2010","25","24.55","<1","1062","141","34.38","1","1042","48.5","22.3","1","1189"
"Consumer Product Safety Commission","Agency Overall","2010","10","42","1","425","72","94","1","617","N/A","N/A","N/A","N/A"
"Office of Personnel Management","Agency Overall","2010","N/A","N/A","N/A","N/A","318","48","N/A","N/A","6","5","N/A","N/A"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2010","16","20","<1","77","17","30.3","17","95","18","18","18","18"
"U.S. Commission on Civil Rights","Agency Overall","2010","7","18","2","161","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Social Security Administration","Agency Overall","2010","8","11","2","20","43","51","1","203","N/A","N/A","N/A","N/A"
"Department of the Treasury","Agency Overall","2010","4","11.775","1","319","14","15.1","<1","2722","7.5","9.25","<1","44"
"National Science Foundation","Agency Overall","2010","18","20","1","95","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Office of Management and Budget","Agency Overall","2010","37","56","4","236","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Merit Systems Protection Board","Agency Overall","2010","6","16","<1","50","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Aeronautics and Space Administration","Agency Overall","2010","15.00","34.62","<1","804","50.00","128.45","<1","1064","16.00","20.08","8","57"
"Export-Import Bank of the U.S.","Agency Overall","2010","28.5","33.4","<1","68","101.5","142.78","58","333","N/A","N/A","N/A","N/A"
"Department of the Interior","Agency Overall","2010","2","4","<1","75","17","31","<1","1051","16","28","2","124"
"Nuclear Regulatory Commission","Agency Overall","2010","12","15","<1","70","47","57","5","219","N/A","N/A","N/A","N/A"
"Farm Credit System Insurance Corporation","Agency Overall","2010","8","8","8","8","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Office of Special Counsel","Agency Overall","2010","7","7","1","13","N/A","N/A","N/A","N/A","6","7","2","12"
"Selective Service System","Agency Overall","2010","6","3","1","12","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Federal Labor Relations Authority","Agency Overall","2010","16","20","1","250","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Legal Services Corporation","Agency Overall","2010","66","99","21","244","112","125","41","223","N/A","N/A","41","41"
"Federal Retirement Thrift Investment Board","Agency Overall","2010","13","13","6","20","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Railroad Passenger Corporation","Agency Overall","2010","3","10","1","80","30","20","5","173","N/A","N/A","N/A","N/A"
"Department of Defense","Agency Overall","2010","N/A","24","<1","1618","N/A","127","<1","4314","N/A","8","<1","364"
"United States International Trade Commission","Agency Overall","2010","18","1","1","37","N/A","N/A","N/A","N/A","4","4","4","4"
"Office of National Drug Control Policy","Agency Overall","2010","10","11","1","20","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"United States Postal Service","Agency Overall","2010","13","24","<1","524","29","46","<1","248","6","6","4","8"
"General Services Administration","Agency Overall","2010","27","31","N/A","380","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Federal Maritime Commission","Agency Overall","2010","64","129","5","461","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Credit Union Administration","Agency Overall","2010","14","16.4","1","134","40.5","46.7","16","123","74","74","74","74"
"Office of the Director of National Intelligence","Agency Overall","2010","22","83.04","N/A","847","109","375.75","2","991","N/A","N/A","N/A","N/A"
"Court Services and Offender Supervision Agency","Agency Overall","2010","20.5","23.84","3","45","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Department of Health and Human Services","Agency Overall","2010","N/A","N/A","0","1401","N/A","N/A","0","3104","N/A","N/A","0","334"
"National Transportation Safety Board","Agency Overall","2010","19","18.78","6","42","48","58.21","1","241","N/A","N/A","N/A","N/A"
"U.S. Railroad Retirement Board","Agency Overall","2010","12","12.14","1","24","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"U.S. Agency for Global Media","Agency Overall","2010","27","26","6","58","70","70","70","70","N/A","N/A","N/A","N/A"
"Federal Election Commission","Agency Overall","2010","48","77.7","2","536","65","65","65","65","2","2","2","2"
"National Mediation Board","Agency Overall","2010","9","21","3","87","N/A","N/A","N/A","N/A","18","18","7","29"
"National Indian Gaming Commission","Agency Overall","2010","14","31","1","188","107.5","96.4","8","166","N/A","N/A","N/A","N/A"
"U.S. Department of State","Agency Overall","2010","142","139","<1","1723","228","285","35","2162","280","544","155","1276"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2010","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Equal Employment Opportunity Commission","Agency Overall","2010","12","12.4267434963139","1","182","N/A","N/A","N/A","N/A","1","1","1","1"
"United States African Development Foundation","Agency Overall","2010","10","10","7","14","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"American Battle Monuments Commission","Agency Overall","2010","7","7","5","20","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Office of Science and Technology Policy","Agency Overall","2010","1","8.18","1","70","20","24.13","11","52","20","15.5","2","20"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2010","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Federal Financial Institutions Examination Council","Agency Overall","2010","6","7.7","6","11","20","20","16","24","N/A","N/A","N/A","N/A"
"Pension Benefit Guaranty Corporation","Agency Overall","2010","6","7","N/A","43","N/A","N/A","N/A","N/A","6","6","1","12"
"Federal Communications Commission","Agency Overall","2010","19","28.54","1","411","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Tennessee Valley Authority","Agency Overall","2010","6","7.7","1","20","34","47","21","235","N/A","N/A","N/A","N/A"
"Office of Government Ethics","Agency Overall","2010","13.5","14.6","1","173","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Federal Trade Commission","Agency Overall","2010","4","8.06","1","157","21.5","58.28","1","595","N/A","N/A","N/A","N/A"
