"Agency","Component","Fiscal Year","Number Received During Fiscal Year from Last Year's Annual Report","Number Received During Fiscal Year from Current Annual Report","Number Processed During Fiscal Year from Last Year's Annual Report","Number Processed During Fiscal Year from Current Annual Report"
"National Indian Gaming Commission","Agency Overall","2010","3","2","3","2"
"U.S. Department of State","Agency Overall","2010","242","174","248","320"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2010","0","0","0","0"
"Equal Employment Opportunity Commission","Agency Overall","2010","335","313","302","302"
"United States African Development Foundation","Agency Overall","2010","","","",""
"American Battle Monuments Commission","Agency Overall","2010","0","0","0","0"
"Office of Science and Technology Policy","Agency Overall","2010","3","1","3","1"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2010","0","0","0","0"
"Federal Financial Institutions Examination Council","Agency Overall","2010","0","0","0","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2010","2","4","2","3"
"Federal Communications Commission","Agency Overall","2010","14","21","37","16"
"Tennessee Valley Authority","Agency Overall","2010","11","4","14","4"
"Office of Government Ethics","Agency Overall","2010","0","4","0","4"
"Federal Trade Commission","Agency Overall","2010","13","12","14","13"
"All agencies","Agency Overall","2010","9787","10948","9521","13973"
