"Agency","Component","Fiscal Year","<1-20 Days","21-40 Days","41-60 Days","61-80 Days","81-100 Days","101-120 Days","121-140 Days","141-160 Days","161-180 Days","181-200 Days","201-300 Days","301-400 Days","401+ Days","Total"
"National Labor Relations Board","Agency Overall","2010","5717","169","7","4","1","1","0","0","0","0","0","0","0","5899"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2010","111","12","0","0","0","0","0","0","0","0","0","0","0","123"
"Postal Regulatory Commission","Agency Overall","2010","30","0","0","0","0","0","0","0","0","0","0","0","0","30"
"Occupational Safety and Health Review Commission","Agency Overall","2010","5","55","0","0","0","0","0","0","0","0","0","0","0","60"
"Department of Transportation","Agency Overall","2010","5486","943","279","96","49","50","47","23","35","30","45","39","76","7198"
"National Endowment for the Humanities","Agency Overall","2010","28","11","0","0","0","0","0","0","0","0","0","0","0","39"
"Administrative Conference of the United States","Agency Overall","2010","1","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Department of Commerce","Agency Overall","2010","1078","355","44","11","7","4","5","2","2","2","6","0","2","1518"
"Farm Credit Administration","Agency Overall","2010","26","0","0","0","0","0","0","0","0","0","0","0","0","26"
"United States Trade and Development Agency","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States International Boundary and Water Commission","Agency Overall","2010","24","5","0","0","0","0","0","0","0","0","0","0","0","29"
"Institute of Museum and Library Services","Agency Overall","2010","45","2","0","0","0","0","0","0","0","0","0","0","0","47"
"Federal Mine Safety and Health Review Commission","Agency Overall","2010","87","1","0","0","0","0","0","0","0","0","0","0","0","88"
"United States Copyright Office","Agency Overall","2010","35","4","1","0","0","0","0","0","0","0","4","0","0","44"
"National Capital Planning Commission","Agency Overall","2010","19","0","0","0","0","0","0","0","0","0","0","0","0","19"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2010","14","0","0","0","0","0","0","0","0","0","0","0","0","14"
"Federal Open Market Committee","Agency Overall","2010","24","0","0","0","0","0","0","0","0","0","0","0","0","24"
"Department of Veterans Affairs","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Reserve System","Agency Overall","2010","264","11","1","1","0","1","0","0","0","0","0","0","0","278"
"Office of the United States Trade Representative","Agency Overall","2010","0","5","5","0","1","0","0","0","0","0","0","0","0","11"
"Special Inspector General for Iraq Reconstruction","Agency Overall","2010","11","4","1","0","0","0","0","0","0","0","0","0","0","16"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2010","6","0","0","0","0","0","0","0","0","0","0","0","0","6"
"Overseas Private Investment Corporation","Agency Overall","2010","31","6","2","3","1","0","0","0","0","0","0","0","0","43"
"Department of Homeland Security","Agency Overall","2010","21437","12559","7970","2942","1910","371","147","106","74","71","189","106","772","48654"
"Commodity Futures Trading Commission","Agency Overall","2010","96","31","16","4","3","1","0","0","1","0","1","0","0","153"
"Inter-American Foundation","Agency Overall","2010","9","0","0","0","0","0","0","0","0","0","0","0","0","9"
"Securities and Exchange Commission","Agency Overall","2010","7960","1230","563","260","229","118","64","46","26","11","29","0","1","10537"
"Department of Agriculture","Agency Overall","2010","15550","1887","489","163","91","62","35","25","23","17","52","41","70","18505"
"Consumer Product Safety Commission","Agency Overall","2010","2287","27","65","36","19","8","7","1","2","2","8","1","2","2465"
"Office of Personnel Management","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2010","40","10","4","3","1","0","0","0","0","0","0","0","0","58"
"U.S. Commission on Civil Rights","Agency Overall","2010","26","1","2","0","0","0","0","0","1","0","0","0","0","30"
"Social Security Administration","Agency Overall","2010","29117","2265","324","324","161","161","0","0","0","0","0","0","0","32352"
"Department of the Treasury","Agency Overall","2010","2489","327","83","26","26","8","7","1","3","0","4","6","0","2980"
"National Science Foundation","Agency Overall","2010","322","119","14","6","3","0","1","0","0","0","0","0","0","465"
"Office of Management and Budget","Agency Overall","2010","40","40","19","17","3","6","8","3","0","2","3","0","0","141"
"Merit Systems Protection Board","Agency Overall","2010","310","71","20","0","0","0","0","0","0","0","0","0","0","401"
"National Aeronautics and Space Administration","Agency Overall","2010","364","92","32","9","10","7","7","3","5","5","22","15","14","585"
"Export-Import Bank of the U.S.","Agency Overall","2010","21","26","12","7","0","0","0","0","0","0","0","0","0","66"
"Department of the Interior","Agency Overall","2010","317","2","3","1","0","0","0","0","0","0","0","0","0","323"
"Nuclear Regulatory Commission","Agency Overall","2010","245","21","5","2","0","0","0","0","0","0","0","0","0","273"
"Farm Credit System Insurance Corporation","Agency Overall","2010","8","0","0","0","0","0","0","0","0","0","0","0","0","8"
"Office of Special Counsel","Agency Overall","2010","23","1","1","0","0","0","0","1","0","0","0","0","0","26"
"Selective Service System","Agency Overall","2010","37","0","0","0","0","0","0","0","0","0","0","0","0","37"
"Federal Labor Relations Authority","Agency Overall","2010","97","9","1","1","1","0","0","0","0","0","1","0","0","110"
"Legal Services Corporation","Agency Overall","2010","0","2","1","0","1","0","0","0","0","0","1","0","1","6"
"Federal Retirement Thrift Investment Board","Agency Overall","2010","19","3","0","0","0","0","0","0","0","0","0","0","0","22"
"National Railroad Passenger Corporation","Agency Overall","2010","31","43","5","6","0","0","0","0","0","0","0","0","0","85"
"Department of Defense","Agency Overall","2010","33923","4105","1487","958","360","139","202","145","114","83","400","231","357","42504"
"United States International Trade Commission","Agency Overall","2010","32","14","0","0","0","0","0","0","0","0","0","0","0","46"
"Office of National Drug Control Policy","Agency Overall","2010","19","0","0","0","0","0","0","0","0","0","0","0","0","19"
"United States Postal Service","Agency Overall","2010","1287","218","51","20","8","3","2","1","4","1","1","0","40","1636"
"General Services Administration","Agency Overall","2010","464","754","236","88","43","20","9","1","1","3","1","1","1","1622"
"Federal Maritime Commission","Agency Overall","2010","11","5","4","1","1","0","1","0","2","1","1","1","5","33"
"National Credit Union Administration","Agency Overall","2010","115","22","6","0","1","0","1","0","0","0","0","0","0","145"
"Office of the Director of National Intelligence","Agency Overall","2010","60","7","4","6","8","4","7","2","7","4","7","3","18","137"
"Court Services and Offender Supervision Agency","Agency Overall","2010","309","262","34","32","9","10","12","8","14","7","24","1","1","723"
"Department of Health and Human Services","Agency Overall","2010","35349","4179","1947","1303","1114","869","676","585","455","343","1461","600","588","49469"
"National Transportation Safety Board","Agency Overall","2010","17","3","1","0","0","0","0","0","0","0","0","0","0","21"
"U.S. Railroad Retirement Board","Agency Overall","2010","113","5","0","0","0","0","1","0","0","0","0","0","0","119"
"U.S. Agency for Global Media","Agency Overall","2010","14","8","2","0","0","0","0","0","0","0","0","0","0","24"
"Federal Election Commission","Agency Overall","2010","43","16","4","3","3","1","3","0","0","1","3","0","2","79"
"National Mediation Board","Agency Overall","2010","18","5","0","0","1","0","0","0","0","0","0","0","0","24"
"National Indian Gaming Commission","Agency Overall","2010","35","11","4","1","1","2","1","0","0","1","0","0","0","56"
"U.S. Department of State","Agency Overall","2010","119","730","660","724","690","1106","1086","918","532","956","2741","19","50","10331"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Equal Employment Opportunity Commission","Agency Overall","2010","14230","1541","328","68","20","14","6","11","3","1","2","0","0","16224"
"United States African Development Foundation","Agency Overall","2010","4","0","0","0","0","0","0","0","0","0","0","0","0","4"
"American Battle Monuments Commission","Agency Overall","2010","18","0","0","0","0","0","0","0","0","0","0","0","0","18"
"Office of Science and Technology Policy","Agency Overall","2010","24","1","0","1","0","0","1","0","0","0","0","0","0","27"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2010","0","1","0","0","0","0","0","0","0","0","0","0","0","1"
"Federal Financial Institutions Examination Council","Agency Overall","2010","20","0","0","0","0","0","0","0","0","0","0","0","0","20"
"Pension Benefit Guaranty Corporation","Agency Overall","2010","5562","42","7","0","0","0","0","0","0","0","0","0","0","5611"
"Federal Communications Commission","Agency Overall","2010","440","89","22","20","11","6","2","0","0","2","1","2","3","598"
"Tennessee Valley Authority","Agency Overall","2010","119","0","0","0","0","0","0","0","0","0","0","0","0","119"
"Office of Government Ethics","Agency Overall","2010","78","8","0","0","0","0","0","0","1","0","0","0","0","87"
"Federal Trade Commission","Agency Overall","2010","985","42","17","5","6","0","1","4","0","0","0","0","0","1060"
"All agencies","Agency Overall","2010","251520","48618","20570","9893","6510","4175","3155","2427","1722","1818","5652","1304","2381","359745"
