"Agency","Component","Fiscal Year","Ex. 1","Ex. 2","Ex. 3","Ex. 4","Ex. 5","Ex. 6","Ex. 7(A)","Ex. 7(B)","Ex. 7(C)","Ex. 7(D)","Ex. 7(E)","Ex. 7(F)","Ex. 8","Ex. 9"
"Commodity Futures Trading Commission","Agency Overall","2010","0","0","13","22","9","11","6","1","1","1","2","0","12","0"
"Inter-American Foundation","Agency Overall","2010","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"Securities and Exchange Commission","Agency Overall","2010","0","17","9","87","159","228","479","0","191","4","4","0","66","0"
"Department of Agriculture","Agency Overall","2010","8","124","401","385","262","1472","131","3","577","11","43","32","0","3"
"Consumer Product Safety Commission","Agency Overall","2010","0","0","351","201","275","269","52","0","9","30","0","0","0","0"
"Office of Personnel Management","Agency Overall","2010","1","","1","18","14","72","3","3","","","","","",""
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2010","0","0","0","2","2","7","0","0","0","0","0","0","0","0"
"U.S. Commission on Civil Rights","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Social Security Administration","Agency Overall","2010","0","66","90","35","75","1288","7","0","15","1","0","0","0","0"
"Department of the Treasury","Agency Overall","2010","3","157","2291","307","620","907","343","4","963","55","873","14","280","0"
"National Science Foundation","Agency Overall","2010","0","3","29","110","30","315","3","0","71","0","0","0","0","0"
"Office of Management and Budget","Agency Overall","2010","0","5","0","2","33","20","0","0","0","0","0","0","0","0"
"Merit Systems Protection Board","Agency Overall","2010","0","0","0","0","1","24","0","0","0","0","0","0","0","0"
"National Aeronautics and Space Administration","Agency Overall","2010","0","23","22","245","36","77","3","0","22","2","1","0","0","0"
"Export-Import Bank of the U.S.","Agency Overall","2010","0","3","0","36","9","8","2","0","2","0","1","1","0","0"
"Department of the Interior","Agency Overall","2010","7","112","70","158","264","862","79","5","367","14","28","10","0","6"
"Nuclear Regulatory Commission","Agency Overall","2010","1","25","2","47","32","31","21","0","37","0","6","3","0","0"
"Farm Credit System Insurance Corporation","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Special Counsel","Agency Overall","2010","0","3","1","0","29","15","5","0","41","1","0","0","0","0"
"Selective Service System","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Labor Relations Authority","Agency Overall","2010","0","2","0","1","11","3","1","0","7","7","0","0","0","0"
"Legal Services Corporation","Agency Overall","2010","0","0","0","0","0","4","0","0","2","0","0","0","0","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2010","0","0","0","4","0","5","0","0","0","0","0","0","0","0"
"National Railroad Passenger Corporation","Agency Overall","2010","0","6","4","7","5","27","6","0","14","0","0","0","0","0"
"Department of Defense","Agency Overall","2010","1279","3364","2512","2020","1895","13083","875","45","7113","286","121","30","0","0"
"United States International Trade Commission","Agency Overall","2010","0","0","4","7","3","4","0","1","0","0","0","0","0","0"
"Office of National Drug Control Policy","Agency Overall","2010","0","0","0","0","2","4","0","0","0","0","0","0","0","0"
"United States Postal Service","Agency Overall","2010","0","50","212","110","85","407","29","1","250","85","62","3","0","0"
"General Services Administration","Agency Overall","2010","3","71","53","244","58","69","3","4","22","0","1","2","0","0"
"Federal Maritime Commission","Agency Overall","2010","0","1","2","3","2","5","0","0","1","1","1","0","0","0"
"National Credit Union Administration","Agency Overall","2010","0","17","0","24","23","42","5","0","0","0","0","0","36","0"
"Office of the Director of National Intelligence","Agency Overall","2010","34","31","31","0","13","26","0","0","7","0","1","0","0","0"
"Court Services and Offender Supervision Agency","Agency Overall","2010","0","513","0","0","29","531","0","0","531","89","19","141","0","0"
"Department of Health and Human Services","Agency Overall","2010","0","142","101","736","360","8482","195","0","269","15","27","3","0","0"
"National Transportation Safety Board","Agency Overall","2010","0","72","8","15","114","53","67","0","0","0","0","0","0","0"
"U.S. Railroad Retirement Board","Agency Overall","2010","0","0","14","0","0","7","0","0","0","0","0","0","0","0"
"U.S. Agency for Global Media","Agency Overall","2010","1","2","1","1","3","10","0","0","0","0","0","0","0","0"
"Federal Election Commission","Agency Overall","2010","0","15","6","5","9","10","0","0","0","1","0","0","0","0"
"National Mediation Board","Agency Overall","2010","0","0","0","0","2","13","0","0","0","0","0","0","0","0"
"National Indian Gaming Commission","Agency Overall","2010","0","2","0","20","6","10","1","0","0","0","1","0","0","0"
"U.S. Department of State","Agency Overall","2010","408","162","5517","95","240","2669","26","5","68","5","26","8","0","0"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Equal Employment Opportunity Commission","Agency Overall","2010","0","2","2497","38","10582","2088","1163","21","4169","35","0","0","0","0"
"United States African Development Foundation","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"American Battle Monuments Commission","Agency Overall","2010","0","0","0","0","1","7","0","0","0","0","0","0","0","0"
"Office of Science and Technology Policy","Agency Overall","2010","0","3","0","0","6","11","0","0","0","0","0","0","0","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2010","0","0","0","0","1","1","0","0","1","0","0","0","0","0"
"Federal Financial Institutions Examination Council","Agency Overall","2010","0","0","0","1","0","1","0","0","0","0","0","0","1","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2010","0","2","0","18","6","218","0","0","1","0","0","0","0","0"
"Federal Communications Commission","Agency Overall","2010","0","34","2","16","29","59","13","0","17","1","13","0","0","0"
"Tennessee Valley Authority","Agency Overall","2010","0","8","2","8","18","49","0","0","2","0","2","0","0","0"
"Office of Government Ethics","Agency Overall","2010","0","2","0","1","6","13","0","0","0","0","0","0","0","0"
"Federal Trade Commission","Agency Overall","2010","0","4","107","46","56","288","28","1","2","8","0","0","0","0"
"All agencies","Agency Overall","2010","3743","64260","22037","11826","64673","111355","7245","281","95578","6146","59120","1603","533","11"
