"Agency","Component","Fiscal Year","<1-20 Days","21-40 Days","41-60 Days","61-80 Days","81-100 Days","101-120 Days","121-140 Days","141-160 Days","161-180 Days","181-200 Days","201-300 Days","301-400 Days","401+ Days","Total"
"Special Inspector General for Iraq Reconstruction","Agency Overall","2010","0","1","1","0","0","0","0","0","0","0","0","0","0","2"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2010","4","0","0","0","0","0","0","0","0","0","0","0","0","4"
"Overseas Private Investment Corporation","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Homeland Security","Agency Overall","2010","8266","6098","16873","25187","4814","3637","910","494","176","116","422","202","3836","71031"
"Commodity Futures Trading Commission","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Inter-American Foundation","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Securities and Exchange Commission","Agency Overall","2010","1","1","0","0","0","0","0","0","0","0","0","0","10","12"
"Department of Agriculture","Agency Overall","2010","447","269","220","99","49","51","34","20","17","29","47","35","102","1419"
"Consumer Product Safety Commission","Agency Overall","2010","136","83","119","72","73","57","29","25","23","17","56","5","35","730"
"Office of Personnel Management","Agency Overall","2010","723","583","1423","266","21","3","5","1","1","1","6","2","21","3056"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2010","7","0","1","0","1","0","0","1","0","0","0","0","0","10"
"U.S. Commission on Civil Rights","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Social Security Administration","Agency Overall","2010","432","73","69","29","24","14","10","3","3","2","1","0","0","660"
"Department of the Treasury","Agency Overall","2010","7196","1612","615","178","69","48","34","44","22","37","25","17","14","9911"
"National Science Foundation","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Management and Budget","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Merit Systems Protection Board","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Aeronautics and Space Administration","Agency Overall","2010","202","79","45","46","17","21","15","20","28","14","65","39","109","700"
"Export-Import Bank of the U.S.","Agency Overall","2010","2","0","5","6","4","3","3","0","1","0","3","2","0","29"
"Department of the Interior","Agency Overall","2010","2926","910","264","144","84","42","30","27","23","29","51","30","142","4702"
"Nuclear Regulatory Commission","Agency Overall","2010","12","22","13","7","7","4","2","2","0","0","0","1","0","70"
"Farm Credit System Insurance Corporation","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Special Counsel","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Selective Service System","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Labor Relations Authority","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Legal Services Corporation","Agency Overall","2010","0","0","1","0","0","1","0","0","0","0","1","0","0","3"
"Federal Retirement Thrift Investment Board","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Railroad Passenger Corporation","Agency Overall","2010","38","29","8","2","3","2","1","1","0","1","2","1","3","91"
"Department of Defense","Agency Overall","2010","12250","3393","1522","1055","909","838","532","398","333","293","756","483","1896","24658"
"United States International Trade Commission","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of National Drug Control Policy","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States Postal Service","Agency Overall","2010","44","28","11","8","9","1","3","0","1","1","3","1","1","111"
"General Services Administration","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Maritime Commission","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Credit Union Administration","Agency Overall","2010","5","5","6","0","2","0","1","0","0","0","0","0","0","19"
"Office of the Director of National Intelligence","Agency Overall","2010","3","1","1","0","2","0","2","0","0","1","0","1","4","15"
"Court Services and Offender Supervision Agency","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Health and Human Services","Agency Overall","2010","6301","1922","1028","719","699","520","598","379","335","287","1070","736","5460","20054"
"National Transportation Safety Board","Agency Overall","2010","136","29","31","16","8","11","3","6","6","1","3","0","0","250"
"U.S. Railroad Retirement Board","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Agency for Global Media","Agency Overall","2010","1","4","0","5","0","1","0","0","0","0","2","0","0","13"
"Federal Election Commission","Agency Overall","2010","0","0","0","1","0","0","0","0","0","0","0","0","0","1"
"National Mediation Board","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Indian Gaming Commission","Agency Overall","2010","2","2","1","1","2","4","1","2","1","0","0","0","0","16"
"U.S. Department of State","Agency Overall","2010","0","13","21","43","59","57","42","65","47","167","3492","159","514","4679"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Equal Employment Opportunity Commission","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States African Development Foundation","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"American Battle Monuments Commission","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Science and Technology Policy","Agency Overall","2010","7","2","1","0","0","0","0","0","0","0","0","0","0","10"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Financial Institutions Examination Council","Agency Overall","2010","1","1","0","0","0","0","0","0","0","0","0","0","0","2"
"Pension Benefit Guaranty Corporation","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Communications Commission","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tennessee Valley Authority","Agency Overall","2010","0","30","12","4","2","1","0","1","0","0","2","0","0","52"
"Office of Government Ethics","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Trade Commission","Agency Overall","2010","82","23","24","17","11","8","2","6","1","2","9","2","1","188"
"All agencies","Agency Overall","2010","75217","23428","25672","29984","8339","6392","3088","2088","1470","1341","7114","2310","13412","199855"
