"Agency","Component","Fiscal Year","Number Granted","Number Denied","Median Number of Days to Adjudicate","Average Number of Days to Adjudicate"
"Office of Management and Budget","Agency Overall","2010","10","1","20","19"
"Merit Systems Protection Board","Agency Overall","2010","0","0","N/A","N/A"
"National Aeronautics and Space Administration","Agency Overall","2010","15","0","N/A","2.6"
"Export-Import Bank of the U.S.","Agency Overall","2010","4","2","N/A","11.17"
"Department of the Interior","Agency Overall","2010","462","39","1","14"
"Nuclear Regulatory Commission","Agency Overall","2010","22","11","N/A","N/A"
"Farm Credit System Insurance Corporation","Agency Overall","2010","8","0","13","12.625"
"Office of Special Counsel","Agency Overall","2010","0","3","186","134"
"Selective Service System","Agency Overall","2010","0","0","N/A","N/A"
"Federal Labor Relations Authority","Agency Overall","2010","0","0","N/A","N/A"
"Legal Services Corporation","Agency Overall","2010","11","0","16","5"
"Federal Retirement Thrift Investment Board","Agency Overall","2010","0","0","N/A","N/A"
"National Railroad Passenger Corporation","Agency Overall","2010","2","1","1","1"
"Department of Defense","Agency Overall","2010","1736","613","N/A","154"
"United States International Trade Commission","Agency Overall","2010","9","0","2","1"
"Office of National Drug Control Policy","Agency Overall","2010","0","0","N/A","N/A"
"United States Postal Service","Agency Overall","2010","0","0","N/A","N/A"
"General Services Administration","Agency Overall","2010","17","11","9","8"
"Federal Maritime Commission","Agency Overall","2010","1","0","34","34"
"National Credit Union Administration","Agency Overall","2010","12","4","1.5","2.3"
"Office of the Director of National Intelligence","Agency Overall","2010","0","0","N/A","N/A"
"Court Services and Offender Supervision Agency","Agency Overall","2010","0","0","N/A","N/A"
"Department of Health and Human Services","Agency Overall","2010","291","66","N/A","N/A"
"National Transportation Safety Board","Agency Overall","2010","2","0","3.5","3.5"
"U.S. Railroad Retirement Board","Agency Overall","2010","3","0","7","7"
"U.S. Agency for Global Media","Agency Overall","2010","0","2","17","17"
"Federal Election Commission","Agency Overall","2010","0","0","N/A","N/A"
"National Mediation Board","Agency Overall","2010","0","0","N/A","N/A"
"National Indian Gaming Commission","Agency Overall","2010","6","2","6.5","10.75"
"U.S. Department of State","Agency Overall","2010","1","98","7","18"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2010","0","0","N/A","N/A"
"Equal Employment Opportunity Commission","Agency Overall","2010","4","36","4","0.5"
"United States African Development Foundation","Agency Overall","2010","0","0","N/A","N/A"
"American Battle Monuments Commission","Agency Overall","2010","3","1","15","13.75"
"Office of Science and Technology Policy","Agency Overall","2010","0","0","N/A","N/A"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2010","0","0","N/A","N/A"
"Federal Financial Institutions Examination Council","Agency Overall","2010","0","0","N/A","N/A"
"Pension Benefit Guaranty Corporation","Agency Overall","2010","3","0","2","2"
"Federal Communications Commission","Agency Overall","2010","1","24","14","15"
"Tennessee Valley Authority","Agency Overall","2010","16","1","1","3"
"Office of Government Ethics","Agency Overall","2010","0","0","N/A","N/A"
"Federal Trade Commission","Agency Overall","2010","4","94","8.5","30.98"
"All agencies","Agency Overall","2010","5932","3797","N/A","N/A"
