"Agency","Component","Fiscal Year","Simple - Median Number of Days","Simple - Average Number of Days","Simple - Lowest Number of Days","Simple - Highest Number of Days","Complex - Median Number of Days","Complex - Average Number of Days","Complex - Lowest Number of Days","Complex - Highest Number of Days","Expedited Processing - Median Number of Days","Expedited Processing - Average Number of Days","Expedited Processing - Lowest Number of Days","Expedited Processing - Highest Number of Days"
"Federal Open Market Committee","Agency Overall","2010","6.5","7.6","<1","20","37","50.4","4","137","N/A","N/A","N/A","N/A"
"Department of Veterans Affairs","Agency Overall","2010","N/A","N/A","N/A","N/A","4","14.23","<1","571","3","15.52","<1","121"
"Federal Reserve System","Agency Overall","2010","2","5","1","120","55","105","1","487","24","12","1","24"
"Office of the United States Trade Representative","Agency Overall","2010","45","46","30","85","186","269","47","1213","11","13","3","32"
"Special Inspector General for Iraq Reconstruction","Agency Overall","2010","12","12","1","23","43","43","32","53","N/A","N/A","N/A","N/A"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2010","2","1.7","1","4","6.5","8.5","3","18","N/A","N/A","N/A","N/A"
"Overseas Private Investment Corporation","Agency Overall","2010","9","17.77","N/A","92","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Department of Homeland Security","Agency Overall","2010","35","39.31","1","1087","43.84","87.96","1","1965","7.5","36.24","1","668"
"Commodity Futures Trading Commission","Agency Overall","2010","13","22.79","1","253","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Inter-American Foundation","Agency Overall","2010","14","15.2","11","10","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Securities and Exchange Commission","Agency Overall","2010","7","18.38","N/A","411","563.5","553.33","3","1015","49","49","15","83"
"Department of Agriculture","Agency Overall","2010","23","26.05","<1","1106","161","50.43","<1","1042","80.5","19.2","1","1189"
"Consumer Product Safety Commission","Agency Overall","2010","19","40","1","350","65","87","1","617","N/A","N/A","N/A","N/A"
"Office of Personnel Management","Agency Overall","2010","N/A","N/A","N/A","N/A","618","72","N/A","N/A","6","5","N/A","N/A"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2010","17","20","<1","82","17","40.3","17","147","18","18","18","18"
"U.S. Commission on Civil Rights","Agency Overall","2010","7.5","15","1","161","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Social Security Administration","Agency Overall","2010","10","18","2","118","42","50","1","234","N/A","N/A","N/A","N/A"
"Department of the Treasury","Agency Overall","2010","6","17.79","<1","654","12","14.016","<1","2722","13","21.103","<1","44"
"National Science Foundation","Agency Overall","2010","17","19","1","138","N/A","N/A","N/A","N/A","25","29","7","66"
"Office of Management and Budget","Agency Overall","2010","33","52","2","236","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Merit Systems Protection Board","Agency Overall","2010","8","17","<1","85","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Aeronautics and Space Administration","Agency Overall","2010","13.00","54.25","<1","1097","71.00","181.68","<1","1329","12.00","22.57","<1","172"
"Export-Import Bank of the U.S.","Agency Overall","2010","28","31.98","<1","68","85","115.1","1","333","N/A","N/A","N/A","N/A"
"Department of the Interior","Agency Overall","2010","2","4","<1","75","16","32","<1","1185","16","28","2","124"
"Nuclear Regulatory Commission","Agency Overall","2010","9","11","<1","70","43","53","<1","219","N/A","N/A","N/A","N/A"
"Farm Credit System Insurance Corporation","Agency Overall","2010","13","12.625","5","20","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Office of Special Counsel","Agency Overall","2010","1","10","1","147","N/A","N/A","N/A","N/A","6","7","2","12"
"Selective Service System","Agency Overall","2010","6","3","1","12","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Federal Labor Relations Authority","Agency Overall","2010","9","15","1","250","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Legal Services Corporation","Agency Overall","2010","77","156","21","482","77","101","28","222","N/A","N/A","41","41"
"Federal Retirement Thrift Investment Board","Agency Overall","2010","17","16.5","6","38","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Railroad Passenger Corporation","Agency Overall","2010","1","10","1","20","6","35","10","609","N/A","N/A","N/A","N/A"
"Department of Defense","Agency Overall","2010","N/A","24","<1","2306","N/A","127","<1","4314","N/A","8","<1","970"
"United States International Trade Commission","Agency Overall","2010","17","1","1","37","N/A","N/A","N/A","N/A","4","4","4","4"
"Office of National Drug Control Policy","Agency Overall","2010","10","11","1","20","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"United States Postal Service","Agency Overall","2010","<1","14.1","<1","524","25","46","<1","495","6.5","6.25","4","8"
"General Services Administration","Agency Overall","2010","28","33","N/A","411","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Federal Maritime Commission","Agency Overall","2010","48","133","4","601","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Credit Union Administration","Agency Overall","2010","14","15","<1","134","39","43","13","123","12","32","10","74"
"Office of the Director of National Intelligence","Agency Overall","2010","88","134.99","N/A","847","122","305.53","2","991","N/A","N/A","N/A","N/A"
"Court Services and Offender Supervision Agency","Agency Overall","2010","23","42.1","2","62","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Department of Health and Human Services","Agency Overall","2010","N/A","N/A","0","1401","N/A","N/A","0","3926","N/A","N/A","0","416"
"National Transportation Safety Board","Agency Overall","2010","6","10.1","<1","42","18","39.39","<1","241","N/A","N/A","N/A","N/A"
"U.S. Railroad Retirement Board","Agency Overall","2010","12","12.14","1","24","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"U.S. Agency for Global Media","Agency Overall","2010","19","22","1","69","70","79","17","223","N/A","N/A","N/A","N/A"
"Federal Election Commission","Agency Overall","2010","20","52.6","1","688","65","65","65","65","2","2","2","2"
"National Mediation Board","Agency Overall","2010","10","17","3","87","N/A","N/A","N/A","N/A","10","15","7","29"
"National Indian Gaming Commission","Agency Overall","2010","10","25.3","1","188","102","87","2","166","2","2","1","3"
"U.S. Department of State","Agency Overall","2010","142","144","<1","1723","228","284","21","2162","280","435","<1","1276"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2010","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Equal Employment Opportunity Commission","Agency Overall","2010","9","11.4650419746899","1","240","N/A","N/A","N/A","N/A","1","1","1","1"
"United States African Development Foundation","Agency Overall","2010","8","9","6","14","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"American Battle Monuments Commission","Agency Overall","2010","11","11","3","20","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Office of Science and Technology Policy","Agency Overall","2010","2","11.26","1","123","20","21.3","7","52","20","37","2","123"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2010","22","22","22","22","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Federal Financial Institutions Examination Council","Agency Overall","2010","4","4.15","1","11","20","20","16","24","N/A","N/A","N/A","N/A"
"Pension Benefit Guaranty Corporation","Agency Overall","2010","6","6","N/A","43","N/A","N/A","N/A","N/A","6","6","1","12"
"Federal Communications Commission","Agency Overall","2010","15","23.72","1","744","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Tennessee Valley Authority","Agency Overall","2010","6","7.8","1","20","35","48.8","21","235","N/A","N/A","N/A","N/A"
"Office of Government Ethics","Agency Overall","2010","13.5","13.02","1","173","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Federal Trade Commission","Agency Overall","2010","4","8.23","1","157","22","54.76","1","595","N/A","N/A","N/A","N/A"
