"Agency","Component","Fiscal Year","Median Number of Days","Average Number of Days","Lowest Number of Days","Highest Number of Days"
"Department of Defense","Agency Overall","2010","N/A","215","1","3359"
"United States International Trade Commission","Agency Overall","2010","22","22","22","22"
"Office of National Drug Control Policy","Agency Overall","2010","N/A","N/A","N/A","N/A"
"United States Postal Service","Agency Overall","2010","34","19","5","135"
"General Services Administration","Agency Overall","2010","31","34","1","75"
"Federal Maritime Commission","Agency Overall","2010","39","39","39","39"
"National Credit Union Administration","Agency Overall","2010","18.5","21.25","8","64"
"Office of the Director of National Intelligence","Agency Overall","2010","14","14","14","14"
"Court Services and Offender Supervision Agency","Agency Overall","2010","N/A","N/A","N/A","N/A"
"Department of Health and Human Services","Agency Overall","2010","N/A","N/A","0","4008"
"National Transportation Safety Board","Agency Overall","2010","36","86","4","245"
"U.S. Railroad Retirement Board","Agency Overall","2010","21","21","21","21"
"U.S. Agency for Global Media","Agency Overall","2010","20","20","20","20"
"Federal Election Commission","Agency Overall","2010","N/A","N/A","N/A","N/A"
"National Mediation Board","Agency Overall","2010","16","16","16","16"
"National Indian Gaming Commission","Agency Overall","2010","11.5","11.5","8","15"
"U.S. Department of State","Agency Overall","2010","664","619","<1","1506"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2010","N/A","N/A","N/A","N/A"
"Equal Employment Opportunity Commission","Agency Overall","2010","16","16","1","34"
"United States African Development Foundation","Agency Overall","2010","N/A","N/A","N/A","N/A"
"American Battle Monuments Commission","Agency Overall","2010","N/A","N/A","N/A","N/A"
"Office of Science and Technology Policy","Agency Overall","2010","11","11","11","11"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2010","N/A","N/A","N/A","N/A"
"Federal Financial Institutions Examination Council","Agency Overall","2010","N/A","N/A","N/A","N/A"
"Pension Benefit Guaranty Corporation","Agency Overall","2010","31","28","20","34"
"Federal Communications Commission","Agency Overall","2010","322","389","264","579"
"Tennessee Valley Authority","Agency Overall","2010","20","20","20","20"
"Office of Government Ethics","Agency Overall","2010","16","18.8","3","40"
"Federal Trade Commission","Agency Overall","2010","21","23.07","17","53"
