"Agency","Component","Fiscal Year","Number Affirmed on Appeal","Number Partially Affirmed & Partially Reversed/Remanded on Appeal","Number Completely Reversed/Remanded on Appeal","Number of Appeals Closed for Other Reasons","Total"
"U.S. Commission on Civil Rights","Agency Overall","2010","0","0","0","0","0"
"Social Security Administration","Agency Overall","2010","51","6","91","0","148"
"Department of the Treasury","Agency Overall","2010","326","47","16","11","400"
"National Science Foundation","Agency Overall","2010","4","1","0","0","5"
"Office of Management and Budget","Agency Overall","2010","0","2","3","2","7"
"Merit Systems Protection Board","Agency Overall","2010","2","5","0","0","7"
"National Aeronautics and Space Administration","Agency Overall","2010","11","3","16","2","32"
"Export-Import Bank of the U.S.","Agency Overall","2010","1","0","1","0","2"
"Department of the Interior","Agency Overall","2010","20","3","72","209","304"
"Nuclear Regulatory Commission","Agency Overall","2010","8","6","2","12","28"
"Farm Credit System Insurance Corporation","Agency Overall","2010","0","0","0","0","0"
"Office of Special Counsel","Agency Overall","2010","3","12","1","3","19"
"Selective Service System","Agency Overall","2010","0","0","0","0","0"
"Federal Labor Relations Authority","Agency Overall","2010","0","1","0","0","1"
"Legal Services Corporation","Agency Overall","2010","0","0","0","0","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2010","0","0","0","0","0"
"National Railroad Passenger Corporation","Agency Overall","2010","3","0","0","1","4"
"Department of Defense","Agency Overall","2010","246","139","96","542","1023"
"United States International Trade Commission","Agency Overall","2010","0","1","0","0","1"
"Office of National Drug Control Policy","Agency Overall","2010","0","0","0","0","0"
"United States Postal Service","Agency Overall","2010","89","21","23","18","151"
"General Services Administration","Agency Overall","2010","16","4","0","1","21"
"Federal Maritime Commission","Agency Overall","2010","0","1","0","0","1"
"National Credit Union Administration","Agency Overall","2010","5","4","2","1","12"
"Office of the Director of National Intelligence","Agency Overall","2010","1","0","0","3","4"
"Court Services and Offender Supervision Agency","Agency Overall","2010","0","0","0","0","0"
"Department of Health and Human Services","Agency Overall","2010","64","5","25","275","369"
"National Transportation Safety Board","Agency Overall","2010","3","0","2","2","7"
"U.S. Railroad Retirement Board","Agency Overall","2010","2","1","0","0","3"
"U.S. Agency for Global Media","Agency Overall","2010","2","0","0","0","2"
"Federal Election Commission","Agency Overall","2010","0","0","0","0","0"
"National Mediation Board","Agency Overall","2010","2","0","0","0","2"
"National Indian Gaming Commission","Agency Overall","2010","2","0","0","0","2"
"U.S. Department of State","Agency Overall","2010","91","210","6","13","320"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2010","0","0","0","0","0"
"Equal Employment Opportunity Commission","Agency Overall","2010","121","86","56","39","302"
"United States African Development Foundation","Agency Overall","2010","0","0","0","0","0"
"American Battle Monuments Commission","Agency Overall","2010","0","0","0","0","0"
"Office of Science and Technology Policy","Agency Overall","2010","0","1","0","0","1"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2010","0","0","0","0","0"
"Federal Financial Institutions Examination Council","Agency Overall","2010","0","0","0","0","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2010","2","1","0","0","3"
"Federal Communications Commission","Agency Overall","2010","6","3","0","7","16"
"Tennessee Valley Authority","Agency Overall","2010","4","0","0","0","4"
"Office of Government Ethics","Agency Overall","2010","2","1","1","0","4"
"Federal Trade Commission","Agency Overall","2010","7","2","4","0","13"
"All agencies","Agency Overall","2010","4350","4317","1936","3370","13973"
