"Agency","Component","Fiscal Year","No Records","Records Referred at Initial Request Level","Request Withdrawn","Fee-Related Reason","Records Not Reasonably Described","Improper Request for Other Reason","Not Agency Record","Duplicate Request or Appeal","Request in Litigation","Appeal Based Solely on Denial of Request for Expedited Processing","Other*"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0"
"Federal Open Market Committee","Agency Overall","2010","1","0","0","0","0","0","0","0","0","0","0"
"Department of Veterans Affairs","Agency Overall","2010","40","0","4","1","0","0","0","0","0","0","57"
"Federal Reserve System","Agency Overall","2010","3","0","1","0","0","0","1","0","0","0","0"
"Office of the United States Trade Representative","Agency Overall","2010","1","0","0","0","0","0","0","0","0","0","0"
"Special Inspector General for Iraq Reconstruction","Agency Overall","2010","0","0","0","0","0","0","1","0","0","0","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0"
"Overseas Private Investment Corporation","Agency Overall","2010","1","0","0","0","0","0","0","0","0","0","0"
"Department of Homeland Security","Agency Overall","2010","7","5","62","2","1","191","10","21","23","2","100"
"Commodity Futures Trading Commission","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","2"
"Inter-American Foundation","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0"
"Securities and Exchange Commission","Agency Overall","2010","13","0","1","0","0","1","1","0","0","0","10"
"Department of Agriculture","Agency Overall","2010","11","1","15","5","1","4","0","0","0","0","44"
"Consumer Product Safety Commission","Agency Overall","2010","2","0","0","0","0","0","0","2","0","0","2"
"Office of Personnel Management","Agency Overall","2010","4","0","0","0","0","0","0","0","0","0","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2010","0","0","1","1","0","0","0","0","0","0","0"
"U.S. Commission on Civil Rights","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0"
"Social Security Administration","Agency Overall","2010","2","0","0","2","0","0","0","0","0","0","0"
"Department of the Treasury","Agency Overall","2010","43","1","5","6","5","10","2","3","2","0","36"
"National Science Foundation","Agency Overall","2010","1","0","0","1","0","0","0","0","0","0","1"
"Office of Management and Budget","Agency Overall","2010","2","0","0","0","0","0","0","0","0","0","0"
"Merit Systems Protection Board","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0"
"National Aeronautics and Space Administration","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0"
"Export-Import Bank of the U.S.","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0"
"Department of the Interior","Agency Overall","2010","23","1","0","9","0","3","6","0","18","1","148"
"Nuclear Regulatory Commission","Agency Overall","2010","4","0","3","0","0","1","0","0","0","1","3"
"Farm Credit System Insurance Corporation","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0"
"Office of Special Counsel","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","3"
"Selective Service System","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0"
"Federal Labor Relations Authority","Agency Overall","2010","1","0","0","0","0","0","0","0","0","0","0"
"Legal Services Corporation","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0"
"National Railroad Passenger Corporation","Agency Overall","2010","0","0","1","0","0","0","0","0","0","0","0"
"Department of Defense","Agency Overall","2010","106","15","57","20","5","56","1","31","11","7","245"
"United States International Trade Commission","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0"
"Office of National Drug Control Policy","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0"
"United States Postal Service","Agency Overall","2010","20","25","3","8","5","5","1","0","0","0","0"
"General Services Administration","Agency Overall","2010","11","0","0","0","0","0","0","0","0","0","1"
"Federal Maritime Commission","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0"
"National Credit Union Administration","Agency Overall","2010","2","0","0","1","0","0","0","0","0","0","0"
"Office of the Director of National Intelligence","Agency Overall","2010","0","1","0","0","0","0","0","0","2","1","0"
"Court Services and Offender Supervision Agency","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0"
"Department of Health and Human Services","Agency Overall","2010","16","3","69","4","0","0","0","2","1","10","208"
"National Transportation Safety Board","Agency Overall","2010","1","0","1","0","0","0","0","0","0","0","0"
"U.S. Railroad Retirement Board","Agency Overall","2010","2","0","0","0","0","0","1","0","0","0","0"
"U.S. Agency for Global Media","Agency Overall","2010","0","0","0","1","0","0","1","0","0","0","0"
"Federal Election Commission","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0"
"National Mediation Board","Agency Overall","2010","1","0","0","0","0","0","0","0","0","0","0"
"National Indian Gaming Commission","Agency Overall","2010","1","0","0","0","0","0","0","0","0","0","0"
"U.S. Department of State","Agency Overall","2010","7","1","0","19","0","0","0","1","1","12","10"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0"
"Equal Employment Opportunity Commission","Agency Overall","2010","5","0","0","0","0","3","0","0","0","0","8"
"United States African Development Foundation","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0"
"American Battle Monuments Commission","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0"
"Office of Science and Technology Policy","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0"
"Federal Financial Institutions Examination Council","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0"
"Federal Communications Commission","Agency Overall","2010","0","0","6","2","0","0","0","0","0","0","1"
"Tennessee Valley Authority","Agency Overall","2010","1","0","0","0","0","0","0","0","0","0","0"
"Office of Government Ethics","Agency Overall","2010","2","0","0","0","0","0","0","0","0","0","0"
"Federal Trade Commission","Agency Overall","2010","0","0","0","1","0","0","0","0","0","0","1"
"All agencies","Agency Overall","2010","1087","102","384","264","39","384","58","173","142","61","1940"
