"Agency","Component","Fiscal Year","<1-20 Days","21-40 Days","41-60 Days","61-80 Days","81-100 Days","101-120 Days","121-140 Days","141-160 Days","161-180 Days","181-200 Days","201-300 Days","301-400 Days","401+ Days","Total"
"Federal Financial Institutions Examination Council","Agency Overall","2015","1","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Export-Import Bank of the U.S.","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Justice","Agency Overall","2015","59","20","9","9","11","7","12","11","6","4","9","6","9","172"
"Department of Commerce","Agency Overall","2015","38","2","2","0","2","0","0","2","0","0","0","1","1","48"
"Selective Service System","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Equal Employment Opportunity Commission","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Consumer Product Safety Commission","Agency Overall","2015","0","1","0","0","0","0","0","0","0","0","0","0","0","1"
"Legal Services Corporation","Agency Overall","2015","2","1","0","0","0","0","0","0","0","0","0","0","0","3"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Central Intelligence Agency","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Occupational Safety and Health Review Commission","Agency Overall","2015","1","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Federal Housing Finance Agency","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States Access Board","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Labor Relations Board","Agency Overall","2015","5","0","0","0","0","0","0","0","0","0","0","0","0","5"
"Office of Management and Budget","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Administrative Conference of the United States","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Commission on Civil Rights","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Mediation Board","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Election Commission","Agency Overall","2015","3","0","0","0","0","0","0","0","0","0","0","0","0","3"
"National Endowment for the Humanities","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Mediation and Conciliation Service","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Reserve System","Agency Overall","2015","3","1","0","0","0","0","0","0","0","0","0","0","0","4"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Agriculture","Agency Overall","2015","10","0","0","3","0","0","0","0","0","1","0","1","0","15"
"Office of Special Counsel","Agency Overall","2015","2","2","2","2","1","1","1","1","0","2","1","0","1","16"
"U.S. Agency for International Development","Agency Overall","2015","2","4","0","3","0","3","0","0","0","0","0","0","0","12"
"Pension Benefit Guaranty Corporation","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Labor","Agency Overall","2015","80","8","5","2","2","2","0","0","1","0","3","1","4","108"
"United States International Boundary and Water Commission","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of the Treasury","Agency Overall","2015","8","7","3","1","0","0","0","0","0","0","1","2","7","29"
"Overseas Private Investment Corporation","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Endowment for the Arts","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Council on Environmental Quality","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Millennium Challenge Corporation","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Health and Human Services","Agency Overall","2015","12","7","4","6","3","3","0","2","3","7","10","2","5","64"
"Securities and Exchange Commission","Agency Overall","2015","0","0","2","0","0","0","0","0","0","0","0","1","0","3"
"Department of Transportation","Agency Overall","2015","16","4","3","2","0","0","0","0","0","0","1","0","2","28"
"Armed Forces Retirement Home","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Court Services and Offender Supervision Agency","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"American Battle Monuments Commission","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Transportation Safety Board","Agency Overall","2015","1","0","1","1","0","0","0","0","0","0","1","0","0","4"
"United States International Trade Commission","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of the United States Trade Representative","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Surface Transportation Board","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Credit Union Administration","Agency Overall","2015","1","0","0","0","0","0","0","0","0","0","0","0","0","1"
"National Archives and Records Administration","Agency Overall","2015","6","2","3","0","1","0","1","0","0","1","0","0","0","14"
"Environmental Protection Agency","Agency Overall","2015","8","5","1","1","0","1","0","0","1","1","0","0","2","20"
"Postal Regulatory Commission","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States Trade and Development Agency","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Peace Corps","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"General Services Administration","Agency Overall","2015","10","2","1","0","1","0","0","0","0","0","0","0","0","14"
"Department of Education","Agency Overall","2015","5","2","0","1","0","0","0","0","0","0","0","0","0","8"
"Federal Labor Relations Authority","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Farm Credit Administration","Agency Overall","2015","5","0","0","0","0","0","0","0","0","0","0","0","0","5"
"Office of Science and Technology Policy","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Housing and Urban Development","Agency Overall","2015","8","2","0","0","0","0","0","0","0","0","1","0","0","11"
"National Aeronautics and Space Administration","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Open Market Committee","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Personnel Management","Agency Overall","2015","37","11","2","1","2","0","1","0","0","1","0","0","0","55"
"Department of the Interior","Agency Overall","2015","15","4","0","1","2","0","1","0","0","0","2","2","1","28"
"Commodity Futures Trading Commission","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Defense","Agency Overall","2015","133","22","10","12","5","3","2","1","2","2","5","2","9","208"
"Defense Nuclear Facilities Safety Board","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Communications Commission","Agency Overall","2015","15","0","0","0","0","0","0","0","0","0","0","0","0","15"
"Merit Systems Protection Board","Agency Overall","2015","3","2","0","0","0","0","0","0","0","0","0","0","0","5"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Government Ethics","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Capital Planning Commission","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"All agencies","Agency Overall","2015","716","168","68","53","34","27","22","21","16","22","41","23","42","1253"
