"Agency","Component","Fiscal Year","Number of Backlogged Requests as of End of Fiscal Year","Number of Backlogged Appeals as of End of Fiscal Year"
"Environmental Protection Agency","Agency Overall","2015","1355","174"
"Postal Regulatory Commission","Agency Overall","2015","0","0"
"United States Trade and Development Agency","Agency Overall","2015","21","0"
"Peace Corps","Agency Overall","2015","130","0"
"General Services Administration","Agency Overall","2015","49","1"
"Department of Education","Agency Overall","2015","265","69"
"Federal Labor Relations Authority","Agency Overall","2015","0","0"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2015","0","0"
"Farm Credit Administration","Agency Overall","2015","0","0"
"Office of Science and Technology Policy","Agency Overall","2015","7","0"
"Department of Housing and Urban Development","Agency Overall","2015","256","6"
"National Aeronautics and Space Administration","Agency Overall","2015","10","2"
"Federal Open Market Committee","Agency Overall","2015","1","0"
"Office of Personnel Management","Agency Overall","2015","77","17"
"Department of the Interior","Agency Overall","2015","571","233"
"Commodity Futures Trading Commission","Agency Overall","2015","53","1"
"Department of Defense","Agency Overall","2015","9493","797"
"Defense Nuclear Facilities Safety Board","Agency Overall","2015","1","0"
"Federal Communications Commission","Agency Overall","2015","25","9"
"Merit Systems Protection Board","Agency Overall","2015","44","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2015","21","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2015","1","0"
"Office of Government Ethics","Agency Overall","2015","1","0"
"National Capital Planning Commission","Agency Overall","2015","0","0"
"All agencies","Agency Overall","2015","102828","4197"
