"Agency","Component","Fiscal Year","Number of Consultations Received from Other Agencies that were Pending at the Agency as of Start of the Fiscal Year","Number of Consultations Received from Other Agencies During the Fiscal Year","Number of Consultations Received from Other Agencies that were Processed by the Agency During the Fiscal Year","Number of Consultations Received from Other Agencies that were Pending at the Agency as of End of the Fiscal Year"
"Federal Mediation and Conciliation Service","Agency Overall","2015","0","0","0","0"
"Federal Reserve System","Agency Overall","2015","3","3","5","1"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2015","0","0","0","0"
"Department of Agriculture","Agency Overall","2015","3","53","49","7"
"Office of Special Counsel","Agency Overall","2015","0","6","3","3"
"U.S. Agency for International Development","Agency Overall","2015","9","24","25","8"
"Pension Benefit Guaranty Corporation","Agency Overall","2015","0","1","1","0"
"Department of Labor","Agency Overall","2015","9","72","74","7"
"United States International Boundary and Water Commission","Agency Overall","2015","0","0","0","0"
"Department of the Treasury","Agency Overall","2015","65","207","237","35"
"Overseas Private Investment Corporation","Agency Overall","2015","0","1","1","0"
"National Endowment for the Arts","Agency Overall","2015","0","0","0","0"
"Council on Environmental Quality","Agency Overall","2015","5","21","26","0"
"Millennium Challenge Corporation","Agency Overall","2015","0","0","0","0"
"Department of Health and Human Services","Agency Overall","2015","0","69","65","4"
"Securities and Exchange Commission","Agency Overall","2015","2","12","13","1"
"Department of Transportation","Agency Overall","2015","5","18","21","2"
"Armed Forces Retirement Home","Agency Overall","2015","0","1","1","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2015","0","0","0","0"
"Court Services and Offender Supervision Agency","Agency Overall","2015","0","0","0","0"
"American Battle Monuments Commission","Agency Overall","2015","0","0","0","0"
"National Transportation Safety Board","Agency Overall","2015","0","0","0","0"
"United States International Trade Commission","Agency Overall","2015","0","0","0","0"
"Office of the United States Trade Representative","Agency Overall","2015","5","19","17","7"
"Surface Transportation Board","Agency Overall","2015","0","0","0","0"
"National Credit Union Administration","Agency Overall","2015","0","0","0","0"
"National Archives and Records Administration","Agency Overall","2015","0","4","4","0"
"Environmental Protection Agency","Agency Overall","2015","0","16","13","3"
"Postal Regulatory Commission","Agency Overall","2015","0","0","0","0"
"United States Trade and Development Agency","Agency Overall","2015","1","0","1","0"
"Peace Corps","Agency Overall","2015","1","2","1","2"
"General Services Administration","Agency Overall","2015","0","0","0","0"
"Department of Education","Agency Overall","2015","0","0","0","0"
"Federal Labor Relations Authority","Agency Overall","2015","0","0","0","0"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2015","0","0","0","0"
"Farm Credit Administration","Agency Overall","2015","0","0","0","0"
"Office of Science and Technology Policy","Agency Overall","2015","0","8","8","0"
"Department of Housing and Urban Development","Agency Overall","2015","1","8","9","0"
"National Aeronautics and Space Administration","Agency Overall","2015","2","11","13","0"
"Federal Open Market Committee","Agency Overall","2015","0","0","0","0"
"Office of Personnel Management","Agency Overall","2015","0","21","19","2"
"Department of the Interior","Agency Overall","2015","1","68","66","3"
"Commodity Futures Trading Commission","Agency Overall","2015","0","0","0","0"
"Department of Defense","Agency Overall","2015","1112","2210","2033","1289"
"Defense Nuclear Facilities Safety Board","Agency Overall","2015","0","0","0","0"
"Federal Communications Commission","Agency Overall","2015","0","1","1","0"
"Merit Systems Protection Board","Agency Overall","2015","0","0","0","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2015","0","0","0","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2015","0","0","0","0"
"Office of Government Ethics","Agency Overall","2015","0","0","0","0"
"National Capital Planning Commission","Agency Overall","2015","0","0","0","0"
"All agencies","Agency Overall","2015","3454","15836","13724","5566"
