"Agency","Component","Fiscal Year","Number of Requests Pending as of Start of Fiscal Year","Number of Requests Received in Fiscal Year","Number of Requests Processed in Fiscal Year","Number of Requests Pending as of End of Fiscal Year"
"National Endowment for the Arts","Agency Overall","2015","4","55","58","1"
"Council on Environmental Quality","Agency Overall","2015","48","83","75","56"
"Millennium Challenge Corporation","Agency Overall","2015","23","18","41","0"
"Department of Health and Human Services","Agency Overall","2015","9785","43085","45186","7684"
"Securities and Exchange Commission","Agency Overall","2015","607","16898","16207","1298"
"Department of Transportation","Agency Overall","2015","2489","13374","12681","3182"
"Armed Forces Retirement Home","Agency Overall","2015","0","13","13","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2015","1","140","140","1"
"Court Services and Offender Supervision Agency","Agency Overall","2015","58","532","525","65"
"American Battle Monuments Commission","Agency Overall","2015","0","5","5","0"
"National Transportation Safety Board","Agency Overall","2015","519","566","394","691"
"United States International Trade Commission","Agency Overall","2015","1","31","30","2"
"Office of the United States Trade Representative","Agency Overall","2015","23","102","93","32"
"Surface Transportation Board","Agency Overall","2015","0","65","65","0"
"National Credit Union Administration","Agency Overall","2015","2","89","86","5"
"National Archives and Records Administration","Agency Overall","2015","9361","22555","23591","8325"
"Environmental Protection Agency","Agency Overall","2015","2508","10910","11278","2140"
"Postal Regulatory Commission","Agency Overall","2015","0","8","8","0"
"United States Trade and Development Agency","Agency Overall","2015","10","18","6","22"
"Peace Corps","Agency Overall","2015","133","248","231","150"
"General Services Administration","Agency Overall","2015","174","934","973","135"
"Department of Education","Agency Overall","2015","388","2297","2315","370"
"Federal Labor Relations Authority","Agency Overall","2015","2","85","85","2"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2015","1","11","12","0"
"Farm Credit Administration","Agency Overall","2015","1","41","42","0"
"Office of Science and Technology Policy","Agency Overall","2015","5","99","94","10"
"Department of Housing and Urban Development","Agency Overall","2015","409","2230","2180","459"
"National Aeronautics and Space Administration","Agency Overall","2015","57","923","923","57"
"Federal Open Market Committee","Agency Overall","2015","8","34","41","1"
"Office of Personnel Management","Agency Overall","2015","333","10720","10854","199"
"Department of the Interior","Agency Overall","2015","1001","6792","6757","1036"
"Commodity Futures Trading Commission","Agency Overall","2015","35","228","204","59"
"Department of Defense","Agency Overall","2015","11704","57498","56507","12695"
"Defense Nuclear Facilities Safety Board","Agency Overall","2015","3","19","20","2"
"Federal Communications Commission","Agency Overall","2015","67","785","745","107"
"Merit Systems Protection Board","Agency Overall","2015","21","165","136","50"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2015","9","45","30","24"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2015","0","6","5","1"
"Office of Government Ethics","Agency Overall","2015","3","70","69","4"
"National Capital Planning Commission","Agency Overall","2015","0","3","3","0"
"All agencies","Agency Overall","2015","198284","713168","769903","141549"
