"Agency","Component","Fiscal Year","<1-20 Days","21-40 Days","41-60 Days","61-80 Days","81-100 Days","101-120 Days","121-140 Days","141-160 Days","161-180 Days","181-200 Days","201-300 Days","301-400 Days","401+ Days","Total"
"Occupational Safety and Health Review Commission","Agency Overall","2015","5","4","0","0","0","0","0","0","0","0","0","0","0","9"
"Federal Housing Finance Agency","Agency Overall","2015","6","6","2","2","2","1","2","1","1","0","0","0","1","24"
"United States Access Board","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Labor Relations Board","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Management and Budget","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Administrative Conference of the United States","Agency Overall","2015","1","0","0","0","0","0","0","0","0","0","0","0","0","1"
"U.S. Commission on Civil Rights","Agency Overall","2015","4","1","1","0","0","0","0","0","0","0","0","0","0","6"
"National Mediation Board","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Election Commission","Agency Overall","2015","0","8","1","3","0","0","2","0","0","0","3","1","1","19"
"National Endowment for the Humanities","Agency Overall","2015","4","3","0","2","0","1","0","0","0","0","0","0","0","10"
"Federal Mediation and Conciliation Service","Agency Overall","2015","0","1","0","0","0","0","0","0","0","0","0","0","0","1"
"Federal Reserve System","Agency Overall","2015","134","85","49","27","16","10","5","5","3","5","5","2","0","346"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2015","2","5","4","1","2","0","2","0","0","0","3","0","1","20"
"Department of Agriculture","Agency Overall","2015","772","235","131","80","57","31","32","17","17","19","46","27","125","1589"
"Office of Special Counsel","Agency Overall","2015","1","1","1","0","1","2","1","3","0","0","9","6","30","55"
"U.S. Agency for International Development","Agency Overall","2015","33","19","16","16","13","4","7","18","6","3","41","15","62","253"
"Pension Benefit Guaranty Corporation","Agency Overall","2015","783","257","29","9","4","10","0","1","1","0","0","0","0","1094"
"Department of Labor","Agency Overall","2015","6931","1417","411","273","164","113","90","61","44","26","98","43","114","9785"
"United States International Boundary and Water Commission","Agency Overall","2015","22","3","1","1","0","0","0","1","0","0","0","0","0","28"
"Department of the Treasury","Agency Overall","2015","5574","1597","654","280","161","82","77","44","23","27","65","47","72","8703"
"Overseas Private Investment Corporation","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Endowment for the Arts","Agency Overall","2015","1","3","1","0","0","0","0","0","0","0","0","0","1","6"
"Council on Environmental Quality","Agency Overall","2015","9","1","4","2","0","1","0","0","0","0","1","0","1","19"
"Millennium Challenge Corporation","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Health and Human Services","Agency Overall","2015","5915","3827","993","602","454","332","249","352","260","276","1044","773","1116","16193"
"Securities and Exchange Commission","Agency Overall","2015","10","1","1","0","0","0","0","0","0","0","0","0","2","14"
"Department of Transportation","Agency Overall","2015","518","624","356","206","162","207","170","82","43","21","67","43","62","2561"
"Armed Forces Retirement Home","Agency Overall","2015","0","1","0","0","0","0","0","0","0","0","0","0","0","1"
"Federal Mine Safety and Health Review Commission","Agency Overall","2015","15","1","0","0","0","1","0","0","0","0","0","0","0","17"
"Court Services and Offender Supervision Agency","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"American Battle Monuments Commission","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Transportation Safety Board","Agency Overall","2015","72","26","13","13","17","7","5","2","5","6","19","27","126","338"
"United States International Trade Commission","Agency Overall","2015","0","7","0","0","0","0","0","0","0","0","0","0","0","7"
"Office of the United States Trade Representative","Agency Overall","2015","34","17","1","6","1","0","0","0","0","0","0","0","0","59"
"Surface Transportation Board","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Credit Union Administration","Agency Overall","2015","16","15","5","1","0","1","0","0","0","0","0","0","0","38"
"National Archives and Records Administration","Agency Overall","2015","115","45","18","10","4","4","5","8","4","10","97","136","738","1194"
"Environmental Protection Agency","Agency Overall","2015","599","2623","1055","604","249","205","128","110","112","89","237","81","157","6249"
"Postal Regulatory Commission","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States Trade and Development Agency","Agency Overall","2015","0","4","0","0","1","1","0","0","0","0","0","0","0","6"
"Peace Corps","Agency Overall","2015","0","1","6","3","4","0","1","2","6","2","2","0","21","48"
"General Services Administration","Agency Overall","2015","80","74","30","17","4","3","1","0","1","0","1","0","0","211"
"Department of Education","Agency Overall","2015","8","339","210","128","107","47","36","34","13","14","48","28","29","1041"
"Federal Labor Relations Authority","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Farm Credit Administration","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Science and Technology Policy","Agency Overall","2015","1","0","4","2","2","1","2","0","0","0","2","1","0","15"
"Department of Housing and Urban Development","Agency Overall","2015","123","86","51","39","26","29","16","16","8","13","34","18","3","462"
"National Aeronautics and Space Administration","Agency Overall","2015","228","82","23","5","6","2","4","0","0","0","3","0","1","354"
"Federal Open Market Committee","Agency Overall","2015","0","1","0","0","1","1","1","2","2","1","1","0","4","14"
"Office of Personnel Management","Agency Overall","2015","1413","1247","134","59","40","32","22","8","5","2","18","3","4","2987"
"Department of the Interior","Agency Overall","2015","2963","914","350","197","128","88","57","51","55","28","90","30","61","5012"
"Commodity Futures Trading Commission","Agency Overall","2015","37","10","9","6","2","7","4","2","3","5","4","2","0","91"
"Department of Defense","Agency Overall","2015","7402","4576","1651","1030","738","491","389","322","280","215","749","403","1397","19643"
"Defense Nuclear Facilities Safety Board","Agency Overall","2015","0","4","1","0","0","0","0","0","0","0","0","0","0","5"
"Federal Communications Commission","Agency Overall","2015","0","1","0","1","0","0","0","0","0","0","5","0","0","7"
"Merit Systems Protection Board","Agency Overall","2015","0","0","0","1","0","0","1","0","0","1","4","0","0","7"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2015","1","3","1","1","1","0","1","1","0","2","0","0","0","11"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Government Ethics","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Capital Planning Commission","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"All agencies","Agency Overall","2015","78329","31505","63682","28490","7955","7000","5367","4271","3613","3273","15845","14418","16983","280731"
