"Agency","Component","Fiscal Year","Number Affirmed on Appeal","Number Partially Affirmed & Partially Reversed/Remanded on Appeal","Number Completely Reversed/Remanded on Appeal","Number of Appeals Closed for Other Reasons","Total"
"National Mediation Board","Agency Overall","2015","0","0","0","0","0"
"Federal Election Commission","Agency Overall","2015","2","1","1","0","4"
"National Endowment for the Humanities","Agency Overall","2015","1","0","0","0","1"
"Federal Mediation and Conciliation Service","Agency Overall","2015","0","0","0","0","0"
"Federal Reserve System","Agency Overall","2015","14","3","0","1","18"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2015","0","0","0","0","0"
"Department of Agriculture","Agency Overall","2015","31","48","22","70","171"
"Office of Special Counsel","Agency Overall","2015","3","2","0","2","7"
"U.S. Agency for International Development","Agency Overall","2015","4","9","4","12","29"
"Pension Benefit Guaranty Corporation","Agency Overall","2015","6","3","3","6","18"
"Department of Labor","Agency Overall","2015","14","12","84","187","297"
"United States International Boundary and Water Commission","Agency Overall","2015","0","1","0","0","1"
"Department of the Treasury","Agency Overall","2015","283","10","10","24","327"
"Overseas Private Investment Corporation","Agency Overall","2015","0","1","0","0","1"
"National Endowment for the Arts","Agency Overall","2015","0","0","0","0","0"
"Council on Environmental Quality","Agency Overall","2015","0","1","0","0","1"
"Millennium Challenge Corporation","Agency Overall","2015","0","0","0","0","0"
"Department of Health and Human Services","Agency Overall","2015","64","26","5","187","282"
"Securities and Exchange Commission","Agency Overall","2015","369","29","65","42","505"
"Department of Transportation","Agency Overall","2015","60","29","52","14","155"
"Armed Forces Retirement Home","Agency Overall","2015","1","0","1","0","2"
"Federal Mine Safety and Health Review Commission","Agency Overall","2015","0","0","0","0","0"
"Court Services and Offender Supervision Agency","Agency Overall","2015","0","0","0","0","0"
"American Battle Monuments Commission","Agency Overall","2015","0","0","0","0","0"
"National Transportation Safety Board","Agency Overall","2015","0","2","1","4","7"
"United States International Trade Commission","Agency Overall","2015","2","2","0","0","4"
"Office of the United States Trade Representative","Agency Overall","2015","2","3","0","0","5"
"Surface Transportation Board","Agency Overall","2015","1","0","1","0","2"
"National Credit Union Administration","Agency Overall","2015","2","2","0","0","4"
"National Archives and Records Administration","Agency Overall","2015","2","1","2","22","27"
"Environmental Protection Agency","Agency Overall","2015","77","27","18","106","228"
"Postal Regulatory Commission","Agency Overall","2015","0","0","0","0","0"
"United States Trade and Development Agency","Agency Overall","2015","0","0","0","0","0"
"Peace Corps","Agency Overall","2015","4","1","0","4","9"
"General Services Administration","Agency Overall","2015","22","9","0","6","37"
"Department of Education","Agency Overall","2015","32","15","10","6","63"
"Federal Labor Relations Authority","Agency Overall","2015","3","0","0","1","4"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2015","2","1","0","0","3"
"Farm Credit Administration","Agency Overall","2015","1","0","0","0","1"
"Office of Science and Technology Policy","Agency Overall","2015","5","1","0","0","6"
"Department of Housing and Urban Development","Agency Overall","2015","17","7","6","8","38"
"National Aeronautics and Space Administration","Agency Overall","2015","13","8","2","4","27"
"Federal Open Market Committee","Agency Overall","2015","1","0","0","0","1"
"Office of Personnel Management","Agency Overall","2015","4","4","2","10","20"
"Department of the Interior","Agency Overall","2015","25","16","96","84","221"
"Commodity Futures Trading Commission","Agency Overall","2015","8","1","2","4","15"
"Department of Defense","Agency Overall","2015","263","171","179","390","1003"
"Defense Nuclear Facilities Safety Board","Agency Overall","2015","0","0","1","0","1"
"Federal Communications Commission","Agency Overall","2015","3","0","0","6","9"
"Merit Systems Protection Board","Agency Overall","2015","3","1","0","1","5"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2015","0","0","0","0","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2015","0","0","0","0","0"
"Office of Government Ethics","Agency Overall","2015","1","5","0","0","6"
"National Capital Planning Commission","Agency Overall","2015","0","0","0","0","0"
"All agencies","Agency Overall","2015","6093","1945","2553","3683","14274"
