"Agency","Component","Fiscal Year","Number Received During Fiscal Year from Last Year's Annual Report","Number Received During Fiscal Year from Current Annual Report","Number Processed During Fiscal Year from Last Year's Annual Report","Number Processed During Fiscal Year from Current Annual Report"
"Federal Financial Institutions Examination Council","Agency Overall","2015","18","23","18","23"
"Export-Import Bank of the U.S.","Agency Overall","2015","60","100","60","101"
"Federal Retirement Thrift Investment Board","Agency Overall","2015","32","14","33","12"
"Department of Justice","Agency Overall","2015","64533","67783","63026","67825"
"Department of Commerce","Agency Overall","2015","1896","2230","1774","2163"
"Selective Service System","Agency Overall","2015","49","7","49","7"
"Equal Employment Opportunity Commission","Agency Overall","2015","17213","17883","17314","17481"
"Consumer Product Safety Commission","Agency Overall","2015","1240","715","1249","770"
"Legal Services Corporation","Agency Overall","2015","54","54","54","49"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2015","38","15","42","15"
"Central Intelligence Agency","Agency Overall","2015","3737","3618","3795","3181"
"Occupational Safety and Health Review Commission","Agency Overall","2015","61","53","62","55"
"Federal Housing Finance Agency","Agency Overall","2015","160","169","171","161"
"United States Access Board","Agency Overall","2015","12","11","12","11"
"National Labor Relations Board","Agency Overall","2015","4472","4011","4425","3679"
"Office of Management and Budget","Agency Overall","2015","152","198","180","163"
"Administrative Conference of the United States","Agency Overall","2015","17","26","17","26"
"U.S. Commission on Civil Rights","Agency Overall","2015","44","21","43","22"
"National Mediation Board","Agency Overall","2015","38","36","38","35"
"Federal Election Commission","Agency Overall","2015","98","91","87","81"
"National Endowment for the Humanities","Agency Overall","2015","49","62","47","61"
"Federal Mediation and Conciliation Service","Agency Overall","2015","141","55","137","57"
"Federal Reserve System","Agency Overall","2015","812","778","815","770"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2015","68","47","66","48"
"Department of Agriculture","Agency Overall","2015","19864","20132","19243","19559"
"Office of Special Counsel","Agency Overall","2015","166","148","91","115"
"U.S. Agency for International Development","Agency Overall","2015","373","330","315","305"
"Pension Benefit Guaranty Corporation","Agency Overall","2015","2094","2278","2083","2217"
"Department of Labor","Agency Overall","2015","16106","16792","16715","17104"
"United States International Boundary and Water Commission","Agency Overall","2015","34","27","33","28"
"Department of the Treasury","Agency Overall","2015","14107","13922","13990","13987"
"Overseas Private Investment Corporation","Agency Overall","2015","49","40","46","36"
"National Endowment for the Arts","Agency Overall","2015","71","55","73","58"
"Council on Environmental Quality","Agency Overall","2015","35","83","30","75"
"Millennium Challenge Corporation","Agency Overall","2015","33","18","14","41"
"Department of Health and Human Services","Agency Overall","2015","44283","43085","42293","45186"
"Securities and Exchange Commission","Agency Overall","2015","14841","16898","14739","16207"
"Department of Transportation","Agency Overall","2015","12012","13374","11213","12681"
"Armed Forces Retirement Home","Agency Overall","2015","13","13","13","13"
"Federal Mine Safety and Health Review Commission","Agency Overall","2015","152","140","156","140"
"Court Services and Offender Supervision Agency","Agency Overall","2015","724","532","770","525"
"American Battle Monuments Commission","Agency Overall","2015","9","5","10","5"
"National Transportation Safety Board","Agency Overall","2015","587","566","409","394"
"United States International Trade Commission","Agency Overall","2015","39","31","39","30"
"Office of the United States Trade Representative","Agency Overall","2015","66","102","71","93"
"Surface Transportation Board","Agency Overall","2015","34","65","36","65"
"National Credit Union Administration","Agency Overall","2015","108","89","108","86"
"National Archives and Records Administration","Agency Overall","2015","22237","22555","19476","23591"
"Environmental Protection Agency","Agency Overall","2015","10470","10910","10130","11278"
"Postal Regulatory Commission","Agency Overall","2015","31","8","31","8"
"United States Trade and Development Agency","Agency Overall","2015","32","18","24","6"
"Peace Corps","Agency Overall","2015","291","248","194","231"
"General Services Administration","Agency Overall","2015","1522","934","1509","973"
"Department of Education","Agency Overall","2015","2231","2297","2147","2315"
"Federal Labor Relations Authority","Agency Overall","2015","105","85","106","85"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2015","7","11","6","12"
"Farm Credit Administration","Agency Overall","2015","43","41","44","42"
"Office of Science and Technology Policy","Agency Overall","2015","93","99","89","94"
"Department of Housing and Urban Development","Agency Overall","2015","2367","2230","2224","2180"
"National Aeronautics and Space Administration","Agency Overall","2015","793","923","790","923"
"Federal Open Market Committee","Agency Overall","2015","29","34","29","41"
"Office of Personnel Management","Agency Overall","2015","8302","10720","8463","10854"
"Department of the Interior","Agency Overall","2015","5764","6792","5647","6757"
"Commodity Futures Trading Commission","Agency Overall","2015","166","228","151","204"
"Department of Defense","Agency Overall","2015","61085","57498","59341","56507"
"Defense Nuclear Facilities Safety Board","Agency Overall","2015","30","19","31","20"
"Federal Communications Commission","Agency Overall","2015","679","785","673","745"
"Merit Systems Protection Board","Agency Overall","2015","221","165","212","136"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2015","64","45","54","30"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2015","16","6","16","5"
"Office of Government Ethics","Agency Overall","2015","28","70","30","69"
"National Capital Planning Commission","Agency Overall","2015","14","3","14","3"
"All agencies","Agency Overall","2015","715538","713168","647264","769903"
