"Agency","Component","Fiscal Year","Statute","Case Citation","Type of Information Withheld","Number of Times Relied Upon"
"Department of Energy","Agency Overall","2015","42 U.S.C. § 2162","Meeropol v. Smith, No. 75-1221, slip op. at 53-55 (D.D.C. Feb. 29, 1984), Aff'd in relevant part & remanded in part on other grounds sub nom, Meeropol v. Meese, 790 F.2d 942 (D.C. Cir. 1986)","Restricted Data, Formerly Restricted Data, or Unclassified Controlled Nuclear Information","39"
"Department of Energy","Agency Overall","2015","6 U.S.C. § 133","N/A","Information about the location, character, or ownership of a historic property.","1"
"Department of Energy","Agency Overall","2015","16 U.S.C. § 470","N/A","National Historic Preservation Act of 1966 - Agency withheld cultural resource information.","1"
"Department of Energy","Agency Overall","2015","26 U.S.C. § 6103","Tax Analysts v. Internal Revenue Serv., DC Cir. 2005","Internal Revenue Code - Agency withheld taxpayer identification numbers","3"
"Department of Energy","Agency Overall","2015","41 U.S.C § 253b(m)(1)","Sinkfield v. HUD, No. 10-885, 2012 U.S. Dist. LEXIS 35233, at *13-15 (S.D. Ohio Mar. 15,2012); Margolin v. NASA, No. 09-CV-00421, 2011 WL 1303221, at *6 (D. Nev. Mar. 31, 2011); Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. cir. Aug 25, 2004)","Contractor proposals that are in the possession or control of an executive agency and that have not been set forth or incorporated by reference into contracts","11"
"Department of Energy","Agency Overall","2015","5 U.S.C. app. § 107(a) (Ethics in Government Act of 1978)","Meyerhoff v. EPA, 958 F.2d 1498, 1500-02 (9th Cir. 1992); Concepcion v. FBI, 606 F. Supp. 2d 14, 33 (D.D.C. 2009), renewed motion for summary judgment granted","Financial disclosure information pertaining to certain government employees","1"
"Department of Energy","Agency Overall","2015","50 U.S.C. App § 2170(c)","N/A","Any information or documentary material filed with CFIUS","1"
"Department of Energy","Agency Overall","2015","44 U.S.C. § 3501 note","N/A","Confidential respondent data","2"
"Department of Energy","Agency Overall","2015","28 U.S.C. § 652(d)","Yelder v. DOD, 577 F. Supp. 2d 342, 347-48 (D.D.C. 2008)","""[C]onfidential dispute resolution communications""","1"
"Department of Energy","Agency Overall","2015","5 U.S.C. app. § 105","N/A","Financial disclosure reports","1"
"Department of Energy","Agency Overall","2015","35 U.S.C. § 181","N/A","Patent Information","2"
"Department of Energy","Agency Overall","2015","22 U.S.C. § 2778(e)","Council for a Livable World v. U.S. Dep't of State, No. 96-1807, slip op. at 11 (D.D.C. Jan. 21, 1998), amended (D.D.C. Nov. 23, 1998).","ITAR (International Traffic in Arms Regulations) (Title 22 CFR 120-130) - Certain information pertaining to export license applications","1"
"Federal Maritime Commission","Agency Overall","2015","46 U.S.C. § 40306","N/A","Agreement information and documents filed with the Commission (other than Agreements)","2"
"Federal Maritime Commission","Agency Overall","2015","26 U.S.C. §§ 6103, 6105","Church of Scientology v. IRS, 484 U.S. 9, 15 (1987) (26 U.S.C., Section 6103); Leonard v. U.S. Dept. of Treasury, 590 F. Appendix 141, 143-144 (3d Cir. 2014) (per curiam); Pacific Fisheries, Inc. v. IRS, 395 F. Appendix 438, 440 (9th Cir. 2010) (unpublished disposition) (26 U.S.C., Sections 6103, 6105); Tax Analysts v. IRS, 217 F. Supp. 2d 23, 27-29 (D.D.C. 2002) (26 U.S.C., Section 6105)","Certain tax return information, to include taxpayer identification numbers of third parties","1"
"Federal Maritime Commission","Agency Overall","2015","46 U.S.C. § 40502(b)(1)","N/A","Service Contracts entered into by an individual ocean common carrier or an agreement","1"
"Department of Homeland Security","Agency Overall","2015","41 U.S.C. § 253b(m)(1) (currently at 41 U.S.C. § 4702)","Sinkfield v. HUD, No. 10-885, 2012 U.S. Dist. LEXIS 35233, at *13-15 (S.D. Ohio Mar. 15, 2012); Margolin v. NASA, No. 09-CV-00421, 2011 WL 1303221, at *6 (D. Nev. Mar. 31, 2011); Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).","Contractor proposals that are in the possession or control of an executive agency and that have not been set forth or incorporated by reference into contracts","20"
"Department of Homeland Security","Agency Overall","2015","6 U.S.C. § 121 - Information and Analysis and Infrastructure Protection","","Intelligence sources and methods","12"
"Department of Homeland Security","Agency Overall","2015","50 U.S.C. § 403-1(i)(1) (currently at 50 U.S.C. § 3024(i)(1)) (National Security Act of 1947)","CIA v. Sims, 471 U.S. 159, 167 (1985); ACLU v. DOJ, 681 F.3d 61, 72-75 (2d Cir. May 21, 2012); ACLU v. DOD, 628 F.3d 612, 619, 626 (D.C. Cir. 2011); Berman v. CIA, 501 F.3d 1136, 1137-38, 1140 (9th Cir. 2007).","Intelligence sources and methods","23"
"Department of Homeland Security","Agency Overall","2015","18 U.S.C. § 3509(d) (Federal Victims' Protection and Rights Act)","Davis v. U.S. Postal Inspection Serv., No. 13-01972, 2014 WL 7014877, at *3 (D.D.C. Dec. 15, 2014); Rodriguez v. U.S. Dep't of Army, 31 F. Supp. 3d 218, 236-37 (D.D.C. 2014).","Certain records containing identifying information pertaining to children involved in criminal proceedings","39"
"Department of Homeland Security","Agency Overall","2015","31 U.S.C. § 5319 (Bank Secrecy Act)","Ortiz v. DOJ, No. 12-1674, 2014 WL 4449686, at *4 (D.D.C. Sept. 9, 2014); Rosenberg v. ICE, 13 F. Supp. 3d 92, 114-15 (D.D.C. 2014); Hulstein v. DEA, No. 10-4112, 2011 U.S. Dist. LEXIS 25788, at *7-8 (N.D. Iowa Mar. 11, 2011); Council on Am.-Islamic Relations, Cal. v. FBI, 749 F. Supp. 2d 1104, 1117 (S.D. Cal. 2010); Berger v. IRS, 487 F. Supp. 2d 482, 496-97 (D.N.J. 2007), aff'd on other grounds, 288 F. App'x 829 (3d Cir. 2008).","Reports pertaining to monetary instruments transactions filed under subchapter II of chapter 53 of title 31 and records of those reports","10"
"Department of Homeland Security","Agency Overall","2015","15 U.S.C. §§ 46(f), 57b-2 (Federal Trade Commission Act)","A. Michael's Piano, Inc. v. FTC, 18 F.3d 138, 143-44 (2d Cir. 1994) (15 U.S.C. § 57b-2); Ayuda, Inc. v. FTC, No. 13-1266, 2014 WL 4829574, at *19-20 (D.D.C. Sept. 30, 2014) (15 U.S.C. § 57b-2); Carter, Fullerton & Hayes, LLC v. FTC, 637 F. Supp. 2d 1, 9 (D.D.C. 2009) (15 U.S.C. § 57b-2); National Educ. Ass'n v. FTC, No. 79-959-S, 1983 WL 1883, at *1 (D. Mass. Sept. 26, 1983) (15 U.S.C. § 57b-2); Doherty v. FTC, No. 80-0513, 1981 WL 2094, at *3 (D.D.C. June 24, 1981) (15 U.S.C. § 46(f)).","""[A]ny trade secret or any commercial or financial information which is obtained from any person and which is privileged or confidential"" and certain investigative materials received by the FTC and ""provided pursuant to any compulsory process under this subchapter or which is provided voluntarily in place of such compulsory process.""","6"
"Department of Homeland Security","Agency Overall","2015","5 U.S.C. app. 3 § 7(b)","","Names of employees who provide information or complaints to the Inspector General.","1"
"Department of Homeland Security","Agency Overall","2015","49 U.S.C. § 114","Skurow v. DHS, No. 11-1296, 2012 WL 4380895, at *9-10 (D.D.C. Sept. 26, 2012); Tooley v. Bush, No. 06-306, 2006 WL 3783142, at *19 (D.D.C. Dec. 21, 2006), aff'd on other grounds, 586 F.3d 1006 (D.C. Cir. 2009); Gordon v. FBI, 390 F. Supp. 2d 897, 900 (N.D. Cal. 2004).","Information obtained or developed in carrying out security under the authority of the Aviation and Transportation Security Act or under chapter 449 of this title","10843"
"Department of Homeland Security","Agency Overall","2015","10 U.S.C. § 2305(g)","Roman v. NSA, Nos. 09-2947, 09-4281, 09-3344, 09-2504, 09-5633, 2012 WL 569747, at *7 (E.D.N.Y. Feb. 22, 2012); Margolin v. NASA, No. 09-CV-00421-LRH-VPC, 2011 WL 1303221, at *6 (D. Nev. Mar. 31, 2011).","Certain contractor proposals","10"
"Department of Homeland Security","Agency Overall","2015","50 U.S.C. app. § 2170(c) (currently at 50 U.S.C. § 4565(c))","","Information or documentary material filed with the Committee on Foreign Investment in the United States","9"
"Department of Homeland Security","Agency Overall","2015","6 U.S.C. § 133(a)(1)","","Voluntarily shared critical infrastructure information","3"
"Department of Homeland Security","Agency Overall","2015","42 U.S.C. § 262a(h)","","Bioterrorism-related information","2"
"Department of Homeland Security","Agency Overall","2015","50 U.S.C. app. § 2411(c) (Export Administration Act of 1979)","Wis. Project on Nuclear Arms Control v. U.S. Dep’t of Commerce, 317 F.3d 275, 284 (D.C. Cir. 2003); Times Publ’g Co. v. U.S. Dep’t of Commerce, 236 F.3d 1286, 1292 (11th Cir. 2001); Lessner v. U.S. Dep’t of Commerce, 827 F.2d 1333, 1336- 37 (9th Cir. 1987).","Information pertaining to license applications under the Export Administration Act","1"
"Department of Homeland Security","Agency Overall","2015","41 U.S.C. § 2102 (amending 41 U.S.C. § 423(a)(1))* (Procurement Integrity Act)","Legal & Safety Employer Research, Inc. v. U.S. Dep't of the Army, No. Civ. S001748, 2001 WL 34098652, at *3-4 (E.D. Cal. May 4, 2001) (dictum).","Contractor bid or proposal information; source selection information","5"
"Department of Homeland Security","Agency Overall","2015","10 U.S.C. § 130b","Hall v. CIA, No. 04-00814, 2012 WL 3143839, at * 16 (D.D.C. Aug. 3, 2012): Hiken v. DOD, 521 F.Supp. 2d 1047, 1062 (N.D. Cal. 2007): O'Keefe v. DOD, 463 F. Supp. 2d 317, 325 (E.D.N.Y. 2006): Windel v. United States, No. A02-306, 2005 WL 846206, at *2 (D. Alaska Apr. 11, 2005)","Personally identifiable information pertaining to members of the armed forces assigned to ""routinely deployable unit[s]"" and certain employees of DOD and DHS","1"
"Department of Homeland Security","Agency Overall","2015","5 U.S.C. §§ 7114(b)(4), 7132 (Civil Service Reform Act)","Dubin v. Dep't of Treasury, 555 F. Supp. 408, 412 (N.D.Ga. 1981)(5 U.S.C. 7114(b)(4)), aff'd, 697 F.2d 1093 (11th Cir. 1983) (unpublished table decision): NTEU v. OPM, No 76-695, slip op. at 3-4 (D.D.C. July 9, 1979) (5 U.S.C. 7114(b)(4) and 5 U.S.C. 7132)","Defining agencies' and representatives' duty to negotiate in good faith to include disclosure of certain labor relations training and guidance materials and limiting the issuance of certain supoenas","1"
"Department of Homeland Security","Agency Overall","2015","7 U.S.C. § 12 (Commodity Exchange Act)","Hunt v. Commodity Futures Trading Comm'n, 484 F.Supp. 47, 49 (D.D.C. 1979)","""[D]ata and information that would seperately disclose the business transactions of any person"" and trade secrets or names of customers gathered in the course of the Commission's investigations under the Commodity Exchange Act","1"
"Department of Homeland Security","Agency Overall","2015","Fed. R. Crim. P. 6(e),  enacted by Act of July 30, 1977, Pub. L. No. 95-78, 91 Stat. 319","Sussman v. USMS, 494 F.3d 1106, 1113 (D.C. Cir. 2007); Fund for Constitutional Gov't v. Nat'l Archives & Records Serv., 656 F.2d 856, 867-68 (D.C. Cir. 1981); Durham v. U.S. Atty. Gen., No. 06-843, 2008 WL 620744, at *2 (E.D. Tex. Mar. 3, 2008); Cozen O'Connor v. U.S. Dep't of Treasury, 570 F. Supp. 2d 749, 776 (E.D. Pa. 2008).","Certain records pertaining to grand jury proceedings","19"
"Department of Homeland Security","Agency Overall","2015","26 U.S.C. §§ 6103, 6105 (Internal Revenue Code)","Church of Scientology v. IRS, 484 U.S. 9, 15 (1987) (26 U.S.C. § 6103); Leonard v. U.S. Dep't of Treasury, 590 F. App'x. 141, 143-44 (3d Cir. 2014) (per curiam); Pac. Fisheries, Inc. v. IRS, 395 F. App'x. 438, 440 (9th Cir. 2010) (unpublished disposition) (26 U.S.C. §§ 6103, 6105); Tax Analysts v. IRS, 217 F. Supp. 2d 23, 27-29 (D.D.C. 2002) (26 U.S.C. § 6105).","Certain tax return information, to include Taxpayer Identification Numbers of third parties, and certain tax convention information","1726"
"Department of Homeland Security","Agency Overall","2015","42 U.S.C. §§ 2000e-5(b), 2000e-8(e) (Civil Rights Act of 1964)","Frito-Lay v. EEOC, 964 F. Supp. 236, 240-43 (W.D. Ky. 1997); Am. Centennial Ins. Co. v. EEOC, 722 F. Supp. 180, 184 (D.N.J. 1989)","Information pertaining to charges of unlawful employment practices; information obtained by the EEOC in investigating charges of unlawful employment practices","1"
"Department of Homeland Security","Agency Overall","2015","18 U.S.C. §§ 2510-20 (Title III of the Omnibus Crime Control and Safe Streets Act)","Mendoza v. DEA, No. 07-5006, 2007 U.S. App. LEXIS 22175 (D.C. Cir. Sept. 14, 2007) (per curiam); Lam Lek Chong v. DEA, 929 F.2d 729, 733 (D.C. Cir. 1991); Payne v. DOJ, No. 96-30840, slip op. at 5-6 (5th Cir. July 11, 1997).","Wiretap requests and the contents of any wire, oral, or electronic communication obtained through wiretaps","3"
"Department of Homeland Security","Agency Overall","2015","6 U.S.C. § 623€","","Certain anti-terrorism information related to chemical facilities","2"
"United States Copyright Office","Agency Overall","2015","N/A","N/A","N/A","0"
"United States Postal Service","Agency Overall","2015","39 U.S.C. § 410(c )(1)","N/A","Records relating to names and addresses of postal customers","430"
