"Agency","Component","Fiscal Year","Median Number of Days","Average Number of Days","Lowest Number of Days","Highest Number of Days"
"Equal Employment Opportunity Commission","Agency Overall","2015","17","17.28","1","169"
"Consumer Product Safety Commission","Agency Overall","2015","33","33","10","46"
"Legal Services Corporation","Agency Overall","2015","8","8","8","8"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2015","N/A","N/A","N/A","N/A"
"Central Intelligence Agency","Agency Overall","2015","63","147.74","<1","2071"
"Occupational Safety and Health Review Commission","Agency Overall","2015","N/A","N/A","N/A","N/A"
"Federal Housing Finance Agency","Agency Overall","2015","19","17.14","5","21"
"United States Access Board","Agency Overall","2015","27","27","27","27"
"National Labor Relations Board","Agency Overall","2015","29","27","N/A","N/A"
"Office of Management and Budget","Agency Overall","2015","149","127","38","195"
"Administrative Conference of the United States","Agency Overall","2015","1","1","<1","1"
"U.S. Commission on Civil Rights","Agency Overall","2015","N/A","N/A","N/A","N/A"
"National Mediation Board","Agency Overall","2015","N/A","N/A","N/A","N/A"
"Federal Election Commission","Agency Overall","2015","19.5","19.25","9","29"
"National Endowment for the Humanities","Agency Overall","2015","13","13","13","13"
"Federal Mediation and Conciliation Service","Agency Overall","2015","N/A","N/A","N/A","N/A"
"Federal Reserve System","Agency Overall","2015","52","51","16","112"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2015","N/A","N/A","N/A","N/A"
"Department of Agriculture","Agency Overall","2015","79","197.63","1","2108"
"Office of Special Counsel","Agency Overall","2015","320","356","8","1335"
"U.S. Agency for International Development","Agency Overall","2015","151","274.1","23","880"
"Pension Benefit Guaranty Corporation","Agency Overall","2015","19.5","20.17","10","32"
"Department of Labor","Agency Overall","2015","66","174.7","1","1145"
"United States International Boundary and Water Commission","Agency Overall","2015","22","22","22","22"
"Department of the Treasury","Agency Overall","2015","12","62.54","2","1826"
"Overseas Private Investment Corporation","Agency Overall","2015","20","20","20","20"
"National Endowment for the Arts","Agency Overall","2015","N/A","N/A","N/A","N/A"
"Council on Environmental Quality","Agency Overall","2015","20","20","20","20"
"Millennium Challenge Corporation","Agency Overall","2015","N/A","N/A","N/A","N/A"
"Department of Health and Human Services","Agency Overall","2015","342.05","385.59","1","2746"
"Securities and Exchange Commission","Agency Overall","2015","13","30.84","<1","560"
"Department of Transportation","Agency Overall","2015","25","59.196","<1","932"
"Armed Forces Retirement Home","Agency Overall","2015","36","36","28","44"
"Federal Mine Safety and Health Review Commission","Agency Overall","2015","N/A","N/A","N/A","N/A"
"Court Services and Offender Supervision Agency","Agency Overall","2015","N/A","N/A","N/A","N/A"
"American Battle Monuments Commission","Agency Overall","2015","N/A","N/A","N/A","N/A"
"National Transportation Safety Board","Agency Overall","2015","17","46.2","13","358"
"United States International Trade Commission","Agency Overall","2015","25","25","20","30"
"Office of the United States Trade Representative","Agency Overall","2015","14","12","<1","22"
"Surface Transportation Board","Agency Overall","2015","19","19","18","19"
"National Credit Union Administration","Agency Overall","2015","19","18","14","20"
"National Archives and Records Administration","Agency Overall","2015","29","46.04","8","205"
"Environmental Protection Agency","Agency Overall","2015","54.5","179.62","<1","2020"
"Postal Regulatory Commission","Agency Overall","2015","N/A","N/A","N/A","N/A"
"United States Trade and Development Agency","Agency Overall","2015","N/A","N/A","N/A","N/A"
"Peace Corps","Agency Overall","2015","7","8","3","26"
"General Services Administration","Agency Overall","2015","30.5","39.95","<1","126"
"Department of Education","Agency Overall","2015","289","365.02","36","1345"
"Federal Labor Relations Authority","Agency Overall","2015","9.5","12.5","6","25"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2015","13","10","4","13"
"Farm Credit Administration","Agency Overall","2015","17","17","17","17"
"Office of Science and Technology Policy","Agency Overall","2015","36","32","16","43"
"Department of Housing and Urban Development","Agency Overall","2015","23","47.18","<1","421"
"National Aeronautics and Space Administration","Agency Overall","2015","26.25","30.9","18","53"
"Federal Open Market Committee","Agency Overall","2015","21","21","21","21"
"Office of Personnel Management","Agency Overall","2015","79","84","N/A","N/A"
"Department of the Interior","Agency Overall","2015","241","344","N/A","N/A"
"Commodity Futures Trading Commission","Agency Overall","2015","76","252.47","6","889"
"Department of Defense","Agency Overall","2015","99.4473684210526","146.473684210526","<1","3056"
"Defense Nuclear Facilities Safety Board","Agency Overall","2015","50","50","50","50"
"Federal Communications Commission","Agency Overall","2015","69","139.89","<1","438"
"Merit Systems Protection Board","Agency Overall","2015","10","32.4","<1","133"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2015","N/A","N/A","N/A","N/A"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2015","N/A","N/A","N/A","N/A"
"Office of Government Ethics","Agency Overall","2015","17","17.67","17","19"
"National Capital Planning Commission","Agency Overall","2015","N/A","N/A","N/A","N/A"
