"Agency","Component","Fiscal Year","Ex. 1","Ex. 2","Ex. 3","Ex. 4","Ex. 5","Ex. 6","Ex. 7(A)","Ex. 7(B)","Ex. 7(C)","Ex. 7(D)","Ex. 7(E)","Ex. 7(F)","Ex. 8","Ex. 9"
"U.S. Railroad Retirement Board","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Trade Commission","Agency Overall","2015","0","0","4","4","17","6","10","0","3","1","3","0","0","0"
"Nuclear Regulatory Commission","Agency Overall","2015","1","0","0","3","3","11","3","0","7","0","1","5","0","0"
"Federal Financial Institutions Examination Council","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Export-Import Bank of the U.S.","Agency Overall","2015","0","0","0","3","2","1","0","0","0","0","0","0","0","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2015","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"Department of Justice","Agency Overall","2015","61","0","155","6","135","547","162","1","739","226","667","171","0","0"
"Department of Commerce","Agency Overall","2015","0","1","7","2","15","10","3","0","5","0","3","0","0","0"
"Selective Service System","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Equal Employment Opportunity Commission","Agency Overall","2015","0","0","45","2","58","8","35","0","54","0","1","0","0","0"
"Consumer Product Safety Commission","Agency Overall","2015","0","0","8","7","8","5","3","0","0","0","0","0","0","0"
"Legal Services Corporation","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Central Intelligence Agency","Agency Overall","2015","143","3","132","0","6","12","0","0","0","1","0","0","0","0"
"Occupational Safety and Health Review Commission","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Housing Finance Agency","Agency Overall","2015","0","0","0","1","0","1","0","0","0","0","0","0","0","0"
"United States Access Board","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Labor Relations Board","Agency Overall","2015","0","0","0","0","3","6","3","0","6","3","0","0","0","0"
"Office of Management and Budget","Agency Overall","2015","0","1","0","0","1","1","0","0","0","0","0","0","0","0"
"Administrative Conference of the United States","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Commission on Civil Rights","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Mediation Board","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Election Commission","Agency Overall","2015","0","0","1","0","2","0","0","0","0","0","1","0","0","0"
"National Endowment for the Humanities","Agency Overall","2015","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"Federal Mediation and Conciliation Service","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Reserve System","Agency Overall","2015","0","0","0","8","6","4","0","0","0","0","0","0","7","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Agriculture","Agency Overall","2015","0","1","9","6","20","52","6","1","19","4","5","2","0","0"
"Office of Special Counsel","Agency Overall","2015","0","0","1","0","3","2","0","0","5","0","0","0","0","0"
"U.S. Agency for International Development","Agency Overall","2015","0","0","1","6","5","10","1","0","3","0","0","0","0","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2015","0","0","0","1","1","3","0","0","0","0","0","0","0","0"
"Department of Labor","Agency Overall","2015","0","0","0","0","1","2","13","0","10","3","1","0","0","0"
"United States International Boundary and Water Commission","Agency Overall","2015","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"Department of the Treasury","Agency Overall","2015","0","6","104","19","42","35","31","0","43","1","49","0","3","0"
"Overseas Private Investment Corporation","Agency Overall","2015","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"National Endowment for the Arts","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Council on Environmental Quality","Agency Overall","2015","0","0","0","0","1","1","0","0","0","0","0","0","0","0"
"Millennium Challenge Corporation","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Health and Human Services","Agency Overall","2015","0","1","6","16","18","70","0","0","31","0","1","0","0","0"
"Securities and Exchange Commission","Agency Overall","2015","0","0","0","3","58","13","255","0","11","0","5","0","2","0"
"Department of Transportation","Agency Overall","2015","0","2","3","10","19","25","7","0","7","0","0","1","0","0"
"Armed Forces Retirement Home","Agency Overall","2015","0","0","0","0","0","1","0","0","1","0","0","0","0","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Court Services and Offender Supervision Agency","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"American Battle Monuments Commission","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Transportation Safety Board","Agency Overall","2015","0","0","0","0","2","2","0","0","0","0","0","0","0","0"
"United States International Trade Commission","Agency Overall","2015","0","0","2","2","2","1","0","0","0","0","1","0","0","0"
"Office of the United States Trade Representative","Agency Overall","2015","1","0","1","1","2","1","0","0","0","0","0","0","0","0"
"Surface Transportation Board","Agency Overall","2015","0","0","0","1","1","0","0","0","0","0","0","0","0","0"
"National Credit Union Administration","Agency Overall","2015","0","0","0","2","1","1","0","0","0","0","0","1","1","0"
"National Archives and Records Administration","Agency Overall","2015","0","0","0","0","0","2","0","0","1","0","0","0","0","0"
"Environmental Protection Agency","Agency Overall","2015","0","0","0","0","1","2","0","0","2","0","0","0","0","0"
"Postal Regulatory Commission","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States Trade and Development Agency","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Peace Corps","Agency Overall","2015","0","0","1","0","0","1","0","0","1","0","0","0","0","0"
"General Services Administration","Agency Overall","2015","0","0","5","7","7","19","0","0","11","1","2","7","0","0"
"Department of Education","Agency Overall","2015","0","0","0","2","7","17","15","1","22","0","1","0","0","0"
"Federal Labor Relations Authority","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2015","0","0","2","0","1","1","0","0","1","0","0","0","0","0"
"Farm Credit Administration","Agency Overall","2015","0","0","0","1","0","1","0","0","1","0","0","0","1","0"
"Office of Science and Technology Policy","Agency Overall","2015","0","2","0","0","3","1","0","0","0","0","0","0","0","0"
"Department of Housing and Urban Development","Agency Overall","2015","0","0","2","2","1","3","4","0","4","0","0","0","0","0"
"National Aeronautics and Space Administration","Agency Overall","2015","0","1","0","3","7","3","0","1","0","0","2","2","0","0"
"Federal Open Market Committee","Agency Overall","2015","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"Office of Personnel Management","Agency Overall","2015","0","0","0","0","2","3","0","0","3","1","1","0","0","0"
"Department of the Interior","Agency Overall","2015","0","0","0","0","24","6","2","0","8","0","0","1","0","0"
"Commodity Futures Trading Commission","Agency Overall","2015","0","0","2","4","2","3","0","0","1","0","0","0","1","0"
"Department of Defense","Agency Overall","2015","78","4","79","14","68","182","13","1","74","7","21","3","0","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Communications Commission","Agency Overall","2015","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"Merit Systems Protection Board","Agency Overall","2015","0","0","0","0","1","2","0","0","1","0","0","0","0","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Government Ethics","Agency Overall","2015","0","0","1","0","5","1","0","0","0","0","0","0","0","0"
"National Capital Planning Commission","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"All agencies","Agency Overall","2015","307","43","784","176","1174","3089","603","6","3108","261","2697","205","22","0"
