"Agency","Component","Fiscal Year","<1-20 Days","21-40 Days","41-60 Days","61-80 Days","81-100 Days","101-120 Days","121-140 Days","141-160 Days","161-180 Days","181-200 Days","201-300 Days","301-400 Days","401+ Days","Total"
"U.S. Railroad Retirement Board","Agency Overall","2015","111","10","0","0","0","0","0","1","0","0","0","0","0","122"
"Federal Trade Commission","Agency Overall","2015","883","25","5","0","0","0","0","0","0","0","0","0","0","913"
"Nuclear Regulatory Commission","Agency Overall","2015","296","38","5","0","0","0","0","0","0","0","0","0","0","339"
"Federal Financial Institutions Examination Council","Agency Overall","2015","17","1","0","0","0","0","0","0","0","0","0","0","0","18"
"Export-Import Bank of the U.S.","Agency Overall","2015","27","4","8","4","2","4","0","0","1","1","1","1","2","55"
"Federal Retirement Thrift Investment Board","Agency Overall","2015","4","4","0","1","1","0","1","0","0","0","0","0","0","11"
"Department of Justice","Agency Overall","2015","29058","9266","2812","1568","1024","738","498","398","287","226","542","166","84","46667"
"Department of Commerce","Agency Overall","2015","1312","175","69","56","27","20","9","17","13","8","34","21","20","1781"
"Selective Service System","Agency Overall","2015","7","0","0","0","0","0","0","0","0","0","0","0","0","7"
"Equal Employment Opportunity Commission","Agency Overall","2015","11658","3355","793","261","205","31","15","13","22","11","32","3","0","16399"
"Consumer Product Safety Commission","Agency Overall","2015","70","10","9","6","5","2","0","2","2","1","1","3","1","112"
"Legal Services Corporation","Agency Overall","2015","42","4","0","0","0","0","0","0","0","0","0","0","0","46"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Central Intelligence Agency","Agency Overall","2015","915","432","90","23","10","1","3","2","2","0","2","4","13","1497"
"Occupational Safety and Health Review Commission","Agency Overall","2015","45","0","0","0","0","0","0","0","0","0","0","0","0","45"
"Federal Housing Finance Agency","Agency Overall","2015","122","14","0","0","0","1","0","0","0","0","0","0","0","137"
"United States Access Board","Agency Overall","2015","9","2","0","0","0","0","0","0","0","0","0","0","0","11"
"National Labor Relations Board","Agency Overall","2015","3087","442","87","38","14","0","1","1","2","1","0","1","0","3674"
"Office of Management and Budget","Agency Overall","2015","45","37","14","23","6","4","9","5","1","2","1","10","6","163"
"Administrative Conference of the United States","Agency Overall","2015","25","0","0","0","0","0","0","0","0","0","0","0","0","25"
"U.S. Commission on Civil Rights","Agency Overall","2015","15","0","0","0","0","0","0","0","0","0","0","0","0","15"
"National Mediation Board","Agency Overall","2015","34","1","0","0","0","0","0","0","0","0","0","0","0","35"
"Federal Election Commission","Agency Overall","2015","44","8","2","1","0","2","1","1","0","0","0","0","0","59"
"National Endowment for the Humanities","Agency Overall","2015","51","0","0","0","0","0","0","0","0","0","0","0","0","51"
"Federal Mediation and Conciliation Service","Agency Overall","2015","45","8","3","0","0","0","0","0","0","0","0","0","0","56"
"Federal Reserve System","Agency Overall","2015","343","37","2","2","0","0","2","1","2","0","0","0","0","389"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2015","25","2","0","0","0","0","0","0","0","0","0","0","0","27"
"Department of Agriculture","Agency Overall","2015","15580","897","367","204","129","108","80","49","47","53","166","70","128","17878"
"Office of Special Counsel","Agency Overall","2015","18","8","1","0","3","0","0","1","0","0","6","2","0","39"
"U.S. Agency for International Development","Agency Overall","2015","28","3","2","0","1","1","0","1","0","0","2","0","0","38"
"Pension Benefit Guaranty Corporation","Agency Overall","2015","1072","34","0","0","0","0","0","0","0","0","0","0","0","1106"
"Department of Labor","Agency Overall","2015","5585","965","221","112","56","40","23","27","23","16","48","23","64","7203"
"United States International Boundary and Water Commission","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of the Treasury","Agency Overall","2015","2196","190","49","15","5","5","5","1","8","0","1","1","2","2478"
"Overseas Private Investment Corporation","Agency Overall","2015","28","4","1","1","1","0","0","0","0","0","0","0","0","35"
"National Endowment for the Arts","Agency Overall","2015","49","3","0","0","0","0","0","0","0","0","0","0","0","52"
"Council on Environmental Quality","Agency Overall","2015","21","11","5","5","1","0","0","3","0","0","2","4","4","56"
"Millennium Challenge Corporation","Agency Overall","2015","17","2","1","2","3","1","1","0","0","10","2","0","0","39"
"Department of Health and Human Services","Agency Overall","2015","25253","1176","327","167","91","131","156","157","166","57","43","21","41","27786"
"Securities and Exchange Commission","Agency Overall","2015","13339","1675","609","207","102","69","44","27","23","18","44","11","22","16190"
"Department of Transportation","Agency Overall","2015","7587","1066","261","189","271","284","140","74","36","17","49","17","35","10026"
"Armed Forces Retirement Home","Agency Overall","2015","12","0","0","0","0","0","0","0","0","0","0","0","0","12"
"Federal Mine Safety and Health Review Commission","Agency Overall","2015","116","1","0","0","0","0","0","0","0","0","0","0","0","117"
"Court Services and Offender Supervision Agency","Agency Overall","2015","379","123","16","2","6","5","2","0","1","2","0","0","0","536"
"American Battle Monuments Commission","Agency Overall","2015","5","0","0","0","0","0","0","0","0","0","0","0","0","5"
"National Transportation Safety Board","Agency Overall","2015","14","3","2","1","0","1","0","0","0","0","2","2","2","27"
"United States International Trade Commission","Agency Overall","2015","23","0","0","0","0","0","0","0","0","0","0","0","0","23"
"Office of the United States Trade Representative","Agency Overall","2015","1","3","4","3","3","2","0","0","0","0","1","5","3","25"
"Surface Transportation Board","Agency Overall","2015","55","5","1","0","0","0","0","0","0","0","0","0","0","61"
"National Credit Union Administration","Agency Overall","2015","45","2","0","0","0","0","0","0","0","0","0","0","0","47"
"National Archives and Records Administration","Agency Overall","2015","16890","3126","529","485","593","99","29","22","9","13","94","98","257","22244"
"Environmental Protection Agency","Agency Overall","2015","4676","0","0","0","0","0","0","0","0","0","0","0","0","4676"
"Postal Regulatory Commission","Agency Overall","2015","8","0","0","0","0","0","0","0","0","0","0","0","0","8"
"United States Trade and Development Agency","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Peace Corps","Agency Overall","2015","63","27","11","10","3","7","2","6","5","4","5","10","15","168"
"General Services Administration","Agency Overall","2015","326","355","0","0","0","0","0","0","0","0","0","0","0","681"
"Department of Education","Agency Overall","2015","1193","41","26","1","2","1","0","1","0","1","0","0","0","1266"
"Federal Labor Relations Authority","Agency Overall","2015","80","0","0","0","0","0","0","0","0","0","0","0","0","80"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2015","11","0","0","0","0","0","0","0","0","1","0","0","0","12"
"Farm Credit Administration","Agency Overall","2015","35","0","0","0","0","0","0","0","0","0","0","0","0","35"
"Office of Science and Technology Policy","Agency Overall","2015","59","8","6","1","4","1","0","0","0","0","0","0","0","79"
"Department of Housing and Urban Development","Agency Overall","2015","1062","290","102","53","48","48","26","21","12","9","25","10","1","1707"
"National Aeronautics and Space Administration","Agency Overall","2015","557","12","0","0","0","0","0","0","0","0","0","0","0","569"
"Federal Open Market Committee","Agency Overall","2015","12","0","0","0","0","0","0","0","0","0","0","0","0","12"
"Office of Personnel Management","Agency Overall","2015","7590","143","27","8","3","2","0","1","0","0","10","3","0","7787"
"Department of the Interior","Agency Overall","2015","452","16","4","3","2","0","1","0","1","0","2","1","2","484"
"Commodity Futures Trading Commission","Agency Overall","2015","2","53","23","9","5","6","4","4","3","0","0","3","1","113"
"Department of Defense","Agency Overall","2015","30970","1149","345","194","114","108","85","58","56","35","145","66","193","33518"
"Defense Nuclear Facilities Safety Board","Agency Overall","2015","15","0","0","0","0","0","0","0","0","0","0","0","0","15"
"Federal Communications Commission","Agency Overall","2015","501","144","27","16","15","5","3","2","2","0","4","0","0","719"
"Merit Systems Protection Board","Agency Overall","2015","61","20","22","6","4","2","1","1","0","0","1","0","0","118"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2015","10","7","1","0","0","0","0","1","0","0","0","0","0","19"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2015","4","0","0","0","0","0","0","0","0","0","0","0","0","4"
"Office of Government Ethics","Agency Overall","2015","54","12","0","0","1","0","0","0","1","0","0","0","1","69"
"National Capital Planning Commission","Agency Overall","2015","3","0","0","0","0","0","0","0","0","0","0","0","0","3"
"All agencies","Agency Overall","2015","332192","50498","20187","13060","9728","5456","4563","3159","1809","1420","2901","752","1234","446959"
