"Agency","Component","Fiscal Year","Number of Full Grants","Number of Partial Grants/Partial Denials","Number of Full Denials Based on Exemptions","No Records","All Records Referred to Another Component or Agency","Request Withdrawn","Fee-Related Reason","Records Not Reasonably Described","Improper FOIA Request for Other Reason","Not Agency Record","Duplicate Request","Other*","Total"
"Armed Forces Retirement Home","Agency Overall","2015","6","5","0","1","0","1","0","0","0","0","0","0","13"
"Federal Mine Safety and Health Review Commission","Agency Overall","2015","109","7","0","13","0","3","0","4","1","1","0","2","140"
"Court Services and Offender Supervision Agency","Agency Overall","2015","51","425","0","4","0","33","2","0","9","0","1","0","525"
"American Battle Monuments Commission","Agency Overall","2015","0","1","1","3","0","0","0","0","0","0","0","0","5"
"National Transportation Safety Board","Agency Overall","2015","27","57","110","40","0","67","0","1","25","48","19","0","394"
"United States International Trade Commission","Agency Overall","2015","11","7","2","8","1","0","0","0","0","1","0","0","30"
"Office of the United States Trade Representative","Agency Overall","2015","35","18","9","21","0","1","0","9","0","0","0","0","93"
"Surface Transportation Board","Agency Overall","2015","29","13","2","0","1","3","1","1","0","15","0","0","65"
"National Credit Union Administration","Agency Overall","2015","55","21","3","5","0","2","0","0","0","0","0","0","86"
"National Archives and Records Administration","Agency Overall","2015","453","1255","34","20758","23","350","10","63","76","21","97","451","23591"
"Environmental Protection Agency","Agency Overall","2015","4948","733","49","3947","17","1009","60","127","74","23","291","0","11278"
"Postal Regulatory Commission","Agency Overall","2015","3","0","0","0","5","0","0","0","0","0","0","0","8"
"United States Trade and Development Agency","Agency Overall","2015","3","1","0","2","0","0","0","0","0","0","0","0","6"
"Peace Corps","Agency Overall","2015","69","31","51","37","2","0","1","12","3","7","18","0","231"
"General Services Administration","Agency Overall","2015","179","436","40","112","4","70","36","63","4","19","10","0","973"
"Department of Education","Agency Overall","2015","515","1052","195","171","23","93","62","0","0","178","26","0","2315"
"Federal Labor Relations Authority","Agency Overall","2015","37","16","1","24","0","0","2","3","0","0","2","0","85"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2015","4","1","0","7","0","0","0","0","0","0","0","0","12"
"Farm Credit Administration","Agency Overall","2015","22","5","0","8","1","4","0","0","1","0","0","1","42"
"Office of Science and Technology Policy","Agency Overall","2015","11","28","1","54","0","0","0","0","0","0","0","0","94"
"Department of Housing and Urban Development","Agency Overall","2015","525","428","67","332","28","280","29","15","79","31","79","287","2180"
"National Aeronautics and Space Administration","Agency Overall","2015","151","147","45","68","17","28","62","109","70","17","183","26","923"
"Federal Open Market Committee","Agency Overall","2015","9","8","7","0","1","1","0","9","6","0","0","0","41"
"Office of Personnel Management","Agency Overall","2015","7367","2896","68","74","18","6","6","13","12","12","9","373","10854"
"Department of the Interior","Agency Overall","2015","2554","1780","182","987","44","233","119","56","97","27","115","563","6757"
"Commodity Futures Trading Commission","Agency Overall","2015","33","51","18","79","0","6","2","1","2","3","1","8","204"
"Department of Defense","Agency Overall","2015","20524","13249","2338","6329","4514","2057","824","807","1564","1115","1575","1611","56507"
"Defense Nuclear Facilities Safety Board","Agency Overall","2015","6","6","1","6","1","0","0","0","0","0","0","0","20"
"Federal Communications Commission","Agency Overall","2015","131","342","41","115","12","50","19","1","3","23","8","0","745"
"Merit Systems Protection Board","Agency Overall","2015","63","29","3","27","0","5","0","1","5","2","1","0","136"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2015","8","9","9","3","0","1","0","0","0","0","0","0","30"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2015","1","1","0","1","0","0","0","1","0","0","0","1","5"
"Office of Government Ethics","Agency Overall","2015","10","23","12","15","5","4","0","0","0","0","0","0","69"
"National Capital Planning Commission","Agency Overall","2015","2","0","0","1","0","0","0","0","0","0","0","0","3"
"All agencies","Agency Overall","2015","173808","308211","37860","129825","9570","13527","4069","7357","31876","18013","24460","11327","769903"
