"Agency","Component","Fiscal Year","Simple - Median Number of Days","Simple - Average Number of Days","Simple - Lowest Number of Days","Simple - Highest Number of Days","Complex - Median Number of Days","Complex - Average Number of Days","Complex - Lowest Number of Days","Complex - Highest Number of Days","Expedited Processing - Median Number of Days","Expedited Processing - Average Number of Days","Expedited Processing - Lowest Number of Days","Expedited Processing - Highest Number of Days"
"National Labor Relations Board","Agency Overall","2015","8","11","N/A","N/A","N/A","N/A","N/A","N/A","7","9","N/A","N/A"
"Office of Management and Budget","Agency Overall","2015","40","79","1","406","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Administrative Conference of the United States","Agency Overall","2015","1","1.5","<1","3","13","13","13","13","N/A","N/A","N/A","N/A"
"U.S. Commission on Civil Rights","Agency Overall","2015","5","6","1","13","37","37","14","60","N/A","N/A","N/A","N/A"
"National Mediation Board","Agency Overall","2015","3","4","<1","11","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Federal Election Commission","Agency Overall","2015","13","28.8","2","158","64.5","130.2","23","452","10","10","10","10"
"National Endowment for the Humanities","Agency Overall","2015","10","11.8","1","20","28.5","43.6","17","103","N/A","N/A","N/A","N/A"
"Federal Mediation and Conciliation Service","Agency Overall","2015","10","13","1","63","30","30","30","30","N/A","N/A","N/A","N/A"
"Federal Reserve System","Agency Overall","2015","5","10","1","180","31","48","1","388","19","20","6","36"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2015","4","10","<1","40","60","114","5","505","N/A","N/A","N/A","N/A"
"Department of Agriculture","Agency Overall","2015","22","9.76","1","1101","26","81.03","1","1393","11","49","1","349"
"Office of Special Counsel","Agency Overall","2015","36","87.62","1","328","402","467","14","941","77.5","99","18","220"
"U.S. Agency for International Development","Agency Overall","2015","21","60.78","<1","227","243.5","319.91","8","1137","76","89.4","71","119"
"Pension Benefit Guaranty Corporation","Agency Overall","2015","6","7.68","<1","37","17","18.58","<1","169","N/A","N/A","N/A","N/A"
"Department of Labor","Agency Overall","2015","11","22","1","1202","14","28.1","1","1592","7","46.6","1","710"
"United States International Boundary and Water Commission","Agency Overall","2015","N/A","N/A","N/A","N/A","8","18.08","1","159","N/A","N/A","N/A","N/A"
"Department of the Treasury","Agency Overall","2015","7","12","<1","547","19","36","1","3018","33.5","175.5","4","561"
"Overseas Private Investment Corporation","Agency Overall","2015","9","17.04","<1","87","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Endowment for the Arts","Agency Overall","2015","15","14","5","26","470","178","18","923","N/A","N/A","N/A","N/A"
"Council on Environmental Quality","Agency Overall","2015","44","89.27","33","357","67","202.71","2","909","N/A","N/A","N/A","N/A"
"Millennium Challenge Corporation","Agency Overall","2015","92","68","<1","181","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Department of Health and Human Services","Agency Overall","2015","9","16.95","<1","1225","43","114.62","<1","1583","367","382.73","<1","862"
"Securities and Exchange Commission","Agency Overall","2015","13","26.69","<1","944","416","408.33","51","758","181","181","41","321"
"Department of Transportation","Agency Overall","2015","41","61.91","<1","768","105","116","<1","1172","45.5","185.125","3","603"
"Armed Forces Retirement Home","Agency Overall","2015","12","13","7","18","37","37","37","37","N/A","N/A","N/A","N/A"
"Federal Mine Safety and Health Review Commission","Agency Overall","2015","1","2.5","<1","39","5.5","7","1","22","N/A","N/A","N/A","N/A"
"Court Services and Offender Supervision Agency","Agency Overall","2015","17","18.17","2","187","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"American Battle Monuments Commission","Agency Overall","2015","4","4","4","4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Transportation Safety Board","Agency Overall","2015","6.5","126","1","490","385","391.04","4","913","66.5","100","1","266"
"United States International Trade Commission","Agency Overall","2015","16","15","1","20","30","32","30","38","N/A","N/A","N/A","N/A"
"Office of the United States Trade Representative","Agency Overall","2015","22","26","1","75","66","240","17","1400","N/A","N/A","N/A","N/A"
"Surface Transportation Board","Agency Overall","2015","13","11.65","1","27","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Credit Union Administration","Agency Overall","2015","3","5.79","<1","28","25.5","30.44","2","115","2","2","2","2"
"National Archives and Records Administration","Agency Overall","2015","16","73.6","<1","2242","393","897","<1","5486","37","44.86","16","131"
"Environmental Protection Agency","Agency Overall","2015","14","12.71","<1","20","46","83.92","<1","1756","28","66.13","2","188"
"Postal Regulatory Commission","Agency Overall","2015","19","17","11","20","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"United States Trade and Development Agency","Agency Overall","2015","N/A","N/A","N/A","N/A","37","54","25","116","N/A","N/A","N/A","N/A"
"Peace Corps","Agency Overall","2015","57","83","<1","467","200","285","38","663","N/A","N/A","N/A","N/A"
"General Services Administration","Agency Overall","2015","19","25.42","<1","40","32","41.01","1","221","19","19.18","<1","89"
"Department of Education","Agency Overall","2015","14","14.2","<1","197","58","95.43","11","1311","10.5","14","3","29"
"Federal Labor Relations Authority","Agency Overall","2015","7","9.25","<1","20","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2015","2","5.8","2","17","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Farm Credit Administration","Agency Overall","2015","8","9.1","3","20","N/A","N/A","N/A","N/A","14","12.4","5","20"
"Office of Science and Technology Policy","Agency Overall","2015","22","36.8","2","114","98","138.7","52","348","N/A","N/A","N/A","N/A"
"Department of Housing and Urban Development","Agency Overall","2015","18","32.82","<1","294","71","102.19","<1","546","6","12","1","31"
"National Aeronautics and Space Administration","Agency Overall","2015","6","7.91","<1","30","26","38.57","<1","418","N/A","N/A","N/A","N/A"
"Federal Open Market Committee","Agency Overall","2015","3.5","5.4","<1","19","186","327.3","33","648","N/A","N/A","N/A","N/A"
"Office of Personnel Management","Agency Overall","2015","1","1.9","N/A","N/A","25","26","N/A","N/A","10","25","N/A","N/A"
"Department of the Interior","Agency Overall","2015","1","10","<1","1004","19","46","<1","1157","17","82","<1","479"
"Commodity Futures Trading Commission","Agency Overall","2015","36","51.49","<1","290","136","142.16","13","333","N/A","N/A","N/A","N/A"
"Department of Defense","Agency Overall","2015","14.02","18.09","<1","3036","123","186.87","<1","3517","7.27","17.2","<1","860"
"Defense Nuclear Facilities Safety Board","Agency Overall","2015","14","13","4","20","34","37.25","31","50","N/A","N/A","N/A","N/A"
"Federal Communications Commission","Agency Overall","2015","20","25.31","<1","267","277","204.5","30","290","2","3.33","<1","8"
"Merit Systems Protection Board","Agency Overall","2015","22","26.64","<1","84","219.5","217","190","239","14.5","15.67","<1","35"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2015","16","41","4","157","80","86","8","195","N/A","N/A","N/A","N/A"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2015","9","8.4","<1","16","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Office of Government Ethics","Agency Overall","2015","17","39","1","559","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Capital Planning Commission","Agency Overall","2015","3","5","1","9","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
