"Agency","Component","Fiscal Year","Simple - Median Number of Days","Simple - Average Number of Days","Simple - Lowest Number of Days","Simple - Highest Number of Days","Complex - Median Number of Days","Complex - Average Number of Days","Complex - Lowest Number of Days","Complex - Highest Number of Days","Expedited Processing - Median Number of Days","Expedited Processing - Average Number of Days","Expedited Processing - Lowest Number of Days","Expedited Processing - Highest Number of Days"
"United States Copyright Office","Agency Overall","2015","12.5","17.9","3","93","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"United States Postal Service","Agency Overall","2015","8","18.91","1","501","26","70.24","1","1032","3.5","3.83","1","10"
"Federal Energy Regulatory Commission","Agency Overall","2015","20","25","1","137","24","41","4","453","N/A","N/A","N/A","N/A"
"Small Business Administration","Agency Overall","2015","7","12.29","<1","127","N/A","N/A","N/A","N/A","35","35","35","35"
"Farm Credit System Insurance Corporation","Agency Overall","2015","8","10.1","5","16","N/A","N/A","N/A","N/A","6.5","8","6","13"
"Institute of Museum and Library Services","Agency Overall","2015","5","5.92","1","17","26","31.1","20","67","N/A","N/A","N/A","N/A"
"National Indian Gaming Commission","Agency Overall","2015","19","53","1","544","167","143","24","222","N/A","N/A","N/A","N/A"
"U.S. Railroad Retirement Board","Agency Overall","2015","22","30.44","1","141","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Federal Trade Commission","Agency Overall","2015","4","5.73","<1","52","16","25.15","<1","328","N/A","N/A","N/A","N/A"
"Nuclear Regulatory Commission","Agency Overall","2015","6","9","<1","52","26","51","<1","658","116","116","15","216"
"Federal Financial Institutions Examination Council","Agency Overall","2015","9","11.6","2","21","24","27.7","22","37","2","2","2","2"
"Export-Import Bank of the U.S.","Agency Overall","2015","24","68.2","<1","702","112","275.02","15","908","N/A","N/A","N/A","N/A"
"Federal Retirement Thrift Investment Board","Agency Overall","2015","21","36","6","130","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Department of Justice","Agency Overall","2015","16","29.83","<1","732","99","174.13","<1","1364","53","110.49","<1","1103"
"Department of Commerce","Agency Overall","2015","11","45.41","<1","1163","36","133.72","<1","2020","6","32.58","<1","403"
"Selective Service System","Agency Overall","2015","11","10","4","18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Equal Employment Opportunity Commission","Agency Overall","2015","17","18.42","1","370","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Consumer Product Safety Commission","Agency Overall","2015","16","44","1","640","44","83","1","1540","24","24","24","24"
"Legal Services Corporation","Agency Overall","2015","13.5","12.41","1","27","N/A","N/A","N/A","N/A","8","12","1","27"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2015","N/A","N/A","N/A","N/A","25","69.47","3","304","N/A","N/A","N/A","N/A"
"Central Intelligence Agency","Agency Overall","2015","17","39.85","4","2449","53","116.22","<1","2454","N/A","N/A","N/A","N/A"
"Occupational Safety and Health Review Commission","Agency Overall","2015","8","8.56","<1","20","20","21.22","15","30","7","7","7","7"
"Federal Housing Finance Agency","Agency Overall","2015","11","12.35","<1","112","47","76.54","<1","481","N/A","N/A","N/A","N/A"
"United States Access Board","Agency Overall","2015","2","12","1","70","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Labor Relations Board","Agency Overall","2015","9","12","N/A","N/A","N/A","N/A","N/A","N/A","6","7","N/A","N/A"
"Office of Management and Budget","Agency Overall","2015","40","80","1","406","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Administrative Conference of the United States","Agency Overall","2015","1","1.6","<1","3","13","13","13","13","N/A","N/A","N/A","N/A"
"U.S. Commission on Civil Rights","Agency Overall","2015","4","6","1","13","12","19","1","60","N/A","N/A","N/A","N/A"
"National Mediation Board","Agency Overall","2015","6","5","<1","28","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Federal Election Commission","Agency Overall","2015","13","23.7","2","158","64","125","23","452","10","11","5","18"
"National Endowment for the Humanities","Agency Overall","2015","11","11.3","1","20","21","37.8","13","103","N/A","N/A","N/A","N/A"
"Federal Mediation and Conciliation Service","Agency Overall","2015","10","12","1","63","30","30","30","30","N/A","N/A","N/A","N/A"
"Federal Reserve System","Agency Overall","2015","4","9","1","180","27","45","1","388","19","20","6","36"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2015","3","8","<1","40","39","104","3","505","N/A","N/A","N/A","N/A"
"Department of Agriculture","Agency Overall","2015","20","11.2","1","1101","24","51.14","1","1393","11","49","1","349"
"Office of Special Counsel","Agency Overall","2015","27","74.67","<1","328","442","487.09","14","1014","77.5","139.75","18","826"
"U.S. Agency for International Development","Agency Overall","2015","5","28.68","<1","227","161","265.59","<1","1137","55","60.83","14","119"
"Pension Benefit Guaranty Corporation","Agency Overall","2015","6.5","7.79","<1","37","16","17.88","<1","169","N/A","N/A","N/A","N/A"
"Department of Labor","Agency Overall","2015","7","26.4","1","2515","11","32.7","1","1833","7","45","1","710"
"United States International Boundary and Water Commission","Agency Overall","2015","N/A","N/A","N/A","N/A","8.5","18.71","1","159","N/A","N/A","N/A","N/A"
"Department of the Treasury","Agency Overall","2015","6","12","<1","547","17","33","<1","3018","37","170","2","561"
"Overseas Private Investment Corporation","Agency Overall","2015","5","13.37","<1","87","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Endowment for the Arts","Agency Overall","2015","12","26","1","52","470","282","18","923","N/A","N/A","N/A","N/A"
"Council on Environmental Quality","Agency Overall","2015","40","119.33","1","579","22","89","1","909","N/A","N/A","N/A","N/A"
"Millennium Challenge Corporation","Agency Overall","2015","79","84","<1","290","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Department of Health and Human Services","Agency Overall","2015","9","15.1","<1","1225","38","103.24","<1","1583","298","315.65","<1","862"
"Securities and Exchange Commission","Agency Overall","2015","6","14.9","<1","944","3","91.36","<1","758","47","136.33","41","321"
"Department of Transportation","Agency Overall","2015","34","56.51","<1","953","102","115","<1","1172","37","165","3","603"
"Armed Forces Retirement Home","Agency Overall","2015","17","17","7","37","37","37","37","37","N/A","N/A","N/A","N/A"
"Federal Mine Safety and Health Review Commission","Agency Overall","2015","1","2.7","<1","39","4","9.1","1","106","N/A","N/A","N/A","N/A"
"Court Services and Offender Supervision Agency","Agency Overall","2015","17","21.67","1","194","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"American Battle Monuments Commission","Agency Overall","2015","11","8","4","11","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Transportation Safety Board","Agency Overall","2015","7","28.75","<1","490","200","276.19","<1","913","66.5","100","1","266"
"United States International Trade Commission","Agency Overall","2015","16","15","1","20","30","30","20","38","N/A","N/A","N/A","N/A"
"Office of the United States Trade Representative","Agency Overall","2015","16","25","1","99","74","245","17","1400","N/A","N/A","N/A","N/A"
"Surface Transportation Board","Agency Overall","2015","12","12.016","1","43","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Credit Union Administration","Agency Overall","2015","3","6.04","<1","28","23.5","27.61","2","115","2","2","2","2"
"National Archives and Records Administration","Agency Overall","2015","8","26","<1","4387","452","1126","<1","5486","18","32.64","5","181"
"Environmental Protection Agency","Agency Overall","2015","13","12.34","<1","726","39","75.88","<1","1756","26.5","154.85","2","1229"
"Postal Regulatory Commission","Agency Overall","2015","13","13","3","20","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"United States Trade and Development Agency","Agency Overall","2015","N/A","N/A","N/A","N/A","37","53","22","116","N/A","N/A","N/A","N/A"
"Peace Corps","Agency Overall","2015","24","65","<1","467","185","278","38","663","N/A","N/A","N/A","N/A"
"General Services Administration","Agency Overall","2015","17","21.74","<1","40","27","32.56","<1","221","19","20.14","<1","89"
"Department of Education","Agency Overall","2015","10","11.27","<1","197","56","93.66","9","1311","17","22.25","3","74"
"Federal Labor Relations Authority","Agency Overall","2015","9","9.24","<1","20","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2015","3","20.58","1","200","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Farm Credit Administration","Agency Overall","2015","6","8.7","3","20","N/A","N/A","N/A","N/A","10","7.7","5","20"
"Office of Science and Technology Policy","Agency Overall","2015","10","19.2","<1","114","96","122.3","2","348","N/A","N/A","N/A","N/A"
"Department of Housing and Urban Development","Agency Overall","2015","17","34.26","<1","451","49.5","84.82","<1","546","9","33","1","249"
"National Aeronautics and Space Administration","Agency Overall","2015","5.5","7.44","<1","30","23","33.14","<1","418","N/A","N/A","N/A","N/A"
"Federal Open Market Committee","Agency Overall","2015","5","7.6","<1","20","161","265.3","33","648","N/A","N/A","N/A","N/A"
"Office of Personnel Management","Agency Overall","2015","1","2.4","N/A","N/A","25","27","N/A","N/A","10","25","N/A","N/A"
"Department of the Interior","Agency Overall","2015","2","10","<1","1004","17","41","<1","1157","17","77","<1","479"
"Commodity Futures Trading Commission","Agency Overall","2015","23","43.32","<1","305","38","72.21","6","333","N/A","N/A","N/A","N/A"
"Department of Defense","Agency Overall","2015","11.91","16.58","<1","3036","89.72","165.14","<1","3517","22.89","32.33","<1","860"
"Defense Nuclear Facilities Safety Board","Agency Overall","2015","12","10.6","1","20","33","36","31","50","N/A","N/A","N/A","N/A"
"Federal Communications Commission","Agency Overall","2015","20","23.93","<1","268","273","208.29","30","290","3","4.07","<1","11"
"Merit Systems Protection Board","Agency Overall","2015","18","27.05","<1","145","215","191.17","68","239","14.5","15.67","<1","35"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2015","19","25","<1","157","62","87","8","195","N/A","N/A","N/A","N/A"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2015","9","8.4","<1","16","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Office of Government Ethics","Agency Overall","2015","11","24","1","559","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Capital Planning Commission","Agency Overall","2015","3","6.5","1","9","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
