"Agency","Component","Fiscal Year","Ex. 1","Ex. 2","Ex. 3","Ex. 4","Ex. 5","Ex. 6","Ex. 7(A)","Ex. 7(B)","Ex. 7(C)","Ex. 7(D)","Ex. 7(E)","Ex. 7(F)","Ex. 8","Ex. 9"
"Equal Employment Opportunity Commission","Agency Overall","2021","0","0","847","96","9266","2781","1319","0","5088","20","22","0","0","0"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Millennium Challenge Corporation","Agency Overall","2021","0","0","0","7","4","6","0","0","0","0","0","0","0","0"
"James Madison Memorial Fellowship Foundation","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2021","0","0","1","0","1","3","0","0","3","0","0","0","0","0"
"Department of Justice","Agency Overall","2021","469","312","2126","374","2010","10227","1094","42","9464","1981","5685","1455","1","0"
"Office of the Director of National Intelligence","Agency Overall","2021","72","1","271","0","24","105","0","1","22","2","10","0","0","0"
"Selective Service System","Agency Overall","2021","0","0","0","0","3","6","0","0","0","0","0","0","0","0"
"Federal Open Market Committee","Agency Overall","2021","0","0","0","1","2","2","0","0","0","0","1","0","0","0"
"General Services Administration","Agency Overall","2021","0","2","22","331","193","498","51","1","65","3","22","108","0","0"
"National Endowment for the Arts","Agency Overall","2021","0","0","0","9","2","11","0","0","0","0","0","0","0","0"
"Federal Labor Relations Authority","Agency Overall","2021","0","0","0","0","3","0","0","0","1","1","0","0","0","0"
"U.S. Department of State","Agency Overall","2021","27","6","5833","8","121","638","23","0","204","17","67","11","0","0"
"National Aeronautics and Space Administration","Agency Overall","2021","1","15","34","81","60","128","2","0","27","1","18","7","0","0"
"Denali Commission","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Election Assistance Commission","Agency Overall","2021","0","1","0","1","3","8","0","0","0","0","0","0","0","0"
"U.S. Railroad Retirement Board","Agency Overall","2021","0","0","11","0","0","11","0","0","1","0","0","0","0","0"
"Social Security Administration","Agency Overall","2021","0","18","9","2","8","3614","3","1","13","1","9","0","0","0"
"Central Intelligence Agency","Agency Overall","2021","1575","6","1631","5","35","184","1","1","6","10","23","1","0","0"
"United States Postal Service","Agency Overall","2021","1","19","932","106","151","1198","64","1","312","31","84","8","0","0"
"National Labor Relations Board","Agency Overall","2021","0","5","0","45","149","866","229","0","847","101","5","0","0","0"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. International Development Finance Corporation","Agency Overall","2021","0","0","0","10","2","24","0","0","0","0","0","0","0","0"
"Farm Credit Administration","Agency Overall","2021","0","0","0","1","5","22","0","0","0","0","0","0","2","0"
"Department of Veterans Affairs","Agency Overall","2021","23","1","2925","231","1092","13079","78","8","1586","8","23","16","1","1"
"Farm Credit System Insurance Corporation","Agency Overall","2021","0","0","0","1","1","2","0","0","0","0","0","0","0","0"
"United States International Trade Commission","Agency Overall","2021","0","1","3","3","2","7","1","0","0","0","0","0","0","0"
"National Capital Planning Commission","Agency Overall","2021","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"Office of Government Ethics","Agency Overall","2021","0","0","16","5","38","38","2","0","0","0","0","0","0","0"
"National Railroad Passenger Corporation","Agency Overall","2021","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"Appraisal Subcommittee","Agency Overall","2021","0","0","0","3","0","2","0","0","0","0","0","0","0","0"
"Department of Energy","Agency Overall","2021","4","15","33","71","99","267","8","0","38","0","35","7","0","0"
"Occupational Safety and Health Review Commission","Agency Overall","2021","0","0","0","1","4","8","0","0","0","0","0","0","0","0"
"Inter-American Foundation","Agency Overall","2021","0","1","0","0","1","1","0","0","0","0","0","0","0","0"
"Court Services and Offender Supervision Agency","Agency Overall","2021","0","0","0","4","39","72","0","0","64","0","59","1","0","0"
"Federal Housing Finance Agency","Agency Overall","2021","0","0","4","21","22","51","11","0","27","1","21","0","8","0"
"Office of Personnel Management","Agency Overall","2021","0","8","5","19","28","106","2","1","6","3","2","0","0","0"
"Postal Regulatory Commission","Agency Overall","2021","0","0","0","0","0","2","0","0","0","0","0","0","0","0"
"Department of Transportation","Agency Overall","2021","0","23","847","296","631","4802","98","3","2019","661","26","9","0","0"
"Presidio Trust","Agency Overall","2021","0","0","0","5","8","6","0","0","0","0","0","0","0","0"
"Environmental Protection Agency","Agency Overall","2021","2","7","47","231","529","918","95","7","131","4","40","59","0","34"
"National Mediation Board","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"American Battle Monuments Commission","Agency Overall","2021","0","0","0","0","0","4","0","0","0","0","0","0","0","0"
"National Transportation Safety Board","Agency Overall","2021","0","0","13","43","254","137","56","0","0","0","0","0","0","0"
"Federal Deposit Insurance Corporation","Agency Overall","2021","0","2","1","34","17","81","2","1","3","1","8","0","10","0"
"Federal Communications Commission","Agency Overall","2021","0","0","0","21","48","151","14","0","9","0","11","0","0","0"
"Small Business Administration","Agency Overall","2021","0","5","4","234","203","281","3","1","5","1","2","1","2","0"
"Department of Commerce","Agency Overall","2021","0","15","43","109","153","284","20","2","69","2","29","5","0","0"
"Office of National Drug Control Policy","Agency Overall","2021","0","0","1","0","14","21","1","0","2","0","0","0","0","0"
"Consumer Financial Protection Bureau","Agency Overall","2021","0","10","4","41","98","156","18","0","9","23","93","4","41","0"
"Peace Corps","Agency Overall","2021","0","11","0","1","26","44","2","0","15","1","3","0","0","0"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Science Foundation","Agency Overall","2021","0","0","17","136","5","147","1","0","8","0","0","0","0","0"
"Department of Agriculture","Agency Overall","2021","4","20","369","680","723","2139","103","7","644","121","137","83","0","5"
"Department of Labor","Agency Overall","2021","0","54","2","2791","1805","2082","1842","2","4836","1961","1031","15","0","0"
"Commodity Futures Trading Commission","Agency Overall","2021","0","0","15","36","22","38","10","1","15","4","9","0","0","0"
"United States Institute of Peace","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of the Treasury","Agency Overall","2021","4","31","1798","196","354","799","310","1","723","10","757","6","54","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2021","0","0","0","0","0","0","22","0","0","0","22","0","0","0"
"Nuclear Regulatory Commission","Agency Overall","2021","1","0","4","11","17","22","3","0","24","0","3","17","0","0"
"Federal Maritime Commission","Agency Overall","2021","0","0","2","0","1","0","0","0","0","2","0","0","0","0"
"Neighborhood Reinvestment Corporation","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Merit Systems Protection Board","Agency Overall","2021","0","1","2","0","5","46","1","0","4","0","4","0","0","0"
"National Archives and Records Administration","Agency Overall","2021","37","7","38","7","47","92","0","0","7","1","5","3","0","0"
"Securities and Exchange Commission","Agency Overall","2021","0","2","86","436","247","568","480","3","367","63","44","1","42","0"
"Federal Reserve System","Agency Overall","2021","0","1","4","33","39","68","0","0","7","4","14","0","21","0"
"Federal Election Commission","Agency Overall","2021","0","4","11","1","22","17","3","0","4","0","4","0","0","0"
"Office of Management and Budget","Agency Overall","2021","0","0","0","0","14","23","0","0","0","0","0","0","0","0"
"United States Trade and Development Agency","Agency Overall","2021","0","0","0","0","0","3","0","0","0","0","0","0","0","0"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States Access Board","Agency Overall","2021","0","0","0","0","2","2","0","0","0","0","0","0","0","0"
"Federal Trade Commission","Agency Overall","2021","2","10","113","72","94","375","107","4","15","13","9","0","1","1"
"National Indian Gaming Commission","Agency Overall","2021","0","0","0","5","3","3","0","0","2","0","1","0","0","0"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Defense","Agency Overall","2021","1413","187","3263","2185","3520","13889","976","188","7410","233","2689","198","2","8"
"Tennessee Valley Authority","Agency Overall","2021","0","1","5","27","34","50","0","0","3","1","2","1","0","0"
"Export-Import Bank of the U.S.","Agency Overall","2021","0","1","0","12","16","19","0","0","1","0","1","0","0","0"
"Department of Homeland Security","Agency Overall","2021","12","408","59822","863","47854","212224","269","110","221800","207","234072","243","8","3"
"Defense Nuclear Facilities Safety Board","Agency Overall","2021","0","0","0","1","1","7","0","0","0","0","0","0","0","0"
"All agencies","Agency Overall","2021","3661","1279","81818","12173","72111","285357","8173","413","258866","5616","245335","2368","238","56"
