"Agency","Component","Fiscal Year","Number of Consultations Received from Other Agencies that were Pending at the Agency as of Start of the Fiscal Year","Number of Consultations Received from Other Agencies During the Fiscal Year","Number of Consultations Received from Other Agencies that were Processed by the Agency During the Fiscal Year","Number of Consultations Received from Other Agencies that were Pending at the Agency as of End of the Fiscal Year"
"Federal Deposit Insurance Corporation","Agency Overall","2021","0","12","11","1"
"Federal Communications Commission","Agency Overall","2021","0","5","5","0"
"Small Business Administration","Agency Overall","2021","6","10","12","4"
"Department of Commerce","Agency Overall","2021","45","116","120","41"
"Office of National Drug Control Policy","Agency Overall","2021","0","3","3","0"
"Consumer Financial Protection Bureau","Agency Overall","2021","0","12","12","0"
"Peace Corps","Agency Overall","2021","0","0","0","0"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2021","0","0","0","0"
"National Science Foundation","Agency Overall","2021","1","6","6","1"
"Department of Agriculture","Agency Overall","2021","25","211","192","44"
"Department of Labor","Agency Overall","2021","12","36","43","5"
"Commodity Futures Trading Commission","Agency Overall","2021","0","7","7","0"
"United States Institute of Peace","Agency Overall","2021","0","0","0","0"
"Department of the Treasury","Agency Overall","2021","22","157","139","40"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2021","0","1","1","0"
"Nuclear Regulatory Commission","Agency Overall","2021","3","7","9","1"
"Federal Maritime Commission","Agency Overall","2021","0","0","0","0"
"Neighborhood Reinvestment Corporation","Agency Overall","2021","0","0","0","0"
"Merit Systems Protection Board","Agency Overall","2021","0","1","1","0"
"National Archives and Records Administration","Agency Overall","2021","1","18","13","6"
"Securities and Exchange Commission","Agency Overall","2021","1","21","20","2"
"Federal Reserve System","Agency Overall","2021","3","21","21","3"
"Federal Election Commission","Agency Overall","2021","0","2","2","0"
"Office of Management and Budget","Agency Overall","2021","20","196","183","33"
"United States Trade and Development Agency","Agency Overall","2021","0","0","0","0"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2021","0","0","0","0"
"United States Access Board","Agency Overall","2021","0","1","1","0"
"Federal Trade Commission","Agency Overall","2021","0","11","11","0"
"National Indian Gaming Commission","Agency Overall","2021","0","1","1","0"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2021","0","0","0","0"
"Department of Defense","Agency Overall","2021","1520","962","1139","1343"
"Tennessee Valley Authority","Agency Overall","2021","0","0","0","0"
"Export-Import Bank of the U.S.","Agency Overall","2021","0","3","3","0"
"Department of Homeland Security","Agency Overall","2021","394","732","642","484"
"Defense Nuclear Facilities Safety Board","Agency Overall","2021","0","1","1","0"
"All agencies","Agency Overall","2021","3594","5379","5699","3274"
