"Agency","Component","Fiscal Year","Number of Appeals Pending as of Start of Fiscal Year","Number of Appeals Received in Fiscal Year","Number of Appeals Processed in Fiscal Year","Number of Appeals Pending as of End of Fiscal Year"
"Office of the Director of National Intelligence","Agency Overall","2021","4","27","19","12"
"Selective Service System","Agency Overall","2021","0","1","1","0"
"Federal Open Market Committee","Agency Overall","2021","0","0","0","0"
"General Services Administration","Agency Overall","2021","15","31","34","12"
"National Endowment for the Arts","Agency Overall","2021","0","1","1","0"
"Federal Labor Relations Authority","Agency Overall","2021","0","5","5","0"
"U.S. Department of State","Agency Overall","2021","264","476","346","394"
"National Aeronautics and Space Administration","Agency Overall","2021","1","13","6","8"
"Denali Commission","Agency Overall","2021","0","0","0","0"
"U.S. Election Assistance Commission","Agency Overall","2021","2","4","6","0"
"U.S. Railroad Retirement Board","Agency Overall","2021","0","1","1","0"
"Social Security Administration","Agency Overall","2021","11","556","525","42"
"Central Intelligence Agency","Agency Overall","2021","318","230","109","439"
"United States Postal Service","Agency Overall","2021","29","210","218","21"
"National Labor Relations Board","Agency Overall","2021","0","11","5","6"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2021","0","0","0","0"
"U.S. International Development Finance Corporation","Agency Overall","2021","0","1","1","0"
"Farm Credit Administration","Agency Overall","2021","0","0","0","0"
"Department of Veterans Affairs","Agency Overall","2021","87","410","341","156"
"Farm Credit System Insurance Corporation","Agency Overall","2021","0","0","0","0"
"United States International Trade Commission","Agency Overall","2021","0","1","1","0"
"National Capital Planning Commission","Agency Overall","2021","0","0","0","0"
"Office of Government Ethics","Agency Overall","2021","0","1","1","0"
"National Railroad Passenger Corporation","Agency Overall","2021","11","1","0","12"
"Appraisal Subcommittee","Agency Overall","2021","0","0","0","0"
"Department of Energy","Agency Overall","2021","12","14","14","12"
"Occupational Safety and Health Review Commission","Agency Overall","2021","0","0","0","0"
"Inter-American Foundation","Agency Overall","2021","0","0","0","0"
"Court Services and Offender Supervision Agency","Agency Overall","2021","0","4","4","0"
"Federal Housing Finance Agency","Agency Overall","2021","1","3","4","0"
"Office of Personnel Management","Agency Overall","2021","1","9","9","1"
"Postal Regulatory Commission","Agency Overall","2021","0","0","0","0"
"Department of Transportation","Agency Overall","2021","126","100","64","162"
"Presidio Trust","Agency Overall","2021","0","0","0","0"
"Environmental Protection Agency","Agency Overall","2021","11","154","160","5"
"National Mediation Board","Agency Overall","2021","0","0","0","0"
"American Battle Monuments Commission","Agency Overall","2021","0","0","0","0"
"National Transportation Safety Board","Agency Overall","2021","1","23","24","0"
"Federal Deposit Insurance Corporation","Agency Overall","2021","1","7","7","1"
"Federal Communications Commission","Agency Overall","2021","10","15","17","8"
"Small Business Administration","Agency Overall","2021","21","57","41","37"
"Department of Commerce","Agency Overall","2021","85","94","26","153"
"Office of National Drug Control Policy","Agency Overall","2021","0","1","1","0"
"Consumer Financial Protection Bureau","Agency Overall","2021","0","14","13","1"
"Peace Corps","Agency Overall","2021","0","2","2","0"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2021","0","1","1","0"
"National Science Foundation","Agency Overall","2021","0","8","8","0"
"Department of Agriculture","Agency Overall","2021","830","153","797","186"
"Department of Labor","Agency Overall","2021","297","178","176","299"
"Commodity Futures Trading Commission","Agency Overall","2021","0","4","3","1"
"United States Institute of Peace","Agency Overall","2021","0","0","0","0"
"Department of the Treasury","Agency Overall","2021","58","129","141","46"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2021","0","1","1","0"
"Nuclear Regulatory Commission","Agency Overall","2021","4","6","8","2"
"Federal Maritime Commission","Agency Overall","2021","0","0","0","0"
"Neighborhood Reinvestment Corporation","Agency Overall","2021","0","0","0","0"
"Merit Systems Protection Board","Agency Overall","2021","2","15","14","3"
"National Archives and Records Administration","Agency Overall","2021","99","54","45","108"
"Securities and Exchange Commission","Agency Overall","2021","1","647","645","3"
"Federal Reserve System","Agency Overall","2021","3","20","19","4"
"Federal Election Commission","Agency Overall","2021","2","2","3","1"
"Office of Management and Budget","Agency Overall","2021","10","4","4","10"
"United States Trade and Development Agency","Agency Overall","2021","0","0","0","0"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2021","0","0","0","0"
"United States Access Board","Agency Overall","2021","0","0","0","0"
"Federal Trade Commission","Agency Overall","2021","3","35","34","4"
"National Indian Gaming Commission","Agency Overall","2021","0","0","0","0"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2021","0","0","0","0"
"Department of Defense","Agency Overall","2021","990","1081","1095","976"
"Tennessee Valley Authority","Agency Overall","2021","0","8","6","2"
"Export-Import Bank of the U.S.","Agency Overall","2021","0","2","2","0"
"Department of Homeland Security","Agency Overall","2021","520","6908","6579","849"
"Defense Nuclear Facilities Safety Board","Agency Overall","2021","0","0","0","0"
"All agencies","Agency Overall","2021","5837","15468","15522","5783"
