"Agency","Component","Fiscal Year","Number Received During Fiscal Year from Last Year's Annual Report","Number Received During Fiscal Year from Current Annual Report","Number Processed During Fiscal Year from Last Year's Annual Report","Number Processed During Fiscal Year from Current Annual Report"
"Court Services and Offender Supervision Agency","Agency Overall","2021","207","99","207","99"
"Federal Housing Finance Agency","Agency Overall","2021","120","108","116","124"
"Office of Personnel Management","Agency Overall","2021","8123","640","8140","842"
"Postal Regulatory Commission","Agency Overall","2021","37","27","36","27"
"Department of Transportation","Agency Overall","2021","14632","15740","15433","14754"
"Presidio Trust","Agency Overall","2021","14","24","13","23"
"Environmental Protection Agency","Agency Overall","2021","6891","6485","7665","6943"
"National Mediation Board","Agency Overall","2021","17","20","17","19"
"American Battle Monuments Commission","Agency Overall","2021","14","19","15","19"
"National Transportation Safety Board","Agency Overall","2021","573","453","850","584"
"Federal Deposit Insurance Corporation","Agency Overall","2021","371","312","360","295"
"Federal Communications Commission","Agency Overall","2021","572","534","579","537"
"Small Business Administration","Agency Overall","2021","4529","18127","3020","15238"
"Department of Commerce","Agency Overall","2021","2017","2274","2108","2195"
"Office of National Drug Control Policy","Agency Overall","2021","53","44","48","46"
"Consumer Financial Protection Bureau","Agency Overall","2021","330","255","411","366"
"Peace Corps","Agency Overall","2021","160","112","207","132"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2021","25","17","25","17"
"National Science Foundation","Agency Overall","2021","259","293","209","257"
"Department of Agriculture","Agency Overall","2021","22810","20956","23103","21815"
"Department of Labor","Agency Overall","2021","15820","13560","15645","14022"
"Commodity Futures Trading Commission","Agency Overall","2021","178","157","184","144"
"United States Institute of Peace","Agency Overall","2021","8","7","4","8"
"Department of the Treasury","Agency Overall","2021","11916","10820","11260","10755"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2021","93","179","90","134"
"Nuclear Regulatory Commission","Agency Overall","2021","289","239","288","229"
"Federal Maritime Commission","Agency Overall","2021","21","30","21","27"
"Neighborhood Reinvestment Corporation","Agency Overall","2021","7","3","11","3"
"Merit Systems Protection Board","Agency Overall","2021","127","172","124","171"
"National Archives and Records Administration","Agency Overall","2021","25738","7725","25721","6867"
"Securities and Exchange Commission","Agency Overall","2021","13300","12363","13258","12171"
"Federal Reserve System","Agency Overall","2021","630","637","615","654"
"Federal Election Commission","Agency Overall","2021","105","100","148","110"
"Office of Management and Budget","Agency Overall","2021","438","280","371","278"
"United States Trade and Development Agency","Agency Overall","2021","25","19","8","10"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2021","7","5","6","5"
"United States Access Board","Agency Overall","2021","24","8","31","8"
"Federal Trade Commission","Agency Overall","2021","1177","1385","1208","1375"
"National Indian Gaming Commission","Agency Overall","2021","29","30","27","30"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2021","2","1","2","1"
"Department of Defense","Agency Overall","2021","54023","52805","50004","50703"
"Tennessee Valley Authority","Agency Overall","2021","259","213","239","215"
"Export-Import Bank of the U.S.","Agency Overall","2021","79","64","96","55"
"Department of Homeland Security","Agency Overall","2021","397671","442650","392623","467347"
"Defense Nuclear Facilities Safety Board","Agency Overall","2021","20","19","22","18"
"All agencies","Agency Overall","2021","790673","838164","772852","838668"
