"Agency","Component","Fiscal Year","<1-20 Days","21-40 Days","41-60 Days","61-80 Days","81-100 Days","101-120 Days","121-140 Days","141-160 Days","161-180 Days","181-200 Days","201-300 Days","301-400 Days","401+ Days","Total"
"Federal Housing Finance Agency","Agency Overall","2021","3","1","4","1","1","2","6","1","3","3","3","0","16","44"
"Office of Personnel Management","Agency Overall","2021","263","79","47","35","29","9","11","17","10","10","39","36","159","744"
"Postal Regulatory Commission","Agency Overall","2021","1","1","0","0","0","0","0","0","0","0","0","0","0","2"
"Department of Transportation","Agency Overall","2021","394","185","108","65","56","51","42","51","46","41","137","108","295","1579"
"Presidio Trust","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Environmental Protection Agency","Agency Overall","2021","318","273","133","91","70","61","37","24","29","16","95","53","226","1426"
"National Mediation Board","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"American Battle Monuments Commission","Agency Overall","2021","9","0","0","0","0","0","0","0","0","0","0","0","0","9"
"National Transportation Safety Board","Agency Overall","2021","47","52","38","18","15","14","8","20","8","4","55","75","29","383"
"Federal Deposit Insurance Corporation","Agency Overall","2021","44","29","8","5","0","1","3","0","1","0","1","0","1","93"
"Federal Communications Commission","Agency Overall","2021","5","14","18","16","8","2","1","0","1","2","8","0","4","79"
"Small Business Administration","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Commerce","Agency Overall","2021","158","89","33","16","15","15","8","11","10","5","16","15","104","495"
"Office of National Drug Control Policy","Agency Overall","2021","1","2","2","2","0","1","1","0","0","0","1","2","9","21"
"Consumer Financial Protection Bureau","Agency Overall","2021","47","31","8","10","5","8","4","3","5","0","15","9","78","223"
"Peace Corps","Agency Overall","2021","0","0","1","1","0","0","0","1","0","0","0","1","1","5"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Science Foundation","Agency Overall","2021","35","35","13","12","7","7","8","8","4","4","7","5","18","163"
"Department of Agriculture","Agency Overall","2021","557","285","108","83","59","61","52","39","24","34","129","96","303","1830"
"Department of Labor","Agency Overall","2021","3637","819","408","294","265","188","162","99","86","91","211","127","141","6528"
"Commodity Futures Trading Commission","Agency Overall","2021","6","4","1","4","0","3","3","0","1","0","1","2","0","25"
"United States Institute of Peace","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of the Treasury","Agency Overall","2021","3561","763","392","336","206","191","146","129","99","77","189","68","283","6440"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nuclear Regulatory Commission","Agency Overall","2021","29","6","4","6","1","2","2","3","4","2","10","2","9","80"
"Federal Maritime Commission","Agency Overall","2021","12","5","0","1","0","0","0","0","0","0","0","0","0","18"
"Neighborhood Reinvestment Corporation","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Merit Systems Protection Board","Agency Overall","2021","11","7","1","1","2","1","0","0","0","1","1","0","20","45"
"National Archives and Records Administration","Agency Overall","2021","74","10","15","5","4","4","1","3","0","4","20","4","93","237"
"Securities and Exchange Commission","Agency Overall","2021","3","0","0","0","0","0","0","0","0","0","0","0","14","17"
"Federal Reserve System","Agency Overall","2021","135","95","44","25","15","5","10","10","2","2","5","5","4","357"
"Federal Election Commission","Agency Overall","2021","38","9","4","2","0","0","0","0","0","0","2","0","7","62"
"Office of Management and Budget","Agency Overall","2021","0","0","0","0","0","0","0","0","1","0","1","15","79","96"
"United States Trade and Development Agency","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States Access Board","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Trade Commission","Agency Overall","2021","259","52","22","6","7","7","3","1","4","1","0","0","0","362"
"National Indian Gaming Commission","Agency Overall","2021","0","1","0","0","0","1","0","0","0","0","0","0","1","3"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Defense","Agency Overall","2021","8445","4600","2101","1218","836","473","334","280","239","225","645","446","2020","21862"
"Tennessee Valley Authority","Agency Overall","2021","3","11","14","10","3","6","2","2","1","4","3","0","0","59"
"Export-Import Bank of the U.S.","Agency Overall","2021","6","5","2","5","1","1","3","0","0","0","0","2","5","30"
"Department of Homeland Security","Agency Overall","2021","59300","104833","29187","32952","17335","8646","6168","4389","3163","3753","12693","4978","1877","289274"
"Defense Nuclear Facilities Safety Board","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"All agencies","Agency Overall","2021","95919","120924","37021","39073","22415","12208","8650","6590","4752","5195","17566","7909","13843","392065"
