"Agency","Component","Fiscal Year","Number of Full Grants","Number of Partial Grants/Partial Denials","Number of Full Denials Based on Exemptions","No Records","All Records Referred to Another Component or Agency","Request Withdrawn","Fee-Related Reason","Records Not Reasonably Described","Improper FOIA Request for Other Reason","Not Agency Record","Duplicate Request","Other*","Total"
"U.S. Interagency Council on Homelessness","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States International Boundary and Water Commission","Agency Overall","2021","2","12","0","4","0","0","0","0","0","0","0","0","18"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2021","4","0","0","0","0","0","0","0","0","0","0","0","4"
"U.S. Commission on Civil Rights","Agency Overall","2021","8","0","1","29","2","4","0","1","0","0","0","0","45"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2021","8","0","0","0","0","0","0","0","0","0","0","0","8"
"Institute of Museum and Library Services","Agency Overall","2021","19","7","1","5","0","0","0","0","0","6","0","3","41"
"Federal Retirement Thrift Investment Board","Agency Overall","2021","12","11","0","8","1","2","0","0","8","0","0","0","42"
"Equal Employment Opportunity Commission","Agency Overall","2021","1481","10495","1383","965","54","83","3","442","497","33","609","3","16048"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2021","0","0","0","3","0","0","0","0","0","0","0","0","3"
"Millennium Challenge Corporation","Agency Overall","2021","3","8","2","8","0","0","0","0","2","0","0","0","23"
"James Madison Memorial Fellowship Foundation","Agency Overall","2021","8","0","0","0","0","0","0","0","0","0","0","0","8"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2021","1","3","1","6","1","0","0","1","0","0","0","0","13"
"Department of Justice","Agency Overall","2021","25709","10292","2940","14998","291","1238","605","830","15018","548","1644","1398","75511"
"Office of the Director of National Intelligence","Agency Overall","2021","69","225","60","167","7","13","0","7","1","32","2","68","651"
"Selective Service System","Agency Overall","2021","17","5","1","16","0","0","0","0","0","0","0","0","39"
"Federal Open Market Committee","Agency Overall","2021","15","2","2","2","8","0","0","6","1","0","0","0","36"
"General Services Administration","Agency Overall","2021","201","580","15","118","27","80","61","78","15","93","26","0","1294"
"National Endowment for the Arts","Agency Overall","2021","12","17","3","7","0","1","0","0","0","1","0","0","41"
"Federal Labor Relations Authority","Agency Overall","2021","15","30","2","3","0","2","1","2","0","42","0","0","97"
"U.S. Department of State","Agency Overall","2021","258","4401","1859","1624","31","91","0","637","184","362","58","0","9505"
"National Aeronautics and Space Administration","Agency Overall","2021","126","165","27","131","9","26","27","141","24","15","20","64","775"
"Denali Commission","Agency Overall","2021","9","0","0","0","0","0","0","0","0","0","0","0","9"
"U.S. Election Assistance Commission","Agency Overall","2021","11","11","0","21","0","2","0","0","0","0","0","0","45"
"U.S. Railroad Retirement Board","Agency Overall","2021","50","0","12","2","2","2","0","0","0","1","0","1","70"
"Social Security Administration","Agency Overall","2021","8064","3577","961","897","271","31","539","102","80","104","36","0","14662"
"Central Intelligence Agency","Agency Overall","2021","160","360","1275","309","21","7","0","20","599","2","60","57","2870"
"United States Postal Service","Agency Overall","2021","734","745","801","507","633","199","80","353","533","167","153","0","4905"
"National Labor Relations Board","Agency Overall","2021","256","928","23","85","1","80","13","10","0","1","14","0","1411"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2021","2","0","0","16","2","0","0","8","0","0","0","0","28"
"U.S. International Development Finance Corporation","Agency Overall","2021","16","25","1","11","0","5","0","2","0","0","1","0","61"
"Farm Credit Administration","Agency Overall","2021","15","24","1","15","0","0","0","0","0","0","0","0","55"
"Department of Veterans Affairs","Agency Overall","2021","10375","9121","5510","2397","250","269","108","112","509","34","168","1374","30227"
"Farm Credit System Insurance Corporation","Agency Overall","2021","2","2","0","1","0","0","0","0","0","0","0","0","5"
"United States International Trade Commission","Agency Overall","2021","3","7","3","11","0","1","0","0","0","0","0","0","25"
"National Capital Planning Commission","Agency Overall","2021","2","1","1","4","0","0","0","0","0","0","0","0","8"
"Office of Government Ethics","Agency Overall","2021","19","44","2","34","1","7","1","1","0","0","0","0","109"
"National Railroad Passenger Corporation","Agency Overall","2021","15","3","2","3","0","1","0","2","0","1","0","0","27"
"Appraisal Subcommittee","Agency Overall","2021","2","3","1","6","0","0","0","1","0","0","0","0","13"
"Department of Energy","Agency Overall","2021","273","319","14","506","61","148","6","14","4","36","27","0","1408"
"Occupational Safety and Health Review Commission","Agency Overall","2021","47","10","0","26","0","65","0","0","0","0","0","0","148"
"Inter-American Foundation","Agency Overall","2021","2","2","0","2","0","0","0","0","0","0","0","1","7"
"Court Services and Offender Supervision Agency","Agency Overall","2021","15","71","1","8","0","3","0","1","0","0","0","0","99"
"Federal Housing Finance Agency","Agency Overall","2021","5","57","10","37","2","8","0","2","3","0","0","0","124"
"Office of Personnel Management","Agency Overall","2021","239","125","17","138","7","40","18","10","29","191","28","0","842"
"Postal Regulatory Commission","Agency Overall","2021","5","2","0","16","0","0","0","0","0","0","0","4","27"
"Department of Transportation","Agency Overall","2021","4833","5136","179","2203","166","1108","603","108","189","79","105","45","14754"
"Presidio Trust","Agency Overall","2021","3","9","1","5","1","0","4","0","0","0","0","0","23"
"Environmental Protection Agency","Agency Overall","2021","3038","1129","40","1025","3","777","53","149","538","27","143","21","6943"
"National Mediation Board","Agency Overall","2021","19","0","0","0","0","0","0","0","0","0","0","0","19"
"American Battle Monuments Commission","Agency Overall","2021","3","4","0","11","0","0","0","1","0","0","0","0","19"
"National Transportation Safety Board","Agency Overall","2021","54","154","142","116","1","10","0","1","48","16","42","0","584"
"Federal Deposit Insurance Corporation","Agency Overall","2021","37","66","17","20","0","14","11","34","55","32","9","0","295"
"Federal Communications Commission","Agency Overall","2021","85","226","18","122","1","55","10","2","6","3","8","1","537"
"Small Business Administration","Agency Overall","2021","7288","737","115","397","5","1147","8","60","4494","39","948","0","15238"
"Department of Commerce","Agency Overall","2021","501","352","62","217","24","388","67","40","92","134","122","196","2195"
"Office of National Drug Control Policy","Agency Overall","2021","10","25","0","11","0","0","0","0","0","0","0","0","46"
"Consumer Financial Protection Bureau","Agency Overall","2021","41","175","19","52","1","44","0","6","6","20","2","0","366"
"Peace Corps","Agency Overall","2021","45","49","3","12","8","8","0","4","1","2","0","0","132"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2021","17","0","0","0","0","0","0","0","0","0","0","0","17"
"National Science Foundation","Agency Overall","2021","23","158","5","20","10","30","0","3","7","0","1","0","257"
"Department of Agriculture","Agency Overall","2021","16829","2433","249","906","139","788","39","48","100","60","152","72","21815"
"Department of Labor","Agency Overall","2021","2246","5335","1993","2512","214","654","226","76","144","105","517","0","14022"
"Commodity Futures Trading Commission","Agency Overall","2021","36","41","20","25","0","9","4","3","4","2","0","0","144"
"United States Institute of Peace","Agency Overall","2021","6","0","0","2","0","0","0","0","0","0","0","0","8"
"Department of the Treasury","Agency Overall","2021","3027","2334","360","649","212","546","69","192","1909","207","1181","69","10755"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2021","2","0","22","70","1","5","0","29","4","1","0","0","134"
"Nuclear Regulatory Commission","Agency Overall","2021","56","60","4","30","0","38","18","4","8","9","2","0","229"
"Federal Maritime Commission","Agency Overall","2021","10","1","2","12","0","0","0","2","0","0","0","0","27"
"Neighborhood Reinvestment Corporation","Agency Overall","2021","0","0","0","2","0","0","0","0","0","0","1","0","3"
"Merit Systems Protection Board","Agency Overall","2021","44","50","3","46","3","6","0","6","11","0","0","2","171"
"National Archives and Records Administration","Agency Overall","2021","5276","61","7","931","113","34","24","191","102","14","22","92","6867"
"Securities and Exchange Commission","Agency Overall","2021","3883","787","1006","5574","80","492","23","25","33","68","200","0","12171"
"Federal Reserve System","Agency Overall","2021","272","96","17","73","9","28","11","23","55","59","8","3","654"
"Federal Election Commission","Agency Overall","2021","30","31","8","35","0","1","0","4","1","0","0","0","110"
"Office of Management and Budget","Agency Overall","2021","21","24","1","96","0","121","0","13","0","2","0","0","278"
"United States Trade and Development Agency","Agency Overall","2021","1","3","0","5","0","1","0","0","0","0","0","0","10"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2021","0","0","0","3","0","0","0","0","0","2","0","0","5"
"United States Access Board","Agency Overall","2021","1","2","0","5","0","0","0","0","0","0","0","0","8"
"Federal Trade Commission","Agency Overall","2021","494","412","128","145","5","19","7","31","49","15","26","44","1375"
"National Indian Gaming Commission","Agency Overall","2021","13","6","0","10","0","0","0","0","1","0","0","0","30"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2021","0","0","0","0","0","0","0","1","0","0","0","0","1"
"Department of Defense","Agency Overall","2021","12681","16502","3002","5723","2139","2025","248","1065","1472","1529","1933","2384","50703"
"Tennessee Valley Authority","Agency Overall","2021","77","73","14","29","1","7","10","1","1","0","2","0","215"
"Export-Import Bank of the U.S.","Agency Overall","2021","17","24","2","10","0","2","0","0","0","0","0","0","55"
"Department of Homeland Security","Agency Overall","2021","40491","249515","12553","122389","3745","1604","45","1061","19835","2124","12870","1115","467347"
"Defense Nuclear Facilities Safety Board","Agency Overall","2021","3","8","0","2","0","1","0","4","0","0","0","0","18"
"All agencies","Agency Overall","2021","165847","336135","40997","172360","9354","16694","3593","6491","49253","7608","22487","7849","838668"
