"Agency","Component","Fiscal Year","Number Granted","Number Denied","Median Number of Days to Adjudicate","Average Number of Days to Adjudicate"
"Neighborhood Reinvestment Corporation","Agency Overall","2021","0","0","N/A","N/A"
"Merit Systems Protection Board","Agency Overall","2021","0","0","N/A","N/A"
"National Archives and Records Administration","Agency Overall","2021","223","113","11","17"
"Securities and Exchange Commission","Agency Overall","2021","96","422","2","2.13"
"Federal Reserve System","Agency Overall","2021","0","0","N/A","N/A"
"Federal Election Commission","Agency Overall","2021","26","0","1","1"
"Office of Management and Budget","Agency Overall","2021","0","0","N/A","N/A"
"United States Trade and Development Agency","Agency Overall","2021","2","0","14","14"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2021","0","0","N/A","N/A"
"United States Access Board","Agency Overall","2021","0","0","N/A","N/A"
"Federal Trade Commission","Agency Overall","2021","115","97","2","9.6"
"National Indian Gaming Commission","Agency Overall","2021","2","0","4","4"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2021","0","0","N/A","N/A"
"Department of Defense","Agency Overall","2021","2287","1125","1","17.84"
"Tennessee Valley Authority","Agency Overall","2021","1","2","10","11.67"
"Export-Import Bank of the U.S.","Agency Overall","2021","19","0","1","2.47"
"Department of Homeland Security","Agency Overall","2021","694","744","1","27"
"Defense Nuclear Facilities Safety Board","Agency Overall","2021","3","0","3","4"
"All agencies","Agency Overall","2021","8315","7643","N/A","N/A"
