"Agency","Component","Fiscal Year","Simple - Number Pending","Simple - Median Number of Days","Simple - Average Number of Days","Complex - Number Pending","Complex - Median Number of Days","Complex - Average Number of Days","Expedited Processing - Number Pending","Expedited Processing - Median Number of Days","Expedited Processing - Average Number of Days"
"Marine Mammal Commission","Agency Overall","2021","4","7","54","2","86","86","0","N/A","N/A"
"Administrative Conference of the United States","Agency Overall","2021","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Legal Services Corporation","Agency Overall","2021","4","27","28.25","0","N/A","N/A","0","N/A","N/A"
"Surface Transportation Board","Agency Overall","2021","4","5.5","5.75","0","N/A","N/A","0","N/A","N/A"
"Department of the Interior","Agency Overall","2021","2473","231.0","331.11","2334","509.0","534.47","35","752.0","689.49"
"Office of Special Counsel","Agency Overall","2021","4","1","14","9","20","20","0","N/A","N/A"
"Office of Science and Technology Policy","Agency Overall","2021","74","503","526.95","47","299","363.54","10","577","691.19"
"Federal Energy Regulatory Commission","Agency Overall","2021","15","26","180","40","140","215","0","N/A","N/A"
"Armed Forces Retirement Home","Agency Overall","2021","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"U.S. Agency for International Development","Agency Overall","2021","26","246.5","273","389","304","297","15","344","343"
"Department of Education","Agency Overall","2021","34","189","280","751","207","292","3","548","590"
"Department of Health and Human Services","Agency Overall","2021","1035","110.41","176.41","10077","237.5","304.99","324","409.12","398.94"
"Department of Housing and Urban Development","Agency Overall","2021","402","149","209","517","347","429","2","372.5","372"
"Federal Mine Safety and Health Review Commission","Agency Overall","2021","0","N/A","N/A","2","47","47","0","N/A","N/A"
"U.S. Interagency Council on Homelessness","Agency Overall","2021","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"United States International Boundary and Water Commission","Agency Overall","2021","39","442","352.2","0","N/A","N/A","0","N/A","N/A"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2021","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"U.S. Commission on Civil Rights","Agency Overall","2021","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2021","1","180","180","29","340","462","0","N/A","N/A"
"Institute of Museum and Library Services","Agency Overall","2021","0","N/A","N/A","1","245","245","0","N/A","N/A"
"Federal Retirement Thrift Investment Board","Agency Overall","2021","5","51","47","0","N/A","N/A","0","N/A","N/A "
"Equal Employment Opportunity Commission","Agency Overall","2021","454","20","24.17","188","23","37.46","0","N/A","N/A"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2021","2","323","323","0","N/A","N/A","0","N/A","N/A"
"Millennium Challenge Corporation","Agency Overall","2021","2","19","18","0","N/A","N/A","0","N/A","N/A"
"James Madison Memorial Fellowship Foundation","Agency Overall","2021","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2021","4","12","21","0","N/A","N/A","0","N/A","N/A"
"Department of Justice","Agency Overall","2021","38348","93","150.28","18914","357","439.61","573","329","478.49"
"Office of the Director of National Intelligence","Agency Overall","2021","74","656","750","421","647","714","4","286","278"
"Selective Service System","Agency Overall","2021","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Federal Open Market Committee","Agency Overall","2021","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"General Services Administration","Agency Overall","2021","239","119.0","240.13","223","337.0","356.32","22","443.5","475.32"
"National Endowment for the Arts","Agency Overall","2021","1","2","2","0","N/A","N/A","0","N/A","N/A"
"Federal Labor Relations Authority","Agency Overall","2021","4","9","9.5","0","N/A","N/A","0","N/A","N/A"
"U.S. Department of State","Agency Overall","2021","896","200","260","14529","480","631","241","350","550"
"National Aeronautics and Space Administration","Agency Overall","2021","26","20","19.04","33","23.5","29.81","1","58","58"
"Denali Commission","Agency Overall","2021","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"U.S. Election Assistance Commission","Agency Overall","2021","56","174","181","24","201","239","8","257","271"
"U.S. Railroad Retirement Board","Agency Overall","2021","1","123","123","0","N/A","N/A","0","N/A","N/A"
"Social Security Administration","Agency Overall","2021","581","4","6","105","84","105","0","N/A","N/A"
"Central Intelligence Agency","Agency Overall","2021","199","286","533.17","2656","454","579.37","7","245","254.43"
"United States Postal Service","Agency Overall","2021","239","28","90","34","60.5","148","5","111","123"
"National Labor Relations Board","Agency Overall","2021","58","6","10.93","0","N/A","N/A","6","2.5","3.83"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2021","3","123","150","9","1497","1103","0","N/A","N/A"
"U.S. International Development Finance Corporation","Agency Overall","2021","20","216","188.2","45","280","287.3","8","349","330.4"
"Farm Credit Administration","Agency Overall","2021","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Department of Veterans Affairs","Agency Overall","2021","1446","48","178","1524","52","258","17","322","258"
"Farm Credit System Insurance Corporation","Agency Overall","2021","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"United States International Trade Commission","Agency Overall","2021","0","N/A","N/A","14","8","27.77","0","N/A","N/A"
"National Capital Planning Commission","Agency Overall","2021","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Office of Government Ethics","Agency Overall","2021","12","90","108","0","N/A","N/A","0","N/A","N/A"
"National Railroad Passenger Corporation","Agency Overall","2021","19","86","189","221","284","315","14","162.5","157"
"Appraisal Subcommittee","Agency Overall","2021","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Department of Energy","Agency Overall","2021","107","123","216.02","666","212","337.34","4","444","428"
"Occupational Safety and Health Review Commission","Agency Overall","2021","1","6","6","0","N/A","N/A","0","N/A","N/A"
"Inter-American Foundation","Agency Overall","2021","1","11","11","0","N/A","N/A","0","N/A","N/A"
"Court Services and Offender Supervision Agency","Agency Overall","2021","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Federal Housing Finance Agency","Agency Overall","2021","4","34","40","17","109","165","0","N/A","N/A"
"Office of Personnel Management","Agency Overall","2021","16","35","52","193","183","281","0","N/A","N/A"
"Postal Regulatory Commission","Agency Overall","2021","1","55","55","0","N/A","N/A","0","N/A","N/A"
"Department of Transportation","Agency Overall","2021","3550","102","245.68","2964","298","351.28","25","196","283"
"Presidio Trust","Agency Overall","2021","2","16","16","0","N/A","N/A","0","N/A","N/A"
"Environmental Protection Agency","Agency Overall","2021","545","88.0","231.15","1287","362.0","449.48","6","725.0","661.17"
"National Mediation Board","Agency Overall","2021","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"American Battle Monuments Commission","Agency Overall","2021","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"National Transportation Safety Board","Agency Overall","2021","16","15.5","23","140","94","120","0","N/A","N/A"
"Federal Deposit Insurance Corporation","Agency Overall","2021","16","19","74","22","149","164","2","204","204"
"Federal Communications Commission","Agency Overall","2021","29","8","25.59","12","366","434.17","5","107","224.6"
"Small Business Administration","Agency Overall","2021","2353","182","174.12","1","601","601","5","141","119.4"
"Department of Commerce","Agency Overall","2021","502","89.0","165.59","387","445.0","477.39","63","205.0","313.49"
"Office of National Drug Control Policy","Agency Overall","2021","3","20","17","21","202","233","0","N/A","N/A"
"Consumer Financial Protection Bureau","Agency Overall","2021","2","6.5","6","21","65","214","0","N/A","N/A"
"Peace Corps","Agency Overall","2021","52","397","375.8","15","397","387.2","0","0","0"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2021","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"National Science Foundation","Agency Overall","2021","96","420","463.6","304","746","784.6","4","563","871"
"Department of Agriculture","Agency Overall","2021","1658","217.5","242.86","707","290","314.44","17","311","333.18"
"Department of Labor","Agency Overall","2021","647","35","84","1399","87","163","3","3","21"
"Commodity Futures Trading Commission","Agency Overall","2021","17","31","86","5","137","293","0","N/A","N/A"
"United States Institute of Peace","Agency Overall","2021","0","N/A","N/A","3","176","148","0","N/A","N/A"
"Department of the Treasury","Agency Overall","2021","157","105.00","201.05","2658","533.00","591.65","7","88","232.00"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2021","69","208.0","296.55","2","353.0","353.0","1","144.0","144.0"
"Nuclear Regulatory Commission","Agency Overall","2021","8","10.5","39.38","93","475","479.14","1","44","44"
"Federal Maritime Commission","Agency Overall","2021","0","N/A","N/A","5","66","65.6","0","N/A","N/A"
"Neighborhood Reinvestment Corporation","Agency Overall","2021","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Merit Systems Protection Board","Agency Overall","2021","4","7","6.75","51","347","386.24","0","N/A","N/A"
"National Archives and Records Administration","Agency Overall","2021","1568","481","664","2766","1115","1456","35","761","810.97"
"Securities and Exchange Commission","Agency Overall","2021","831","23","54","2","660","660","0","N/A","N/A"
"Federal Reserve System","Agency Overall","2021","1","9","9","23","48","92","8","10","37"
"Federal Election Commission","Agency Overall","2021","4","<1","1","4","454","696.2","0","N/A","N/A"
"Office of Management and Budget","Agency Overall","2021","427","258","261","239","780","764","4","181","189"
"United States Trade and Development Agency","Agency Overall","2021","49","600","717","5","426","448","0","N/A","N/A"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2021","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"United States Access Board","Agency Overall","2021","1","282","282","0","N/A","N/A","0","N/A","N/A"
"Federal Trade Commission","Agency Overall","2021","19","8","17","25","9","21","1","4","4"
"National Indian Gaming Commission","Agency Overall","2021","0","N/A","N/A","4","13","69","0","N/A","N/A"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2021","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Department of Defense","Agency Overall","2021","2600","22.50","165.85","18115","324.50","419.50","139","164.50","312.90"
"Tennessee Valley Authority","Agency Overall","2021","8","3.5","4","23","27","51","0","N/A","N/A"
"Export-Import Bank of the U.S.","Agency Overall","2021","8","380","301","21","101","224","0","N/A","N/A"
"Department of Homeland Security","Agency Overall","2021","26152","38","44","26434","31","130","197","297","341"
"Defense Nuclear Facilities Safety Board","Agency Overall","2021","1","53","53","0","N/A","N/A","0","N/A","N/A"
"All agencies","Agency Overall","2021","88680","N/A","N/A","112390","N/A","N/A","1823","N/A","N/A"
