"Agency","Component","Fiscal Year","Number Received During Fiscal Year from Last Year's Annual Report","Number Received During Fiscal Year from Current Annual Report","Number Processed During Fiscal Year from Last Year's Annual Report","Number Processed During Fiscal Year from Current Annual Report"
"National Transportation Safety Board","Agency Overall","2021","27","23","26","24"
"Federal Deposit Insurance Corporation","Agency Overall","2021","6","7","5","7"
"Federal Communications Commission","Agency Overall","2021","25","15","18","17"
"Small Business Administration","Agency Overall","2021","61","57","42","41"
"Department of Commerce","Agency Overall","2021","87","94","95","26"
"Office of National Drug Control Policy","Agency Overall","2021","1","1","1","1"
"Consumer Financial Protection Bureau","Agency Overall","2021","14","14","16","13"
"Peace Corps","Agency Overall","2021","6","2","6","2"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2021","0","1","0","1"
"National Science Foundation","Agency Overall","2021","4","8","4","8"
"Department of Agriculture","Agency Overall","2021","362","153","592","797"
"Department of Labor","Agency Overall","2021","179","178","175","176"
"Commodity Futures Trading Commission","Agency Overall","2021","5","4","5","3"
"United States Institute of Peace","Agency Overall","2021","0","0","0","0"
"Department of the Treasury","Agency Overall","2021","166","129","212","141"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2021","3","1","2","1"
"Nuclear Regulatory Commission","Agency Overall","2021","24","6","24","8"
"Federal Maritime Commission","Agency Overall","2021","1","0","1","0"
"Neighborhood Reinvestment Corporation","Agency Overall","2021","0","0","0","0"
"Merit Systems Protection Board","Agency Overall","2021","24","15","25","14"
"National Archives and Records Administration","Agency Overall","2021","49","54","56","45"
"Securities and Exchange Commission","Agency Overall","2021","585","647","599","645"
"Federal Reserve System","Agency Overall","2021","26","20","26","19"
"Federal Election Commission","Agency Overall","2021","8","2","7","3"
"Office of Management and Budget","Agency Overall","2021","6","4","1","4"
"United States Trade and Development Agency","Agency Overall","2021","0","0","0","0"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2021","0","0","0","0"
"United States Access Board","Agency Overall","2021","1","0","1","0"
"Federal Trade Commission","Agency Overall","2021","24","35","22","34"
"National Indian Gaming Commission","Agency Overall","2021","0","0","0","0"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2021","0","0","0","0"
"Department of Defense","Agency Overall","2021","1025","1081","906","1095"
"Tennessee Valley Authority","Agency Overall","2021","2","8","2","6"
"Export-Import Bank of the U.S.","Agency Overall","2021","1","2","1","2"
"Department of Homeland Security","Agency Overall","2021","6605","6908","6851","6579"
"Defense Nuclear Facilities Safety Board","Agency Overall","2021","1","0","1","0"
"All agencies","Agency Overall","2021","14943","15468","15249","15522"
