"Agency","Component","Fiscal Year","Processing Costs","Litigation-Related Costs","Total Costs","Total Amount of Fees Collected","Percentage of Total Costs"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2021","72331.00","4927.00","77258.00","0.00","0.0000"
"Nuclear Regulatory Commission","Agency Overall","2021","1980283.15","0.00","1980283.15","14513.51","0.7300"
"Federal Maritime Commission","Agency Overall","2021","268744.87","0.00","268744.87","0.00","0.0000"
"Neighborhood Reinvestment Corporation","Agency Overall","2021","32541.00","0.00","32541.00","0.00","0.0000"
"Merit Systems Protection Board","Agency Overall","2021","231392.35","0.00","231392.35","0.00","0.0000"
"National Archives and Records Administration","Agency Overall","2021","1202320.00","0.00","1202320.00","0.00","0.0000"
"Securities and Exchange Commission","Agency Overall","2021","9273658.67","199884.00","9473542.67","7711.01","0.0800"
"Federal Reserve System","Agency Overall","2021","1457077.00","138653.00","1595730.00","337.40","0.0200"
"Federal Election Commission","Agency Overall","2021","300611.82","0.00","300611.82","0.00","0.0000"
"Office of Management and Budget","Agency Overall","2021","848269.00","219431.00","1067700.00","0.00","0.0000"
"United States Trade and Development Agency","Agency Overall","2021","20000.00","0.00","20000.00","0.00","0.0000"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2021","3420.00","0.00","3420.00","0.00","0.0000"
"United States Access Board","Agency Overall","2021","63752.00","0.00","63752.00","0.00","0.0000"
"Federal Trade Commission","Agency Overall","2021","1123844.20","166155.00","1289999.20","8951.60","0.8000"
"National Indian Gaming Commission","Agency Overall","2021","60000.00","0.00","60000.00","374.00","0.6200"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2021","0.00","100.00","100.00","0.00","0.0000"
"Department of Defense","Agency Overall","2021","102525538.40","2736977.06","105262515.46","115454.90","0.1100"
"Tennessee Valley Authority","Agency Overall","2021","244823.00","0.00","244823.00","745.90","0.3000"
"Export-Import Bank of the U.S.","Agency Overall","2021","590672.85","34500.00","625172.85","0.00","0.0000"
"Department of Homeland Security","Agency Overall","2021","70896089.78","2005475.60","72901565.38","19155.46","0.0300"
"Defense Nuclear Facilities Safety Board","Agency Overall","2021","50000.00","0.00","50000.00","0.00","0.0000"
"All agencies","Agency Overall","2021","522807985.80","38530913.53","561338899.33","2094233.86","N/A"
