"Agency","Component","Fiscal Year","Statute","Case Citation","Type of Information Withheld","Number of Times Relied Upon"
"Department of the Interior","Agency Overall","2021","Fed. R. Crim. P. 6(e), enacted by Act of July 30, 1977, Pub. L. No. 95-78, § 2, 91 Stat. 319","Sussman v. USMS, 494 F.3d 1106, 1113 (D.C. Cir. 2007); Widi v. McNeil, No. 12-CV-00188, 2016 WL 4394724, at *23 (D. Me. Aug 16, 2016); Durham v. U.S. Atty. Gen., No. 06-843, 2008 WL 620744, at *2 (E.D. Tex. Mar. 3, 2008); Cozen O'Connor v. U.S. Dep't of Treasury, 570 F. Supp. 2d 749, 776 (E.D. Pa. 2008).","Certain records that would reveal some secret aspect pertaining to grand jury proceedings.","1"
"Department of the Interior","Agency Overall","2021","26 U.S.C. §§ 6103, 6105 (Internal Revenue Code)","Church of Scientology v. IRS, 484 U.S. 9, 15 (1987)(26 U.S.C. § 6103); Leonard v. U.S. Dep't of Treasury, 590 F. App'x. 141, 143-44 (3d Cir.2014) (per curiam); Pac. Fisheries, Inc. v. IRS, 395 F. App'x. 438, 440 (9th Cir. 2010)(unpublished disposition) (26U.S.C. §§ 6103, 6105); Tax Analysts v. IRS, 217 F. Supp.2d 23, 27-29 (D.D.C. 2002)(26 U.S.C. § 6105).","Certain tax return information, to include Taxpayer Identification Numbers of third parties, and certain convention information","2"
"Department of the Interior","Agency Overall","2021","16 U.S.C. § 4304(a)","N/A","Specific location of significant caves","3"
"Department of the Interior","Agency Overall","2021","5 U.S.C. § 574(j)","N/A","Dispute resolution communications","1"
"Department of the Interior","Agency Overall","2021","54 U.S.C. § 100707 (formerly at 16 U.S.C. § 5937) (National Parks Omnibus Management Act)","Hornbostel v. U.S. Dep't of the Interior, No. 03-5257, 2004 WL 1900562 D.C. Cir. Aug. 25, 2004); Sw. Ctr. for Biological Diversity v. USDA, 314 F.3d 1060, 1062 (9th Cir. 2002); Pease v. U.S. Dep't of Interior, No. 1:99CV113, slip op. at 2, 4 (D. Vt. Sept. 17, 1999).","Information pertaining to: ""endangered, threatened, rare, or commercially valuable"" National Park System resources; ""mineral or paleontological objects within units of the National Park System""; or ""objects of cultural patrimony within units of the National Park System""","23"
"Department of the Interior","Agency Overall","2021","10 U.S.C. § 2305(g)","N/A","Certain contractor proposals","1"
"Department of the Interior","Agency Overall","2021","41 U.S.C. § 2102 (amending 41 U.S.C. 423(a)(1)) (Procurement Integrity Act)","Legal & Safety Employer Research, Inc. v. U.S. Dep't of the Army, No. Civ. S001748, 2001 WL 34098652, at *3-4 (E.D. Cal. May 4, 2001) (dictum).","Contractor bid or proposal information; source selection information","4"
"Department of the Interior","Agency Overall","2021","54 U.S.C. § 307103 (formerly at 16 U.S.C. § 470w-3)","N/A","Information about the location, character, or ownership of a historic property","7"
"Office of Special Counsel","Agency Overall","2021","5 U.S.C. § 1213(h)","N/A","Identities of employees, former employees, or applicants for employment who make certain disclosures pursuant to this section","4"
"Office of Special Counsel","Agency Overall","2021","5 U.S.C. § 574(j)","N/A","Dispute resolution communications","2"
"Office of Science and Technology Policy","Agency Overall","2021","5 U.S.C. app. 4 § 107(a)(2)","Meyerhoff v. EPA, 958 F.2d 1498, 1500-02 (9th Cir. 1992); Boyd v. Exec. Off. for U.S. Att'ys, 161 F. Supp. 3d 1, 7 (D.D.C. 2015); Seife v. NIH, 874 F. Supp. 2d 248, 254 (S.D.N.Y. 2012).","Confidential financial disclosure report pertaining to certain government employees.","10"
"Federal Energy Regulatory Commission","Agency Overall","2021","16 U.S.C. § 470hh","Hornbostel v. U.S. Department of
Interior, 305 F. Supp 2d 21, 30 (D.D.C 2003), summary affirmance
granted, No. 03-5257,
2004 WL 1900562 (D.C.
Cir. Aug 25, 2004);
Starkey v. U.S. Dep't of
the Interior, 238 F.
Supp. 2d 1188, 1193-
94 (S.D. Cal. 2002).","Information pertaining to the
nature and location of
certain archaeological resources.","5"
"Armed Forces Retirement Home","Agency Overall","2021","N/A","0","N/A","0"
"U.S. Agency for International Development","Agency Overall","2021","41 U.S.C. § 2102 (amending 41 U.S.C. § 423(a)(1)","Legal & Safety Emp. Rsch., Inc. v. U.S. Dep't of the Army, No. Civ. S001748, 2001 WL
34098652, at *3-4 (E.D. Cal. May 4, 2001) (dictum). ","Contractor bid or proposal information; source selection information","1"
"U.S. Agency for International Development","Agency Overall","2021","5 U.S.C. app. 3 § 7(b)","N/A","Names of employees who provide information or complaints to the Inspector General","2"
"U.S. Agency for International Development","Agency Overall","2021","6 U.S.C. § 673(a)(1) (formerly at 6 U.S.C. § 133(a)(1))","N/A","Protection of voluntarily shared critical infrastructure information","3"
"Department of Education","Agency Overall","2021","41 U.S.C. § 4702 (formerly at 41 U.S.C. § 253b(m)(1))","Sinkfield v. HUD, No. 10-885, 2012 U.S. Dist. LEXIS 35233, at *13-15 (S.D. Ohio Mar. 15, 2012); Margolin v. NASA, No. 09-CV-00421, 2011 WL 1303221, at *6 (D. Nev. Mar. 31, 2011); Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).","Contractor proposals that are in the possession or control of an executive agency and that have not been set forth or incorporated by reference into contracts.","2"
"Department of Education","Agency Overall","2021","26 U.S.C. §§ 6103, 6105","Church of Scientology v. IRS, 484 U.S. 9, 15 (1987) (26 U.S.C. § 6103); Elec. Priv. Info. Ctr. v. IRS, 910 F.3d 1232 (D.C. Cir. 2018); Leonard v. U.S. Dep't of Treasury, 590 F. App'x. 141, 143-44 (3d Cir. 2014) (per curiam); Pac. Fisheries, Inc. v. IRS, 395 F. App'x. 438, 440 (9th Cir. 2010)  (unpublished disposition) (26 U.S.C. §§ 6103, 6105); Tax Analysts v. IRS, 217 F. Supp. 2d 23, 27-29 (D.D.C. 2002) (26 U.S.C. § 6105).","Certain tax return information, to include Taxpayer Identification Numbers of third parties, and certain tax convention information.","1"
"Department of Education","Agency Overall","2021","41 U.S.C. § 2102 (amending 41 U.S.C. § 423 (a)(1))","Legal & Safety Employer Research, Inc. v. U.S. Dep't of the
Army, No. Civ. S001748, 2001 WL 34098652, at *3-4 (E.D.
Cal. May 4, 2001) (dictum).","Contractor bid or proposal information; source selection information","14"
"Department of Education","Agency Overall","2021","20 U.S.C. § 1099c-1 ","Bagwell v. U.S. Dep't of Educ., 183 F. Supp. 3d 109, 126-27 (D.D.C. 2016).","Certain program review reports and institutional responses until the Department of Education issues a final program review determination.","5"
"Department of Education","Agency Overall","2021","28 U.S.C. § 652(d) ","Yelder v. DOD, 577 F. Supp. 2d 342, 346-47 (D.D.C. 2008).","""[C]onfidential dispute resolution communications""","1"
"Department of Education","Agency Overall","2021","6 U.S.C. § 1504(d)(3)(B)","N/A","A cyber threat indicator or defensive measure shared with the federal government under the Cybersecurity Information Sharing Act of 2015","1"
"Department of Health and Human Services","Agency Overall","2021","21 U.S.C. § 331(j) (Food, Drug, and Cosmetic Act)"," Anderson v. HHS, 907 F.2d 936, 950-51 (10th Cir. 1990).","Certain information “concerning any method or process which as a trade secret is entitled to protection”","17"
"Department of Health and Human Services","Agency Overall","2021","42 U.S.C. § 282(j)(6)","NA","Information submitted for publication on clinicaltrials.gov that is not otherwise publicly available","67"
"Department of Health and Human Services","Agency Overall","2021","21 U.S.C. § 350d(a)4","NA","Food Registration Documents","12"
"Department of Health and Human Services","Agency Overall","2021","41 U.S.C. § 4702 (formerly at 41 U.S.C. § 253b(m)(1))","Sinkfield v. HUD, No. 10-885, 2012 U.S. Dist. LEXIS 35233, at *13-15 (S.D. Ohio Mar. 15, 2012); Margolin v. NASA, No. 09-CV-00421, 2011 WL 1303221, at *6 (D. Nev. Mar. 31, 2011); Hornbostel v. U.S. Dep’t of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).","Contractor proposals that are in the possession or control of an executive agency and that have not been set forth or incorporated by reference into contracts","38"
"Department of Health and Human Services","Agency Overall","2021","42 U.S.C. § 300aa12(d)(4)(A) (National Childhood Vaccine Injury Act of 1986)","N/A","""Except as provided in subparagraph (B), information submitted to a special master or the court in a proceeding on a petition [for compensation under the National Vaccine Injury
Compensation Program] . . .without the express written consent of the person who submitted the information.""
","2"
"Department of Health and Human Services","Agency Overall","2021","26 U.S.C. §§6103, 6105 (Internal Revenue Code)","N/A"," Certain tax return information, to include 
Taxpayer Identification Numbers of third
Parties, and certain tax convention information
","81"
"Department of Health and Human Services","Agency Overall","2021","42 U.S.C. §242m(d)","N/A","Identifiable information for certain research and statistical activities","13"
"Department of Health and Human Services","Agency Overall","2021","5 U.S.C. app. § 107(a) (Ethics in Government Act of 1978)","Meyerhoff v. EPA, 958 F.2d 1498, 1500-02 (9th Cir. 1992); Seife v. NIH, 874 F. Supp. 2d 248, 254 (S.D.N.Y. 2012); Concepcion v. FBI, 606 F. Supp. 2d 14, 33 (D.D.C. 2009), renewed motion for summary judgment granted in part on other grounds, 699 F. Supp. 2d 106 (D.D.C. 2010); Glascoe v. DOJ, No. 04- 0486, 2005 WL 1139269, at *1 (D.D.C. May 15, 2005).
","Financial disclosure information pertaining to certain government employees","5"
"Department of Health and Human Services","Agency Overall","2021","42 U.S.C. § 262a(h)(1)","Civ. Beat L. Ctr. for the Pub. Int. v. CDC, 929 F.3d 1079, 1084-85 (9th Cir. 2019)","Certain categories of information relating to biological agents and toxins","18"
"Department of Health and Human Services","Agency Overall","2021","41 U.S.C. § 423(a)(1)* (Procurement Integrity Act)","Safety Employer Research, Inc. v. U.S. Dep't of the Army, No. Civ. S001748, 2001 WL 34098652, at *3-4 (E.D. Cal. May 4, 2001) (dictum)","Contractor bid or proposal information; source selection information","2"
"Department of Health and Human Services","Agency Overall","2021","39 U.S.C. § 3016(d) ","N/A","Documentary material provided pursuant to an administrative subpoena issued in an investigation conducted under 39 U.S.C. § 3005.","1"
"Department of Health and Human Services","Agency Overall","2021","42 U.S.C. § 299c-3(c)","N/A","Identifying information obtained in the course of health care improvement research and projects conducted under this subchapter. ","1"
"Department of Health and Human Services","Agency Overall","2021","25 U.S.C. § 1675(a)(3)","N/A","Medical quality assurance records","4"
"Department of Health and Human Services","Agency Overall","2021","5 U.S.C. § 574","N/A","Dispute resolution communications","1"
"Department of Health and Human Services","Agency Overall","2021","7 USC § 8401(h)(1)(c) ","N/A","Site specific or transfer specific safeguard and security measures used by a registered person to prevent unauthorized access.","2"
"Department of Health and Human Services","Agency Overall","2021","28 U.S.C. § 652(d) ","Yelder v. DOD, 577 F. Supp. 2d 342, 347-48 (D.D.C. 2008).","""[C]onfidential dispute resolution communications""","1"
"Department of Health and Human Services","Agency Overall","2021","18 U.S.C. § 3509(d) (Federal Victims' Protection and Rights Act)","Davis v. U.S. Postal Inspection Serv., No. 13 01972, 2014 WL 7014877, at *3 (D.D.C. Dec. 15, 2014); Rodriguez v. U.S. Dep't of Army, 31 F. Supp. 3d 218, 236-37 (D.D.C. 2014).","Certain records containing identifying information pertaining to children involved in criminal proceedings","1"
"Department of Health and Human Services","Agency Overall","2021","Fed. R. Crim. P. 6(e), enacted by Act of July 30, 1977, Pub. L. No. 95-78, 91 Stat. 319","Sussman v. USMS, 494 F.3d 1106, 1113 (D.C. Cir. 2007); Fund for Constitutional Gov't v. Nat'l Archives & Records Serv., 656 F.2d 856, 867-68 (D.C. Cir. 1981); Durham v.
U.S. Atty. Gen., No. 06-843, 2008 WL 620744, at *2 (E.D. Tex. Mar. 3, 2008); Cozen O'Connor v. U.S. Dep't of Treasury, 570 F. Supp. 2d 749, 776 (E.D. Pa. 2008).","Certain records pertaining to grand jury proceedings","1"
"Department of Health and Human Services","Agency Overall","2021","Inspector General Act of 1978, Pub. L. No. 95‐452, § 7","N/A","Employee complaints to the Inspector General","31"
"Department of Health and Human Services","Agency Overall","2021","42 U.S.C. § 247d-6b(d)","N/A","Information identifying the location at which materials in the stockpile under subsection (a) of this section are stored","2"
"Department of Health and Human Services","Agency Overall","2021","42 U.S.C. § 11137(b)(1)?","N/A","National Practitioner Data Bank information ","1"
"Department of Housing and Urban Development","Agency Overall","2021","41 U.S.C. § 4702 (formerly at 41 U.S.C. § 253b(m)(1))","Sinkfield v. HUD, No. 10-885, 2012 U.S. Dist. LEXIS 35233, at *13-15 (S.D. Ohio Mar. 15, 2012); Margolin v. NASA, No. 09-CV-00421, 2011 WL 1303221, at *6 (D. Nev. Mar. 31, 2011); Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).","Contractor proposals that are in the possession or control of an executive agency and that have not been set forth or incorporated by reference into contracts","2"
"Department of Housing and Urban Development","Agency Overall","2021","42 USC § 3537a","N/A        ","Covered information during the grant selection process ","1"
"Department of Housing and Urban Development","Agency Overall","2021","42 U.S.C. § 3610(d)","West v. Jackson, 448 F. Supp. 2d 207, 212-13 (D.D.C. 2006), summary affirmance granted, No. 06-5281, 2007 WL 1723362 (D.C. Cir. Mar. 6, 2007).","Records pertaining to conciliation of disputes regarding allegations of unfair housing practices; information derived from housing discrimination investigations and any final investigative reports pertaining to such investigations","20"
"Department of Housing and Urban Development","Agency Overall","2021","42 U.S.C. §§ 2000e-5(b)¸ 2000e-8(e)","Frito-Lay v. EEOC, 964 F. Supp. 236, 240-43 (W.D. Ky. 1997); Am. Centennial Ins. Co. v. EEOC, 722 F. Supp. 180, 184 (D.N.J. 1989).","Information pertaining to charges of unlawful employment practices; information obtained by the EEOC in investigating charges of unlawful employment practices","1"
"Department of Housing and Urban Development","Agency Overall","2021","18 U.S.C. § 208(d)(1)","        ","Providing that ""a copy of any determination granting an exemption under subsection (b)(1) or (b)(3) [from application of penalties for acts affecting personal financial interests determined to constitute bribery, graft, or conflicts of interest] shall be made available to the public,"" but exempting from this disclosure requirement ""any information contained in the determination that would be exempt from disclosure under section 552 of title 5""","1"
"Department of Housing and Urban Development","Agency Overall","2021","Fed. R. Crim. P. 6(e)¸ enacted by Act of July 30¸ 1977¸ Pub. L. No. 95-78¸ 91 Stat. 319","Sussman v. USMS, 494 F.3d 1106, 1113 (D.C. Cir. 2007); Sorin v. DOJ, No. 18-99, 2018 WL 6431027 (2d Cir. Dec. 6, 2018) (per curium); Widi v. McNeil, No. 12-CV-00188, 2016 WL 4394724, at *23 (D. Me. Aug 16, 2016); Durham v. U.S. Att'y Gen., No. 06-843, 2008 WL 620744, at *2 (E.D. Tex. Mar. 3, 2008); Cozen O'Connor v. U.S. Dep't of Treasury, 570 F. Supp. 2d 749, 776 (E.D. Pa. 2008).","Certain records that would reveal some secret aspect pertaining to grand jury proceedings","1"
"Federal Mine Safety and Health Review Commission","Agency Overall","2021","N/A","N/A","N/A","0"
"U.S. Interagency Council on Homelessness","Agency Overall","2021","N/A","N/A","N/A","0"
"United States International Boundary and Water Commission","Agency Overall","2021","41 U.S.C. § 2102 (amending 41 U.S.C. § 423(a)(1))","Legal & Safety Emp. Rsch., Inc. v. U.S. Dep't of the Army, No. Civ. 001748, 2001 WL 34098652, at *3-4) E.D. Cal. May 4, 2001)(dictum).","Contractor bid or proposal information; source selection information","2"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2021","N/A","N/A","N/A","0"
"U.S. Commission on Civil Rights","Agency Overall","2021","N/A","N/A","N/A","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2021","N/A","N/A","N/A","0"
"Institute of Museum and Library Services","Agency Overall","2021","N/A","N/A","N/A","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2021","N/A","N/A","N/A","0"
"Equal Employment Opportunity Commission","Agency Overall","2021","42 U.S.C. §§ 2000e-5(b), 2000e-8(e) ","Frito-Lay v. EEOC, 964 F. Supp. 236, 240-43 (W.D. Ky. 1997); and Am. Centennial Ins. Co. v. EEOC, 722 F. Supp. 180, 184 (D.N.J. 1989)","Information pertaining to charges of unlawful employment practices; information obtained by the EEOC in the investigation of charges of unlawful employment practices.","379"
"Equal Employment Opportunity Commission","Agency Overall","2021","42 U.S.C. § 12117","N/A","Americans with Disabilities Act charges, conciliation materials, required reports, and case file information","454"
"Equal Employment Opportunity Commission","Agency Overall","2021","42 U.S.C. § 2000ff-6","N/A","Information pertaining to charges of unlawful employment discrimination practices.","363"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2021","N/A","N/A","N/A","0"
"Millennium Challenge Corporation","Agency Overall","2021","N/A","N/A","N/A","0"
"James Madison Memorial Fellowship Foundation","Agency Overall","2021","N/A","N/A","N/A","0"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2021","10 U.S.C. § 130b","Freedom Watch, Inc. v. NSA, 197 F. Supp. 3d 165, 174 (D.D.C. 2016); Hiken v. DOD,
521 F. Supp. 2d 1047, 1062 (N.D. Cal. 2007); O'Keefe v. DOD, 463 F. Supp. 2d 317, 325 (E.D.N.Y. 2006); Windel v. United States, No. A02-306, 2005 WL 846206, at *2 (D.
Alaska Apr. 11, 2005). ","Personally identifiable information pertaining to ""any member of the armed forces assigned to an overseas unit, a sensitive unit, or a routinely deployable unit"" and ""any employee of the Department of Defense or of the Coast Guard whose duty station is with any such unit""","1"
"Department of Justice","Agency Overall","2021","5 U.S.C. app. § 107(a)(2)","Meyerhoff v. EPA, 958 F.2d 1498, 1500- 02 (9th Cir. 1992); Boyd v. Exec. Off. for U.S. Attys, 161 F. Supp. 3d 1, 7 (D.D.C. 2015); Seife v. NIH, 874 F. Supp. 2d 248, 254 (S.D.N.Y. 2012).","Confidential financial disclosure report pertaining to certain government employees","1"
"Department of Justice","Agency Overall","2021","8 U.S.C. § 1202(f)","Medina-Hincapie v. Dep't of State, 700 F.2d 737, 741-42 (D.C. Cir. 1983); DeLaurentiis v. Haig, 686 F.2d 192, 194 (3d Cir. 1982); Assadi v. Dep't of State, No. 12-1111, 2014 WL 4704840, at *6 (S.D.N.Y. Sept. 19, 2014); Beltranena v. U.S. Dep't of State, 821 F. Supp. 2d 167, 177-78 (D.D.C. 2011); Badalamenti v. U.S. Dep't of State, 899 F. Supp. 542, 547 (D. Kan. 1995); Jan-Xin Zang v. FBI, 756 F. Supp. 705, 711-12 (W.D.N.Y. 1991); Smith v. DOJ, No. 81-CV-813, 1983 U.S. Dist. LEXIS 10878, at *13-14 (N.D.N.Y. Dec. 13, 1983).","Certain records pertaining to the issuance or refusal of visas to enter the United States","1"
"Department of Justice","Agency Overall","2021","10 U.S.C. § 130(a)","Newport Aeronautical Sales v. Dep't of the Air Force, 684 F.3d 160, 168 (D.C. Cir. 2012); Chenkin v. Dep't of the Army, No. 93-494, 1994 U.S. Dist. LEXIS 20907, at *8 (E.D. Pa. Jan. 14, 1994), aff'd, 61 F.3d 894 (3d Cir. 1995) (unpublished table decision).","Certain ""technical data with military or space application in the possession of, or under the control of, the Department of Defense""","2"
"Department of Justice","Agency Overall","2021","10 U.S.C. § 130b","Freedom Watch, Inc. v. NSA, 197 F. Supp. 3d 165, 174 (D.D.C. 2016); Hiken v. DOD, 521 F. Supp. 2d 1047, 1062 (N.D. Cal. 2007); O'Keefe v. DOD, 463 F. Supp. 2d 317, 325
(E.D.N.Y. 2006); Windel v. United States, No. A02-306, 2005 WL 846206, at *2 (D. Alaska Apr. 11, 2005). ","Personally identifiable information pertaining to ""any member of the armed forces assigned to an overseas unit, a sensitive unit, or a routinely deployable unit"" and ""any employee of the Department of Defense or of the Coast Guard whose duty station is with any such unit""","5"
