"Agency","Component","Fiscal Year","Ex. 1","Ex. 2","Ex. 3","Ex. 4","Ex. 5","Ex. 6","Ex. 7(A)","Ex. 7(B)","Ex. 7(C)","Ex. 7(D)","Ex. 7(E)","Ex. 7(F)","Ex. 8","Ex. 9"
"Department of Energy","Agency Overall","2008","0","2","0","2","7","6","0","0","0","0","0","0","0","0"
"Federal Mediation and Conciliation Service","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Science and Technology Policy","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Labor","Agency Overall","2008","0","9","0","18","51","14","29","0","97","40","1","0","0","0"
"Export-Import Bank of the U.S.","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Institute of Museum and Library Services","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Railroad Retirement Board","Agency Overall","2008","0","0","2","0","0","2","0","0","0","0","0","0","0","0"
"Office of Personnel Management","Agency Overall","2008","0","2","3","0","9","4","0","0","4","1","2","0","0","0"
"U.S. Agency for International Development","Agency Overall","2008","0","0","0","2","1","0","0","0","0","0","0","0","0","0"
"National Credit Union Administration","Agency Overall","2008","0","0","0","0","1","1","0","0","0","0","0","0","2","0"
"Department of Veterans Affairs","Agency Overall","2008","0","7","28","6","32","73","0","0","11","0","0","0","0","0"
"Department of Housing and Urban Development","Agency Overall","2008","0","2","1","1","4","8","2","0","1","0","0","0","0","0"
"Consumer Product Safety Commission","Agency Overall","2008","0","0","23","5","19","2","10","0","0","0","1","0","0","0"
"Council on Environmental Quality","Agency Overall","2008","0","0","0","0","3","0","0","0","0","0","0","0","0","0"
"Department of Homeland Security","Agency Overall","2008","1","1193","0","9","1225","1133","53","2","1312","23","841","2","0","0"
"United States International Boundary and Water Commission","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Small Business Administration","Agency Overall","2008","0","0","1","4","1","4","0","0","0","0","0","0","1","0"
"Social Security Administration","Agency Overall","2008","0","10","5","2","4","55","0","0","3","0","0","0","0","0"
"Peace Corps","Agency Overall","2008","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"U.S. Department of State","Agency Overall","2008","304","20","125","13","79","75","5","0","13","6","5","3","0","0"
"Federal Reserve System","Agency Overall","2008","0","0","0","5","3","1","0","0","0","0","0","0","0","0"
"National Endowment for the Humanities","Agency Overall","2008","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"National Mediation Board","Agency Overall","2008","0","0","0","0","1","1","0","0","1","0","0","0","0","0"
"Merit Systems Protection Board","Agency Overall","2008","0","0","0","0","2","1","0","0","0","0","0","0","0","0"
"Federal Labor Relations Authority","Agency Overall","2008","0","0","0","0","1","0","0","0","0","1","0","0","0","0"
"Tennessee Valley Authority","Agency Overall","2008","0","2","1","1","5","3","0","0","0","0","0","0","0","0"
"Office of National Drug Control Policy","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Selective Service System","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Trade Commission","Agency Overall","2008","0","1","2","2","4","3","6","0","0","0","0","0","0","0"
"Occupational Safety and Health Review Commission","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Aeronautics and Space Administration","Agency Overall","2008","0","3","0","1","1","2","0","0","2","0","0","0","0","0"
"Federal Financial Institutions Examination Council","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Inter-American Foundation","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Farm Credit Administration","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Defense","Agency Overall","2008","82","51","60","13","88","158","12","4","70","11","4","2","0","0"
"Department of Justice","Agency Overall","2008","55","346","121","4","169","101","94","1","639","191","122","128","0","0"
"Federal Energy Regulatory Commission","Agency Overall","2008","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"Commodity Futures Trading Commission","Agency Overall","2008","0","0","3","2","2","0","3","0","0","0","0","0","0","0"
"Department of the Interior","Agency Overall","2008","0","4","0","0","6","10","1","0","6","0","0","0","0","0"
"Farm Credit System Insurance Corporation","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of the Treasury","Agency Overall","2008","0","30","201","5","103","78","71","5","122","22","87","1","6","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Government Ethics","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nuclear Regulatory Commission","Agency Overall","2008","0","1","0","2","1","2","0","0","1","0","0","0","0","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2008","0","0","0","0","0","5","0","0","0","0","0","0","0","0"
"Federal Election Commission","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"All agencies","Agency Overall","2008","442","1703","588","134","1920","1803","396","12","2320","301","1070","136","10","0"
