"Agency","Component","Fiscal Year","Statute","Case Citation","Type of Information Withheld","Number of Times Relied Upon"
"Department of Commerce","Agency Overall","2008","5 U.S.C. appendix 105, Ethics in Govt. Act of 1978","Meyerhoff v EPA 958 Fed 2 1497 9th Circuit (1992)","Financial Disclosure Information","1"
"Department of Commerce","Agency Overall","2008","26 U.S.C. 6103","Anderson v. DOJ, 95-1880, 1999, U.S. Dist. Lexis 5048 (D.D.C. April 12, 1999)","Employer Identification Number","1"
"Department of Commerce","Agency Overall","2008","13 U.S.C. § 301(g)","Young Conservative Found v Dept. of Commerce, No. 85-3982 (D.D.C. March 25, 1987)","Shippers' Export Declarations","4"
"Department of Commerce","Agency Overall","2008","41 U.S.C. § 253 &423","Hornbostel v Dept. of Interior, 305 F. Supp. 2d 21 (D.D.C. 2003)","Proposal not set forth or incorporated by reference in a contract","5"
"Department of Commerce","Agency Overall","2008","16 U.S.C. § 1881(a)","No Case","Magnuson-Stevens Fishery Conservation and Management Act – pertains to statistical information contained in fishery management plans which has been submitted by fisheries under section 1853(a)(5)","5"
"Securities and Exchange Commission","Agency Overall","2008","15 U.S.C. § 80a-30( c)","N","Investment Company Examination","2"
"Securities and Exchange Commission","Agency Overall","2008","15 U.S.C. § 80b-10(b)","N","Investment Advisors examinations or Investigations","2"
"Securities and Exchange Commission","Agency Overall","2008","15 U.S.C. § 78q(h)(5)","N","Associated persons of broker-dealers, government securities brokers or dealers or muncipal securities dealers.","2"
"Securities and Exchange Commission","Agency Overall","2008","14 U.S.C. § 253b(m)","Hornbostel v. US Dept of the Interior, 305 F. Supp. 2nd 21, 29-30 (D.D.C.2004)","Contractor proposals","2"
"Securities and Exchange Commission","Agency Overall","2008","15 U.S.C. § 80b-10(b) (for Appeals)","N/A","Investment Advisors examinations or Investigations","3"
"General Services Administration","Agency Overall","2008","41 U.S.C. 253(b)","Hornbostel v. U.S. Dept. of Interior 305 F  Supp.2d 2","Proposals of unsuccessful bidders","17"
"Federal Communications Commission","Agency Overall","2008","41 U.S.C. Section 253b(m)","Hornbostel v. U.S. Department of Interior, 305 F. Supp. 2d 21 (D.D.C. 2003)","Contractor Proposals","1"
"Office of Management and Budget","Agency Overall","2008","0","N/A","0","0"
"Overseas Private Investment Corporation","Agency Overall","2008","0","N/A","N/A","0"
"Surface Transportation Board","Agency Overall","2008","None","N/A","N/A","0"
"Department of Energy","Agency Overall","2008","National Defense Authorization Act, 41 U.S.C. 253","Hornbostel vs. DOI, 3503.Supp2d 21 (DDC 2003)","Contractor proposals","13"
"Department of Energy","Agency Overall","2008","Atomic Energy Act of 1954 as amended, 42 U.S.C. 2011 et.seq.","","Information classified as Restricted Data, Formerly Restricted Data, or Unclassified Controlled Nuclear Information","8"
"Department of Energy","Agency Overall","2008","10 U.S.C. 2371","","contractor proposals, proposal abstract and supporting documents","5"
"Federal Mediation and Conciliation Service","Agency Overall","2008","0","N/A","0","0"
"Office of Science and Technology Policy","Agency Overall","2008","N/A","N/A","N/A","0"
"Department of Labor","Agency Overall","2008","IRC 6103","Component A: (EBSA National Office )","Records submitted to the IRS and DOL in relation to a request for a private letter ruling from the IRS","1"
"Department of Labor","Agency Overall","2008","18 U.S.C. Rule 6(e)","Component A:","Grand Jury","6"
"Department of Labor","Agency Overall","2008","Confidential Information Statistical Efficiency Act  (CIPSEA), Title V of Public Law 107-347","Component A:","Confidential respondent data to BLS surveys","4"
"Export-Import Bank of the U.S.","Agency Overall","2008","0","N/A","N/A","0"
"Institute of Museum and Library Services","Agency Overall","2008","0","N/A","0","0"
"U.S. Railroad Retirement Board","Agency Overall","2008","45 U.S.C. § 362 (d) and (n)","Association of Retired Railroad Workers v. U.S. Railroad Retirement Board, 830 F. 2d 331, 334 (D.C. Cir. 1987)","Names, Addresses, and Medical Records of Claimants under the Railroad Retirement and Unemployment Insurance Acts","30"
"U.S. Agency for International Development","Agency Overall","2008","41 U.S.C. 253b(m)","Hornbostel v. United States Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003)","Places restrictions on the release of proposal information submitted by a contractor in response to the requirement of a competitive soliciation.","9"
"U.S. Agency for International Development","Agency Overall","2008","26 U.S.C. 6103","Church of Scientology v. IRS, 484 U.S. 9 (1987)","Places restrictions on the relese of tax return information","10"
"National Credit Union Administration","Agency Overall","2008","0","0","0","0"
"Department of Veterans Affairs","Agency Overall","2008","38 U.S.C. 5701","Ashton v. VA, 1999 U.S. App. LEXIS 22957 (2d Cir. 1999).","Records pertaining to any claim filed with the Department for names and addresses of present and former members of the Armed Forces and their dependents.","2415"
"Department of Veterans Affairs","Agency Overall","2008","38 U.S.C. 5705","NA","Records created as part of a medical quality assurance program","39"
"Department of Veterans Affairs","Agency Overall","2008","38 U.S.C. 7332","Hall v. Department of Veterans Affairs, 67 M.S.P.R. 622 (M.S.P.B. 1995).","Records of the identity, diagnosis, prognosis, or treatment of any patient or subject which are maintained in connection with the performance of any patient or subject which are maintained in the connection with the performance of any program or activity relating to drug abuse, alcoholism, or alcohol abuse, infection with the human immunodeficiency virus (HIV) or sickle cell anemia.","1810"
"Department of Veterans Affairs","Agency Overall","2008","35 U.S.C. 205","","Protects patient records","12"
"Department of Veterans Affairs","Agency Overall","2008","41 U.S.C. 253b(m)","Hornbostel v. Department of Interior, 305 F.-Supp-2d 21 (D.D.C. 2003)","Prohibits the release of contractor proposals submitted to an agency during the course of federal procurements of property or services.","11"
"Department of Housing and Urban Development","Agency Overall","2008","42 USC 3601(d)","None","Information related to conciliation under the Fair Housing Act","3"
"Department of Housing and Urban Development","Agency Overall","2008","41 USC 253b(m)","Hornbostel v. United States Department of Interior, 305 F. Supp. 2d 21 (DDC, 2003)","Proposals received from unsucessful offerors and not incorporated into the contract","1"
"Department of Housing and Urban Development","Agency Overall","2008","42 USC 3545","None","HUD Reform Act","1"
"Department of Housing and Urban Development","Agency Overall","2008","Fed. R. Cr. P. 6(e)","Senate of P.R. v. United States Department of Justice, 823 F.2d 574 (D.C. Cir. 1987)","Grand Jury Information","1"
"Consumer Product Safety Commission","Agency Overall","2008","Section 6(a)(2) of the Consumer Product Safety Act (CPSA), 15 U.S.C.§ 2055(a)(2)","Mulloy v. Consumer Prod. Safety Commission No. C-2-85-645, 1985 U.S. Dist. LEXIS 17194 at **2-5 (S.D. ohio Aug. 2, 1985)","Trade Secret and other confidential business information","195"
"Consumer Product Safety Commission","Agency Overall","2008","Section 6(b)(1) of the CPSA, 15 U.S.C §2055(b)(1)","Consumer Prod. Safety Commission v. GTE Sylvania, Inc., 447 U.S. 102, 122 (1980); and Krugler v. U.S. Consumer Prod. Sfaety Commission, 1:03-CV-1905-JTC (N.D.GA. June 22, 2004), and Reliance Elec. Co. v. Consumer Prod. Safty Commission 924 F.2d 274 (D.C. Cir. 1991)","Infomration that identifies a particular brand-name of consumer product","191"
"Consumer Product Safety Commission","Agency Overall","2008","Section 6(b)(5) of the CPSA, 15 U.S.C. §2055(b)(b)","Reliance Elec. Co. v. Consumer Prod. Safety Commission, 924, F.2d 274 (D.C. Cir. 1991)","Information submitted under statutory reporting requirement for certain potentially unsafe consumer products","29"
"Consumer Product Safety Commission","Agency Overall","2008","Section 6(e)(1) of the CPSA, 15 U.S.C. §2055(e)(1)","None","Information submitted under statutory reporting requirement for certain consumer products involved in product liability actions","2"
"Consumer Product Safety Commission","Agency Overall","2008","Section 25c of the CPSA, 5 U.S.C. § 2074c","None","Information that identifies injured persons or those treating injred persons, absent consent","196"
"Council on Environmental Quality","Agency Overall","2008","0","N/A","0","0"
"Department of Homeland Security","Agency Overall","2008","41 U.S.C. 253b(m)","Hornbostel v. DOI, 305 F. Supp. 2d 21 (D.D.C. 2003)","Prohibition on release of Contractor Proposals","26"
"Department of Homeland Security","Agency Overall","2008","49 U.S.C. 114(s)","Electronic Privacy Information Center v. DHS 384 F. Supp. 2d 100 (D.D.C. 2006)","Nondisclosure of Security Activities","122"
"Department of Homeland Security","Agency Overall","2008","49 C.F.R. 1520.5(b)","","Sensitive Security Information","6"
"Department of Homeland Security","Agency Overall","2008","42 U.S.C. 2168","","Unclassified Controlled Nuclear Information","1"
"Department of Homeland Security","Agency Overall","2008","49 U.S.C. 70103","","Security Plans and other Information related to plans","3"
"Department of Homeland Security","Agency Overall","2008","41 U.S.C. 253b(k)(2)","","Contractor proposal information not incorporated into a contract","1"
"Department of Homeland Security","Agency Overall","2008","Federal Rule of Criminal Procedure 6(e) Grand Jury","","Grand Jury materials","37"
"Department of Homeland Security","Agency Overall","2008","49 U.S.C. 40110, 49 USC 114(o)","Electronic Privacy Information Center v. DHS 384 F. Supp. 2d 100 (D.D.C. 2006)","Contract proposals, source selection documents","9"
"Department of Homeland Security","Agency Overall","2008","26 USC 6103","Church of Scientology v. IRS, 484 US 9; Long v IRS, 891 F.2d 222","Tax returns and information therefrom","98"
"Department of Homeland Security","Agency Overall","2008","8 USC 1304(b)","Argento v. Horn, 241 F.2d 258","DOS stamp","1"
"Department of Homeland Security","Agency Overall","2008","8 USC 1202(f)","Medina-Hincappie v. Dept of State, 700 F.2d 737; Perry-Torre v. Dept of State, 404 F. Supp.2d 140","NIV Applicant Detail","1"
"Department of Homeland Security","Agency Overall","2008","18 U.S.C. 2510","","Wiretap","2"
"United States International Boundary and Water Commission","Agency Overall","2008","22 USC 288a","","deliberative official communic.","1"
"Small Business Administration","Agency Overall","2008","41 U.S.C. § 253b(m)","Hornbostel v. Dept. of Interior 305 F.Supp. 2d 21","Contractor proposals","1"
"Social Security Administration","Agency Overall","2008","26 U.S.C. 6103","Church of Scientology  v. IRS, 484 U.S. 9, 15 (1987)(finding that IRS lawfully exercised discretion to withhold street address pursuant to 26 U.S.C. section 6103(m)(1));","Tax information, such as third-party adresses and employer's names and address","61"
"U.S. Department of State","Agency Overall","2008","5 U.S.C. App3 § 7(b)","No","Protects employees who file complaints or provide information to the Inspector General","1"
"U.S. Department of State","Agency Overall","2008","8 U.S.C § 1202(f)","Medina-Hincapie v. DOS 700 F.2d 737 (D.C. Cir. 1983)","Records pertaining to the issuance or refusal of visas to enter the US","916"
"U.S. Department of State","Agency Overall","2008","10 U.S.C. § 424","Larson v. DOS et al. Docket #02-1937 (D.D.C. Aug. 10 2005)","Organizational and personnel information for DIA, NRO and NIMA","3"
"U.S. Department of State","Agency Overall","2008","19 U.S.C. § 2605","No","Protects cultural property information","5"
"U.S. Department of State","Agency Overall","2008","22 U.S.C.  § 2778(e)","Council for a Livable World Education Fund v. DOS Docket #96-1807 (D.D.C.  Nov. 23, 1998)","Information concerning arms export licensing cases","8"
"U.S. Department of State","Agency Overall","2008","41 U.S.C. § 253b(m)","Hornbostel v. DOI 305 F. Supp. 2d 21 (D.D.C. 2003)","Protects contractor proposal solicited by and made to executive agency","2"
"U.S. Department of State","Agency Overall","2008","42 U.S.C.  § 2011","No","Protects records defining policy for development, use and control of atomic and nuclear energy in private, peaceful and military matters","1"
"U.S. Department of State","Agency Overall","2008","50 U.S.C. § 402 note sec. 6","Church of Scientology v. NSA 610 F.2d 824 (D.C. Cir. 1979)","Information regarding National Security Agency activities and personnel","5"
"U.S. Department of State","Agency Overall","2008","50 U.S.C.  § 403","Minier v. CIA  88 F.3d 796 (9th Cir. 1996) CIA v. Sims 471 U.S. 159 (1985)","CIA sources and methods; functions and personnel","33"
"U.S. Department of State","Agency Overall","2008","50 U.S.C.  § 1701","No","Records on arbitration claims before the Iran-U.S. Claims Tribunal","5"
"U.S. Department of State","Agency Overall","2008","50 U.S.C.  § 2411(c)","Export Information Twin Coast Newspapers, Inc. v. Dep’t. of Commerce No. 98-0978 (D.D.C.  Nov. 6, 1979)","Information concerning export license applications","1"
"Federal Reserve System","Agency Overall","2008","0","N/A","0","0"
"National Endowment for the Humanities","Agency Overall","2008","0","N/A","0","0"
"National Mediation Board","Agency Overall","2008","0","N/A","0","0"
"Merit Systems Protection Board","Agency Overall","2008","Not Applicable","Not Applicable","Not Applicable","0"
"Federal Labor Relations Authority","Agency Overall","2008","NONE","NONE","NONE","0"
"Tennessee Valley Authority","Agency Overall","2008","Federal Property and Administrative Services Act of 1949, as amended, at 41 U.S.C. § 253b(m)","Hornbostel v United States Dep't of the Interior, 305 F. Supp 2d 2I (D.D.C. 2003)","Proposals submitted in response to competitive procurements.","3"
"Tennessee Valley Authority","Agency Overall","2008","Archeological Resources Protection Act at 16 U.S.C. § 470hh","Hornbostel v United States Dep't of the Interior, 305 F. Supp 2d 2I (D.D.C. 2003); Starkey v. United States Dep't of the Interior, 238 F. Supp 2d 1188 (S.D. Cal. 2002)","Information from maps and other documents that identifies the specific location of protected resources.","2"
"Tennessee Valley Authority","Agency Overall","2008","National Historic Preservation Act of 1966, as amended, at 16 U.S.C. § 470a","Hornbostel v United States Dep't of the Interior, 305 F. Supp 2d 2I (D.D.C. 2003)","Information from maps and other documents that identifies the specific location of protected resources.","1"
"Office of National Drug Control Policy","Agency Overall","2008","Exemption 1","Halperin v. CIA, 629 F.2d 144, 148 (D.C. Cir. 1980)","Protects from disclosure information that has been deemed classified under critieria established by an Executive order to be kept secret in the interest of national derfense or foreign policy.","1"
"Office of National Drug Control Policy","Agency Overall","2008","Exemption 6","National Association of Retired Federal Employees v. Horner, 879 F.2d 873, 874 (D.C. Cir. 1989)","Protects information about individuals in personnel and medical files and similar when the disclosure of such information would constitute a clearly unwarranted invasion of personal privacy.","3"
"Selective Service System","Agency Overall","2008","0","0","0","0"
"Federal Trade Commission","Agency Overall","2008","FTC Act Section 6f, 15 U.S.C. §46(f)","Its use was upheld in Doherty v. FTC, 1981-1 Trade Cas. (CCH) § 64,117 (D.D.C. June 24, 1981).","“Any trade secrets or any commercial or financial information which is obtained from any person and which is privileged or confidential.”","23"
"Federal Trade Commission","Agency Overall","2008","FTC Act Section 21b, 15 U.S.C. §57b-2(b)","Its use was upheld in Dairymen, Inc. v. FTC, 1980-2 Trade Cas. (CCH) ¶ 63,479 (D.D.C. July 9, 1980).","Materials received pursuant to compulsory process in a law enforcement investigation.","4"
"Federal Trade Commission","Agency Overall","2008","FTC Act Section 21f, 15 U.S.C. §57b-2(f)","Its use was upheld in A. Michael’s Piano v. FTC, 18 F.3d 138 (2d Cir. 1994).","Material obtained pursuant to process or voluntarily in lieu of process in a law enforcement investigation.","123"
"Federal Trade Commission","Agency Overall","2008","Clayton Act (Hart-Scott-Rodino Provisions), Section 7A(h), 15 U.S.C. §18a(h)","Its use was upheld in Lieberman v. FTC, 771 F.2d 32 (2nd Cir. 1985).","Material filed pursuant to the premerger (HSR) provisions of the Act.","13"
"Federal Trade Commission","Agency Overall","2008","Section 1114 of the Medicare Prescription Drug, Improvement, and Modernization Act of 2003, 21 U.S.C. § 355","None","Any information or documentary material that may have been filed pursuant to the pharmaceutical agreement notification.","2"
"Federal Trade Commission","Agency Overall","2008","Section 821 of the National Defense Authorization Act for Fiscal Year 1997, 41 U.S.C. §253b(m)(1)","Its use was upheld in Hornbostel v. Department of Interior, 305 F. Supp. 2d21 (D.D.C. 2003).","Prohibits the disclosure of unsuccessful contract bid proposals.","1"
"Occupational Safety and Health Review Commission","Agency Overall","2008","0","N/A","0","0"
"National Aeronautics and Space Administration","Agency Overall","2008","10 USC 2305(g)","None","Procurement, unsuccessful proposals for competitive procurements and those portions of successful proposals that were not incorporated into the contracts.","29"
"National Aeronautics and Space Administration","Agency Overall","2008","22 USC 2751","","Technical data withheld according to regulations establishing lists or categories of technical data that may not be exported, under the Arms Export Control Act.","9"
"National Aeronautics and Space Administration","Agency Overall","2008","41 USC 423","","Performance evaluations compiled by the procurement office are used in source selection activities covered by the Procurement Integrity Act and are considered sensitive.","10"
"National Aeronautics and Space Administration","Agency Overall","2008","35 USC 205","","Authorize federal agencies to withhold from disclose to the public information disclosing any invention in which the federal government owns or may own a right, title or interest for reasonable time in order for a patent application to be filed.","1"
"National Aeronautics and Space Administration","Agency Overall","2008","Rule 6(e) of the Federal Rules of Criminal Procedures","","Grand Jury Proceedings","2"
"Federal Financial Institutions Examination Council","Agency Overall","2008","0","0","0","0"
"Inter-American Foundation","Agency Overall","2008","0","N/A","0","0"
"Farm Credit Administration","Agency Overall","2008","None","N/A","N/A","0"
"Department of Defense","Agency Overall","2008","5 USC §574(j)","No","Dispute Resolution Communication Between a Neutral and a Party to the Dispute","16"
"Department of Defense","Agency Overall","2008","5 USC §7114(b)(4)","No","Information about Labor Union Representation Rights and Duties Related to Collective Bargaining","1"
"Department of Defense","Agency Overall","2008","10 USC §128","No","Unclassified Special Nuclear Weapons Information","1"
"Department of Defense","Agency Overall","2008","10 USC §130","Yes","Unclassified Technical Data with Military or Space Application","32"
"Department of Defense","Agency Overall","2008","10 USC §130b","Yes","Personally Identifying Information of Personnel in Overseas, Sensitive or Routinely Deployable Units","39"
"Department of Defense","Agency Overall","2008","10 USC §130c","Yes","Certain Sensitive Information of Foreign Governments and International Organizations","3"
"Department of Defense","Agency Overall","2008","10 USC §424","","","224"
"Department of Defense","Agency Overall","2008","10 USC §455","No","Maps, Charts, and Geodetic Data","1"
"Department of Defense","Agency Overall","2008","10 USC §613a(a)","No","Proceedings of Promotion Selection Boards","1"
"Department of Defense","Agency Overall","2008","10 USC §1102","No","Medical Quality Assurance Records","2"
"Department of Defense","Agency Overall","2008","10 USC §1506(d) and(f)","No","Debriefing of a Missing Person Returned to U.S. Control.","3"
"Department of Defense","Agency Overall","2008","10 USC §2305(g)","No","DoD Contractor Proposals","31"
"Department of Defense","Agency Overall","2008","10 USC 2371(i)","No","Research Projects: Transactions Other Than Contracts and Grants","2"
"Department of Defense","Agency Overall","2008","12 USC §3403","No","Confidentiality of Financial Records","2"
"Department of Defense","Agency Overall","2008","16 USC §470 w-3","No","National Historic Preservation Information","26"
"Department of Defense","Agency Overall","2008","18 USC §798(a)","Yes","Communications Intelligence","1"
"Department of Defense","Agency Overall","2008","22 USC §2778(e) Sec 38(e) of the Arms Export Control Act","No","Information Subject to Arms Exports Controls","2"
"Department of Defense","Agency Overall","2008","26 USC §6103","No","Confidentiality and Disclosure of Returns and Return Information","3"
"Department of Defense","Agency Overall","2008","31 USC §3729(d);        31 USC §3730(b)(2)","No","Information Concerning Civil Action for False Claims","1"
"Department of Defense","Agency Overall","2008","42 USC §2162(a) (Restricted Data)","","","19"
"Department of Defense","Agency Overall","2008","42 USC §2168(a)(1)(C)","","","2"
"Department of Defense","Agency Overall","2008","(Formerly Restricted Data)","Yes","Information Regarding Atomic Energy: Restricted and Formerly Restricted Data (A.E. Act of 1954) (specific applicable sections must be invoked)","42"
"Department of Defense","Agency Overall","2008","50 USC §402 Note","","","1"
"Department of Defense","Agency Overall","2008","Sec 6, P.L. 86-36","Yes","NSA Functions and Information","9"
"Department of Defense","Agency Overall","2008","50 USCA 403-1(i)","Yes","Intelligence Sources and Methods","3"
"Department of Defense","Agency Overall","2008","50 USC §421","No","Identities of US Undercover Intelligence Officers, Agents, Informants and Sources","1"
"Department of Defense","Agency Overall","2008","50 USC §432a","No","NRO Operational Files Exemption","3"
"Department of Defense","Agency Overall","2008","50 USC §435 Note Sec 1082, P.L. 102-190","No","Information Concerning US Personnel Classified as POW/MIA During the Vietnam and Korean Conflicts (“McCain Bill”)","1"
"Department of Defense","Agency Overall","2008","50 USC 2411(c)","No","Export Control Act","3"
"Department of Justice","Agency Overall","2008","5 U.S.C. app. § 107","Meyeroff v. EPA, 958 F.2d 1498 (9th Cir. 1992)","Confidential conflict of interest certification; financial disclosure information pertaining to certain government employees","49"
"Department of Justice","Agency Overall","2008","10 U.S.C. § 130b","Hiken v. DOD, 521 F. Supp. 2d 1047 (N.D. Cal. 2007)","Personally identifying information of personnel in overseas, sensitive, or routinely deployable units and certain employees of the Departments of Defense and Homeland Security","1"
"Department of Justice","Agency Overall","2008","10 U.S.C. § 424","Wickwire Gavin, P.C. v. Def. Intelligence Agency, 330 F. Supp. 2d 48 (E.D. Va. 2004)","Certain information pertaining to employees of the Defense Intelligence Agency, the National Reconnaissance Office, and the National GeospatialIntelligence Agency","1"
"Department of Justice","Agency Overall","2008","15 U.S.C. § 18a(h)","Lieberman v. FTC, 771 F.2d 32 (2d Cir. 1985)","Information submitted in connection with the premerger notification provisions of the Hart-Scott-Rodino Antitrust Improvements Act of 1976","4"
