"Agency","Component","Fiscal Year","<1-20 Days","21-40 Days","41-60 Days","61-80 Days","81-100 Days","101-120 Days","121-140 Days","141-160 Days","161-180 Days","181-200 Days","201-300 Days","301-400 Days","401+ Days","Total"
"Federal Financial Institutions Examination Council","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Inter-American Foundation","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Farm Credit Administration","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Defense","Agency Overall","2008","12301","2738","1662","965","616","497","393","265","234","491","745","491","1458","22856"
"Department of Justice","Agency Overall","2008","1489","647","912","734","552","365","336","179","136","117","369","193","873","6902"
"Federal Energy Regulatory Commission","Agency Overall","2008","3","6","0","0","0","0","1","0","0","0","0","0","0","10"
"Commodity Futures Trading Commission","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of the Interior","Agency Overall","2008","2594","736","262","171","85","73","35","37","19","18","51","32","82","4195"
"Farm Credit System Insurance Corporation","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of the Treasury","Agency Overall","2008","9425","1739","995","338","136","77","50","32","20","311","76","27","54","13280"
"Federal Mine Safety and Health Review Commission","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Government Ethics","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nuclear Regulatory Commission","Agency Overall","2008","4","9","6","4","2","0","1","0","2","0","0","0","0","28"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Election Commission","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"All agencies","Agency Overall","2008","134520","18618","9882","5740","3542","2581","1929","1552","1300","1875","4175","5907","39824","231445"
