"Agency","Component","Fiscal Year","<1-20 Days","21-40 Days","41-60 Days","61-80 Days","81-100 Days","101-120 Days","121-140 Days","141-160 Days","161-180 Days","181-200 Days","201-300 Days","301-400 Days","401+ Days","Total"
"Office of Science and Technology Policy","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Labor","Agency Overall","2008","70","38","11","0","0","1","0","0","0","0","1","1","0","122"
"Export-Import Bank of the U.S.","Agency Overall","2008","2","0","0","0","0","0","1","0","0","0","0","0","0","3"
"Institute of Museum and Library Services","Agency Overall","2008","1","0","0","0","0","0","0","0","0","0","0","0","0","1"
"U.S. Railroad Retirement Board","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Personnel Management","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Agency for International Development","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Credit Union Administration","Agency Overall","2008","1","1","0","0","0","0","0","0","0","0","0","0","0","2"
"Department of Veterans Affairs","Agency Overall","2008","2667","28","7","1","1","1","1","0","0","0","0","0","1","2707"
"Department of Housing and Urban Development","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Consumer Product Safety Commission","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Council on Environmental Quality","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Homeland Security","Agency Overall","2008","60","28","10","6","5","3","1","0","1","0","2","2","9","127"
"United States International Boundary and Water Commission","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Small Business Administration","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Social Security Administration","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Peace Corps","Agency Overall","2008","1","0","0","0","0","0","0","0","0","0","0","0","0","1"
"U.S. Department of State","Agency Overall","2008","2","3","4","0","0","0","0","0","0","0","1","1","1","12"
"Federal Reserve System","Agency Overall","2008","0","0","0","0","0","0","2","0","0","0","0","0","0","2"
"National Endowment for the Humanities","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Mediation Board","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Merit Systems Protection Board","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Labor Relations Authority","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tennessee Valley Authority","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of National Drug Control Policy","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Selective Service System","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Trade Commission","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Occupational Safety and Health Review Commission","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Aeronautics and Space Administration","Agency Overall","2008","4","3","2","0","3","1","0","0","0","0","0","0","0","13"
"Federal Financial Institutions Examination Council","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Inter-American Foundation","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Farm Credit Administration","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Defense","Agency Overall","2008","309","32","11","7","7","6","5","3","2","1","4","4","5","396"
"Department of Justice","Agency Overall","2008","177","20","5","12","5","5","2","2","2","1","8","4","19","262"
"Federal Energy Regulatory Commission","Agency Overall","2008","1","2","0","1","0","1","0","0","1","0","0","0","0","6"
"Commodity Futures Trading Commission","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of the Interior","Agency Overall","2008","9","1","0","0","0","0","0","0","0","0","1","0","0","11"
"Farm Credit System Insurance Corporation","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of the Treasury","Agency Overall","2008","7","1","0","0","0","0","0","0","0","0","0","0","0","8"
"Federal Mine Safety and Health Review Commission","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Government Ethics","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nuclear Regulatory Commission","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Election Commission","Agency Overall","2008","0","1","1","0","0","0","0","0","0","0","2","0","1","5"
"All agencies","Agency Overall","2008","3404","197","62","32","26","20","16","9","8","6","23","13","61","3877"
