"Agency","Component","Fiscal Year","Simple - Number Pending","Simple - Median Number of Days","Simple - Average Number of Days","Complex - Number Pending","Complex - Median Number of Days","Complex - Average Number of Days","Expedited Processing - Number Pending","Expedited Processing - Median Number of Days","Expedited Processing - Average Number of Days"
"U.S. Agency for International Development","Agency Overall","2008","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"National Credit Union Administration","Agency Overall","2008","4","14","17.75","1","31","31","0","N/A","N/A"
"Department of Veterans Affairs","Agency Overall","2008","0","N/A","N/A","5976","N/A","N/A","2","N/A","N/A"
"Department of Housing and Urban Development","Agency Overall","2008","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Consumer Product Safety Commission","Agency Overall","2008","23","25","35","350","110","135","0","N/A","N/A"
"Council on Environmental Quality","Agency Overall","2008","5","815","684","0","N/A","N/A","0","N/A","N/A"
"Department of Homeland Security","Agency Overall","2008","12410","38","77.77","66434","305","300.46","13","76","335.92"
"United States International Boundary and Water Commission","Agency Overall","2008","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Small Business Administration","Agency Overall","2008","28","7","23.3","0","N/A","N/A","0","N/A","N/A"
"Social Security Administration","Agency Overall","2008","954","27","27","106","90","90","0","N/A","N/A"
"Peace Corps","Agency Overall","2008","18","38","69","0","N/A","N/A","0","N/A","N/A"
"U.S. Department of State","Agency Overall","2008","673","50","179","3715","284","337","13","570","577"
"Federal Reserve System","Agency Overall","2008","0","N/A","N/A","5","36","56","0","N/A","N/A"
"National Endowment for the Humanities","Agency Overall","2008","1","11","11","1","750","750","0","N/A","N/A"
"National Mediation Board","Agency Overall","2008","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Merit Systems Protection Board","Agency Overall","2008","6","60","69.4","0","N/A","N/A","0","N/A","N/A"
"Federal Labor Relations Authority","Agency Overall","2008","13","191","492","0","N/A","N/A","0","N/A","N/A"
"Tennessee Valley Authority","Agency Overall","2008","7","13","9","9","44","96","0","N/A","N/A"
"Office of National Drug Control Policy","Agency Overall","2008","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Selective Service System","Agency Overall","2008","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Federal Trade Commission","Agency Overall","2008","2","8.5","8.5","5","4","5.4","0","N/A","N/A"
"Occupational Safety and Health Review Commission","Agency Overall","2008","3","5","5.3","0","N/A","N/A","0","N/A","N/A"
"National Aeronautics and Space Administration","Agency Overall","2008","0","63","131","0","144","227","0","N/A","N/A"
"Federal Financial Institutions Examination Council","Agency Overall","2008","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Inter-American Foundation","Agency Overall","2008","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Farm Credit Administration","Agency Overall","2008","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Department of Defense","Agency Overall","2008","5467","N/A","70","9044","N/A","536","56","N/A","107"
"Department of Justice","Agency Overall","2008","3978","43","195.34","2248","112","231.07","61","423","427.95"
"Federal Energy Regulatory Commission","Agency Overall","2008","12","16.5","16","8","5","8","6","9.5","132"
"Commodity Futures Trading Commission","Agency Overall","2008","15","17","22.73","0","N/A","N/A","0","N/A","N/A"
"Department of the Interior","Agency Overall","2008","77","1","1","766","N/A","366.09","2","5","5"
"Farm Credit System Insurance Corporation","Agency Overall","2008","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Department of the Treasury","Agency Overall","2008","29","56","58.8","1210","225","346.9","2","13","13"
"Federal Mine Safety and Health Review Commission","Agency Overall","2008","2","1","1","0","N/A","N/A","0","N/A","N/A"
"Office of Government Ethics","Agency Overall","2008","3","6","5.3","0","N/A","N/A","0","N/A","N/A"
"Nuclear Regulatory Commission","Agency Overall","2008","12","8","11","6","23","48","0","N/A","N/A"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2008","7","4","15","0","N/A","N/A","0","N/A","N/A"
"Federal Election Commission","Agency Overall","2008","7","210","175.8","1","17","17","0","N/A","N/A"
"All agencies","Agency Overall","2008","36403","N/A","N/A","108652","N/A","N/A","303","N/A","N/A"
