"Agency","Component","Fiscal Year","Simple - Median Number of Days","Simple - Average Number of Days","Simple - Lowest Number of Days","Simple - Highest Number of Days","Complex - Median Number of Days","Complex - Average Number of Days","Complex - Lowest Number of Days","Complex - Highest Number of Days","Expedited Processing - Median Number of Days","Expedited Processing - Average Number of Days","Expedited Processing - Lowest Number of Days","Expedited Processing - Highest Number of Days"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2008","N/A","N/A","N/A","N/A","10","16","1","96","N/A","N/A","N/A","N/A"
"Federal Open Market Committee","Agency Overall","2008","8.5","8.9","2","20","21.5","21.5","12","31","N/A","N/A","N/A","N/A"
"United States International Trade Commission","Agency Overall","2008","16","18","60","N/A","N/A","N/A","N/A","N/A","10.5","10.5","1","20"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2008","20","20","20","20","459","391","59","704","N/A","N/A","N/A","N/A"
"Department of Commerce","Agency Overall","2008","15","19","1","571","85","125","12","646","5","7","1","22"
"Securities and Exchange Commission","Agency Overall","2008","193","249","1","810","642","632","528","785","3","3","1","6"
"General Services Administration","Agency Overall","2008","21","14.6","2","70","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Federal Communications Commission","Agency Overall","2008","19","21.07","<1","123","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Office of Management and Budget","Agency Overall","2008","19","25","5","85","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Overseas Private Investment Corporation","Agency Overall","2008","89","35","1","177","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Surface Transportation Board","Agency Overall","2008","12.5","11","1","20","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Department of Energy","Agency Overall","2008","32","54","1","1636","74","95","6","372","16","16","16","16"
"Federal Mediation and Conciliation Service","Agency Overall","2008","8","8","1","20","N/A","N/A","N/A","N/A","2","2","1","2"
"Office of Science and Technology Policy","Agency Overall","2008","19.5","14","1","24","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Department of Labor","Agency Overall","2008","15","26.16","1","360","8.5","18.88","1","342","1","4.59","1","33"
"Export-Import Bank of the U.S.","Agency Overall","2008","15","17","4","30","65","112","31","558","7","45","3","125"
"Institute of Museum and Library Services","Agency Overall","2008","9","11","2","25","N/A","N/A","N/A","N/A","1","1","1","1"
"U.S. Railroad Retirement Board","Agency Overall","2008","15","12.9","1","25","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Office of Personnel Management","Agency Overall","2008","N/A","N/A","N/A","N/A","1","14","N/A","N/A","N/A","N/A","N/A","N/A"
"U.S. Agency for International Development","Agency Overall","2008","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Credit Union Administration","Agency Overall","2008","11","13","1","51","25","35.3","1","135","14","14","14","14"
"Department of Veterans Affairs","Agency Overall","2008","N/A","N/A","N/A","N/A","N/A","N/A","1","2104","N/A","N/A","1","107"
"Department of Housing and Urban Development","Agency Overall","2008","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Consumer Product Safety Commission","Agency Overall","2008","5","10","1","40","45","65","1","180","N/A","N/A","N/A","N/A"
"Council on Environmental Quality","Agency Overall","2008","73","114","2","519","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Department of Homeland Security","Agency Overall","2008","123","174.77","1","977","377","293.1","1","2860","22","56.35","1","439"
"United States International Boundary and Water Commission","Agency Overall","2008","20","17.88","2","25","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Small Business Administration","Agency Overall","2008","10","14.1","1","318","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Social Security Administration","Agency Overall","2008","17","33","4","79","66","72","2","252","N/A","N/A","N/A","N/A"
"Peace Corps","Agency Overall","2008","10","15","<1","129","<1","<1","<1","<1","3","3","<1","3"
"U.S. Department of State","Agency Overall","2008","75","129","3","736","253","333","5","1900","41","250","3","1509"
"Federal Reserve System","Agency Overall","2008","2","4","<1","32","14","18","<1","136","N/A","N/A","N/A","N/A"
"National Endowment for the Humanities","Agency Overall","2008","19","22","10","42","40","94","19","328","N/A","N/A","N/A","N/A"
"National Mediation Board","Agency Overall","2008","9","14","1","20","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Merit Systems Protection Board","Agency Overall","2008","9","9.2","<1","25","40","47.5","30","180","N/A","N/A","N/A","N/A"
"Federal Labor Relations Authority","Agency Overall","2008","9","38","1","325","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Tennessee Valley Authority","Agency Overall","2008","8","9","1","19","31","37","20","97","N/A","N/A","N/A","N/A"
"Office of National Drug Control Policy","Agency Overall","2008","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Selective Service System","Agency Overall","2008","8","4","1","27","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Federal Trade Commission","Agency Overall","2008","5","8.02","1","125","29","39.05","1","146","N/A","N/A","N/A","N/A"
"Occupational Safety and Health Review Commission","Agency Overall","2008","9","10","3","20","28","28","28","28","N/A","N/A","N/A","N/A"
"National Aeronautics and Space Administration","Agency Overall","2008","29","176","1","415","11","97","1","871","41","41","33","49"
"Federal Financial Institutions Examination Council","Agency Overall","2008","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Inter-American Foundation","Agency Overall","2008","20","20","20","20","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Farm Credit Administration","Agency Overall","2008","7","9","1","19","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Department of Defense","Agency Overall","2008","N/A","N/A","1","2361","N/A","N/A","1","4277","N/A","N/A","1","399"
"Department of Justice","Agency Overall","2008","20","45.83","<1","2940","70","167.67","<1","6175","15","128.03","<1","1018"
"Federal Energy Regulatory Commission","Agency Overall","2008","19","20","4","36","29","34","9","128","51","69","15","166"
"Commodity Futures Trading Commission","Agency Overall","2008","15","18.16","1","179","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Department of the Interior","Agency Overall","2008","2","5","1","642","N/A","N/A","1","2648","6","8","1","217"
"Farm Credit System Insurance Corporation","Agency Overall","2008","15","15","15","15","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Department of the Treasury","Agency Overall","2008","12","16.1","1","73","16","29.7","<1","2179","75.5","75.6","2","163"
"Federal Mine Safety and Health Review Commission","Agency Overall","2008","6","8","1","24","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Office of Government Ethics","Agency Overall","2008","14","10","1","30","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Nuclear Regulatory Commission","Agency Overall","2008","15","21","<1","136","56","63","26","178","N/A","N/A","N/A","N/A"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2008","7","9","1","20","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Federal Election Commission","Agency Overall","2008","43.5","68.9","3","399","N/A","N/A","N/A","N/A","212","188.2","25","403"
