"Agency","Component","Fiscal Year","Ex. 1","Ex. 2","Ex. 3","Ex. 4","Ex. 5","Ex. 6","Ex. 7(A)","Ex. 7(B)","Ex. 7(C)","Ex. 7(D)","Ex. 7(E)","Ex. 7(F)","Ex. 8","Ex. 9"
"Department of Homeland Security","Agency Overall","2008","138","42766","307","371","34745","39084","772","67","43728","162","35800","88","0","0"
"United States International Boundary and Water Commission","Agency Overall","2008","0","0","1","0","1","0","0","0","0","0","0","0","0","0"
"Small Business Administration","Agency Overall","2008","0","14","1","105","79","90","0","0","2","0","0","0","0","0"
"Social Security Administration","Agency Overall","2008","1","221","61","50","212","749","1","0","20","0","0","0","0","0"
"Peace Corps","Agency Overall","2008","0","2","0","2","6","14","1","0","2","1","0","1","0","0"
"U.S. Department of State","Agency Overall","2008","537","99","944","104","166","404","26","2","64","12","15","13","0","0"
"Federal Reserve System","Agency Overall","2008","0","8","0","82","37","30","1","0","0","0","0","0","20","0"
"National Endowment for the Humanities","Agency Overall","2008","0","2","0","5","4","7","0","0","1","0","0","0","0","0"
"National Mediation Board","Agency Overall","2008","0","0","0","0","1","2","0","0","1","0","0","0","0","0"
"Merit Systems Protection Board","Agency Overall","2008","0","0","0","0","3","12","0","0","0","0","0","0","0","0"
"Federal Labor Relations Authority","Agency Overall","2008","0","0","0","0","4","5","2","0","2","3","0","0","0","0"
"Tennessee Valley Authority","Agency Overall","2008","0","3","5","6","20","57","0","0","4","1","0","0","0","1"
"Office of National Drug Control Policy","Agency Overall","2008","1","0","0","0","0","3","0","0","0","0","0","0","0","0"
"Selective Service System","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Trade Commission","Agency Overall","2008","0","7","145","22","57","298","22","0","0","1","0","0","0","0"
"Occupational Safety and Health Review Commission","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Aeronautics and Space Administration","Agency Overall","2008","0","38","50","268","86","104","3","0","37","3","1","0","0","0"
"Federal Financial Institutions Examination Council","Agency Overall","2008","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"Inter-American Foundation","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Farm Credit Administration","Agency Overall","2008","0","0","0","4","1","3","0","0","0","0","0","0","1","0"
"Department of Defense","Agency Overall","2008","2150","2664","2247","1527","2064","10513","588","30","5169","136","81","17","8","8"
"Department of Justice","Agency Overall","2008","696","3179","944","145","1542","4357","447","45","5538","1973","776","696","2","0"
"Federal Energy Regulatory Commission","Agency Overall","2008","0","0","2","8","9","16","2","0","1","0","0","2","0","0"
"Commodity Futures Trading Commission","Agency Overall","2008","0","0","17","28","8","11","7","0","4","1","5","1","11","0"
"Department of the Interior","Agency Overall","2008","1","111","50","163","384","767","84","2","195","16","34","17","0","4"
"Farm Credit System Insurance Corporation","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of the Treasury","Agency Overall","2008","13","197","2245","317","692","853","486","0","1059","84","985","9","230","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Government Ethics","Agency Overall","2008","0","0","0","1","0","3","0","0","0","0","0","0","0","0"
"Nuclear Regulatory Commission","Agency Overall","2008","0","28","3","25","35","31","13","0","26","0","2","0","0","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2008","0","0","0","0","0","5","0","0","0","0","0","0","0","0"
"Federal Election Commission","Agency Overall","2008","0","21","2","3","4","16","1","0","3","0","0","0","0","0"
"All agencies","Agency Overall","2008","3658","50970","12283","10433","48124","74866","5732","245","63660","5960","38444","853","373","14"
