"Agency","Component","Fiscal Year","Number of Full Grants","Number of Partial Grants/Partial Denials","Number of Full Denials Based on Exemptions","No Records","All Records Referred to Another Component or Agency","Request Withdrawn","Fee-Related Reason","Records Not Reasonably Described","Improper FOIA Request for Other Reason","Not Agency Record","Duplicate Request","Other*","Total"
"Department of Defense","Agency Overall","2008","28451","14901","2554","7245","8574","2796","978","904","2413","944","1108","831","71699"
"Department of Justice","Agency Overall","2008","20743","6497","1819","15886","1168","1167","1613","5850","2187","1203","1653","1486","61272"
"Federal Energy Regulatory Commission","Agency Overall","2008","39","21","12","11","1","11","1","0","0","0","0","0","96"
"Commodity Futures Trading Commission","Agency Overall","2008","63","28","12","31","0","9","0","0","0","8","0","0","151"
"Department of the Interior","Agency Overall","2008","2383","1012","111","520","126","145","91","159","44","61","29","69","4750"
"Farm Credit System Insurance Corporation","Agency Overall","2008","1","0","0","5","0","0","0","0","0","0","0","0","6"
"Department of the Treasury","Agency Overall","2008","9053","2864","363","2737","340","289","41","35","5360","142","23","105","21352"
"Federal Mine Safety and Health Review Commission","Agency Overall","2008","56","0","0","2","0","1","0","0","0","0","0","0","59"
"Office of Government Ethics","Agency Overall","2008","8","6","0","24","2","0","0","2","0","0","0","0","42"
"Nuclear Regulatory Commission","Agency Overall","2008","132","86","14","53","0","23","12","1","0","3","3","33","360"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2008","40","5","0","1","0","0","0","1","0","0","0","0","47"
"Federal Election Commission","Agency Overall","2008","16","29","1","27","1","8","0","0","0","0","0","0","82"
"All agencies","Agency Overall","2008","240667","102730","22080","87834","26473","21516","5028","9807","33368","7064","14397","7177","578141"
