"Agency","Component","Fiscal Year","Date","10th Oldest Number of Days Pending","Date","9th Oldest Number of Days Pending","Date","8th Oldest Number of Days Pending","Date","7th Oldest Number of Days Pending","Date","6th Oldest Number of Days Pending","Date","5th Oldest Number of Days Pending","Date","4th Oldest Number of Days Pending","Date","3rd Oldest Number of Days Pending","Date","2nd Oldest Number of Days Pending","Date","Oldest Number of Days Pending"
"U.S. Railroad Retirement Board","Agency Overall","2008","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2008-09-22","7","2005-09-27","439","2005-09-27","439","2005-05-10","535","2005-02-02","608"
"Office of Personnel Management","Agency Overall","2008","2006-09-05","757","2006-08-09","784","2005-02-16","1323","2005-01-27","1343","2005-01-05","1365","2004-06-17","1567","2003-09-10","1946","2003-06-04","1946","2002-09-23","2200","2001-08-28","2591"
"U.S. Agency for International Development","Agency Overall","2008","2004-10-18","1044","2004-04-08","1187","2004-02-23","1220","2004-02-20","1221","2003-12-02","1275","2003-12-01","1276","2003-09-03","1337","2002-02-25","1616","2002-02-05","1639","2002-04-26","1695"
"National Credit Union Administration","Agency Overall","2008","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2008-09-29","1","2008-09-23","7","2008-09-18","12","2008-09-09","21","2008-09-09","21"
"Department of Veterans Affairs","Agency Overall","2008","2005-02-03","919","2005-01-28","923","2005-01-26","925","2005-01-03","941","2004-09-17","1012","2004-08-25","1028","2004-07-14","1058","2004-02-24","1157","2003-11-10","1227","2003-03-26","1387"
"Department of Housing and Urban Development","Agency Overall","2008","2008-02-08","74","2007-11-21","279","2007-11-14","293","2007-11-02","305","2007-11-01","306","2007-08-15","384","2007-07-12","418","2007-05-16","242","2007-05-11","480","2004-07-01","1076"
"Consumer Product Safety Commission","Agency Overall","2008","2006-06-09","540","2006-04-27","583","2006-04-25","584","2005-11-29","585","2005-10-24","605","2005-09-09","755","2005-02-16","869","2004-08-30","952","2004-08-02","997","2004-07-29","1001"
"Council on Environmental Quality","Agency Overall","2008","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2007-04-27","364","2006-05-12","602","2005-07-11","815","2005-07-01","820","2005-07-01","820"
"Department of Homeland Security","Agency Overall","2008","2002-04-19","1646","2002-04-04","1657","2002-03-29","1661","2002-03-29","1661","2002-03-29","1661","2002-03-29","1661","2002-01-11","1716","2001-08-07","1829","2000-04-04","2179","2000-02-25","2206"
"United States International Boundary and Water Commission","Agency Overall","2008","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Small Business Administration","Agency Overall","2008","2008-09-17","10","2008-08-08","37","2008-08-01","42","2008-07-31","43","2008-07-28","46","2008-07-18","51","2008-07-08","60","2008-02-29","150","2008-01-13","180","2007-12-19","196"
"Social Security Administration","Agency Overall","2008","2008-02-12","187","2008-02-12","187","2008-02-10","188","2008-02-10","188","2008-01-31","195","2008-01-31","195","2008-01-31","195","2008-01-23","201","2008-01-16","206","2007-11-13","252"
"Peace Corps","Agency Overall","2008","2008-09-05","16","2008-08-29","21","2008-08-27","23","2008-08-15","31","2008-06-23","69","2008-06-23","69","2008-06-16","74","2008-06-15","75","2008-06-09","79","2008-02-19","157"
"U.S. Department of State","Agency Overall","2008","2002-10-23","1485","2002-08-19","1530","2002-07-03","1562","2002-01-18","1677","2002-01-04","1687","2001-12-31","1701","2001-10-16","1741","2001-09-27","1753","2001-02-08","1914","2000-02-23","2156"
"Federal Reserve System","Agency Overall","2008","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2008-08-25","25","2008-08-12","34","2008-08-08","36","2008-05-21","91","2008-05-15","95"
"National Endowment for the Humanities","Agency Overall","2008","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2008-09-15","28","2005-07-01","750"
"National Mediation Board","Agency Overall","2008","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Merit Systems Protection Board","Agency Overall","2008","N/A","0","N/A","0","N/A","0","N/A","0","2008-09-30","21","2008-09-30","21","2008-09-30","56","2008-09-30","109","2008-06-30","117","2008-06-03","180"
"Federal Labor Relations Authority","Agency Overall","2008","2008-08-18","30","2008-08-05","40","2008-01-11","187","2007-12-28","191","2007-10-18","237","2006-02-21","654","2005-03-03","898","2004-08-17","1535","2004-08-09","1536","2004-07-07","1561"
"Tennessee Valley Authority","Agency Overall","2008","2008-09-17","9","2008-09-02","20","2008-08-28","22","2008-08-25","25","2008-08-19","29","2008-08-15","31","2008-05-01","106","2008-04-24","110","2008-04-01","128","2008-04-01","128"
"Office of National Drug Control Policy","Agency Overall","2008","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Selective Service System","Agency Overall","2008","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Trade Commission","Agency Overall","2008","N/A","0","N/A","0","2008-09-28","2","2008-09-25","4","2008-09-25","4","2008-09-24","5","2008-09-23","6","2008-09-16","11","2008-09-15","12","2008-04-03","126"
"Occupational Safety and Health Review Commission","Agency Overall","2008","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2008-09-24","4","2008-09-23","5","2008-09-19","7"
"National Aeronautics and Space Administration","Agency Overall","2008","2005-11-13","1053","2005-08-04","1154","2005-05-27","1223","2005-04-11","1269","2005-03-21","1290","2005-03-15","1296","2005-02-26","1313","2005-01-31","1339","2004-11-02","1429","2004-06-14","1578"
"Federal Financial Institutions Examination Council","Agency Overall","2008","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Inter-American Foundation","Agency Overall","2008","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Farm Credit Administration","Agency Overall","2008","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Defense","Agency Overall","2008","1994-01-25","3680","1993-12-27","3699","1993-12-03","3714","1993-11-23","3721","1993-11-23","3721","1993-08-17","3788","1993-07-19","3809","1993-03-16","3896","1993-01-05","3944","1992-12-01","3968"
"Department of Justice","Agency Overall","2008","2001-03-26","2745","2001-01-04","2826","2000-11-17","2874","2000-10-23","2899","2000-10-11","2911","2000-08-18","2965","2000-06-05","3039","1995-03-15","4948","1995-03-03","4960","1995-02-13","4978"
"Federal Energy Regulatory Commission","Agency Overall","2008","2008-09-15","11","2008-09-08","16","2008-09-05","17","2008-09-04","18","2008-09-03","19","2008-09-03","19","2008-08-27","23","2008-08-22","26","2008-08-20","28","2004-10-27","744"
"Commodity Futures Trading Commission","Agency Overall","2008","2008-09-19","8","2008-09-17","9","2008-09-12","12","2008-09-05","17","2008-08-27","23","2008-08-26","24","2008-08-14","32","2008-08-01","41","2008-07-09","58","2008-06-20","70"
"Department of the Interior","Agency Overall","2008","2000-08-14","2122","2000-07-22","2137","2000-03-10","2233","1998-10-08","2604","1998-09-02","2630","1998-09-02","2630","1998-07-24","2658","1998-07-20","2662","1998-06-25","2679","1997-05-05","2967"
"Farm Credit System Insurance Corporation","Agency Overall","2008","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of the Treasury","Agency Overall","2008","2000-03-13","2040","2000-02-29","2060","2000-02-10","2060","1999-12-19","2100","1999-09-09","2160","1999-08-24","2180","1999-03-12","2280","1998-08-06","2420","1997-01-10","2820","1994-03-01","3460"
"Federal Mine Safety and Health Review Commission","Agency Overall","2008","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2008-09-30","1","2008-09-30","1"
"Office of Government Ethics","Agency Overall","2008","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2008-09-24","4","2008-09-22","5","2008-09-22","5"
"Nuclear Regulatory Commission","Agency Overall","2008","2008-09-11","13","2008-09-09","15","2008-09-02","20","2008-09-02","20","2008-08-28","22","2008-08-26","24","2008-08-20","28","2008-08-01","41","2008-06-02","84","2008-04-17","115"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2008","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Election Commission","Agency Overall","2008","N/A","0","N/A","0","2008-09-15","11","2008-09-05","17","2008-08-27","23","2008-05-28","87","2007-11-07","210","2007-09-19","257","2007-09-10","264","2007-03-29","379"
