"Agency","Component","Fiscal Year","No Records","Records Referred at Initial Request Level","Request Withdrawn","Fee-Related Reason","Records Not Reasonably Described","Improper Request for Other Reason","Not Agency Record","Duplicate Request or Appeal","Request in Litigation","Appeal Based Solely on Denial of Request for Expedited Processing","Other*"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0"
"Office of Science and Technology Policy","Agency Overall","2023","1","0","0","0","0","0","0","0","0","0","0"
"Advisory Council on Historic Preservation","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0"
"U.S. International Development Finance Corporation","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0"
"Office of Special Counsel","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0"
"Federal Open Market Committee","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0"
"Department of Agriculture","Agency Overall","2023","5","1","27","0","0","1","0","1","0","2","3"
"Environmental Protection Agency","Agency Overall","2023","7","1","0","1","1","0","1","2","0","1","42"
"Millennium Challenge Corporation","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0"
"Appraisal Subcommittee","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0"
"Federal Maritime Commission","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0"
"Farm Credit System Insurance Corporation","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0"
"General Services Administration","Agency Overall","2023","5","0","2","0","1","2","2","67","0","0","0"
"Federal Financial Institutions Examination Council","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0"
"Neighborhood Reinvestment Corporation","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0"
"Inter-American Foundation","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0"
"Export-Import Bank of the U.S.","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0"
"Office of the United States Trade Representative","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0"
"Central Intelligence Agency","Agency Overall","2023","15","0","0","0","0","0","0","0","23","0","0"
"U.S. Department of State","Agency Overall","2023","1","0","7","1","1","0","0","3","3","45","0"
"Federal Election Commission","Agency Overall","2023","0","0","1","0","0","0","0","0","0","0","0"
"United States Trade and Development Agency","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0"
"Merit Systems Protection Board","Agency Overall","2023","2","1","0","0","0","0","0","0","0","0","0"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0"
"Legal Services Corporation","Agency Overall","2023","1","0","0","0","0","0","0","0","0","0","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0"
"United States Postal Service","Agency Overall","2023","11","4","3","2","2","6","0","1","1","0","14"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2023","0","0","0","0","0","1","0","0","0","0","0"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0"
"National Credit Union Administration","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0"
"National Council on Disability","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0"
"Council on Environmental Quality","Agency Overall","2023","1","0","0","0","1","0","0","0","0","0","0"
"Federal Permitting Improvement Steering Council","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0"
"Surface Transportation Board","Agency Overall","2023","1","0","0","0","0","0","0","0","0","0","0"
"Social Security Advisory Board","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0"
"Selective Service System","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0"
"American Battle Monuments Commission","Agency Overall","2023","12","0","0","0","4","1","0","0","0","0","0"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0"
"United States Institute of Peace","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0"
"United States International Boundary and Water Commission","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0"
"United States Copyright Office","Agency Overall","2023","1","1","0","0","0","0","0","0","0","0","0"
"U.S. Railroad Retirement Board","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0"
"National Labor Relations Board","Agency Overall","2023","0","0","3","0","0","0","0","0","0","0","0"
"National Capital Planning Commission","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Commission on Civil Rights","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0"
"Federal Deposit Insurance Corporation","Agency Overall","2023","0","0","3","0","0","0","1","3","0","0","1"
"United States International Trade Commission","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0"
"Equal Employment Opportunity Commission","Agency Overall","2023","0","0","6","0","2","224","1","15","0","0","76"
"Department of Transportation","Agency Overall","2023","3","0","4","0","1","3","0","0","0","0","5"
"Department of Justice","Agency Overall","2023","343","0","2","25","86","61","0","51","35","0","774"
"National Aeronautics and Space Administration","Agency Overall","2023","2","0","0","0","0","0","0","0","0","0","0"
"United States African Development Foundation","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0"
"Denali Commission","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2023","0","0","0","0","0","5","0","0","0","0","1"
"Postal Regulatory Commission","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0"
"National Mediation Board","Agency Overall","2023","1","0","0","0","0","0","0","0","0","0","0"
"U.S. Agency for International Development","Agency Overall","2023","1","0","0","0","0","0","0","0","0","1","5"
"Department of Health and Human Services","Agency Overall","2023","44","0","100","2","1","5","2","16","22","29","110"
"Harry S. Truman Scholarship Foundation","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0"
"Department of Education","Agency Overall","2023","0","0","4","0","0","0","0","0","0","0","5"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0"
"Department of Housing and Urban Development","Agency Overall","2023","2","0","0","0","0","24","0","0","0","0","26"
"Tennessee Valley Authority","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0"
"Department of the Treasury","Agency Overall","2023","1","4","7","0","0","15","3","5","0","0","4"
"Marine Mammal Commission","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0"
"Securities and Exchange Commission","Agency Overall","2023","1","0","16","0","0","3","0","1","0","0","26"
"Federal Trade Commission","Agency Overall","2023","0","1","0","0","0","2","0","0","0","0","0"
"Consumer Financial Protection Bureau","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0"
"James Madison Memorial Fellowship Foundation","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0"
"Office of the National Cyber Director","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0"
"Armed Forces Retirement Home","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0"
"United States Access Board","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0"
"National Endowment for the Arts","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0"
"Commission of Fine Arts","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0"
"Office of the Director of National Intelligence","Agency Overall","2023","5","0","0","0","0","0","0","0","1","3","0"
"Federal Communications Commission","Agency Overall","2023","0","0","0","0","0","11","0","0","0","0","0"
"Federal Energy Regulatory Commission","Agency Overall","2023","1","0","0","0","0","0","0","0","0","0","1"
"Federal Labor Relations Authority","Agency Overall","2023","0","0","0","0","0","0","0","0","0","1","0"
"Office of the Intellectual Property Enforcement Coordinator","Agency Overall","2023","1","0","0","0","0","0","0","0","0","0","0"
"Small Business Administration","Agency Overall","2023","9","0","0","4","0","0","12","0","0","0","20"
"U.S. Agency for Global Media","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0"
"Presidio Trust","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0"
"Federal Housing Finance Agency","Agency Overall","2023","0","0","1","0","0","0","0","0","0","0","0"
"Office of Government Ethics","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0"
"All agencies","Agency Overall","2023","739","151","365","94","167","1032","42","403","129","324","1853"
