"Agency","Component","Fiscal Year","Median Number of Days","Average Number of Days","Lowest Number of Days","Highest Number of Days"
"Securities and Exchange Commission","Agency Overall","2023","18","17.18","1","76"
"Federal Trade Commission","Agency Overall","2023","20.00","12.86","<1","21"
"Consumer Financial Protection Bureau","Agency Overall","2023","20","19.82","19","20"
"James Madison Memorial Fellowship Foundation","Agency Overall","2023","N/A","N/A","N/A","N/A"
"Office of the National Cyber Director","Agency Overall","2023","N/A","N/A","N/A","N/A"
"Armed Forces Retirement Home","Agency Overall","2023","0","0","N/A","0"
"United States Access Board","Agency Overall","2023","N/A","N/A ","N/A","N/A"
"National Endowment for the Arts","Agency Overall","2023","N/A","N/A","N/A","N/A"
"Commission of Fine Arts","Agency Overall","2023","N/A","N/A","N/A","N/A"
"Office of the Director of National Intelligence","Agency Overall","2023","56","137.83","25","417"
"Federal Communications Commission","Agency Overall","2023","181.5","165.08","<1","578"
"Federal Energy Regulatory Commission","Agency Overall","2023","29","26.8","16","38"
"Federal Labor Relations Authority","Agency Overall","2023","7","7","7","7"
"Office of the Intellectual Property Enforcement Coordinator","Agency Overall","2023","3","3","3","3"
"Small Business Administration","Agency Overall","2023","14","17","4","36"
"U.S. Agency for Global Media","Agency Overall","2023","55","55","55","55"
"Presidio Trust","Agency Overall","2023","N/A","N/A","N/A","N/A"
"Federal Housing Finance Agency","Agency Overall","2023","12","12","7","17"
"Office of Government Ethics","Agency Overall","2023","N/A","N/A","N/A","N/A"
