"Agency","Component","Fiscal Year","Number of Requests Pending as of Start of Fiscal Year","Number of Requests Received in Fiscal Year","Number of Requests Processed in Fiscal Year","Number of Requests Pending as of End of Fiscal Year"
"United States International Trade Commission","Agency Overall","2023","16","32","27","21"
"Equal Employment Opportunity Commission","Agency Overall","2023","508","15929","14703","1734"
"Department of Transportation","Agency Overall","2023","6657","17136","16458","7335"
"Department of Justice","Agency Overall","2023","83369","110934","144065","50238"
"National Aeronautics and Space Administration","Agency Overall","2023","79","1005","1003","81"
"United States African Development Foundation","Agency Overall","2023","0","0","0","0"
"Denali Commission","Agency Overall","2023","0","18","18","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2023","73","2682","2643","112"
"Postal Regulatory Commission","Agency Overall","2023","0","91","80","11"
"National Mediation Board","Agency Overall","2023","1","31","29","3"
"U.S. Agency for International Development","Agency Overall","2023","428","338","334","432"
"Department of Health and Human Services","Agency Overall","2023","13461","46530","47038","12953"
"Harry S. Truman Scholarship Foundation","Agency Overall","2023","0","27","27","0"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2023","0","12","12","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2023","2","63","54","11"
"Department of Education","Agency Overall","2023","1730","2816","2385","2161"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2023","34","130","108","56"
"Department of Housing and Urban Development","Agency Overall","2023","802","1909","1932","779"
"Tennessee Valley Authority","Agency Overall","2023","28","206","177","57"
"Department of the Treasury","Agency Overall","2023","3036","10782","10550","3268"
"Marine Mammal Commission","Agency Overall","2023","5","56","34","27"
"Securities and Exchange Commission","Agency Overall","2023","977","9481","9022","1436"
"Federal Trade Commission","Agency Overall","2023","88","1820","1812","96"
"Consumer Financial Protection Bureau","Agency Overall","2023","81","510","537","54"
"James Madison Memorial Fellowship Foundation","Agency Overall","2023","0","18","4","14"
"Office of the National Cyber Director","Agency Overall","2023","0","6","6","0"
"Armed Forces Retirement Home","Agency Overall","2023","1","12","12","1"
"United States Access Board","Agency Overall","2023","0","20","19","1"
"National Endowment for the Arts","Agency Overall","2023","0","62","50","12"
"Commission of Fine Arts","Agency Overall","2023","0","25","25","0"
"Office of the Director of National Intelligence","Agency Overall","2023","570","386","269","687"
"Federal Communications Commission","Agency Overall","2023","65","586","535","116"
"Federal Energy Regulatory Commission","Agency Overall","2023","74","138","94","118"
"Federal Labor Relations Authority","Agency Overall","2023","31","222","158","95"
"Office of the Intellectual Property Enforcement Coordinator","Agency Overall","2023","0","26","26","0"
"Small Business Administration","Agency Overall","2023","956","4381","4133","1204"
"U.S. Agency for Global Media","Agency Overall","2023","85","120","178","27"
"Presidio Trust","Agency Overall","2023","0","16","16","0"
"Federal Housing Finance Agency","Agency Overall","2023","36","117","84","69"
"Office of Government Ethics","Agency Overall","2023","7","112","113","6"
"All agencies","Agency Overall","2023","298452","1199699","1122211","375940"
